continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,JOR,Jordan,2020,3,1,2020-03-03,1.0,1.0,,,0.098,0.098,,,,0.0
Asia,JOR,Jordan,2020,3,2,2020-03-04,1.0,0.0,,,0.098,0.0,,,,0.0
Asia,JOR,Jordan,2020,3,3,2020-03-05,1.0,0.0,,,0.098,0.0,,,,11.11
Asia,JOR,Jordan,2020,3,4,2020-03-06,1.0,0.0,,,0.098,0.0,,,,11.11
Asia,JOR,Jordan,2020,3,5,2020-03-07,1.0,0.0,,,0.098,0.0,,,,11.11
Asia,JOR,Jordan,2020,3,6,2020-03-08,1.0,0.0,,,0.098,0.0,,,,11.11
Asia,JOR,Jordan,2020,3,0,2020-03-09,1.0,0.0,,,0.098,0.0,,,,11.11
Asia,JOR,Jordan,2020,3,1,2020-03-10,1.0,0.0,,,0.098,0.0,,,,11.11
Asia,JOR,Jordan,2020,3,2,2020-03-11,1.0,0.0,,,0.098,0.0,,,,11.11
Asia,JOR,Jordan,2020,3,3,2020-03-12,1.0,0.0,,,0.098,0.0,,,,11.11
Asia,JOR,Jordan,2020,3,4,2020-03-13,1.0,0.0,,,0.098,0.0,,,,11.11
Asia,JOR,Jordan,2020,3,5,2020-03-14,1.0,0.0,,,0.098,0.0,,,,11.11
Asia,JOR,Jordan,2020,3,6,2020-03-15,8.0,7.0,,,0.784,0.686,,,,33.33
Asia,JOR,Jordan,2020,3,0,2020-03-16,17.0,9.0,,,1.666,0.882,,,,33.33
Asia,JOR,Jordan,2020,3,1,2020-03-17,34.0,17.0,,,3.332,1.666,,,,33.33
Asia,JOR,Jordan,2020,3,2,2020-03-18,52.0,18.0,,,5.096,1.764,,,,100.0
Asia,JOR,Jordan,2020,3,3,2020-03-19,69.0,17.0,,,6.763,1.666,,,,100.0
Asia,JOR,Jordan,2020,3,4,2020-03-20,85.0,16.0,,,8.331,1.568,,,,100.0
Asia,JOR,Jordan,2020,3,5,2020-03-21,85.0,0.0,,,8.331,0.0,,,,100.0
Asia,JOR,Jordan,2020,3,6,2020-03-22,112.0,27.0,,,10.977,2.646,,,,100.0
Asia,JOR,Jordan,2020,3,0,2020-03-23,127.0,15.0,,,12.447,1.47,,,1.09,100.0
Asia,JOR,Jordan,2020,3,1,2020-03-24,154.0,27.0,,,15.093,2.646,,,1.1,100.0
Asia,JOR,Jordan,2020,3,2,2020-03-25,172.0,18.0,,,16.858,1.764,,,1.08,100.0
Asia,JOR,Jordan,2020,3,3,2020-03-26,212.0,40.0,,,20.778,3.92,,,1.07,100.0
Asia,JOR,Jordan,2020,3,4,2020-03-27,235.0,23.0,1.0,1.0,23.032,2.254,0.098,0.098,1.0,100.0
Asia,JOR,Jordan,2020,3,5,2020-03-28,246.0,11.0,1.0,0.0,24.11,1.078,0.098,0.0,0.93,100.0
Asia,JOR,Jordan,2020,3,6,2020-03-29,259.0,13.0,3.0,2.0,25.384,1.274,0.294,0.196,0.88,100.0
Asia,JOR,Jordan,2020,3,0,2020-03-30,268.0,9.0,5.0,2.0,26.266,0.882,0.49,0.196,0.84,100.0
Asia,JOR,Jordan,2020,3,1,2020-03-31,274.0,6.0,5.0,0.0,26.854,0.588,0.49,0.0,0.81,100.0
Asia,JOR,Jordan,2020,4,2,2020-04-01,278.0,4.0,5.0,0.0,27.247,0.392,0.49,0.0,0.8,100.0
Asia,JOR,Jordan,2020,4,3,2020-04-02,299.0,21.0,5.0,0.0,29.305,2.058,0.49,0.0,0.82,100.0
