continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,JPN,Japan,2020,1,2,2020-01-22,2.0,,,,0.016,,,,,2.78
Asia,JPN,Japan,2020,1,3,2020-01-23,2.0,0.0,,,0.016,0.0,,,,2.78
Asia,JPN,Japan,2020,1,4,2020-01-24,2.0,0.0,,,0.016,0.0,,,,2.78
Asia,JPN,Japan,2020,1,5,2020-01-25,2.0,0.0,,,0.016,0.0,,,,2.78
Asia,JPN,Japan,2020,1,6,2020-01-26,4.0,2.0,,,0.032,0.016,,,,2.78
Asia,JPN,Japan,2020,1,0,2020-01-27,4.0,0.0,,,0.032,0.0,,,,2.78
Asia,JPN,Japan,2020,1,1,2020-01-28,7.0,3.0,,,0.055,0.024,,,,2.78
Asia,JPN,Japan,2020,1,2,2020-01-29,7.0,0.0,,,0.055,0.0,,,,2.78
Asia,JPN,Japan,2020,1,3,2020-01-30,11.0,4.0,,,0.087,0.032,,,,2.78
Asia,JPN,Japan,2020,1,4,2020-01-31,15.0,4.0,,,0.119,0.032,,,,2.78
Asia,JPN,Japan,2020,2,5,2020-02-01,20.0,5.0,,,0.158,0.04,,,,8.33
Asia,JPN,Japan,2020,2,6,2020-02-02,20.0,0.0,,,0.158,0.0,,,,8.33
Asia,JPN,Japan,2020,2,0,2020-02-03,20.0,0.0,,,0.158,0.0,,,,8.33
Asia,JPN,Japan,2020,2,1,2020-02-04,22.0,2.0,,,0.174,0.016,,,,19.44
Asia,JPN,Japan,2020,2,2,2020-02-05,23.0,1.0,,,0.182,0.008,,,,19.44
Asia,JPN,Japan,2020,2,3,2020-02-06,23.0,0.0,,,0.182,0.0,,,,19.44
Asia,JPN,Japan,2020,2,4,2020-02-07,23.0,0.0,,,0.182,0.0,,,,19.44
Asia,JPN,Japan,2020,2,5,2020-02-08,24.0,1.0,,,0.19,0.008,,,,19.44
Asia,JPN,Japan,2020,2,6,2020-02-09,24.0,0.0,,,0.19,0.0,,,,19.44
Asia,JPN,Japan,2020,2,0,2020-02-10,26.0,2.0,,,0.206,0.016,,,,19.44
Asia,JPN,Japan,2020,2,1,2020-02-11,27.0,1.0,,,0.213,0.008,,,,19.44
Asia,JPN,Japan,2020,2,2,2020-02-12,28.0,1.0,,,0.221,0.008,,,,19.44
Asia,JPN,Japan,2020,2,3,2020-02-13,33.0,5.0,1.0,1.0,0.261,0.04,0.008,0.008,,19.44
Asia,JPN,Japan,2020,2,4,2020-02-14,43.0,10.0,1.0,0.0,0.34,0.079,0.008,0.0,,19.44
Asia,JPN,Japan,2020,2,5,2020-02-15,54.0,11.0,1.0,0.0,0.427,0.087,0.008,0.0,,19.44
Asia,JPN,Japan,2020,2,6,2020-02-16,60.0,6.0,1.0,0.0,0.474,0.047,0.008,0.0,,19.44
Asia,JPN,Japan,2020,2,0,2020-02-17,67.0,7.0,1.0,0.0,0.53,0.055,0.008,0.0,,19.44
Asia,JPN,Japan,2020,2,1,2020-02-18,79.0,12.0,2.0,1.0,0.625,0.095,0.016,0.008,,19.44
Asia,JPN,Japan,2020,2,2,2020-02-19,85.0,6.0,2.0,0.0,0.672,0.047,0.016,0.0,,19.44
Asia,JPN,Japan,2020,2,3,2020-02-20,95.0,10.0,2.0,0.0,0.751,0.079,0.016,0.0,,25.0
Asia,JPN,Japan,2020,2,4,2020-02-21,112.0,17.0,2.0,0.0,0.886,0.134,0.016,0.0,,25.0
Asia,JPN,Japan,2020,2,5,2020-02-22,137.0,25.0,2.0,0.0,1.083,0.198,0.016,0.0,1.11,25.0
Asia,JPN,Japan,2020,2,6,2020-02-23,149.0,12.0,2.0,0.0,1.178,0.095,0.016,0.0,1.04,25.0
Asia,JPN,Japan,2020,2,0,2020-02-24,160.0,11.0,2.0,0.0,1.265,0.087,0.016,0.0,1.02,25.0
Asia,JPN,Japan,2020,2,1,2020-02-25,173.0,13.0,3.0,1.0,1.368,0.103,0.024,0.008,1.05,34.26
Asia,JPN,Japan,2020,2,2,2020-02-26,192.0,19.0,3.0,0.0,1.518,0.15,0.024,0.0,1.11,34.26
Asia,JPN,Japan,2020,2,3,2020-02-27,218.0,26.0,4.0,1.0,1.724,0.206,0.032,0.008,1.15,34.26
Asia,JPN,Japan,2020,2,4,2020-02-28,236.0,18.0,5.0,1.0,1.866,0.142,0.04,0.008,1.12,34.26
Asia,JPN,Japan,2020,2,5,2020-02-29,245.0,9.0,6.0,1.0,1.937,0.071,0.047,0.008,1.11,34.26
Asia,JPN,Japan,2020,3,6,2020-03-01,259.0,14.0,6.0,0.0,2.048,0.111,0.047,0.0,1.17,34.26
Asia,JPN,Japan,2020,3,0,2020-03-02,278.0,19.0,6.0,0.0,2.198,0.15,0.047,0.0,1.28,43.52
Asia,JPN,Japan,2020,3,1,2020-03-03,298.0,20.0,6.0,0.0,2.356,0.158,0.047,0.0,1.39,43.52
Asia,JPN,Japan,2020,3,2,2020-03-04,333.0,35.0,7.0,1.0,2.633,0.277,0.055,0.008,1.52,43.52
Asia,JPN,Japan,2020,3,3,2020-03-05,365.0,32.0,7.0,0.0,2.886,0.253,0.055,0.0,1.59,43.52
Asia,JPN,Japan,2020,3,4,2020-03-06,420.0,55.0,7.0,0.0,3.321,0.435,0.055,0.0,1.65,43.52
Asia,JPN,Japan,2020,3,5,2020-03-07,466.0,46.0,7.0,0.0,3.684,0.364,0.055,0.0,1.58,43.52
Asia,JPN,Japan,2020,3,6,2020-03-08,499.0,33.0,8.0,1.0,3.945,0.261,0.063,0.008,1.49,43.52
Asia,JPN,Japan,2020,3,0,2020-03-09,527.0,28.0,10.0,2.0,4.167,0.221,0.079,0.016,1.45,40.74
Asia,JPN,Japan,2020,3,1,2020-03-10,585.0,58.0,13.0,3.0,4.625,0.459,0.103,0.024,1.48,40.74
Asia,JPN,Japan,2020,3,2,2020-03-11,640.0,55.0,15.0,2.0,5.06,0.435,0.119,0.016,1.44,40.74
Asia,JPN,Japan,2020,3,3,2020-03-12,696.0,56.0,19.0,4.0,5.503,0.443,0.15,0.032,1.37,40.74
Asia,JPN,Japan,2020,3,4,2020-03-13,733.0,37.0,21.0,2.0,5.796,0.293,0.166,0.016,1.27,40.74
Asia,JPN,Japan,2020,3,5,2020-03-14,795.0,62.0,22.0,1.0,6.286,0.49,0.174,0.008,1.23,40.74
Asia,JPN,Japan,2020,3,6,2020-03-15,826.0,31.0,24.0,2.0,6.531,0.245,0.19,0.016,1.13,40.74
Asia,JPN,Japan,2020,3,0,2020-03-16,843.0,17.0,30.0,6.0,6.665,0.134,0.237,0.047,1.08,40.74
Asia,JPN,Japan,2020,3,1,2020-03-17,893.0,50.0,30.0,0.0,7.061,0.395,0.237,0.0,1.12,40.74
Asia,JPN,Japan,2020,3,2,2020-03-18,928.0,35.0,32.0,2.0,7.337,0.277,0.253,0.016,1.13,40.74
Asia,JPN,Japan,2020,3,3,2020-03-19,968.0,40.0,33.0,1.0,7.654,0.316,0.261,0.008,1.17,40.74
Asia,JPN,Japan,2020,3,4,2020-03-20,1022.0,54.0,34.0,1.0,8.081,0.427,0.269,0.008,1.23,40.74
Asia,JPN,Japan,2020,3,5,2020-03-21,1059.0,37.0,36.0,2.0,8.373,0.293,0.285,0.016,1.26,40.74
