continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,KAZ,Kazakhstan,2020,3,4,2020-03-13,4.0,4.0,,,0.213,0.213,,,,22.22
Asia,KAZ,Kazakhstan,2020,3,5,2020-03-14,6.0,2.0,,,0.32,0.107,,,,22.22
Asia,KAZ,Kazakhstan,2020,3,6,2020-03-15,9.0,3.0,,,0.479,0.16,,,,22.22
Asia,KAZ,Kazakhstan,2020,3,0,2020-03-16,10.0,1.0,,,0.533,0.053,,,,47.22
Asia,KAZ,Kazakhstan,2020,3,1,2020-03-17,33.0,23.0,,,1.757,1.225,,,,47.22
Asia,KAZ,Kazakhstan,2020,3,2,2020-03-18,35.0,2.0,,,1.864,0.107,,,,55.56
Asia,KAZ,Kazakhstan,2020,3,3,2020-03-19,44.0,9.0,,,2.343,0.479,,,,80.09
Asia,KAZ,Kazakhstan,2020,3,4,2020-03-20,49.0,5.0,,,2.61,0.266,,,,80.09
Asia,KAZ,Kazakhstan,2020,3,5,2020-03-21,53.0,4.0,,,2.823,0.213,,,,80.09
Asia,KAZ,Kazakhstan,2020,3,6,2020-03-22,61.0,8.0,,,3.249,0.426,,,,80.09
Asia,KAZ,Kazakhstan,2020,3,0,2020-03-23,62.0,1.0,,,3.302,0.053,,,,80.09
Asia,KAZ,Kazakhstan,2020,3,1,2020-03-24,72.0,10.0,,,3.835,0.533,,,,80.09
Asia,KAZ,Kazakhstan,2020,3,2,2020-03-25,81.0,9.0,,,4.314,0.479,,,,80.09
Asia,KAZ,Kazakhstan,2020,3,3,2020-03-26,111.0,30.0,1.0,1.0,5.912,1.598,0.053,0.053,,80.09
Asia,KAZ,Kazakhstan,2020,3,4,2020-03-27,150.0,39.0,1.0,0.0,7.989,2.077,0.053,0.0,1.56,80.09
Asia,KAZ,Kazakhstan,2020,3,5,2020-03-28,228.0,78.0,1.0,0.0,12.143,4.154,0.053,0.0,1.56,80.09
Asia,KAZ,Kazakhstan,2020,3,6,2020-03-29,284.0,56.0,1.0,0.0,15.125,2.982,0.053,0.0,1.55,82.87
Asia,KAZ,Kazakhstan,2020,3,0,2020-03-30,302.0,18.0,1.0,0.0,16.084,0.959,0.053,0.0,1.53,92.13
Asia,KAZ,Kazakhstan,2020,3,1,2020-03-31,343.0,41.0,2.0,1.0,18.267,2.184,0.107,0.053,1.52,92.13
Asia,KAZ,Kazakhstan,2020,4,2,2020-04-01,380.0,37.0,3.0,1.0,20.238,1.971,0.16,0.053,1.51,92.13
Asia,KAZ,Kazakhstan,2020,4,3,2020-04-02,435.0,55.0,3.0,0.0,23.167,2.929,0.16,0.0,1.5,92.13
Asia,KAZ,Kazakhstan,2020,4,4,2020-04-03,464.0,29.0,6.0,3.0,24.711,1.544,0.32,0.16,1.48,92.13
Asia,KAZ,Kazakhstan,2020,4,5,2020-04-04,531.0,67.0,5.0,-1.0,28.28,3.568,0.266,-0.053,1.48,92.13
Asia,KAZ,Kazakhstan,2020,4,6,2020-04-05,584.0,53.0,6.0,1.0,31.102,2.823,0.32,0.053,1.47,92.13
Asia,KAZ,Kazakhstan,2020,4,0,2020-04-06,662.0,78.0,6.0,0.0,35.256,4.154,0.32,0.0,1.46,92.13
Asia,KAZ,Kazakhstan,2020,4,1,2020-04-07,697.0,35.0,6.0,0.0,37.12,1.864,0.32,0.0,1.45,92.13
Asia,KAZ,Kazakhstan,2020,4,2,2020-04-08,727.0,30.0,7.0,1.0,38.718,1.598,0.373,0.053,1.44,92.13
Asia,KAZ,Kazakhstan,2020,4,3,2020-04-09,781.0,54.0,8.0,1.0,41.594,2.876,0.426,0.053,1.44,92.13
Asia,KAZ,Kazakhstan,2020,4,4,2020-04-10,812.0,31.0,10.0,2.0,43.245,1.651,0.533,0.107,1.43,92.13
Asia,KAZ,Kazakhstan,2020,4,5,2020-04-11,865.0,53.0,10.0,0.0,46.068,2.823,0.533,0.0,1.43,92.13
Asia,KAZ,Kazakhstan,2020,4,6,2020-04-12,951.0,86.0,10.0,0.0,50.648,4.58,0.533,0.0,1.43,92.13
Asia,KAZ,Kazakhstan,2020,4,0,2020-04-13,1091.0,140.0,12.0,2.0,58.104,7.456,0.639,0.107,1.43,92.13
Asia,KAZ,Kazakhstan,2020,4,1,2020-04-14,1232.0,141.0,14.0,2.0,65.613,7.509,0.746,0.107,1.42,92.13
Asia,KAZ,Kazakhstan,2020,4,2,2020-04-15,1295.0,63.0,16.0,2.0,68.968,3.355,0.852,0.107,1.41,92.13
Asia,KAZ,Kazakhstan,2020,4,3,2020-04-16,1402.0,107.0,17.0,1.0,74.667,5.699,0.905,0.053,1.4,92.13
Asia,KAZ,Kazakhstan,2020,4,4,2020-04-17,1546.0,144.0,17.0,0.0,82.336,7.669,0.905,0.0,1.4,92.13
Asia,KAZ,Kazakhstan,2020,4,5,2020-04-18,1615.0,69.0,17.0,0.0,86.011,3.675,0.905,0.0,1.38,92.13
Asia,KAZ,Kazakhstan,2020,4,6,2020-04-19,1676.0,61.0,17.0,0.0,89.26,3.249,0.905,0.0,1.38,92.13
Asia,KAZ,Kazakhstan,2020,4,0,2020-04-20,1852.0,176.0,19.0,2.0,98.633,9.373,1.012,0.107,1.37,92.13
Asia,KAZ,Kazakhstan,2020,4,1,2020-04-21,1995.0,143.0,19.0,0.0,106.249,7.616,1.012,0.0,1.36,92.13
Asia,KAZ,Kazakhstan,2020,4,2,2020-04-22,2135.0,140.0,19.0,0.0,113.705,7.456,1.012,0.0,1.35,92.13
Asia,KAZ,Kazakhstan,2020,4,3,2020-04-23,2289.0,154.0,20.0,1.0,121.906,8.202,1.065,0.053,1.34,92.13
Asia,KAZ,Kazakhstan,2020,4,4,2020-04-24,2482.0,193.0,25.0,5.0,132.185,10.279,1.331,0.266,1.33,92.13
Asia,KAZ,Kazakhstan,2020,4,5,2020-04-25,2601.0,119.0,25.0,0.0,138.523,6.338,1.331,0.0,1.32,92.13
Asia,KAZ,Kazakhstan,2020,4,6,2020-04-26,2717.0,116.0,25.0,0.0,144.701,6.178,1.331,0.0,1.31,92.13
Asia,KAZ,Kazakhstan,2020,4,0,2020-04-27,2835.0,118.0,25.0,0.0,150.985,6.284,1.331,0.0,1.31,92.13
Asia,KAZ,Kazakhstan,2020,4,1,2020-04-28,3027.0,192.0,25.0,0.0,161.21,10.225,1.331,0.0,1.3,92.13
Asia,KAZ,Kazakhstan,2020,4,2,2020-04-29,3138.0,111.0,25.0,0.0,167.122,5.912,1.331,0.0,1.29,92.13
Asia,KAZ,Kazakhstan,2020,4,3,2020-04-30,3402.0,264.0,25.0,0.0,181.182,14.06,1.331,0.0,1.28,92.13
Asia,KAZ,Kazakhstan,2020,5,4,2020-05-01,3597.0,195.0,25.0,0.0,191.567,10.385,1.331,0.0,1.27,89.35
Asia,KAZ,Kazakhstan,2020,5,5,2020-05-02,3857.0,260.0,25.0,0.0,205.414,13.847,1.331,0.0,1.27,89.35
Asia,KAZ,Kazakhstan,2020,5,6,2020-05-03,3920.0,63.0,27.0,2.0,208.769,3.355,1.438,0.107,1.25,89.35
Asia,KAZ,Kazakhstan,2020,5,0,2020-05-04,4049.0,129.0,29.0,2.0,215.64,6.87,1.544,0.107,1.25,89.35
Asia,KAZ,Kazakhstan,2020,5,1,2020-05-05,4205.0,156.0,29.0,0.0,223.948,8.308,1.544,0.0,1.24,89.35
Asia,KAZ,Kazakhstan,2020,5,2,2020-05-06,4422.0,217.0,30.0,1.0,235.505,11.557,1.598,0.053,1.24,89.35
Asia,KAZ,Kazakhstan,2020,5,3,2020-05-07,4578.0,156.0,30.0,0.0,243.813,8.308,1.598,0.0,1.23,89.35
Asia,KAZ,Kazakhstan,2020,5,4,2020-05-08,4834.0,256.0,31.0,1.0,257.447,13.634,1.651,0.053,1.23,89.35
Asia,KAZ,Kazakhstan,2020,5,5,2020-05-09,4975.0,141.0,31.0,0.0,264.956,7.509,1.651,0.0,1.22,89.35
Asia,KAZ,Kazakhstan,2020,5,6,2020-05-10,5090.0,115.0,31.0,0.0,271.081,6.125,1.651,0.0,1.22,89.35
Asia,KAZ,Kazakhstan,2020,5,0,2020-05-11,5207.0,117.0,32.0,1.0,277.312,6.231,1.704,0.053,1.21,81.94
Asia,KAZ,Kazakhstan,2020,5,1,2020-05-12,5279.0,72.0,32.0,0.0,281.146,3.835,1.704,0.0,1.22,81.94
Asia,KAZ,Kazakhstan,2020,5,2,2020-05-13,5417.0,138.0,32.0,0.0,288.496,7.35,1.704,0.0,1.22,81.94
Asia,KAZ,Kazakhstan,2020,5,3,2020-05-14,5571.0,154.0,32.0,0.0,296.697,8.202,1.704,0.0,1.22,81.94
Asia,KAZ,Kazakhstan,2020,5,4,2020-05-15,5689.0,118.0,34.0,2.0,302.982,6.284,1.811,0.107,1.23,81.94
Asia,KAZ,Kazakhstan,2020,5,5,2020-05-16,5850.0,161.0,34.0,0.0,311.556,8.574,1.811,0.0,1.24,81.94
Asia,KAZ,Kazakhstan,2020,5,6,2020-05-17,6157.0,307.0,34.0,0.0,327.906,16.35,1.811,0.0,1.24,81.94
Asia,KAZ,Kazakhstan,2020,5,0,2020-05-18,6751.0,594.0,35.0,1.0,359.541,31.635,1.864,0.053,1.25,83.8
Asia,KAZ,Kazakhstan,2020,5,1,2020-05-19,6751.0,0.0,35.0,0.0,359.541,0.0,1.864,0.0,1.24,83.8
Asia,KAZ,Kazakhstan,2020,5,2,2020-05-20,6969.0,218.0,35.0,0.0,371.151,11.61,1.864,0.0,1.24,83.8
Asia,KAZ,Kazakhstan,2020,5,3,2020-05-21,7234.0,265.0,35.0,0.0,385.265,14.113,1.864,0.0,1.24,83.8
Asia,KAZ,Kazakhstan,2020,5,4,2020-05-22,7919.0,685.0,35.0,0.0,421.746,36.481,1.864,0.0,1.24,83.8
Asia,KAZ,Kazakhstan,2020,5,5,2020-05-23,7919.0,0.0,35.0,0.0,421.746,0.0,1.864,0.0,1.23,83.8
Asia,KAZ,Kazakhstan,2020,5,6,2020-05-24,8531.0,612.0,35.0,0.0,454.34,32.594,1.864,0.0,1.22,83.8
Asia,KAZ,Kazakhstan,2020,5,0,2020-05-25,8969.0,438.0,35.0,0.0,477.666,23.327,1.864,0.0,1.21,83.8
Asia,KAZ,Kazakhstan,2020,5,1,2020-05-26,8969.0,0.0,37.0,2.0,477.666,0.0,1.971,0.107,1.2,83.8
Asia,KAZ,Kazakhstan,2020,5,2,2020-05-27,9304.0,335.0,37.0,0.0,495.508,17.841,1.971,0.0,1.19,83.8
Asia,KAZ,Kazakhstan,2020,5,3,2020-05-28,9576.0,272.0,37.0,0.0,509.994,14.486,1.971,0.0,1.19,83.8
Asia,KAZ,Kazakhstan,2020,5,4,2020-05-29,9932.0,356.0,37.0,0.0,528.953,18.96,1.971,0.0,1.18,83.8
Asia,KAZ,Kazakhstan,2020,5,5,2020-05-30,10382.0,450.0,38.0,1.0,552.919,23.966,2.024,0.053,1.17,83.8
Asia,KAZ,Kazakhstan,2020,5,6,2020-05-31,10858.0,476.0,40.0,2.0,578.27,25.351,2.13,0.107,1.17,83.8
Asia,KAZ,Kazakhstan,2020,6,0,2020-06-01,11308.0,450.0,41.0,1.0,602.236,23.966,2.184,0.053,1.16,81.02
Asia,KAZ,Kazakhstan,2020,6,1,2020-06-02,11571.0,263.0,44.0,3.0,616.242,14.007,2.343,0.16,1.14,81.02
Asia,KAZ,Kazakhstan,2020,6,2,2020-06-03,12067.0,496.0,48.0,4.0,642.658,26.416,2.556,0.213,1.14,81.02
Asia,KAZ,Kazakhstan,2020,6,3,2020-06-04,12067.0,0.0,52.0,4.0,642.658,0.0,2.769,0.213,1.13,81.02
Asia,KAZ,Kazakhstan,2020,6,4,2020-06-05,12312.0,245.0,52.0,0.0,655.706,13.048,2.769,0.0,1.12,81.02
Asia,KAZ,Kazakhstan,2020,6,5,2020-06-06,12511.0,199.0,53.0,1.0,666.304,10.598,2.823,0.053,1.12,81.02
Asia,KAZ,Kazakhstan,2020,6,6,2020-06-07,12694.0,183.0,56.0,3.0,676.05,9.746,2.982,0.16,1.11,81.02
Asia,KAZ,Kazakhstan,2020,6,0,2020-06-08,12859.0,165.0,56.0,0.0,684.838,8.787,2.982,0.0,1.11,81.02
Asia,KAZ,Kazakhstan,2020,6,1,2020-06-09,13074.0,215.0,61.0,5.0,696.288,11.45,3.249,0.266,1.12,81.02
Asia,KAZ,Kazakhstan,2020,6,2,2020-06-10,13319.0,245.0,67.0,6.0,709.336,13.048,3.568,0.32,1.12,81.02
Asia,KAZ,Kazakhstan,2020,6,3,2020-06-11,13872.0,553.0,67.0,0.0,738.788,29.451,3.568,0.0,1.12,81.02
Asia,KAZ,Kazakhstan,2020,6,4,2020-06-12,13872.0,0.0,70.0,3.0,738.788,0.0,3.728,0.16,1.12,81.02
Asia,KAZ,Kazakhstan,2020,6,5,2020-06-13,14238.0,366.0,73.0,3.0,758.28,19.492,3.888,0.16,1.13,81.02
Asia,KAZ,Kazakhstan,2020,6,6,2020-06-14,14496.0,258.0,77.0,4.0,772.02,13.74,4.101,0.213,1.13,81.02
Asia,KAZ,Kazakhstan,2020,6,0,2020-06-15,15192.0,696.0,81.0,4.0,809.088,37.067,4.314,0.213,1.13,81.02
Asia,KAZ,Kazakhstan,2020,6,1,2020-06-16,15542.0,350.0,88.0,7.0,827.728,18.64,4.687,0.373,1.13,81.02
Asia,KAZ,Kazakhstan,2020,6,2,2020-06-17,15877.0,335.0,97.0,9.0,845.569,17.841,5.166,0.479,1.13,81.02
Asia,KAZ,Kazakhstan,2020,6,3,2020-06-18,15877.0,0.0,100.0,3.0,845.569,0.0,5.326,0.16,1.13,81.02
Asia,KAZ,Kazakhstan,2020,6,4,2020-06-19,16779.0,902.0,113.0,13.0,893.607,48.038,6.018,0.692,1.13,81.02
Asia,KAZ,Kazakhstan,2020,6,5,2020-06-20,17225.0,446.0,118.0,5.0,917.36,23.753,6.284,0.266,1.12,81.02
Asia,KAZ,Kazakhstan,2020,6,6,2020-06-21,17732.0,507.0,120.0,2.0,944.362,27.002,6.391,0.107,1.12,81.02
Asia,KAZ,Kazakhstan,2020,6,0,2020-06-22,18231.0,499.0,127.0,7.0,970.937,26.575,6.764,0.373,1.11,81.02
Asia,KAZ,Kazakhstan,2020,6,1,2020-06-23,18765.0,534.0,134.0,7.0,999.377,28.439,7.137,0.373,1.1,81.02
Asia,KAZ,Kazakhstan,2020,6,2,2020-06-24,19285.0,520.0,136.0,2.0,1027.07,27.694,7.243,0.107,1.09,81.02
Asia,KAZ,Kazakhstan,2020,6,3,2020-06-25,19750.0,465.0,140.0,4.0,1051.835,24.765,7.456,0.213,1.08,81.02
Asia,KAZ,Kazakhstan,2020,6,4,2020-06-26,20319.0,569.0,150.0,10.0,1082.139,30.304,7.989,0.533,1.07,81.02
Asia,KAZ,Kazakhstan,2020,6,5,2020-06-27,20319.0,0.0,166.0,16.0,1082.139,0.0,8.841,0.852,1.06,81.02
Asia,KAZ,Kazakhstan,2020,6,6,2020-06-28,21327.0,1008.0,178.0,12.0,1135.822,53.684,9.48,0.639,1.06,81.02
Asia,KAZ,Kazakhstan,2020,6,0,2020-06-29,21819.0,492.0,188.0,10.0,1162.025,26.203,10.012,0.533,1.05,81.02
Asia,KAZ,Kazakhstan,2020,6,1,2020-06-30,22308.0,489.0,188.0,0.0,1188.068,26.043,10.012,0.0,1.03,81.02
Asia,KAZ,Kazakhstan,2020,7,2,2020-07-01,41065.0,18757.0,188.0,0.0,2187.018,998.95,10.012,0.0,1.02,81.02
Asia,KAZ,Kazakhstan,2020,7,3,2020-07-02,42574.0,1509.0,188.0,0.0,2267.384,80.366,10.012,0.0,1.01,81.02
Asia,KAZ,Kazakhstan,2020,7,4,2020-07-03,45719.0,3145.0,188.0,0.0,2434.878,167.495,10.012,0.0,1.0,81.02
Asia,KAZ,Kazakhstan,2020,7,5,2020-07-04,47171.0,1452.0,188.0,0.0,2512.208,77.33,10.012,0.0,0.99,81.02
Asia,KAZ,Kazakhstan,2020,7,6,2020-07-05,48574.0,1403.0,188.0,0.0,2586.929,74.72,10.012,0.0,0.98,83.33
Asia,KAZ,Kazakhstan,2020,7,0,2020-07-06,49683.0,1109.0,264.0,76.0,2645.991,59.063,14.06,4.048,0.98,83.33
Asia,KAZ,Kazakhstan,2020,7,1,2020-07-07,51059.0,1376.0,264.0,0.0,2719.273,73.282,14.06,0.0,0.97,83.33
Asia,KAZ,Kazakhstan,2020,7,2,2020-07-08,51059.0,0.0,264.0,0.0,2719.273,0.0,14.06,0.0,0.97,83.33
Asia,KAZ,Kazakhstan,2020,7,3,2020-07-09,54747.0,3688.0,264.0,0.0,2915.687,196.414,14.06,0.0,0.98,83.33
Asia,KAZ,Kazakhstan,2020,7,4,2020-07-10,56455.0,1708.0,264.0,0.0,3006.651,90.964,14.06,0.0,0.97,83.33
Asia,KAZ,Kazakhstan,2020,7,5,2020-07-11,58253.0,1798.0,264.0,0.0,3102.408,95.757,14.06,0.0,0.97,83.33
Asia,KAZ,Kazakhstan,2020,7,6,2020-07-12,58253.0,0.0,375.0,111.0,3102.408,0.0,19.972,5.912,0.97,83.33
Asia,KAZ,Kazakhstan,2020,7,0,2020-07-13,61755.0,3502.0,375.0,0.0,3288.915,186.508,19.972,0.0,0.97,83.33
Asia,KAZ,Kazakhstan,2020,7,1,2020-07-14,63514.0,1759.0,375.0,0.0,3382.595,93.68,19.972,0.0,0.97,83.33
Asia,KAZ,Kazakhstan,2020,7,2,2020-07-15,65188.0,1674.0,375.0,0.0,3471.748,89.153,19.972,0.0,0.97,83.33
Asia,KAZ,Kazakhstan,2020,7,3,2020-07-16,66895.0,1707.0,375.0,0.0,3562.659,90.911,19.972,0.0,0.97,83.33
Asia,KAZ,Kazakhstan,2020,7,4,2020-07-17,68703.0,1808.0,375.0,0.0,3658.948,96.29,19.972,0.0,0.97,83.33
Asia,KAZ,Kazakhstan,2020,7,5,2020-07-18,68703.0,0.0,375.0,0.0,3658.948,0.0,19.972,0.0,0.97,83.33
Asia,KAZ,Kazakhstan,2020,7,6,2020-07-19,71838.0,3135.0,375.0,0.0,3825.91,166.962,19.972,0.0,0.97,83.33
Asia,KAZ,Kazakhstan,2020,7,0,2020-07-20,73468.0,1630.0,585.0,210.0,3912.72,86.81,31.156,11.184,0.97,83.33
Asia,KAZ,Kazakhstan,2020,7,1,2020-07-21,75153.0,1685.0,585.0,0.0,4002.459,89.739,31.156,0.0,0.97,83.33
Asia,KAZ,Kazakhstan,2020,7,2,2020-07-22,75153.0,0.0,585.0,0.0,4002.459,0.0,31.156,0.0,0.97,83.33
Asia,KAZ,Kazakhstan,2020,7,3,2020-07-23,78486.0,3333.0,585.0,0.0,4179.966,177.507,31.156,0.0,0.98,83.33
Asia,KAZ,Kazakhstan,2020,7,4,2020-07-24,80226.0,1740.0,585.0,0.0,4272.634,92.668,31.156,0.0,0.97,83.33
Asia,KAZ,Kazakhstan,2020,7,5,2020-07-25,81720.0,1494.0,585.0,0.0,4352.201,79.567,31.156,0.0,0.97,83.33
Asia,KAZ,Kazakhstan,2020,7,6,2020-07-26,83122.0,1402.0,585.0,0.0,4426.868,74.667,31.156,0.0,0.97,83.33
Asia,KAZ,Kazakhstan,2020,7,0,2020-07-27,84648.0,1526.0,585.0,0.0,4508.139,81.271,31.156,0.0,0.97,83.33
Asia,KAZ,Kazakhstan,2020,7,1,2020-07-28,86192.0,1544.0,793.0,208.0,4590.368,82.23,42.233,11.078,0.97,83.33
Asia,KAZ,Kazakhstan,2020,7,2,2020-07-29,87664.0,1472.0,793.0,0.0,4668.763,78.395,42.233,0.0,0.98,83.33
Asia,KAZ,Kazakhstan,2020,7,3,2020-07-30,89078.0,1414.0,793.0,0.0,4744.069,75.306,42.233,0.0,0.98,83.33
Asia,KAZ,Kazakhstan,2020,7,4,2020-07-31,90367.0,1289.0,793.0,0.0,4812.718,68.649,42.233,0.0,0.98,80.56
Asia,KAZ,Kazakhstan,2020,8,5,2020-08-01,90367.0,0.0,793.0,0.0,4812.718,0.0,42.233,0.0,0.98,80.56
Asia,KAZ,Kazakhstan,2020,8,6,2020-08-02,96774.0,6407.0,823.0,30.0,5153.939,341.221,43.831,1.598,0.99,80.56
Asia,KAZ,Kazakhstan,2020,8,0,2020-08-03,98641.0,1867.0,1109.0,286.0,5253.371,99.432,59.063,15.232,0.98,80.56
Asia,KAZ,Kazakhstan,2020,8,1,2020-08-04,100075.0,1434.0,1109.0,0.0,5329.742,76.371,59.063,0.0,0.97,80.56
Asia,KAZ,Kazakhstan,2020,8,2,2020-08-05,102936.0,2861.0,1109.0,0.0,5482.111,152.37,59.063,0.0,0.96,80.56
Asia,KAZ,Kazakhstan,2020,8,3,2020-08-06,105526.0,2590.0,1109.0,0.0,5620.048,137.937,59.063,0.0,0.95,80.56
