continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,KEN,Kenya,2020,3,4,2020-03-06,,,,,,,,,,13.89
Africa,KEN,Kenya,2020,3,5,2020-03-07,,,,,,,,,,13.89
Africa,KEN,Kenya,2020,3,6,2020-03-08,,,,,,,,,,13.89
Africa,KEN,Kenya,2020,3,0,2020-03-09,,,,,,,,,,13.89
Africa,KEN,Kenya,2020,3,1,2020-03-10,,,,,,,,,,13.89
Africa,KEN,Kenya,2020,3,2,2020-03-11,,,,,,,,,,13.89
Africa,KEN,Kenya,2020,3,3,2020-03-12,,,,,,,,,,13.89
Africa,KEN,Kenya,2020,3,4,2020-03-13,1.0,1.0,,,0.019,0.019,,,,36.11
Africa,KEN,Kenya,2020,3,5,2020-03-14,1.0,0.0,,,0.019,0.0,,,,36.11
Africa,KEN,Kenya,2020,3,6,2020-03-15,3.0,2.0,,,0.056,0.037,,,,50.93
Africa,KEN,Kenya,2020,3,0,2020-03-16,3.0,0.0,,,0.056,0.0,,,,50.93
Africa,KEN,Kenya,2020,3,1,2020-03-17,3.0,0.0,,,0.056,0.0,,,,59.26
Africa,KEN,Kenya,2020,3,2,2020-03-18,3.0,0.0,,,0.056,0.0,,,,59.26
Africa,KEN,Kenya,2020,3,3,2020-03-19,7.0,4.0,,,0.13,0.074,,,,59.26
Africa,KEN,Kenya,2020,3,4,2020-03-20,7.0,0.0,,,0.13,0.0,,,,64.81
Africa,KEN,Kenya,2020,3,5,2020-03-21,7.0,0.0,,,0.13,0.0,,,,64.81
Africa,KEN,Kenya,2020,3,6,2020-03-22,15.0,8.0,,,0.279,0.149,,,,64.81
Africa,KEN,Kenya,2020,3,0,2020-03-23,16.0,1.0,,,0.298,0.019,,,,64.81
Africa,KEN,Kenya,2020,3,1,2020-03-24,25.0,9.0,,,0.465,0.167,,,,68.52
Africa,KEN,Kenya,2020,3,2,2020-03-25,28.0,3.0,,,0.521,0.056,,,,68.52
Africa,KEN,Kenya,2020,3,3,2020-03-26,31.0,3.0,1.0,1.0,0.577,0.056,0.019,0.019,,68.52
Africa,KEN,Kenya,2020,3,4,2020-03-27,31.0,0.0,1.0,0.0,0.577,0.0,0.019,0.0,,87.04
Africa,KEN,Kenya,2020,3,5,2020-03-28,38.0,7.0,1.0,0.0,0.707,0.13,0.019,0.0,,87.04
Africa,KEN,Kenya,2020,3,6,2020-03-29,42.0,4.0,1.0,0.0,0.781,0.074,0.019,0.0,,87.04
Africa,KEN,Kenya,2020,3,0,2020-03-30,50.0,8.0,1.0,0.0,0.93,0.149,0.019,0.0,,87.04
Africa,KEN,Kenya,2020,3,1,2020-03-31,59.0,9.0,1.0,0.0,1.097,0.167,0.019,0.0,,87.04
Africa,KEN,Kenya,2020,4,2,2020-04-01,81.0,22.0,1.0,0.0,1.506,0.409,0.019,0.0,,87.04
Africa,KEN,Kenya,2020,4,3,2020-04-02,110.0,29.0,3.0,2.0,2.046,0.539,0.056,0.037,,87.04
Africa,KEN,Kenya,2020,4,4,2020-04-03,122.0,12.0,4.0,1.0,2.269,0.223,0.074,0.019,0.81,87.04
Africa,KEN,Kenya,2020,4,5,2020-04-04,126.0,4.0,4.0,0.0,2.343,0.074,0.074,0.0,0.81,87.04
Africa,KEN,Kenya,2020,4,6,2020-04-05,142.0,16.0,4.0,0.0,2.641,0.298,0.074,0.0,0.82,87.04
Africa,KEN,Kenya,2020,4,0,2020-04-06,158.0,16.0,6.0,2.0,2.938,0.298,0.112,0.037,0.83,88.89
Africa,KEN,Kenya,2020,4,1,2020-04-07,172.0,14.0,6.0,0.0,3.199,0.26,0.112,0.0,0.82,88.89
Africa,KEN,Kenya,2020,4,2,2020-04-08,179.0,7.0,6.0,0.0,3.329,0.13,0.112,0.0,0.81,88.89
Africa,KEN,Kenya,2020,4,3,2020-04-09,184.0,5.0,7.0,1.0,3.422,0.093,0.13,0.019,0.81,88.89
Africa,KEN,Kenya,2020,4,4,2020-04-10,189.0,5.0,7.0,0.0,3.515,0.093,0.13,0.0,0.82,88.89
Africa,KEN,Kenya,2020,4,5,2020-04-11,191.0,2.0,7.0,0.0,3.552,0.037,0.13,0.0,0.84,88.89
Africa,KEN,Kenya,2020,4,6,2020-04-12,197.0,6.0,8.0,1.0,3.664,0.112,0.149,0.019,0.87,88.89
Africa,KEN,Kenya,2020,4,0,2020-04-13,208.0,11.0,9.0,1.0,3.868,0.205,0.167,0.019,0.91,88.89
Africa,KEN,Kenya,2020,4,1,2020-04-14,216.0,8.0,9.0,0.0,4.017,0.149,0.167,0.0,0.94,88.89
Africa,KEN,Kenya,2020,4,2,2020-04-15,225.0,9.0,10.0,1.0,4.184,0.167,0.186,0.019,0.97,88.89
Africa,KEN,Kenya,2020,4,3,2020-04-16,234.0,9.0,11.0,1.0,4.352,0.167,0.205,0.019,1.0,88.89
Africa,KEN,Kenya,2020,4,4,2020-04-17,246.0,12.0,11.0,0.0,4.575,0.223,0.205,0.0,1.03,88.89
Africa,KEN,Kenya,2020,4,5,2020-04-18,262.0,16.0,12.0,1.0,4.872,0.298,0.223,0.019,1.05,88.89
Africa,KEN,Kenya,2020,4,6,2020-04-19,270.0,8.0,14.0,2.0,5.021,0.149,0.26,0.037,1.07,88.89
Africa,KEN,Kenya,2020,4,0,2020-04-20,281.0,11.0,14.0,0.0,5.226,0.205,0.26,0.0,1.08,88.89
Africa,KEN,Kenya,2020,4,1,2020-04-21,296.0,15.0,14.0,0.0,5.505,0.279,0.26,0.0,1.1,88.89
Africa,KEN,Kenya,2020,4,2,2020-04-22,303.0,7.0,14.0,0.0,5.635,0.13,0.26,0.0,1.11,88.89
Africa,KEN,Kenya,2020,4,3,2020-04-23,320.0,17.0,14.0,0.0,5.951,0.316,0.26,0.0,1.13,88.89
Africa,KEN,Kenya,2020,4,4,2020-04-24,336.0,16.0,14.0,0.0,6.249,0.298,0.26,0.0,1.14,88.89
Africa,KEN,Kenya,2020,4,5,2020-04-25,343.0,7.0,14.0,0.0,6.379,0.13,0.26,0.0,1.15,88.89
Africa,KEN,Kenya,2020,4,6,2020-04-26,355.0,12.0,14.0,0.0,6.602,0.223,0.26,0.0,1.16,88.89
Africa,KEN,Kenya,2020,4,0,2020-04-27,363.0,8.0,14.0,0.0,6.751,0.149,0.26,0.0,1.18,88.89
Africa,KEN,Kenya,2020,4,1,2020-04-28,374.0,11.0,14.0,0.0,6.955,0.205,0.26,0.0,1.21,88.89
Africa,KEN,Kenya,2020,4,2,2020-04-29,384.0,10.0,15.0,1.0,7.141,0.186,0.279,0.019,1.24,88.89
Africa,KEN,Kenya,2020,4,3,2020-04-30,396.0,12.0,17.0,2.0,7.365,0.223,0.316,0.037,1.28,88.89
Africa,KEN,Kenya,2020,5,4,2020-05-01,411.0,15.0,21.0,4.0,7.643,0.279,0.391,0.074,1.33,88.89
Africa,KEN,Kenya,2020,5,5,2020-05-02,435.0,24.0,22.0,1.0,8.09,0.446,0.409,0.019,1.37,88.89
Africa,KEN,Kenya,2020,5,6,2020-05-03,465.0,30.0,24.0,2.0,8.648,0.558,0.446,0.037,1.4,88.89
Africa,KEN,Kenya,2020,5,0,2020-05-04,490.0,25.0,24.0,0.0,9.113,0.465,0.446,0.0,1.41,88.89
Africa,KEN,Kenya,2020,5,1,2020-05-05,535.0,45.0,24.0,0.0,9.95,0.837,0.446,0.0,1.42,88.89
Africa,KEN,Kenya,2020,5,2,2020-05-06,582.0,47.0,26.0,2.0,10.824,0.874,0.484,0.037,1.4,88.89
Africa,KEN,Kenya,2020,5,3,2020-05-07,607.0,25.0,29.0,3.0,11.289,0.465,0.539,0.056,1.36,88.89
Africa,KEN,Kenya,2020,5,4,2020-05-08,621.0,14.0,29.0,0.0,11.549,0.26,0.539,0.0,1.33,88.89
Africa,KEN,Kenya,2020,5,5,2020-05-09,649.0,28.0,30.0,1.0,12.07,0.521,0.558,0.019,1.31,88.89
Africa,KEN,Kenya,2020,5,6,2020-05-10,672.0,23.0,32.0,2.0,12.497,0.428,0.595,0.037,1.3,88.89
Africa,KEN,Kenya,2020,5,0,2020-05-11,700.0,28.0,33.0,1.0,13.018,0.521,0.614,0.019,1.29,88.89
Africa,KEN,Kenya,2020,5,1,2020-05-12,715.0,15.0,36.0,3.0,13.297,0.279,0.67,0.056,1.29,88.89
Africa,KEN,Kenya,2020,5,2,2020-05-13,737.0,22.0,40.0,4.0,13.706,0.409,0.744,0.074,1.31,88.89
Africa,KEN,Kenya,2020,5,3,2020-05-14,758.0,21.0,42.0,2.0,14.097,0.391,0.781,0.037,1.33,88.89
Africa,KEN,Kenya,2020,5,4,2020-05-15,781.0,23.0,45.0,3.0,14.524,0.428,0.837,0.056,1.36,88.89
Africa,KEN,Kenya,2020,5,5,2020-05-16,830.0,49.0,50.0,5.0,15.436,0.911,0.93,0.093,1.39,88.89
Africa,KEN,Kenya,2020,5,6,2020-05-17,887.0,57.0,50.0,0.0,16.496,1.06,0.93,0.0,1.41,88.89
Africa,KEN,Kenya,2020,5,0,2020-05-18,912.0,25.0,50.0,0.0,16.961,0.465,0.93,0.0,1.42,88.89
Africa,KEN,Kenya,2020,5,1,2020-05-19,963.0,51.0,50.0,0.0,17.909,0.948,0.93,0.0,1.43,88.89
Africa,KEN,Kenya,2020,5,2,2020-05-20,1029.0,66.0,50.0,0.0,19.137,1.227,0.93,0.0,1.44,88.89
Africa,KEN,Kenya,2020,5,3,2020-05-21,1109.0,80.0,50.0,0.0,20.624,1.488,0.93,0.0,1.44,88.89
Africa,KEN,Kenya,2020,5,4,2020-05-22,1161.0,52.0,50.0,0.0,21.591,0.967,0.93,0.0,1.43,88.89
Africa,KEN,Kenya,2020,5,5,2020-05-23,1192.0,31.0,50.0,0.0,22.168,0.577,0.93,0.0,1.42,88.89
Africa,KEN,Kenya,2020,5,6,2020-05-24,1214.0,22.0,51.0,1.0,22.577,0.409,0.948,0.019,1.42,88.89
Africa,KEN,Kenya,2020,5,0,2020-05-25,1286.0,72.0,52.0,1.0,23.916,1.339,0.967,0.019,1.45,88.89
Africa,KEN,Kenya,2020,5,1,2020-05-26,1348.0,62.0,52.0,0.0,25.069,1.153,0.967,0.0,1.47,88.89
