continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,KGZ,Kyrgyzstan,2020,3,2,2020-03-18,3.0,3.0,,,0.46,0.46,,,,63.89
Asia,KGZ,Kyrgyzstan,2020,3,3,2020-03-19,3.0,0.0,,,0.46,0.0,,,,63.89
Asia,KGZ,Kyrgyzstan,2020,3,4,2020-03-20,6.0,3.0,,,0.92,0.46,,,,63.89
Asia,KGZ,Kyrgyzstan,2020,3,5,2020-03-21,14.0,8.0,,,2.146,1.226,,,,63.89
Asia,KGZ,Kyrgyzstan,2020,3,6,2020-03-22,14.0,0.0,,,2.146,0.0,,,,69.44
Asia,KGZ,Kyrgyzstan,2020,3,0,2020-03-23,16.0,2.0,,,2.452,0.307,,,,69.44
Asia,KGZ,Kyrgyzstan,2020,3,1,2020-03-24,42.0,26.0,,,6.438,3.985,,,,69.44
Asia,KGZ,Kyrgyzstan,2020,3,2,2020-03-25,44.0,2.0,,,6.744,0.307,,,,92.13
Asia,KGZ,Kyrgyzstan,2020,3,3,2020-03-26,44.0,0.0,,,6.744,0.0,,,,92.13
Asia,KGZ,Kyrgyzstan,2020,3,4,2020-03-27,58.0,14.0,,,8.89,2.146,,,,92.13
Asia,KGZ,Kyrgyzstan,2020,3,5,2020-03-28,58.0,0.0,,,8.89,0.0,,,,92.13
Asia,KGZ,Kyrgyzstan,2020,3,6,2020-03-29,84.0,26.0,,,12.875,3.985,,,,92.13
Asia,KGZ,Kyrgyzstan,2020,3,0,2020-03-30,94.0,10.0,,,14.408,1.533,,,,92.13
Asia,KGZ,Kyrgyzstan,2020,3,1,2020-03-31,107.0,13.0,,,16.401,1.993,,,,92.13
Asia,KGZ,Kyrgyzstan,2020,4,2,2020-04-01,111.0,4.0,,,17.014,0.613,,,1.2,92.13
Asia,KGZ,Kyrgyzstan,2020,4,3,2020-04-02,116.0,5.0,,,17.78,0.766,,,1.21,92.13
Asia,KGZ,Kyrgyzstan,2020,4,4,2020-04-03,130.0,14.0,1.0,1.0,19.926,2.146,0.153,0.153,1.22,92.13
Asia,KGZ,Kyrgyzstan,2020,4,5,2020-04-04,144.0,14.0,1.0,0.0,22.072,2.146,0.153,0.0,1.24,92.13
Asia,KGZ,Kyrgyzstan,2020,4,6,2020-04-05,147.0,3.0,1.0,0.0,22.532,0.46,0.153,0.0,1.25,92.13
Asia,KGZ,Kyrgyzstan,2020,4,0,2020-04-06,216.0,69.0,4.0,3.0,33.108,10.576,0.613,0.46,1.28,92.13
Asia,KGZ,Kyrgyzstan,2020,4,1,2020-04-07,228.0,12.0,4.0,0.0,34.947,1.839,0.613,0.0,1.26,92.13
Asia,KGZ,Kyrgyzstan,2020,4,2,2020-04-08,270.0,42.0,4.0,0.0,41.384,6.438,0.613,0.0,1.26,92.13
Asia,KGZ,Kyrgyzstan,2020,4,3,2020-04-09,280.0,10.0,4.0,0.0,42.917,1.533,0.613,0.0,1.24,92.13
Asia,KGZ,Kyrgyzstan,2020,4,4,2020-04-10,298.0,18.0,5.0,1.0,45.676,2.759,0.766,0.153,1.23,92.13
Asia,KGZ,Kyrgyzstan,2020,4,5,2020-04-11,339.0,41.0,5.0,0.0,51.96,6.284,0.766,0.0,1.22,92.13
Asia,KGZ,Kyrgyzstan,2020,4,6,2020-04-12,377.0,38.0,5.0,0.0,57.785,5.824,0.766,0.0,1.2,92.13
Asia,KGZ,Kyrgyzstan,2020,4,0,2020-04-13,419.0,42.0,5.0,0.0,64.223,6.438,0.766,0.0,1.18,92.13
Asia,KGZ,Kyrgyzstan,2020,4,1,2020-04-14,430.0,11.0,5.0,0.0,65.909,1.686,0.766,0.0,1.16,92.13
Asia,KGZ,Kyrgyzstan,2020,4,2,2020-04-15,449.0,19.0,5.0,0.0,68.821,2.912,0.766,0.0,1.14,92.13
Asia,KGZ,Kyrgyzstan,2020,4,3,2020-04-16,466.0,17.0,5.0,0.0,71.426,2.606,0.766,0.0,1.13,92.13
Asia,KGZ,Kyrgyzstan,2020,4,4,2020-04-17,489.0,23.0,5.0,0.0,74.952,3.525,0.766,0.0,1.12,92.13
Asia,KGZ,Kyrgyzstan,2020,4,5,2020-04-18,506.0,17.0,5.0,0.0,77.558,2.606,0.766,0.0,1.11,92.13
Asia,KGZ,Kyrgyzstan,2020,4,6,2020-04-19,554.0,48.0,5.0,0.0,84.915,7.357,0.766,0.0,1.11,92.13
Asia,KGZ,Kyrgyzstan,2020,4,0,2020-04-20,568.0,14.0,7.0,2.0,87.061,2.146,1.073,0.307,1.09,92.13
Asia,KGZ,Kyrgyzstan,2020,4,1,2020-04-21,590.0,22.0,7.0,0.0,90.433,3.372,1.073,0.0,1.08,92.13
