continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,KHM,Cambodia,2020,1,0,2020-01-27,1.0,1.0,,,0.06,0.06,,,,0.0
Asia,KHM,Cambodia,2020,1,1,2020-01-28,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,1,2,2020-01-29,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,1,3,2020-01-30,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,1,4,2020-01-31,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,2,5,2020-02-01,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,2,6,2020-02-02,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,2,0,2020-02-03,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,2,1,2020-02-04,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,2,2,2020-02-05,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,2,3,2020-02-06,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,2,4,2020-02-07,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,2,5,2020-02-08,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,2,6,2020-02-09,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,2,0,2020-02-10,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,2,1,2020-02-11,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,2,2,2020-02-12,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,2,3,2020-02-13,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,2,4,2020-02-14,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,2,5,2020-02-15,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,2,6,2020-02-16,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,2,0,2020-02-17,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,2,1,2020-02-18,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,2,2,2020-02-19,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,2,3,2020-02-20,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,2,4,2020-02-21,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,2,5,2020-02-22,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,2,6,2020-02-23,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,2,0,2020-02-24,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,2,1,2020-02-25,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,2,2,2020-02-26,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,2,3,2020-02-27,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,2,4,2020-02-28,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,2,5,2020-02-29,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,3,6,2020-03-01,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,3,0,2020-03-02,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,3,1,2020-03-03,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,3,2,2020-03-04,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,3,3,2020-03-05,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,3,4,2020-03-06,1.0,0.0,,,0.06,0.0,,,,0.0
Asia,KHM,Cambodia,2020,3,5,2020-03-07,1.0,0.0,,,0.06,0.0,,,,19.44
Asia,KHM,Cambodia,2020,3,6,2020-03-08,2.0,1.0,,,0.12,0.06,,,,19.44
Asia,KHM,Cambodia,2020,3,0,2020-03-09,2.0,0.0,,,0.12,0.0,,,,19.44
Asia,KHM,Cambodia,2020,3,1,2020-03-10,2.0,0.0,,,0.12,0.0,,,,19.44
Asia,KHM,Cambodia,2020,3,2,2020-03-11,3.0,1.0,,,0.179,0.06,,,,19.44
Asia,KHM,Cambodia,2020,3,3,2020-03-12,3.0,0.0,,,0.179,0.0,,,,19.44
Asia,KHM,Cambodia,2020,3,4,2020-03-13,5.0,2.0,,,0.299,0.12,,,,27.78
Asia,KHM,Cambodia,2020,3,5,2020-03-14,7.0,2.0,,,0.419,0.12,,,,27.78
Asia,KHM,Cambodia,2020,3,6,2020-03-15,7.0,0.0,,,0.419,0.0,,,,27.78
Asia,KHM,Cambodia,2020,3,0,2020-03-16,7.0,0.0,,,0.419,0.0,,,,27.78
Asia,KHM,Cambodia,2020,3,1,2020-03-17,33.0,26.0,,,1.974,1.555,,,,46.3
Asia,KHM,Cambodia,2020,3,2,2020-03-18,35.0,2.0,,,2.093,0.12,,,,46.3
Asia,KHM,Cambodia,2020,3,3,2020-03-19,37.0,2.0,,,2.213,0.12,,,,46.3
Asia,KHM,Cambodia,2020,3,4,2020-03-20,51.0,14.0,,,3.05,0.837,,,,46.3
Asia,KHM,Cambodia,2020,3,5,2020-03-21,53.0,2.0,,,3.17,0.12,,,,46.3
Asia,KHM,Cambodia,2020,3,6,2020-03-22,84.0,31.0,,,5.024,1.854,,,,46.3
