continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
North America,KNA,Saint Kitts and Nevis,2020,3,2,2020-03-25,2.0,2.0,,,37.6,37.6,,,,
North America,KNA,Saint Kitts and Nevis,2020,3,3,2020-03-26,2.0,0.0,,,37.6,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,3,4,2020-03-27,2.0,0.0,,,37.6,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,3,5,2020-03-28,2.0,0.0,,,37.6,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,3,6,2020-03-29,2.0,0.0,,,37.6,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,3,0,2020-03-30,7.0,5.0,,,131.599,93.999,,,,
North America,KNA,Saint Kitts and Nevis,2020,3,1,2020-03-31,8.0,1.0,,,150.399,18.8,,,,
North America,KNA,Saint Kitts and Nevis,2020,4,2,2020-04-01,8.0,0.0,,,150.399,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,4,3,2020-04-02,9.0,1.0,,,169.198,18.8,,,,
North America,KNA,Saint Kitts and Nevis,2020,4,4,2020-04-03,9.0,0.0,,,169.198,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,4,5,2020-04-04,9.0,0.0,,,169.198,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,4,6,2020-04-05,10.0,1.0,,,187.998,18.8,,,,
North America,KNA,Saint Kitts and Nevis,2020,4,0,2020-04-06,10.0,0.0,,,187.998,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,4,1,2020-04-07,11.0,1.0,,,206.798,18.8,,,,
North America,KNA,Saint Kitts and Nevis,2020,4,2,2020-04-08,11.0,0.0,,,206.798,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,4,3,2020-04-09,11.0,0.0,,,206.798,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,4,4,2020-04-10,12.0,1.0,,,225.598,18.8,,,,
North America,KNA,Saint Kitts and Nevis,2020,4,5,2020-04-11,12.0,0.0,,,225.598,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,4,6,2020-04-12,12.0,0.0,,,225.598,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,4,0,2020-04-13,12.0,0.0,,,225.598,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,4,1,2020-04-14,14.0,2.0,,,263.197,37.6,,,,
North America,KNA,Saint Kitts and Nevis,2020,4,2,2020-04-15,14.0,0.0,,,263.197,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,4,3,2020-04-16,14.0,0.0,,,263.197,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,4,4,2020-04-17,14.0,0.0,,,263.197,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,4,5,2020-04-18,14.0,0.0,,,263.197,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,4,6,2020-04-19,14.0,0.0,,,263.197,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,4,0,2020-04-20,15.0,1.0,,,281.997,18.8,,,,
North America,KNA,Saint Kitts and Nevis,2020,4,1,2020-04-21,15.0,0.0,,,281.997,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,4,2,2020-04-22,15.0,0.0,,,281.997,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,4,3,2020-04-23,15.0,0.0,,,281.997,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,4,4,2020-04-24,15.0,0.0,,,281.997,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,4,5,2020-04-25,15.0,0.0,,,281.997,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,4,6,2020-04-26,15.0,0.0,,,281.997,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,4,0,2020-04-27,15.0,0.0,,,281.997,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,4,1,2020-04-28,15.0,0.0,,,281.997,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,4,2,2020-04-29,15.0,0.0,,,281.997,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,4,3,2020-04-30,15.0,0.0,,,281.997,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,5,4,2020-05-01,15.0,0.0,,,281.997,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,5,5,2020-05-02,15.0,0.0,,,281.997,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,5,6,2020-05-03,15.0,0.0,,,281.997,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,5,0,2020-05-04,15.0,0.0,,,281.997,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,5,1,2020-05-05,15.0,0.0,,,281.997,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,5,2,2020-05-06,15.0,0.0,,,281.997,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,5,3,2020-05-07,15.0,0.0,,,281.997,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,5,4,2020-05-08,15.0,0.0,,,281.997,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,5,5,2020-05-09,15.0,0.0,,,281.997,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,5,6,2020-05-10,15.0,0.0,,,281.997,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,5,0,2020-05-11,15.0,0.0,,,281.997,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,5,1,2020-05-12,15.0,0.0,,,281.997,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,5,2,2020-05-13,15.0,0.0,,,281.997,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,5,3,2020-05-14,15.0,0.0,,,281.997,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,5,4,2020-05-15,15.0,0.0,,,281.997,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,5,5,2020-05-16,15.0,0.0,,,281.997,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,5,6,2020-05-17,15.0,0.0,,,281.997,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,5,0,2020-05-18,15.0,0.0,,,281.997,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,5,1,2020-05-19,15.0,0.0,,,281.997,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,5,2,2020-05-20,15.0,0.0,,,281.997,0.0,,,,
North America,KNA,Saint Kitts and Nevis,2020,5,3,2020-05-21,15.0,0.0,,,281.997,0.0,,,,
