continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,KOR,South Korea,2020,1,1,2020-01-21,,,,,,,,,,0.0
Asia,KOR,South Korea,2020,1,2,2020-01-22,1.0,,,,0.02,,,,,0.0
Asia,KOR,South Korea,2020,1,3,2020-01-23,1.0,0.0,,,0.02,0.0,,,,0.0
Asia,KOR,South Korea,2020,1,4,2020-01-24,2.0,1.0,,,0.039,0.02,,,,0.0
Asia,KOR,South Korea,2020,1,5,2020-01-25,2.0,0.0,,,0.039,0.0,,,,0.0
Asia,KOR,South Korea,2020,1,6,2020-01-26,3.0,1.0,,,0.059,0.02,,,,0.0
Asia,KOR,South Korea,2020,1,0,2020-01-27,4.0,1.0,,,0.078,0.02,,,,0.0
Asia,KOR,South Korea,2020,1,1,2020-01-28,4.0,0.0,,,0.078,0.0,,,,0.0
Asia,KOR,South Korea,2020,1,2,2020-01-29,4.0,0.0,,,0.078,0.0,,,,0.0
Asia,KOR,South Korea,2020,1,3,2020-01-30,4.0,0.0,,,0.078,0.0,,,,0.0
Asia,KOR,South Korea,2020,1,4,2020-01-31,11.0,7.0,,,0.215,0.137,,,,2.78
Asia,KOR,South Korea,2020,2,5,2020-02-01,12.0,1.0,,,0.234,0.02,,,,13.89
Asia,KOR,South Korea,2020,2,6,2020-02-02,15.0,3.0,,,0.293,0.059,,,,13.89
Asia,KOR,South Korea,2020,2,0,2020-02-03,15.0,0.0,,,0.293,0.0,,,,23.15
Asia,KOR,South Korea,2020,2,1,2020-02-04,16.0,1.0,,,0.312,0.02,,,,31.48
Asia,KOR,South Korea,2020,2,2,2020-02-05,19.0,3.0,,,0.371,0.059,,,,31.48
Asia,KOR,South Korea,2020,2,3,2020-02-06,23.0,4.0,,,0.449,0.078,,,,31.48
Asia,KOR,South Korea,2020,2,4,2020-02-07,24.0,1.0,,,0.468,0.02,,,,31.48
Asia,KOR,South Korea,2020,2,5,2020-02-08,24.0,0.0,,,0.468,0.0,,,,31.48
Asia,KOR,South Korea,2020,2,6,2020-02-09,25.0,1.0,,,0.488,0.02,,,,31.48
Asia,KOR,South Korea,2020,2,0,2020-02-10,27.0,2.0,,,0.527,0.039,,,,31.48
Asia,KOR,South Korea,2020,2,1,2020-02-11,28.0,1.0,,,0.546,0.02,,,,31.48
Asia,KOR,South Korea,2020,2,2,2020-02-12,28.0,0.0,,,0.546,0.0,,,,31.48
Asia,KOR,South Korea,2020,2,3,2020-02-13,28.0,0.0,,,0.546,0.0,,,,31.48
Asia,KOR,South Korea,2020,2,4,2020-02-14,28.0,0.0,,,0.546,0.0,,,,31.48
Asia,KOR,South Korea,2020,2,5,2020-02-15,28.0,0.0,,,0.546,0.0,,,,31.48
Asia,KOR,South Korea,2020,2,6,2020-02-16,29.0,1.0,,,0.566,0.02,,,,31.48
Asia,KOR,South Korea,2020,2,0,2020-02-17,30.0,1.0,,,0.585,0.02,,,,31.48
Asia,KOR,South Korea,2020,2,1,2020-02-18,31.0,1.0,,,0.605,0.02,,,,31.48
Asia,KOR,South Korea,2020,2,2,2020-02-19,31.0,0.0,,,0.605,0.0,,,,31.48
Asia,KOR,South Korea,2020,2,3,2020-02-20,104.0,73.0,1.0,1.0,2.029,1.424,0.02,0.02,,31.48
Asia,KOR,South Korea,2020,2,4,2020-02-21,204.0,100.0,2.0,1.0,3.979,1.95,0.039,0.02,6.7,45.37
Asia,KOR,South Korea,2020,2,5,2020-02-22,433.0,229.0,2.0,0.0,8.446,4.467,0.039,0.0,6.74,45.37
Asia,KOR,South Korea,2020,2,6,2020-02-23,602.0,169.0,6.0,4.0,11.742,3.296,0.117,0.078,4.14,50.0
Asia,KOR,South Korea,2020,2,0,2020-02-24,833.0,231.0,8.0,2.0,16.248,4.506,0.156,0.039,3.25,55.56
Asia,KOR,South Korea,2020,2,1,2020-02-25,977.0,144.0,10.0,2.0,19.056,2.809,0.195,0.039,2.4,55.56
Asia,KOR,South Korea,2020,2,2,2020-02-26,1261.0,284.0,12.0,2.0,24.596,5.539,0.234,0.039,2.86,55.56
