continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,KWT,Kuwait,2020,2,0,2020-02-24,1.0,1.0,,,0.234,0.234,,,,13.89
Asia,KWT,Kuwait,2020,2,1,2020-02-25,11.0,10.0,,,2.576,2.342,,,,13.89
Asia,KWT,Kuwait,2020,2,2,2020-02-26,26.0,15.0,,,6.088,3.512,,,,13.89
Asia,KWT,Kuwait,2020,2,3,2020-02-27,43.0,17.0,,,10.069,3.981,,,,13.89
Asia,KWT,Kuwait,2020,2,4,2020-02-28,45.0,2.0,,,10.537,0.468,,,,13.89
Asia,KWT,Kuwait,2020,2,5,2020-02-29,45.0,0.0,,,10.537,0.0,,,,13.89
Asia,KWT,Kuwait,2020,3,6,2020-03-01,45.0,0.0,,,10.537,0.0,,,,27.78
Asia,KWT,Kuwait,2020,3,0,2020-03-02,56.0,11.0,,,13.113,2.576,,,,27.78
Asia,KWT,Kuwait,2020,3,1,2020-03-03,56.0,0.0,,,13.113,0.0,,,,27.78
Asia,KWT,Kuwait,2020,3,2,2020-03-04,56.0,0.0,,,13.113,0.0,,,,27.78
Asia,KWT,Kuwait,2020,3,3,2020-03-05,58.0,2.0,,,13.581,0.468,,,,27.78
Asia,KWT,Kuwait,2020,3,4,2020-03-06,58.0,0.0,,,13.581,0.0,,,,27.78
Asia,KWT,Kuwait,2020,3,5,2020-03-07,61.0,3.0,,,14.284,0.702,,,,36.11
Asia,KWT,Kuwait,2020,3,6,2020-03-08,64.0,3.0,,,14.986,0.702,,,,36.11
Asia,KWT,Kuwait,2020,3,0,2020-03-09,64.0,0.0,,,14.986,0.0,,,,36.11
Asia,KWT,Kuwait,2020,3,1,2020-03-10,69.0,5.0,,,16.157,1.171,,,,41.67
Asia,KWT,Kuwait,2020,3,2,2020-03-11,72.0,3.0,,,16.86,0.702,,,,60.19
Asia,KWT,Kuwait,2020,3,3,2020-03-12,80.0,8.0,,,18.733,1.873,,,,71.3
Asia,KWT,Kuwait,2020,3,4,2020-03-13,80.0,0.0,,,18.733,0.0,,,,74.07
Asia,KWT,Kuwait,2020,3,5,2020-03-14,104.0,24.0,,,24.353,5.62,,,,74.07
Asia,KWT,Kuwait,2020,3,6,2020-03-15,112.0,8.0,,,26.226,1.873,,,0.7,74.07
Asia,KWT,Kuwait,2020,3,0,2020-03-16,123.0,11.0,,,28.802,2.576,,,0.72,74.07
Asia,KWT,Kuwait,2020,3,1,2020-03-17,130.0,7.0,,,30.441,1.639,,,0.73,74.07
Asia,KWT,Kuwait,2020,3,2,2020-03-18,142.0,12.0,,,33.251,2.81,,,0.77,74.07
Asia,KWT,Kuwait,2020,3,3,2020-03-19,148.0,6.0,,,34.656,1.405,,,0.79,74.07
Asia,KWT,Kuwait,2020,3,4,2020-03-20,159.0,11.0,,,37.232,2.576,,,0.85,74.07
Asia,KWT,Kuwait,2020,3,5,2020-03-21,176.0,17.0,,,41.212,3.981,,,0.9,74.07
Asia,KWT,Kuwait,2020,3,6,2020-03-22,188.0,12.0,,,44.022,2.81,,,0.85,81.48
Asia,KWT,Kuwait,2020,3,0,2020-03-23,189.0,1.0,,,44.256,0.234,,,0.77,81.48
Asia,KWT,Kuwait,2020,3,1,2020-03-24,191.0,2.0,,,44.725,0.468,,,0.81,81.48
Asia,KWT,Kuwait,2020,3,2,2020-03-25,195.0,4.0,,,45.661,0.937,,,0.95,81.48
Asia,KWT,Kuwait,2020,3,3,2020-03-26,208.0,13.0,,,48.706,3.044,,,1.17,81.48
Asia,KWT,Kuwait,2020,3,4,2020-03-27,225.0,17.0,,,52.686,3.981,,,1.33,81.48
Asia,KWT,Kuwait,2020,3,5,2020-03-28,235.0,10.0,,,55.028,2.342,,,1.41,81.48
Asia,KWT,Kuwait,2020,3,6,2020-03-29,255.0,20.0,,,59.711,4.683,,,1.56,81.48
Asia,KWT,Kuwait,2020,3,0,2020-03-30,266.0,11.0,,,62.287,2.576,,,1.65,81.48
Asia,KWT,Kuwait,2020,3,1,2020-03-31,289.0,23.0,,,67.673,5.386,,,1.85,81.48
Asia,KWT,Kuwait,2020,4,2,2020-04-01,317.0,28.0,,,74.229,6.557,,,2.03,81.48
