continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,LBN,Lebanon,2020,2,4,2020-02-21,1.0,1.0,,,0.147,0.147,,,,8.33
Asia,LBN,Lebanon,2020,2,5,2020-02-22,1.0,0.0,,,0.147,0.0,,,,8.33
Asia,LBN,Lebanon,2020,2,6,2020-02-23,1.0,0.0,,,0.147,0.0,,,,8.33
Asia,LBN,Lebanon,2020,2,0,2020-02-24,1.0,0.0,,,0.147,0.0,,,,8.33
Asia,LBN,Lebanon,2020,2,1,2020-02-25,1.0,0.0,,,0.147,0.0,,,,8.33
Asia,LBN,Lebanon,2020,2,2,2020-02-26,2.0,1.0,,,0.293,0.147,,,,8.33
Asia,LBN,Lebanon,2020,2,3,2020-02-27,2.0,0.0,,,0.293,0.0,,,,8.33
Asia,LBN,Lebanon,2020,2,4,2020-02-28,2.0,0.0,,,0.293,0.0,,,,13.89
Asia,LBN,Lebanon,2020,2,5,2020-02-29,4.0,2.0,,,0.586,0.293,,,,25.0
Asia,LBN,Lebanon,2020,3,6,2020-03-01,10.0,6.0,,,1.465,0.879,,,,25.0
Asia,LBN,Lebanon,2020,3,0,2020-03-02,13.0,3.0,,,1.905,0.44,,,,25.0
Asia,LBN,Lebanon,2020,3,1,2020-03-03,13.0,0.0,,,1.905,0.0,,,,25.0
Asia,LBN,Lebanon,2020,3,2,2020-03-04,13.0,0.0,,,1.905,0.0,,,,25.0
Asia,LBN,Lebanon,2020,3,3,2020-03-05,16.0,3.0,,,2.344,0.44,,,,25.0
Asia,LBN,Lebanon,2020,3,4,2020-03-06,22.0,6.0,,,3.223,0.879,,,,37.96
Asia,LBN,Lebanon,2020,3,5,2020-03-07,22.0,0.0,,,3.223,0.0,,,,37.96
Asia,LBN,Lebanon,2020,3,6,2020-03-08,32.0,10.0,,,4.688,1.465,,,,37.96
Asia,LBN,Lebanon,2020,3,0,2020-03-09,32.0,0.0,,,4.688,0.0,,,,37.96
Asia,LBN,Lebanon,2020,3,1,2020-03-10,41.0,9.0,1.0,1.0,6.007,1.319,0.147,0.147,,37.96
Asia,LBN,Lebanon,2020,3,2,2020-03-11,61.0,20.0,3.0,2.0,8.937,2.93,0.44,0.293,,37.96
Asia,LBN,Lebanon,2020,3,3,2020-03-12,61.0,0.0,3.0,0.0,8.937,0.0,0.44,0.0,,37.96
Asia,LBN,Lebanon,2020,3,4,2020-03-13,77.0,16.0,3.0,0.0,11.281,2.344,0.44,0.0,,37.96
Asia,LBN,Lebanon,2020,3,5,2020-03-14,93.0,16.0,3.0,0.0,13.625,2.344,0.44,0.0,,37.96
Asia,LBN,Lebanon,2020,3,6,2020-03-15,110.0,17.0,3.0,0.0,16.116,2.491,0.44,0.0,,37.96
Asia,LBN,Lebanon,2020,3,0,2020-03-16,110.0,0.0,3.0,0.0,16.116,0.0,0.44,0.0,1.08,52.78
Asia,LBN,Lebanon,2020,3,1,2020-03-17,120.0,10.0,3.0,0.0,17.581,1.465,0.44,0.0,1.08,52.78
Asia,LBN,Lebanon,2020,3,2,2020-03-18,133.0,13.0,3.0,0.0,19.486,1.905,0.44,0.0,1.09,85.19
