continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,LBR,Liberia,2020,3,0,2020-03-16,1.0,1.0,,,0.198,0.198,,,,13.89
Africa,LBR,Liberia,2020,3,1,2020-03-17,1.0,0.0,,,0.198,0.0,,,,30.56
Africa,LBR,Liberia,2020,3,2,2020-03-18,2.0,1.0,,,0.395,0.198,,,,30.56
Africa,LBR,Liberia,2020,3,3,2020-03-19,2.0,0.0,,,0.395,0.0,,,,30.56
Africa,LBR,Liberia,2020,3,4,2020-03-20,2.0,0.0,,,0.395,0.0,,,,30.56
Africa,LBR,Liberia,2020,3,5,2020-03-21,3.0,1.0,,,0.593,0.198,,,,44.44
Africa,LBR,Liberia,2020,3,6,2020-03-22,3.0,0.0,,,0.593,0.0,,,,74.07
Africa,LBR,Liberia,2020,3,0,2020-03-23,3.0,0.0,,,0.593,0.0,,,,74.07
Africa,LBR,Liberia,2020,3,1,2020-03-24,3.0,0.0,,,0.593,0.0,,,,79.63
Africa,LBR,Liberia,2020,3,2,2020-03-25,3.0,0.0,,,0.593,0.0,,,,79.63
Africa,LBR,Liberia,2020,3,3,2020-03-26,3.0,0.0,,,0.593,0.0,,,,79.63
Africa,LBR,Liberia,2020,3,4,2020-03-27,3.0,0.0,,,0.593,0.0,,,,79.63
Africa,LBR,Liberia,2020,3,5,2020-03-28,3.0,0.0,,,0.593,0.0,,,,79.63
Africa,LBR,Liberia,2020,3,6,2020-03-29,3.0,0.0,,,0.593,0.0,,,,79.63
Africa,LBR,Liberia,2020,3,0,2020-03-30,3.0,0.0,,,0.593,0.0,,,,79.63
Africa,LBR,Liberia,2020,3,1,2020-03-31,3.0,0.0,,,0.593,0.0,,,,79.63
Africa,LBR,Liberia,2020,4,2,2020-04-01,6.0,3.0,,,1.186,0.593,,,,79.63
Africa,LBR,Liberia,2020,4,3,2020-04-02,6.0,0.0,,,1.186,0.0,,,,79.63
Africa,LBR,Liberia,2020,4,4,2020-04-03,7.0,1.0,,,1.384,0.198,,,,79.63
Africa,LBR,Liberia,2020,4,5,2020-04-04,10.0,3.0,1.0,1.0,1.977,0.593,0.198,0.198,,79.63
Africa,LBR,Liberia,2020,4,6,2020-04-05,13.0,3.0,3.0,2.0,2.57,0.593,0.593,0.395,,79.63
Africa,LBR,Liberia,2020,4,0,2020-04-06,14.0,1.0,3.0,0.0,2.768,0.198,0.593,0.0,,79.63
Africa,LBR,Liberia,2020,4,1,2020-04-07,14.0,0.0,3.0,0.0,2.768,0.0,0.593,0.0,,79.63
Africa,LBR,Liberia,2020,4,2,2020-04-08,31.0,17.0,4.0,1.0,6.129,3.361,0.791,0.198,,81.48
Africa,LBR,Liberia,2020,4,3,2020-04-09,31.0,0.0,4.0,0.0,6.129,0.0,0.791,0.0,,81.48
Africa,LBR,Liberia,2020,4,4,2020-04-10,37.0,6.0,5.0,1.0,7.316,1.186,0.989,0.198,,84.26
Africa,LBR,Liberia,2020,4,5,2020-04-11,48.0,11.0,5.0,0.0,9.491,2.175,0.989,0.0,,84.26
Africa,LBR,Liberia,2020,4,6,2020-04-12,50.0,2.0,5.0,0.0,9.886,0.395,0.989,0.0,,87.96
Africa,LBR,Liberia,2020,4,0,2020-04-13,59.0,9.0,6.0,1.0,11.665,1.779,1.186,0.198,,87.96
Africa,LBR,Liberia,2020,4,1,2020-04-14,59.0,0.0,6.0,0.0,11.665,0.0,1.186,0.0,,87.96
Africa,LBR,Liberia,2020,4,2,2020-04-15,59.0,0.0,6.0,0.0,11.665,0.0,1.186,0.0,,87.96
Africa,LBR,Liberia,2020,4,3,2020-04-16,59.0,0.0,6.0,0.0,11.665,0.0,1.186,0.0,,87.96
Africa,LBR,Liberia,2020,4,4,2020-04-17,76.0,17.0,7.0,1.0,15.027,3.361,1.384,0.198,,87.96
Africa,LBR,Liberia,2020,4,5,2020-04-18,76.0,0.0,7.0,0.0,15.027,0.0,1.384,0.0,,87.96
Africa,LBR,Liberia,2020,4,6,2020-04-19,91.0,15.0,8.0,1.0,17.992,2.966,1.582,0.198,,87.96
Africa,LBR,Liberia,2020,4,0,2020-04-20,99.0,8.0,8.0,0.0,19.574,1.582,1.582,0.0,,87.96
Africa,LBR,Liberia,2020,4,1,2020-04-21,101.0,2.0,8.0,0.0,19.97,0.395,1.582,0.0,,87.96
Africa,LBR,Liberia,2020,4,2,2020-04-22,101.0,0.0,8.0,0.0,19.97,0.0,1.582,0.0,0.77,87.96
Africa,LBR,Liberia,2020,4,3,2020-04-23,101.0,0.0,8.0,0.0,19.97,0.0,1.582,0.0,0.77,87.96
Africa,LBR,Liberia,2020,4,4,2020-04-24,117.0,16.0,8.0,0.0,23.133,3.164,1.582,0.0,0.78,87.96
Africa,LBR,Liberia,2020,4,5,2020-04-25,120.0,3.0,11.0,3.0,23.726,0.593,2.175,0.593,0.78,87.96
Africa,LBR,Liberia,2020,4,6,2020-04-26,124.0,4.0,12.0,1.0,24.517,0.791,2.373,0.198,0.79,87.96
Africa,LBR,Liberia,2020,4,0,2020-04-27,124.0,0.0,12.0,0.0,24.517,0.0,2.373,0.0,0.79,87.96
Africa,LBR,Liberia,2020,4,1,2020-04-28,141.0,17.0,16.0,4.0,27.878,3.361,3.164,0.791,0.8,87.96
Africa,LBR,Liberia,2020,4,2,2020-04-29,141.0,0.0,16.0,0.0,27.878,0.0,3.164,0.0,0.81,87.96
Africa,LBR,Liberia,2020,4,3,2020-04-30,141.0,0.0,16.0,0.0,27.878,0.0,3.164,0.0,0.82,87.96
Africa,LBR,Liberia,2020,5,4,2020-05-01,152.0,11.0,18.0,2.0,30.053,2.175,3.559,0.395,0.83,87.96
Africa,LBR,Liberia,2020,5,5,2020-05-02,154.0,2.0,18.0,0.0,30.449,0.395,3.559,0.0,0.83,87.96
Africa,LBR,Liberia,2020,5,6,2020-05-03,158.0,4.0,18.0,0.0,31.24,0.791,3.559,0.0,0.84,87.96
Africa,LBR,Liberia,2020,5,0,2020-05-04,166.0,8.0,18.0,0.0,32.821,1.582,3.559,0.0,0.86,87.96
Africa,LBR,Liberia,2020,5,1,2020-05-05,170.0,4.0,20.0,2.0,33.612,0.791,3.954,0.395,0.86,87.96
Africa,LBR,Liberia,2020,5,2,2020-05-06,178.0,8.0,20.0,0.0,35.194,1.582,3.954,0.0,0.88,87.96
Africa,LBR,Liberia,2020,5,3,2020-05-07,189.0,11.0,20.0,0.0,37.369,2.175,3.954,0.0,0.88,87.96
Africa,LBR,Liberia,2020,5,4,2020-05-08,199.0,10.0,20.0,0.0,39.346,1.977,3.954,0.0,0.89,87.96
Africa,LBR,Liberia,2020,5,5,2020-05-09,199.0,0.0,20.0,0.0,39.346,0.0,3.954,0.0,0.89,87.96
Africa,LBR,Liberia,2020,5,6,2020-05-10,199.0,0.0,20.0,0.0,39.346,0.0,3.954,0.0,0.89,87.96
Africa,LBR,Liberia,2020,5,0,2020-05-11,211.0,12.0,20.0,0.0,41.719,2.373,3.954,0.0,0.9,87.96
Africa,LBR,Liberia,2020,5,1,2020-05-12,211.0,0.0,20.0,0.0,41.719,0.0,3.954,0.0,0.91,87.96
Africa,LBR,Liberia,2020,5,2,2020-05-13,213.0,2.0,20.0,0.0,42.114,0.395,3.954,0.0,0.91,87.96
Africa,LBR,Liberia,2020,5,3,2020-05-14,215.0,2.0,20.0,0.0,42.51,0.395,3.954,0.0,0.92,87.96
Africa,LBR,Liberia,2020,5,4,2020-05-15,219.0,4.0,20.0,0.0,43.301,0.791,3.954,0.0,0.94,87.96
Africa,LBR,Liberia,2020,5,5,2020-05-16,223.0,4.0,20.0,0.0,44.091,0.791,3.954,0.0,0.95,87.96
Africa,LBR,Liberia,2020,5,6,2020-05-17,226.0,3.0,21.0,1.0,44.685,0.593,4.152,0.198,0.96,87.96
