continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,LIE,Liechtenstein,2020,3,2,2020-03-04,1.0,1.0,,,26.221,26.221,,,,
Europe,LIE,Liechtenstein,2020,3,3,2020-03-05,1.0,0.0,,,26.221,0.0,,,,
Europe,LIE,Liechtenstein,2020,3,4,2020-03-06,1.0,0.0,,,26.221,0.0,,,,
Europe,LIE,Liechtenstein,2020,3,5,2020-03-07,1.0,0.0,,,26.221,0.0,,,,
Europe,LIE,Liechtenstein,2020,3,6,2020-03-08,1.0,0.0,,,26.221,0.0,,,,
Europe,LIE,Liechtenstein,2020,3,0,2020-03-09,1.0,0.0,,,26.221,0.0,,,,
Europe,LIE,Liechtenstein,2020,3,1,2020-03-10,1.0,0.0,,,26.221,0.0,,,,
Europe,LIE,Liechtenstein,2020,3,2,2020-03-11,1.0,0.0,,,26.221,0.0,,,,
Europe,LIE,Liechtenstein,2020,3,3,2020-03-12,1.0,0.0,,,26.221,0.0,,,,
Europe,LIE,Liechtenstein,2020,3,4,2020-03-13,1.0,0.0,,,26.221,0.0,,,,
Europe,LIE,Liechtenstein,2020,3,5,2020-03-14,4.0,3.0,,,104.885,78.664,,,,
Europe,LIE,Liechtenstein,2020,3,6,2020-03-15,4.0,0.0,,,104.885,0.0,,,,
Europe,LIE,Liechtenstein,2020,3,0,2020-03-16,4.0,0.0,,,104.885,0.0,,,,
Europe,LIE,Liechtenstein,2020,3,1,2020-03-17,7.0,3.0,,,183.549,78.664,,,,
Europe,LIE,Liechtenstein,2020,3,2,2020-03-18,28.0,21.0,,,734.195,550.646,,,,
Europe,LIE,Liechtenstein,2020,3,3,2020-03-19,28.0,0.0,,,734.195,0.0,,,,
Europe,LIE,Liechtenstein,2020,3,4,2020-03-20,28.0,0.0,,,734.195,0.0,,,,
Europe,LIE,Liechtenstein,2020,3,5,2020-03-21,37.0,9.0,,,970.186,235.991,,,,
Europe,LIE,Liechtenstein,2020,3,6,2020-03-22,37.0,0.0,,,970.186,0.0,,,,
Europe,LIE,Liechtenstein,2020,3,0,2020-03-23,51.0,14.0,,,1337.284,367.098,,,,
Europe,LIE,Liechtenstein,2020,3,1,2020-03-24,51.0,0.0,,,1337.284,0.0,,,,
Europe,LIE,Liechtenstein,2020,3,2,2020-03-25,51.0,0.0,,,1337.284,0.0,,,,
Europe,LIE,Liechtenstein,2020,3,3,2020-03-26,56.0,5.0,,,1468.39,131.106,,,,
Europe,LIE,Liechtenstein,2020,3,4,2020-03-27,56.0,0.0,,,1468.39,0.0,,,,
Europe,LIE,Liechtenstein,2020,3,5,2020-03-28,56.0,0.0,,,1468.39,0.0,,,,
Europe,LIE,Liechtenstein,2020,3,6,2020-03-29,56.0,0.0,,,1468.39,0.0,,,,
Europe,LIE,Liechtenstein,2020,3,0,2020-03-30,62.0,6.0,,,1625.718,157.328,,,,
Europe,LIE,Liechtenstein,2020,3,1,2020-03-31,68.0,6.0,,,1783.045,157.328,,,,
Europe,LIE,Liechtenstein,2020,4,2,2020-04-01,68.0,0.0,,,1783.045,0.0,,,,
Europe,LIE,Liechtenstein,2020,4,3,2020-04-02,75.0,7.0,,,1966.594,183.549,,,,
Europe,LIE,Liechtenstein,2020,4,4,2020-04-03,76.0,1.0,,,1992.815,26.221,,,,
Europe,LIE,Liechtenstein,2020,4,5,2020-04-04,77.0,1.0,1.0,1.0,2019.037,26.221,26.221,26.221,,
Europe,LIE,Liechtenstein,2020,4,6,2020-04-05,77.0,0.0,1.0,0.0,2019.037,0.0,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,4,0,2020-04-06,77.0,0.0,1.0,0.0,2019.037,0.0,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,4,1,2020-04-07,78.0,1.0,1.0,0.0,2045.258,26.221,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,4,2,2020-04-08,78.0,0.0,1.0,0.0,2045.258,0.0,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,4,3,2020-04-09,78.0,0.0,1.0,0.0,2045.258,0.0,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,4,4,2020-04-10,79.0,1.0,1.0,0.0,2071.479,26.221,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,4,5,2020-04-11,79.0,0.0,1.0,0.0,2071.479,0.0,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,4,6,2020-04-12,79.0,0.0,1.0,0.0,2071.479,0.0,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,4,0,2020-04-13,79.0,0.0,1.0,0.0,2071.479,0.0,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,4,1,2020-04-14,79.0,0.0,1.0,0.0,2071.479,0.0,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,4,2,2020-04-15,79.0,0.0,1.0,0.0,2071.479,0.0,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,4,3,2020-04-16,79.0,0.0,1.0,0.0,2071.479,0.0,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,4,4,2020-04-17,79.0,0.0,1.0,0.0,2071.479,0.0,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,4,5,2020-04-18,79.0,0.0,1.0,0.0,2071.479,0.0,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,4,6,2020-04-19,81.0,2.0,1.0,0.0,2123.922,52.443,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,4,0,2020-04-20,81.0,0.0,1.0,0.0,2123.922,0.0,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,4,1,2020-04-21,81.0,0.0,1.0,0.0,2123.922,0.0,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,4,2,2020-04-22,81.0,0.0,1.0,0.0,2123.922,0.0,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,4,3,2020-04-23,81.0,0.0,1.0,0.0,2123.922,0.0,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,4,4,2020-04-24,81.0,0.0,1.0,0.0,2123.922,0.0,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,4,5,2020-04-25,81.0,0.0,1.0,0.0,2123.922,0.0,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,4,6,2020-04-26,82.0,1.0,1.0,0.0,2150.143,26.221,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,4,0,2020-04-27,82.0,0.0,1.0,0.0,2150.143,0.0,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,4,1,2020-04-28,82.0,0.0,1.0,0.0,2150.143,0.0,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,4,2,2020-04-29,82.0,0.0,1.0,0.0,2150.143,0.0,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,4,3,2020-04-30,82.0,0.0,1.0,0.0,2150.143,0.0,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,5,4,2020-05-01,82.0,0.0,1.0,0.0,2150.143,0.0,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,5,5,2020-05-02,82.0,0.0,1.0,0.0,2150.143,0.0,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,5,6,2020-05-03,82.0,0.0,1.0,0.0,2150.143,0.0,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,5,0,2020-05-04,82.0,0.0,1.0,0.0,2150.143,0.0,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,5,1,2020-05-05,82.0,0.0,1.0,0.0,2150.143,0.0,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,5,2,2020-05-06,82.0,0.0,1.0,0.0,2150.143,0.0,26.221,0.0,,
Europe,LIE,Liechtenstein,2020,5,3,2020-05-07,82.0,0.0,1.0,0.0,2150.143,0.0,26.221,0.0,,
