continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,LUX,Luxembourg,2020,2,0,2020-02-24,,,,,,,,,,0.0
Europe,LUX,Luxembourg,2020,2,1,2020-02-25,,,,,,,,,,0.0
Europe,LUX,Luxembourg,2020,2,2,2020-02-26,,,,,,,,,,0.0
Europe,LUX,Luxembourg,2020,2,3,2020-02-27,,,,,,,,,,0.0
Europe,LUX,Luxembourg,2020,2,4,2020-02-28,,,,,,,,,,0.0
Europe,LUX,Luxembourg,2020,2,5,2020-02-29,1.0,1.0,,,1.598,1.598,,,,0.0
Europe,LUX,Luxembourg,2020,3,6,2020-03-01,1.0,0.0,,,1.598,0.0,,,,0.0
Europe,LUX,Luxembourg,2020,3,0,2020-03-02,1.0,0.0,,,1.598,0.0,,,,0.0
Europe,LUX,Luxembourg,2020,3,1,2020-03-03,1.0,0.0,,,1.598,0.0,,,,0.0
Europe,LUX,Luxembourg,2020,3,2,2020-03-04,1.0,0.0,,,1.598,0.0,,,,0.0
Europe,LUX,Luxembourg,2020,3,3,2020-03-05,1.0,0.0,,,1.598,0.0,,,,11.11
Europe,LUX,Luxembourg,2020,3,4,2020-03-06,2.0,1.0,,,3.195,1.598,,,,11.11
Europe,LUX,Luxembourg,2020,3,5,2020-03-07,2.0,0.0,,,3.195,0.0,,,,11.11
Europe,LUX,Luxembourg,2020,3,6,2020-03-08,3.0,1.0,,,4.793,1.598,,,,11.11
Europe,LUX,Luxembourg,2020,3,0,2020-03-09,3.0,0.0,,,4.793,0.0,,,,22.22
Europe,LUX,Luxembourg,2020,3,1,2020-03-10,5.0,2.0,,,7.988,3.195,,,,22.22
Europe,LUX,Luxembourg,2020,3,2,2020-03-11,7.0,2.0,,,11.183,3.195,,,,22.22
Europe,LUX,Luxembourg,2020,3,3,2020-03-12,19.0,12.0,,,30.353,19.17,,,,31.48
Europe,LUX,Luxembourg,2020,3,4,2020-03-13,34.0,15.0,,,54.315,23.963,,,,42.59
Europe,LUX,Luxembourg,2020,3,5,2020-03-14,51.0,17.0,1.0,1.0,81.473,27.158,1.598,1.598,,42.59
Europe,LUX,Luxembourg,2020,3,6,2020-03-15,59.0,8.0,1.0,0.0,94.253,12.78,1.598,0.0,,53.7
Europe,LUX,Luxembourg,2020,3,0,2020-03-16,77.0,18.0,1.0,0.0,123.008,28.755,1.598,0.0,,72.22
Europe,LUX,Luxembourg,2020,3,1,2020-03-17,140.0,63.0,1.0,0.0,223.651,100.643,1.598,0.0,,79.63
Europe,LUX,Luxembourg,2020,3,2,2020-03-18,203.0,63.0,2.0,1.0,324.294,100.643,3.195,1.598,2.13,79.63
Europe,LUX,Luxembourg,2020,3,3,2020-03-19,335.0,132.0,4.0,2.0,535.164,210.871,6.39,3.195,2.12,79.63
Europe,LUX,Luxembourg,2020,3,4,2020-03-20,484.0,149.0,4.0,0.0,773.193,238.028,6.39,0.0,2.07,79.63
Europe,LUX,Luxembourg,2020,3,5,2020-03-21,670.0,186.0,8.0,4.0,1070.329,297.136,12.78,6.39,2.01,79.63
Europe,LUX,Luxembourg,2020,3,6,2020-03-22,798.0,128.0,8.0,0.0,1274.809,204.481,12.78,0.0,1.93,79.63
Europe,LUX,Luxembourg,2020,3,0,2020-03-23,875.0,77.0,8.0,0.0,1397.817,123.008,12.78,0.0,1.85,79.63
Europe,LUX,Luxembourg,2020,3,1,2020-03-24,1099.0,224.0,8.0,0.0,1755.658,357.841,12.78,0.0,1.79,79.63
Europe,LUX,Luxembourg,2020,3,2,2020-03-25,1333.0,234.0,8.0,0.0,2129.475,373.816,12.78,0.0,1.71,79.63
Europe,LUX,Luxembourg,2020,3,3,2020-03-26,1453.0,120.0,9.0,1.0,2321.175,191.701,14.378,1.598,1.63,79.63
Europe,LUX,Luxembourg,2020,3,4,2020-03-27,1605.0,152.0,15.0,6.0,2563.996,242.821,23.963,9.585,1.56,79.63
Europe,LUX,Luxembourg,2020,3,5,2020-03-28,1831.0,226.0,18.0,3.0,2925.032,361.036,28.755,4.793,1.49,79.63
Europe,LUX,Luxembourg,2020,3,6,2020-03-29,1950.0,119.0,21.0,3.0,3115.135,190.103,33.548,4.793,1.42,79.63
Europe,LUX,Luxembourg,2020,3,0,2020-03-30,1988.0,38.0,22.0,1.0,3175.841,60.705,35.145,1.598,1.35,79.63
Europe,LUX,Luxembourg,2020,3,1,2020-03-31,2178.0,190.0,23.0,1.0,3479.367,303.526,36.743,1.598,1.3,79.63
Europe,LUX,Luxembourg,2020,4,2,2020-04-01,2319.0,141.0,29.0,6.0,3704.615,225.248,46.328,9.585,1.25,79.63
Europe,LUX,Luxembourg,2020,4,3,2020-04-02,2487.0,168.0,30.0,1.0,3972.996,268.381,47.925,1.598,1.19,79.63
Europe,LUX,Luxembourg,2020,4,4,2020-04-03,2612.0,125.0,31.0,1.0,4172.684,199.688,49.523,1.598,1.14,79.63
Europe,LUX,Luxembourg,2020,4,5,2020-04-04,2729.0,117.0,31.0,0.0,4359.592,186.908,49.523,0.0,1.09,79.63
Europe,LUX,Luxembourg,2020,4,6,2020-04-05,2804.0,75.0,36.0,5.0,4479.405,119.813,57.51,7.988,1.04,79.63
Europe,LUX,Luxembourg,2020,4,0,2020-04-06,2843.0,39.0,41.0,5.0,4541.708,62.303,65.498,7.988,1.0,79.63
