continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,LVA,Latvia,2020,2,6,2020-02-02,,,,,,,,,,2.78
Europe,LVA,Latvia,2020,2,6,2020-02-09,,,,,,,,,,2.78
Europe,LVA,Latvia,2020,2,6,2020-02-16,,,,,,,,,,2.78
Europe,LVA,Latvia,2020,2,6,2020-02-23,,,,,,,,,,2.78
Europe,LVA,Latvia,2020,2,5,2020-02-29,,,,,,,,,,8.33
Europe,LVA,Latvia,2020,3,6,2020-03-01,,,,,,,,,,8.33
Europe,LVA,Latvia,2020,3,0,2020-03-02,1.0,1.0,,,0.53,0.53,,,,8.33
Europe,LVA,Latvia,2020,3,1,2020-03-03,1.0,0.0,,,0.53,0.0,,,,8.33
Europe,LVA,Latvia,2020,3,2,2020-03-04,1.0,0.0,,,0.53,0.0,,,,8.33
Europe,LVA,Latvia,2020,3,3,2020-03-05,1.0,0.0,,,0.53,0.0,,,,8.33
Europe,LVA,Latvia,2020,3,4,2020-03-06,1.0,0.0,,,0.53,0.0,,,,8.33
Europe,LVA,Latvia,2020,3,5,2020-03-07,1.0,0.0,,,0.53,0.0,,,,8.33
Europe,LVA,Latvia,2020,3,6,2020-03-08,2.0,1.0,,,1.06,0.53,,,,8.33
Europe,LVA,Latvia,2020,3,0,2020-03-09,6.0,4.0,,,3.181,2.121,,,,8.33
Europe,LVA,Latvia,2020,3,1,2020-03-10,8.0,2.0,,,4.241,1.06,,,,8.33
Europe,LVA,Latvia,2020,3,2,2020-03-11,10.0,2.0,,,5.302,1.06,,,,11.11
Europe,LVA,Latvia,2020,3,3,2020-03-12,10.0,0.0,,,5.302,0.0,,,,11.11
Europe,LVA,Latvia,2020,3,4,2020-03-13,17.0,7.0,,,9.013,3.711,,,,51.85
Europe,LVA,Latvia,2020,3,5,2020-03-14,26.0,9.0,,,13.784,4.771,,,,54.63
Europe,LVA,Latvia,2020,3,6,2020-03-15,30.0,4.0,,,15.905,2.121,,,,54.63
Europe,LVA,Latvia,2020,3,0,2020-03-16,34.0,4.0,,,18.026,2.121,,,,54.63
Europe,LVA,Latvia,2020,3,1,2020-03-17,49.0,15.0,,,25.978,7.952,,,,60.19
Europe,LVA,Latvia,2020,3,2,2020-03-18,71.0,22.0,,,37.642,11.664,,,,60.19
Europe,LVA,Latvia,2020,3,3,2020-03-19,86.0,15.0,,,45.594,7.952,,,,60.19
Europe,LVA,Latvia,2020,3,4,2020-03-20,111.0,25.0,,,58.848,13.254,,,,60.19
Europe,LVA,Latvia,2020,3,5,2020-03-21,124.0,13.0,,,65.741,6.892,,,1.1,60.19
Europe,LVA,Latvia,2020,3,6,2020-03-22,139.0,15.0,,,73.693,7.952,,,1.1,60.19
Europe,LVA,Latvia,2020,3,0,2020-03-23,180.0,41.0,,,95.43,21.737,,,1.1,60.19
Europe,LVA,Latvia,2020,3,1,2020-03-24,197.0,17.0,,,104.443,9.013,,,1.1,63.89
Europe,LVA,Latvia,2020,3,2,2020-03-25,221.0,24.0,,,117.167,12.724,,,1.09,63.89
Europe,LVA,Latvia,2020,3,3,2020-03-26,244.0,23.0,,,129.36,12.194,,,1.09,63.89
Europe,LVA,Latvia,2020,3,4,2020-03-27,280.0,36.0,,,148.446,19.086,,,1.08,69.44
Europe,LVA,Latvia,2020,3,5,2020-03-28,305.0,25.0,,,161.701,13.254,,,1.08,69.44
Europe,LVA,Latvia,2020,3,6,2020-03-29,347.0,42.0,,,183.968,22.267,,,1.07,69.44
Europe,LVA,Latvia,2020,3,0,2020-03-30,376.0,29.0,,,199.342,15.375,,,1.05,69.44
Europe,LVA,Latvia,2020,3,1,2020-03-31,398.0,22.0,,,211.006,11.664,,,1.04,69.44
Europe,LVA,Latvia,2020,4,2,2020-04-01,446.0,48.0,,,236.454,25.448,,,1.03,69.44
Europe,LVA,Latvia,2020,4,3,2020-04-02,458.0,12.0,,,242.816,6.362,,,1.01,69.44
Europe,LVA,Latvia,2020,4,4,2020-04-03,493.0,35.0,1.0,1.0,261.372,18.556,0.53,0.53,1.0,69.44
Europe,LVA,Latvia,2020,4,5,2020-04-04,509.0,16.0,1.0,0.0,269.854,8.483,0.53,0.0,0.98,69.44
Europe,LVA,Latvia,2020,4,6,2020-04-05,533.0,24.0,1.0,0.0,282.578,12.724,0.53,0.0,0.97,69.44
Europe,LVA,Latvia,2020,4,0,2020-04-06,542.0,9.0,1.0,0.0,287.35,4.771,0.53,0.0,0.96,69.44
Europe,LVA,Latvia,2020,4,1,2020-04-07,548.0,6.0,2.0,1.0,290.531,3.181,1.06,0.53,0.95,69.44
Europe,LVA,Latvia,2020,4,2,2020-04-08,577.0,29.0,2.0,0.0,305.906,15.375,1.06,0.0,0.94,69.44
Europe,LVA,Latvia,2020,4,3,2020-04-09,589.0,12.0,3.0,1.0,312.268,6.362,1.59,0.53,0.93,69.44
Europe,LVA,Latvia,2020,4,4,2020-04-10,612.0,23.0,3.0,0.0,324.462,12.194,1.59,0.0,0.93,69.44
Europe,LVA,Latvia,2020,4,5,2020-04-11,630.0,18.0,3.0,0.0,334.005,9.543,1.59,0.0,0.92,69.44
Europe,LVA,Latvia,2020,4,6,2020-04-12,651.0,21.0,5.0,2.0,345.138,11.133,2.651,1.06,0.91,69.44
Europe,LVA,Latvia,2020,4,0,2020-04-13,655.0,4.0,5.0,0.0,347.259,2.121,2.651,0.0,0.9,69.44
Europe,LVA,Latvia,2020,4,1,2020-04-14,657.0,2.0,5.0,0.0,348.319,1.06,2.651,0.0,0.9,69.44
Europe,LVA,Latvia,2020,4,2,2020-04-15,666.0,9.0,5.0,0.0,353.09,4.771,2.651,0.0,0.9,69.44
Europe,LVA,Latvia,2020,4,3,2020-04-16,675.0,9.0,5.0,0.0,357.862,4.771,2.651,0.0,0.9,69.44
Europe,LVA,Latvia,2020,4,4,2020-04-17,682.0,7.0,5.0,0.0,361.573,3.711,2.651,0.0,0.9,69.44
Europe,LVA,Latvia,2020,4,5,2020-04-18,712.0,30.0,5.0,0.0,377.478,15.905,2.651,0.0,0.91,69.44
Europe,LVA,Latvia,2020,4,6,2020-04-19,727.0,15.0,5.0,0.0,385.431,7.952,2.651,0.0,0.9,69.44
Europe,LVA,Latvia,2020,4,0,2020-04-20,739.0,12.0,5.0,0.0,391.793,6.362,2.651,0.0,0.9,69.44
Europe,LVA,Latvia,2020,4,1,2020-04-21,748.0,9.0,9.0,4.0,396.564,4.771,4.771,2.121,0.9,69.44
Europe,LVA,Latvia,2020,4,2,2020-04-22,761.0,13.0,11.0,2.0,403.456,6.892,5.832,1.06,0.9,69.44
Europe,LVA,Latvia,2020,4,3,2020-04-23,778.0,17.0,11.0,0.0,412.469,9.013,5.832,0.0,0.9,69.44
Europe,LVA,Latvia,2020,4,4,2020-04-24,784.0,6.0,12.0,1.0,415.65,3.181,6.362,0.53,0.89,69.44
Europe,LVA,Latvia,2020,4,5,2020-04-25,804.0,20.0,12.0,0.0,426.253,10.603,6.362,0.0,0.89,69.44
Europe,LVA,Latvia,2020,4,6,2020-04-26,812.0,8.0,12.0,0.0,430.495,4.241,6.362,0.0,0.89,69.44
Europe,LVA,Latvia,2020,4,0,2020-04-27,818.0,6.0,13.0,1.0,433.676,3.181,6.892,0.53,0.89,69.44
Europe,LVA,Latvia,2020,4,1,2020-04-28,836.0,18.0,13.0,0.0,443.219,9.543,6.892,0.0,0.89,69.44
Europe,LVA,Latvia,2020,4,2,2020-04-29,849.0,13.0,15.0,2.0,450.111,6.892,7.952,1.06,0.88,69.44
Europe,LVA,Latvia,2020,4,3,2020-04-30,858.0,9.0,15.0,0.0,454.882,4.771,7.952,0.0,0.88,69.44
Europe,LVA,Latvia,2020,5,4,2020-05-01,870.0,12.0,16.0,1.0,461.244,6.362,8.483,0.53,0.88,69.44
Europe,LVA,Latvia,2020,5,5,2020-05-02,871.0,1.0,16.0,0.0,461.775,0.53,8.483,0.0,0.87,69.44
Europe,LVA,Latvia,2020,5,6,2020-05-03,879.0,8.0,16.0,0.0,466.016,4.241,8.483,0.0,0.87,69.44
Europe,LVA,Latvia,2020,5,0,2020-05-04,896.0,17.0,16.0,0.0,475.029,9.013,8.483,0.0,0.87,69.44
Europe,LVA,Latvia,2020,5,1,2020-05-05,896.0,0.0,17.0,1.0,475.029,0.0,9.013,0.53,0.87,69.44
Europe,LVA,Latvia,2020,5,2,2020-05-06,900.0,4.0,17.0,0.0,477.149,2.121,9.013,0.0,0.87,69.44
Europe,LVA,Latvia,2020,5,3,2020-05-07,909.0,9.0,18.0,1.0,481.921,4.771,9.543,0.53,0.88,69.44
Europe,LVA,Latvia,2020,5,4,2020-05-08,928.0,19.0,18.0,0.0,491.994,10.073,9.543,0.0,0.88,69.44
Europe,LVA,Latvia,2020,5,5,2020-05-09,930.0,2.0,18.0,0.0,493.054,1.06,9.543,0.0,0.88,69.44
Europe,LVA,Latvia,2020,5,6,2020-05-10,939.0,9.0,18.0,0.0,497.826,4.771,9.543,0.0,0.88,69.44
Europe,LVA,Latvia,2020,5,0,2020-05-11,946.0,7.0,18.0,0.0,501.537,3.711,9.543,0.0,0.88,69.44
Europe,LVA,Latvia,2020,5,1,2020-05-12,950.0,4.0,18.0,0.0,503.658,2.121,9.543,0.0,0.88,63.89
Europe,LVA,Latvia,2020,5,2,2020-05-13,951.0,1.0,19.0,1.0,504.188,0.53,10.073,0.53,0.88,63.89
Europe,LVA,Latvia,2020,5,3,2020-05-14,962.0,11.0,19.0,0.0,510.02,5.832,10.073,0.0,0.89,63.89
Europe,LVA,Latvia,2020,5,4,2020-05-15,970.0,8.0,19.0,0.0,514.261,4.241,10.073,0.0,0.89,61.11
Europe,LVA,Latvia,2020,5,5,2020-05-16,997.0,27.0,19.0,0.0,528.575,14.314,10.073,0.0,0.89,61.11
Europe,LVA,Latvia,2020,5,6,2020-05-17,1008.0,11.0,19.0,0.0,534.407,5.832,10.073,0.0,0.88,61.11
Europe,LVA,Latvia,2020,5,0,2020-05-18,1009.0,1.0,19.0,0.0,534.937,0.53,10.073,0.0,0.87,61.11
Europe,LVA,Latvia,2020,5,1,2020-05-19,1012.0,3.0,21.0,2.0,536.528,1.59,11.133,1.06,0.86,61.11
Europe,LVA,Latvia,2020,5,2,2020-05-20,1016.0,4.0,21.0,0.0,538.649,2.121,11.133,0.0,0.85,61.11
Europe,LVA,Latvia,2020,5,3,2020-05-21,1025.0,9.0,22.0,1.0,543.42,4.771,11.664,0.53,0.85,61.11
Europe,LVA,Latvia,2020,5,4,2020-05-22,1030.0,5.0,22.0,0.0,546.071,2.651,11.664,0.0,0.85,61.11
Europe,LVA,Latvia,2020,5,5,2020-05-23,1046.0,16.0,22.0,0.0,554.554,8.483,11.664,0.0,0.84,61.11
Europe,LVA,Latvia,2020,5,6,2020-05-24,1047.0,1.0,22.0,0.0,555.084,0.53,11.664,0.0,0.83,61.11
Europe,LVA,Latvia,2020,5,0,2020-05-25,1049.0,2.0,22.0,0.0,556.144,1.06,11.664,0.0,0.82,61.11
Europe,LVA,Latvia,2020,5,1,2020-05-26,1053.0,4.0,22.0,0.0,558.265,2.121,11.664,0.0,0.82,61.11
Europe,LVA,Latvia,2020,5,2,2020-05-27,1057.0,4.0,23.0,1.0,560.385,2.121,12.194,0.53,0.81,61.11
Europe,LVA,Latvia,2020,5,3,2020-05-28,1061.0,4.0,24.0,1.0,562.506,2.121,12.724,0.53,0.81,61.11
Europe,LVA,Latvia,2020,5,4,2020-05-29,1064.0,3.0,24.0,0.0,564.097,1.59,12.724,0.0,0.81,61.11
Europe,LVA,Latvia,2020,5,5,2020-05-30,1065.0,1.0,24.0,0.0,564.627,0.53,12.724,0.0,0.81,61.11
Europe,LVA,Latvia,2020,5,6,2020-05-31,1066.0,1.0,24.0,0.0,565.157,0.53,12.724,0.0,0.81,61.11
Europe,LVA,Latvia,2020,6,0,2020-06-01,1066.0,0.0,24.0,0.0,565.157,0.0,12.724,0.0,0.81,61.11
Europe,LVA,Latvia,2020,6,1,2020-06-02,1071.0,5.0,24.0,0.0,567.808,2.651,12.724,0.0,0.82,61.11
Europe,LVA,Latvia,2020,6,2,2020-06-03,1079.0,8.0,24.0,0.0,572.049,4.241,12.724,0.0,0.82,61.11
Europe,LVA,Latvia,2020,6,3,2020-06-04,1082.0,3.0,25.0,1.0,573.64,1.59,13.254,0.53,0.82,61.11
Europe,LVA,Latvia,2020,6,4,2020-06-05,1085.0,3.0,25.0,0.0,575.23,1.59,13.254,0.0,0.82,61.11
Europe,LVA,Latvia,2020,6,5,2020-06-06,1086.0,1.0,25.0,0.0,575.76,0.53,13.254,0.0,0.82,61.11
Europe,LVA,Latvia,2020,6,6,2020-06-07,1088.0,2.0,25.0,0.0,576.821,1.06,13.254,0.0,0.82,61.11
Europe,LVA,Latvia,2020,6,0,2020-06-08,1088.0,0.0,26.0,1.0,576.821,0.0,13.784,0.53,0.82,61.11
Europe,LVA,Latvia,2020,6,1,2020-06-09,1089.0,1.0,26.0,0.0,577.351,0.53,13.784,0.0,0.83,61.11
Europe,LVA,Latvia,2020,6,2,2020-06-10,1092.0,3.0,26.0,0.0,578.941,1.59,13.784,0.0,0.84,50.0
Europe,LVA,Latvia,2020,6,3,2020-06-11,1094.0,2.0,26.0,0.0,580.002,1.06,13.784,0.0,0.85,50.0
Europe,LVA,Latvia,2020,6,4,2020-06-12,1096.0,2.0,27.0,1.0,581.062,1.06,14.314,0.53,0.86,50.0
Europe,LVA,Latvia,2020,6,5,2020-06-13,1097.0,1.0,28.0,1.0,581.592,0.53,14.845,0.53,0.86,50.0
Europe,LVA,Latvia,2020,6,6,2020-06-14,1097.0,0.0,28.0,0.0,581.592,0.0,14.845,0.0,0.87,50.0
Europe,LVA,Latvia,2020,6,0,2020-06-15,1097.0,0.0,28.0,0.0,581.592,0.0,14.845,0.0,0.89,50.0
Europe,LVA,Latvia,2020,6,1,2020-06-16,1098.0,1.0,28.0,0.0,582.122,0.53,14.845,0.0,0.91,50.0
Europe,LVA,Latvia,2020,6,2,2020-06-17,1104.0,6.0,30.0,2.0,585.303,3.181,15.905,1.06,0.93,50.0
Europe,LVA,Latvia,2020,6,3,2020-06-18,1108.0,4.0,30.0,0.0,587.424,2.121,15.905,0.0,0.93,50.0
Europe,LVA,Latvia,2020,6,4,2020-06-19,1110.0,2.0,30.0,0.0,588.484,1.06,15.905,0.0,0.94,50.0
Europe,LVA,Latvia,2020,6,5,2020-06-20,1111.0,1.0,30.0,0.0,589.014,0.53,15.905,0.0,0.94,50.0
Europe,LVA,Latvia,2020,6,6,2020-06-21,1111.0,0.0,30.0,0.0,589.014,0.0,15.905,0.0,0.94,50.0
Europe,LVA,Latvia,2020,6,0,2020-06-22,1111.0,0.0,30.0,0.0,589.014,0.0,15.905,0.0,0.95,50.0
Europe,LVA,Latvia,2020,6,1,2020-06-23,1111.0,0.0,30.0,0.0,589.014,0.0,15.905,0.0,0.96,50.0
Europe,LVA,Latvia,2020,6,2,2020-06-24,1111.0,0.0,30.0,0.0,589.014,0.0,15.905,0.0,0.98,50.0
Europe,LVA,Latvia,2020,6,3,2020-06-25,1111.0,0.0,30.0,0.0,589.014,0.0,15.905,0.0,1.0,50.0
Europe,LVA,Latvia,2020,6,4,2020-06-26,1112.0,1.0,30.0,0.0,589.544,0.53,15.905,0.0,1.03,50.0
Europe,LVA,Latvia,2020,6,5,2020-06-27,1115.0,3.0,30.0,0.0,591.135,1.59,15.905,0.0,1.06,50.0
Europe,LVA,Latvia,2020,6,6,2020-06-28,1116.0,1.0,30.0,0.0,591.665,0.53,15.905,0.0,1.08,50.0
Europe,LVA,Latvia,2020,6,0,2020-06-29,1117.0,1.0,30.0,0.0,592.195,0.53,15.905,0.0,1.1,50.0
Europe,LVA,Latvia,2020,6,1,2020-06-30,1118.0,1.0,30.0,0.0,592.725,0.53,15.905,0.0,1.12,50.0
Europe,LVA,Latvia,2020,7,2,2020-07-01,1121.0,3.0,30.0,0.0,594.316,1.59,15.905,0.0,1.15,50.0
Europe,LVA,Latvia,2020,7,3,2020-07-02,1122.0,1.0,30.0,0.0,594.846,0.53,15.905,0.0,1.17,50.0
Europe,LVA,Latvia,2020,7,4,2020-07-03,1122.0,0.0,30.0,0.0,594.846,0.0,15.905,0.0,1.19,50.0
Europe,LVA,Latvia,2020,7,5,2020-07-04,1123.0,1.0,30.0,0.0,595.376,0.53,15.905,0.0,1.21,50.0
Europe,LVA,Latvia,2020,7,6,2020-07-05,1124.0,1.0,30.0,0.0,595.906,0.53,15.905,0.0,1.24,50.0
Europe,LVA,Latvia,2020,7,0,2020-07-06,1127.0,3.0,30.0,0.0,597.497,1.59,15.905,0.0,1.27,50.0
Europe,LVA,Latvia,2020,7,1,2020-07-07,1134.0,7.0,30.0,0.0,601.208,3.711,15.905,0.0,1.3,50.0
Europe,LVA,Latvia,2020,7,2,2020-07-08,1141.0,7.0,30.0,0.0,604.919,3.711,15.905,0.0,1.3,50.0
Europe,LVA,Latvia,2020,7,3,2020-07-09,1154.0,13.0,30.0,0.0,611.811,6.892,15.905,0.0,1.3,50.0
Europe,LVA,Latvia,2020,7,4,2020-07-10,1165.0,11.0,30.0,0.0,617.643,5.832,15.905,0.0,1.28,50.0
Europe,LVA,Latvia,2020,7,5,2020-07-11,1173.0,8.0,30.0,0.0,621.885,4.241,15.905,0.0,1.25,50.0
Europe,LVA,Latvia,2020,7,6,2020-07-12,1173.0,0.0,30.0,0.0,621.885,0.0,15.905,0.0,1.22,50.0
Europe,LVA,Latvia,2020,7,0,2020-07-13,1174.0,1.0,31.0,1.0,622.415,0.53,16.435,0.53,1.2,50.0
Europe,LVA,Latvia,2020,7,1,2020-07-14,1174.0,0.0,31.0,0.0,622.415,0.0,16.435,0.0,1.19,50.0
Europe,LVA,Latvia,2020,7,2,2020-07-15,1178.0,4.0,31.0,0.0,624.535,2.121,16.435,0.0,1.18,50.0
Europe,LVA,Latvia,2020,7,3,2020-07-16,1179.0,1.0,31.0,0.0,625.066,0.53,16.435,0.0,1.17,50.0
Europe,LVA,Latvia,2020,7,4,2020-07-17,1185.0,6.0,31.0,0.0,628.247,3.181,16.435,0.0,1.17,50.0
Europe,LVA,Latvia,2020,7,5,2020-07-18,1189.0,4.0,31.0,0.0,630.367,2.121,16.435,0.0,1.16,50.0
Europe,LVA,Latvia,2020,7,6,2020-07-19,1192.0,3.0,31.0,0.0,631.958,1.59,16.435,0.0,1.15,50.0
Europe,LVA,Latvia,2020,7,0,2020-07-20,1192.0,0.0,31.0,0.0,631.958,0.0,16.435,0.0,1.15,50.0
Europe,LVA,Latvia,2020,7,1,2020-07-21,1193.0,1.0,31.0,0.0,632.488,0.53,16.435,0.0,1.15,50.0
Europe,LVA,Latvia,2020,7,2,2020-07-22,1197.0,4.0,31.0,0.0,634.609,2.121,16.435,0.0,1.16,50.0
Europe,LVA,Latvia,2020,7,3,2020-07-23,1203.0,6.0,31.0,0.0,637.79,3.181,16.435,0.0,1.16,50.0
