continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,MAR,Morocco,2020,2,4,2020-02-07,,,,,,,,,,0.0
Africa,MAR,Morocco,2020,2,5,2020-02-08,,,,,,,,,,0.0
Africa,MAR,Morocco,2020,2,6,2020-02-09,,,,,,,,,,0.0
Africa,MAR,Morocco,2020,2,0,2020-02-10,,,,,,,,,,0.0
Africa,MAR,Morocco,2020,2,1,2020-02-11,,,,,,,,,,0.0
Africa,MAR,Morocco,2020,2,2,2020-02-12,,,,,,,,,,0.0
Africa,MAR,Morocco,2020,2,3,2020-02-13,,,,,,,,,,0.0
Africa,MAR,Morocco,2020,2,4,2020-02-14,,,,,,,,,,0.0
Africa,MAR,Morocco,2020,2,5,2020-02-15,,,,,,,,,,0.0
Africa,MAR,Morocco,2020,2,6,2020-02-16,,,,,,,,,,0.0
Africa,MAR,Morocco,2020,2,0,2020-02-17,,,,,,,,,,0.0
Africa,MAR,Morocco,2020,2,1,2020-02-18,,,,,,,,,,0.0
Africa,MAR,Morocco,2020,2,2,2020-02-19,,,,,,,,,,0.0
Africa,MAR,Morocco,2020,2,3,2020-02-20,,,,,,,,,,0.0
Africa,MAR,Morocco,2020,2,4,2020-02-21,,,,,,,,,,0.0
Africa,MAR,Morocco,2020,2,5,2020-02-22,,,,,,,,,,0.0
Africa,MAR,Morocco,2020,2,6,2020-02-23,,,,,,,,,,0.0
Africa,MAR,Morocco,2020,2,0,2020-02-24,,,,,,,,,,0.0
Africa,MAR,Morocco,2020,2,1,2020-02-25,,,,,,,,,,0.0
Africa,MAR,Morocco,2020,2,2,2020-02-26,,,,,,,,,,0.0
Africa,MAR,Morocco,2020,2,3,2020-02-27,,,,,,,,,,0.0
Africa,MAR,Morocco,2020,2,4,2020-02-28,,,,,,,,,,0.0
Africa,MAR,Morocco,2020,2,5,2020-02-29,,,,,,,,,,0.0
Africa,MAR,Morocco,2020,3,6,2020-03-01,,,,,,,,,,0.0
Africa,MAR,Morocco,2020,3,0,2020-03-02,1.0,1.0,,,0.027,0.027,,,,0.0
Africa,MAR,Morocco,2020,3,1,2020-03-03,1.0,0.0,,,0.027,0.0,,,,0.0
Africa,MAR,Morocco,2020,3,2,2020-03-04,1.0,0.0,,,0.027,0.0,,,,5.56
Africa,MAR,Morocco,2020,3,3,2020-03-05,2.0,1.0,,,0.054,0.027,,,,5.56
Africa,MAR,Morocco,2020,3,4,2020-03-06,2.0,0.0,,,0.054,0.0,,,,5.56
Africa,MAR,Morocco,2020,3,5,2020-03-07,2.0,0.0,,,0.054,0.0,,,,5.56
Africa,MAR,Morocco,2020,3,6,2020-03-08,2.0,0.0,,,0.054,0.0,,,,5.56
Africa,MAR,Morocco,2020,3,0,2020-03-09,2.0,0.0,,,0.054,0.0,,,,5.56
Africa,MAR,Morocco,2020,3,1,2020-03-10,3.0,1.0,1.0,1.0,0.081,0.027,0.027,0.027,,5.56
Africa,MAR,Morocco,2020,3,2,2020-03-11,5.0,2.0,1.0,0.0,0.135,0.054,0.027,0.0,,5.56
Africa,MAR,Morocco,2020,3,3,2020-03-12,6.0,1.0,1.0,0.0,0.163,0.027,0.027,0.0,,5.56
Africa,MAR,Morocco,2020,3,4,2020-03-13,7.0,1.0,1.0,0.0,0.19,0.027,0.027,0.0,,25.0
Africa,MAR,Morocco,2020,3,5,2020-03-14,17.0,10.0,1.0,0.0,0.461,0.271,0.027,0.0,,44.44
Africa,MAR,Morocco,2020,3,6,2020-03-15,28.0,11.0,1.0,0.0,0.759,0.298,0.027,0.0,,44.44
Africa,MAR,Morocco,2020,3,0,2020-03-16,29.0,1.0,1.0,0.0,0.786,0.027,0.027,0.0,,55.56
Africa,MAR,Morocco,2020,3,1,2020-03-17,38.0,9.0,2.0,1.0,1.03,0.244,0.054,0.027,,55.56
Africa,MAR,Morocco,2020,3,2,2020-03-18,49.0,11.0,2.0,0.0,1.328,0.298,0.054,0.0,,55.56
Africa,MAR,Morocco,2020,3,3,2020-03-19,63.0,14.0,2.0,0.0,1.707,0.379,0.054,0.0,,55.56
Africa,MAR,Morocco,2020,3,4,2020-03-20,77.0,14.0,3.0,1.0,2.086,0.379,0.081,0.027,,90.74
Africa,MAR,Morocco,2020,3,5,2020-03-21,96.0,19.0,3.0,0.0,2.601,0.515,0.081,0.0,,90.74
Africa,MAR,Morocco,2020,3,6,2020-03-22,115.0,19.0,4.0,1.0,3.116,0.515,0.108,0.027,,90.74
Africa,MAR,Morocco,2020,3,0,2020-03-23,143.0,28.0,4.0,0.0,3.874,0.759,0.108,0.0,1.8,90.74
Africa,MAR,Morocco,2020,3,1,2020-03-24,170.0,27.0,5.0,1.0,4.606,0.731,0.135,0.027,1.8,90.74
Africa,MAR,Morocco,2020,3,2,2020-03-25,225.0,55.0,6.0,1.0,6.096,1.49,0.163,0.027,1.81,93.52
Africa,MAR,Morocco,2020,3,3,2020-03-26,275.0,50.0,11.0,5.0,7.45,1.355,0.298,0.135,1.8,93.52
Africa,MAR,Morocco,2020,3,4,2020-03-27,345.0,70.0,23.0,12.0,9.347,1.896,0.623,0.325,1.78,93.52
Africa,MAR,Morocco,2020,3,5,2020-03-28,402.0,57.0,25.0,2.0,10.891,1.544,0.677,0.054,1.74,93.52
Africa,MAR,Morocco,2020,3,6,2020-03-29,479.0,77.0,26.0,1.0,12.977,2.086,0.704,0.027,1.7,93.52
Africa,MAR,Morocco,2020,3,0,2020-03-30,556.0,77.0,33.0,7.0,15.063,2.086,0.894,0.19,1.66,93.52
Africa,MAR,Morocco,2020,3,1,2020-03-31,617.0,61.0,36.0,3.0,16.716,1.653,0.975,0.081,1.61,93.52
Africa,MAR,Morocco,2020,4,2,2020-04-01,654.0,37.0,39.0,3.0,17.719,1.002,1.057,0.081,1.57,93.52
Africa,MAR,Morocco,2020,4,3,2020-04-02,708.0,54.0,44.0,5.0,19.182,1.463,1.192,0.135,1.55,93.52
Africa,MAR,Morocco,2020,4,4,2020-04-03,791.0,83.0,48.0,4.0,21.43,2.249,1.3,0.108,1.54,93.52
Africa,MAR,Morocco,2020,4,5,2020-04-04,919.0,128.0,59.0,11.0,24.898,3.468,1.598,0.298,1.53,93.52
Africa,MAR,Morocco,2020,4,6,2020-04-05,1021.0,102.0,70.0,11.0,27.661,2.763,1.896,0.298,1.5,93.52
Africa,MAR,Morocco,2020,4,0,2020-04-06,1120.0,99.0,80.0,10.0,30.344,2.682,2.167,0.271,1.47,93.52
Africa,MAR,Morocco,2020,4,1,2020-04-07,1184.0,64.0,90.0,10.0,32.078,1.734,2.438,0.271,1.43,93.52
Africa,MAR,Morocco,2020,4,2,2020-04-08,1275.0,91.0,93.0,3.0,34.543,2.465,2.52,0.081,1.41,93.52
Africa,MAR,Morocco,2020,4,3,2020-04-09,1374.0,99.0,97.0,4.0,37.225,2.682,2.628,0.108,1.4,93.52
Africa,MAR,Morocco,2020,4,4,2020-04-10,1448.0,74.0,107.0,10.0,39.23,2.005,2.899,0.271,1.39,93.52
Africa,MAR,Morocco,2020,4,5,2020-04-11,1545.0,97.0,111.0,4.0,41.858,2.628,3.007,0.108,1.38,93.52
Africa,MAR,Morocco,2020,4,6,2020-04-12,1661.0,116.0,118.0,7.0,45.001,3.143,3.197,0.19,1.39,93.52
Africa,MAR,Morocco,2020,4,0,2020-04-13,1763.0,102.0,126.0,8.0,47.764,2.763,3.414,0.217,1.39,93.52
Africa,MAR,Morocco,2020,4,1,2020-04-14,1888.0,125.0,126.0,0.0,51.151,3.387,3.414,0.0,1.39,93.52
Africa,MAR,Morocco,2020,4,2,2020-04-15,2024.0,136.0,127.0,1.0,54.835,3.685,3.441,0.027,1.4,93.52
Africa,MAR,Morocco,2020,4,3,2020-04-16,2283.0,259.0,130.0,3.0,61.852,7.017,3.522,0.081,1.4,93.52
Africa,MAR,Morocco,2020,4,4,2020-04-17,2564.0,281.0,135.0,5.0,69.465,7.613,3.657,0.135,1.38,93.52
Africa,MAR,Morocco,2020,4,5,2020-04-18,2685.0,121.0,137.0,2.0,72.743,3.278,3.712,0.054,1.33,93.52
Africa,MAR,Morocco,2020,4,6,2020-04-19,2855.0,170.0,141.0,4.0,77.349,4.606,3.82,0.108,1.29,93.52
Africa,MAR,Morocco,2020,4,0,2020-04-20,3046.0,191.0,143.0,2.0,82.524,5.175,3.874,0.054,1.26,93.52
Africa,MAR,Morocco,2020,4,1,2020-04-21,3209.0,163.0,145.0,2.0,86.94,4.416,3.928,0.054,1.22,93.52
Africa,MAR,Morocco,2020,4,2,2020-04-22,3446.0,237.0,149.0,4.0,93.361,6.421,4.037,0.108,1.19,93.52
Africa,MAR,Morocco,2020,4,3,2020-04-23,3568.0,122.0,155.0,6.0,96.666,3.305,4.199,0.163,1.15,93.52
Africa,MAR,Morocco,2020,4,4,2020-04-24,3758.0,190.0,158.0,3.0,101.814,5.148,4.281,0.081,1.12,93.52
Africa,MAR,Morocco,2020,4,5,2020-04-25,3897.0,139.0,159.0,1.0,105.58,3.766,4.308,0.027,1.08,93.52
Africa,MAR,Morocco,2020,4,6,2020-04-26,4065.0,168.0,161.0,2.0,110.131,4.552,4.362,0.054,1.06,93.52
Africa,MAR,Morocco,2020,4,0,2020-04-27,4120.0,55.0,162.0,1.0,111.621,1.49,4.389,0.027,1.03,93.52
Africa,MAR,Morocco,2020,4,1,2020-04-28,4252.0,132.0,165.0,3.0,115.197,3.576,4.47,0.081,1.02,93.52
Africa,MAR,Morocco,2020,4,2,2020-04-29,4321.0,69.0,168.0,3.0,117.067,1.869,4.552,0.081,1.01,93.52
Africa,MAR,Morocco,2020,4,3,2020-04-30,4423.0,102.0,170.0,2.0,119.83,2.763,4.606,0.054,1.01,93.52
Africa,MAR,Morocco,2020,5,4,2020-05-01,4569.0,146.0,171.0,1.0,123.786,3.956,4.633,0.027,1.03,93.52
Africa,MAR,Morocco,2020,5,5,2020-05-02,4729.0,160.0,173.0,2.0,128.121,4.335,4.687,0.054,1.03,93.52
Africa,MAR,Morocco,2020,5,6,2020-05-03,4903.0,174.0,174.0,1.0,132.835,4.714,4.714,0.027,1.04,93.52
Africa,MAR,Morocco,2020,5,0,2020-05-04,5053.0,150.0,179.0,5.0,136.898,4.064,4.85,0.135,1.03,93.52
Africa,MAR,Morocco,2020,5,1,2020-05-05,5219.0,166.0,181.0,2.0,141.396,4.497,4.904,0.054,1.03,93.52
Africa,MAR,Morocco,2020,5,2,2020-05-06,5408.0,189.0,183.0,2.0,146.516,5.12,4.958,0.054,1.02,93.52
Africa,MAR,Morocco,2020,5,3,2020-05-07,5548.0,140.0,183.0,0.0,150.309,3.793,4.958,0.0,1.01,93.52
Africa,MAR,Morocco,2020,5,4,2020-05-08,5711.0,163.0,186.0,3.0,154.725,4.416,5.039,0.081,1.0,93.52
Africa,MAR,Morocco,2020,5,5,2020-05-09,5910.0,199.0,186.0,0.0,160.117,5.391,5.039,0.0,0.98,93.52
Africa,MAR,Morocco,2020,5,6,2020-05-10,6063.0,153.0,188.0,2.0,164.262,4.145,5.093,0.054,0.96,93.52
Africa,MAR,Morocco,2020,5,0,2020-05-11,6281.0,218.0,188.0,0.0,170.168,5.906,5.093,0.0,0.94,93.52
Africa,MAR,Morocco,2020,5,1,2020-05-12,6418.0,137.0,188.0,0.0,173.88,3.712,5.093,0.0,0.91,93.52
Africa,MAR,Morocco,2020,5,2,2020-05-13,6512.0,94.0,188.0,0.0,176.426,2.547,5.093,0.0,0.88,93.52
Africa,MAR,Morocco,2020,5,3,2020-05-14,6607.0,95.0,190.0,2.0,179.0,2.574,5.148,0.054,0.85,93.52
Africa,MAR,Morocco,2020,5,4,2020-05-15,6652.0,45.0,190.0,0.0,180.219,1.219,5.148,0.0,0.83,93.52
Africa,MAR,Morocco,2020,5,5,2020-05-16,6741.0,89.0,192.0,2.0,182.631,2.411,5.202,0.054,0.83,93.52
Africa,MAR,Morocco,2020,5,6,2020-05-17,6870.0,129.0,192.0,0.0,186.126,3.495,5.202,0.0,0.82,93.52
Africa,MAR,Morocco,2020,5,0,2020-05-18,6952.0,82.0,192.0,0.0,188.347,2.222,5.202,0.0,0.82,93.52
Africa,MAR,Morocco,2020,5,1,2020-05-19,7023.0,71.0,193.0,1.0,190.271,1.924,5.229,0.027,0.81,93.52
Africa,MAR,Morocco,2020,5,2,2020-05-20,7133.0,110.0,194.0,1.0,193.251,2.98,5.256,0.027,0.81,93.52
Africa,MAR,Morocco,2020,5,3,2020-05-21,7211.0,78.0,196.0,2.0,195.364,2.113,5.31,0.054,0.81,93.52
Africa,MAR,Morocco,2020,5,4,2020-05-22,7332.0,121.0,197.0,1.0,198.642,3.278,5.337,0.027,0.81,93.52
Africa,MAR,Morocco,2020,5,5,2020-05-23,7406.0,74.0,198.0,1.0,200.647,2.005,5.364,0.027,0.79,93.52
Africa,MAR,Morocco,2020,5,6,2020-05-24,7433.0,27.0,199.0,1.0,201.379,0.731,5.391,0.027,0.78,93.52
Africa,MAR,Morocco,2020,5,0,2020-05-25,7532.0,99.0,200.0,1.0,204.061,2.682,5.419,0.027,0.79,93.52
Africa,MAR,Morocco,2020,5,1,2020-05-26,7577.0,45.0,202.0,2.0,205.28,1.219,5.473,0.054,0.79,93.52
Africa,MAR,Morocco,2020,5,2,2020-05-27,7601.0,24.0,202.0,0.0,205.93,0.65,5.473,0.0,0.79,93.52
Africa,MAR,Morocco,2020,5,3,2020-05-28,7643.0,42.0,202.0,0.0,207.068,1.138,5.473,0.0,0.81,93.52
Africa,MAR,Morocco,2020,5,4,2020-05-29,7714.0,71.0,202.0,0.0,208.992,1.924,5.473,0.0,0.83,93.52
Africa,MAR,Morocco,2020,5,5,2020-05-30,7780.0,66.0,204.0,2.0,210.78,1.788,5.527,0.054,0.85,93.52
Africa,MAR,Morocco,2020,5,6,2020-05-31,7807.0,27.0,205.0,1.0,211.511,0.731,5.554,0.027,0.86,93.52
Africa,MAR,Morocco,2020,6,0,2020-06-01,7833.0,26.0,205.0,0.0,212.216,0.704,5.554,0.0,0.89,93.52
Africa,MAR,Morocco,2020,6,1,2020-06-02,7866.0,33.0,206.0,1.0,213.11,0.894,5.581,0.027,0.93,93.52
Africa,MAR,Morocco,2020,6,2,2020-06-03,7922.0,56.0,206.0,0.0,214.627,1.517,5.581,0.0,0.98,93.52
Africa,MAR,Morocco,2020,6,3,2020-06-04,8003.0,81.0,208.0,2.0,216.821,2.194,5.635,0.054,1.03,93.52
Africa,MAR,Morocco,2020,6,4,2020-06-05,8071.0,68.0,208.0,0.0,218.664,1.842,5.635,0.0,1.07,93.52
Africa,MAR,Morocco,2020,6,5,2020-06-06,8151.0,80.0,208.0,0.0,220.831,2.167,5.635,0.0,1.1,93.52
Africa,MAR,Morocco,2020,6,6,2020-06-07,8224.0,73.0,208.0,0.0,222.809,1.978,5.635,0.0,1.14,93.52
Africa,MAR,Morocco,2020,6,0,2020-06-08,8302.0,78.0,208.0,0.0,224.922,2.113,5.635,0.0,1.17,93.52
Africa,MAR,Morocco,2020,6,1,2020-06-09,8437.0,135.0,210.0,2.0,228.58,3.657,5.689,0.054,1.19,93.52
