continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,MCO,Monaco,2020,2,5,2020-02-29,1.0,1.0,,,25.482,25.482,,,,18.52
Europe,MCO,Monaco,2020,3,6,2020-03-01,1.0,0.0,,,25.482,0.0,,,,18.52
Europe,MCO,Monaco,2020,3,0,2020-03-02,1.0,0.0,,,25.482,0.0,,,,18.52
Europe,MCO,Monaco,2020,3,1,2020-03-03,1.0,0.0,,,25.482,0.0,,,,22.22
Europe,MCO,Monaco,2020,3,2,2020-03-04,1.0,0.0,,,25.482,0.0,,,,22.22
Europe,MCO,Monaco,2020,3,3,2020-03-05,1.0,0.0,,,25.482,0.0,,,,27.78
Europe,MCO,Monaco,2020,3,4,2020-03-06,1.0,0.0,,,25.482,0.0,,,,27.78
Europe,MCO,Monaco,2020,3,5,2020-03-07,1.0,0.0,,,25.482,0.0,,,,27.78
Europe,MCO,Monaco,2020,3,6,2020-03-08,1.0,0.0,,,25.482,0.0,,,,27.78
Europe,MCO,Monaco,2020,3,0,2020-03-09,1.0,0.0,,,25.482,0.0,,,,27.78
Europe,MCO,Monaco,2020,3,1,2020-03-10,1.0,0.0,,,25.482,0.0,,,,27.78
Europe,MCO,Monaco,2020,3,2,2020-03-11,1.0,0.0,,,25.482,0.0,,,,61.11
Europe,MCO,Monaco,2020,3,3,2020-03-12,2.0,1.0,,,50.963,25.482,,,,61.11
Europe,MCO,Monaco,2020,3,4,2020-03-13,2.0,0.0,,,50.963,0.0,,,,68.52
Europe,MCO,Monaco,2020,3,5,2020-03-14,2.0,0.0,,,50.963,0.0,,,,68.52
Europe,MCO,Monaco,2020,3,6,2020-03-15,2.0,0.0,,,50.963,0.0,,,,85.19
Europe,MCO,Monaco,2020,3,0,2020-03-16,7.0,5.0,,,178.371,127.408,,,,85.19
Europe,MCO,Monaco,2020,3,1,2020-03-17,7.0,0.0,,,178.371,0.0,,,,87.96
Europe,MCO,Monaco,2020,3,2,2020-03-18,7.0,0.0,,,178.371,0.0,,,,87.96
Europe,MCO,Monaco,2020,3,3,2020-03-19,7.0,0.0,,,178.371,0.0,,,,87.96
Europe,MCO,Monaco,2020,3,4,2020-03-20,11.0,4.0,,,280.298,101.926,,,,87.96
Europe,MCO,Monaco,2020,3,5,2020-03-21,11.0,0.0,,,280.298,0.0,,,,87.96
Europe,MCO,Monaco,2020,3,6,2020-03-22,23.0,12.0,,,586.077,305.779,,,,87.96
Europe,MCO,Monaco,2020,3,0,2020-03-23,23.0,0.0,,,586.077,0.0,,,,87.96
Europe,MCO,Monaco,2020,3,1,2020-03-24,23.0,0.0,,,586.077,0.0,,,,87.96
Europe,MCO,Monaco,2020,3,2,2020-03-25,31.0,8.0,,,789.93,203.853,,,,87.96
Europe,MCO,Monaco,2020,3,3,2020-03-26,33.0,2.0,,,840.893,50.963,,,,87.96
Europe,MCO,Monaco,2020,3,4,2020-03-27,42.0,9.0,,,1070.227,229.334,,,,87.96
Europe,MCO,Monaco,2020,3,5,2020-03-28,42.0,0.0,,,1070.227,0.0,,,,87.96
Europe,MCO,Monaco,2020,3,6,2020-03-29,46.0,4.0,1.0,1.0,1172.154,101.926,25.482,25.482,,87.96
