continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,MDA,Moldova,2020,3,6,2020-03-08,1.0,1.0,,,0.248,0.248,,,,11.11
Europe,MDA,Moldova,2020,3,0,2020-03-09,1.0,0.0,,,0.248,0.0,,,,11.11
Europe,MDA,Moldova,2020,3,1,2020-03-10,3.0,2.0,,,0.744,0.496,,,,33.33
Europe,MDA,Moldova,2020,3,2,2020-03-11,3.0,0.0,,,0.744,0.0,,,,51.85
Europe,MDA,Moldova,2020,3,3,2020-03-12,3.0,0.0,,,0.744,0.0,,,,51.85
Europe,MDA,Moldova,2020,3,4,2020-03-13,6.0,3.0,,,1.487,0.744,,,,51.85
Europe,MDA,Moldova,2020,3,5,2020-03-14,12.0,6.0,,,2.975,1.487,,,,51.85
Europe,MDA,Moldova,2020,3,6,2020-03-15,23.0,11.0,,,5.702,2.727,,,,51.85
Europe,MDA,Moldova,2020,3,0,2020-03-16,23.0,0.0,,,5.702,0.0,,,,51.85
Europe,MDA,Moldova,2020,3,1,2020-03-17,30.0,7.0,,,7.437,1.735,,,,54.63
Europe,MDA,Moldova,2020,3,2,2020-03-18,30.0,0.0,1.0,1.0,7.437,0.0,0.248,0.248,,54.63
Europe,MDA,Moldova,2020,3,3,2020-03-19,49.0,19.0,1.0,0.0,12.147,4.71,0.248,0.0,,54.63
Europe,MDA,Moldova,2020,3,4,2020-03-20,66.0,17.0,1.0,0.0,16.361,4.214,0.248,0.0,,54.63
Europe,MDA,Moldova,2020,3,5,2020-03-21,80.0,14.0,1.0,0.0,19.832,3.471,0.248,0.0,,57.41
Europe,MDA,Moldova,2020,3,6,2020-03-22,94.0,14.0,1.0,0.0,23.302,3.471,0.248,0.0,,57.41
Europe,MDA,Moldova,2020,3,0,2020-03-23,109.0,15.0,1.0,0.0,27.021,3.718,0.248,0.0,,65.74
Europe,MDA,Moldova,2020,3,1,2020-03-24,125.0,16.0,1.0,0.0,30.987,3.966,0.248,0.0,1.59,87.04
Europe,MDA,Moldova,2020,3,2,2020-03-25,149.0,24.0,1.0,0.0,36.936,5.949,0.248,0.0,1.6,87.04
Europe,MDA,Moldova,2020,3,3,2020-03-26,177.0,28.0,1.0,0.0,43.877,6.941,0.248,0.0,1.61,87.04
Europe,MDA,Moldova,2020,3,4,2020-03-27,199.0,22.0,2.0,1.0,49.331,5.454,0.496,0.248,1.62,87.04
Europe,MDA,Moldova,2020,3,5,2020-03-28,231.0,32.0,2.0,0.0,57.264,7.933,0.496,0.0,1.64,87.04
Europe,MDA,Moldova,2020,3,6,2020-03-29,263.0,32.0,2.0,0.0,65.196,7.933,0.496,0.0,1.66,87.04
Europe,MDA,Moldova,2020,3,0,2020-03-30,298.0,35.0,2.0,0.0,73.873,8.676,0.496,0.0,1.68,87.04
Europe,MDA,Moldova,2020,3,1,2020-03-31,353.0,55.0,4.0,2.0,87.507,13.634,0.992,0.496,1.7,87.04
Europe,MDA,Moldova,2020,4,2,2020-04-01,423.0,70.0,5.0,1.0,104.86,17.353,1.239,0.248,1.71,87.04
Europe,MDA,Moldova,2020,4,3,2020-04-02,505.0,82.0,6.0,1.0,125.187,20.327,1.487,0.248,1.71,87.04
Europe,MDA,Moldova,2020,4,4,2020-04-03,591.0,86.0,8.0,2.0,146.506,21.319,1.983,0.496,1.7,87.04
Europe,MDA,Moldova,2020,4,5,2020-04-04,752.0,161.0,12.0,4.0,186.417,39.911,2.975,0.992,1.68,87.04
Europe,MDA,Moldova,2020,4,6,2020-04-05,864.0,112.0,15.0,3.0,214.181,27.764,3.718,0.744,1.64,87.04
Europe,MDA,Moldova,2020,4,0,2020-04-06,965.0,101.0,19.0,4.0,239.219,25.037,4.71,0.992,1.59,87.04
Europe,MDA,Moldova,2020,4,1,2020-04-07,1056.0,91.0,22.0,3.0,261.777,22.558,5.454,0.744,1.55,87.04
Europe,MDA,Moldova,2020,4,2,2020-04-08,1174.0,118.0,27.0,5.0,291.029,29.252,6.693,1.239,1.51,87.04
Europe,MDA,Moldova,2020,4,3,2020-04-09,1289.0,115.0,29.0,2.0,319.537,28.508,7.189,0.496,1.48,87.04
Europe,MDA,Moldova,2020,4,4,2020-04-10,1438.0,149.0,29.0,0.0,356.473,36.936,7.189,0.0,1.44,87.04
Europe,MDA,Moldova,2020,4,5,2020-04-11,1560.0,122.0,30.0,1.0,386.716,30.243,7.437,0.248,1.4,87.04
