continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,MDG,Madagascar,2020,3,4,2020-03-20,3.0,3.0,,,0.108,0.108,,,,22.22
Africa,MDG,Madagascar,2020,3,5,2020-03-21,3.0,0.0,,,0.108,0.0,,,,82.41
Africa,MDG,Madagascar,2020,3,6,2020-03-22,3.0,0.0,,,0.108,0.0,,,,82.41
Africa,MDG,Madagascar,2020,3,0,2020-03-23,12.0,9.0,,,0.433,0.325,,,,91.67
Africa,MDG,Madagascar,2020,3,1,2020-03-24,17.0,5.0,,,0.614,0.181,,,,91.67
Africa,MDG,Madagascar,2020,3,2,2020-03-25,19.0,2.0,,,0.686,0.072,,,,91.67
Africa,MDG,Madagascar,2020,3,3,2020-03-26,23.0,4.0,,,0.831,0.144,,,,91.67
Africa,MDG,Madagascar,2020,3,4,2020-03-27,26.0,3.0,,,0.939,0.108,,,,91.67
Africa,MDG,Madagascar,2020,3,5,2020-03-28,26.0,0.0,,,0.939,0.0,,,,91.67
Africa,MDG,Madagascar,2020,3,6,2020-03-29,39.0,13.0,,,1.408,0.469,,,,91.67
Africa,MDG,Madagascar,2020,3,0,2020-03-30,43.0,4.0,,,1.553,0.144,,,,91.67
Africa,MDG,Madagascar,2020,3,1,2020-03-31,57.0,14.0,,,2.058,0.506,,,,91.67
Africa,MDG,Madagascar,2020,4,2,2020-04-01,57.0,0.0,,,2.058,0.0,,,,91.67
Africa,MDG,Madagascar,2020,4,3,2020-04-02,59.0,2.0,,,2.131,0.072,,,,91.67
Africa,MDG,Madagascar,2020,4,4,2020-04-03,70.0,11.0,,,2.528,0.397,,,,91.67
Africa,MDG,Madagascar,2020,4,5,2020-04-04,70.0,0.0,,,2.528,0.0,,,,91.67
Africa,MDG,Madagascar,2020,4,6,2020-04-05,72.0,2.0,,,2.6,0.072,,,,95.37
Africa,MDG,Madagascar,2020,4,0,2020-04-06,82.0,10.0,,,2.961,0.361,,,,95.37
Africa,MDG,Madagascar,2020,4,1,2020-04-07,88.0,6.0,,,3.178,0.217,,,,95.37
Africa,MDG,Madagascar,2020,4,2,2020-04-08,93.0,5.0,,,3.358,0.181,,,,95.37
Africa,MDG,Madagascar,2020,4,3,2020-04-09,93.0,0.0,,,3.358,0.0,,,,95.37
Africa,MDG,Madagascar,2020,4,4,2020-04-10,93.0,0.0,,,3.358,0.0,,,,95.37
Africa,MDG,Madagascar,2020,4,5,2020-04-11,102.0,9.0,,,3.684,0.325,,,,95.37
Africa,MDG,Madagascar,2020,4,6,2020-04-12,106.0,4.0,,,3.828,0.144,,,0.85,95.37
Africa,MDG,Madagascar,2020,4,0,2020-04-13,106.0,0.0,,,3.828,0.0,,,0.85,95.37
Africa,MDG,Madagascar,2020,4,1,2020-04-14,108.0,2.0,,,3.9,0.072,,,0.85,95.37
Africa,MDG,Madagascar,2020,4,2,2020-04-15,110.0,2.0,,,3.972,0.072,,,0.86,95.37
Africa,MDG,Madagascar,2020,4,3,2020-04-16,111.0,1.0,,,4.009,0.036,,,0.86,95.37
Africa,MDG,Madagascar,2020,4,4,2020-04-17,117.0,6.0,,,4.225,0.217,,,0.87,95.37
Africa,MDG,Madagascar,2020,4,5,2020-04-18,120.0,3.0,,,4.334,0.108,,,0.88,95.37
Africa,MDG,Madagascar,2020,4,6,2020-04-19,121.0,1.0,,,4.37,0.036,,,0.89,95.37
Africa,MDG,Madagascar,2020,4,0,2020-04-20,121.0,0.0,,,4.37,0.0,,,0.9,72.22
Africa,MDG,Madagascar,2020,4,1,2020-04-21,121.0,0.0,,,4.37,0.0,,,0.91,72.22
Africa,MDG,Madagascar,2020,4,2,2020-04-22,121.0,0.0,,,4.37,0.0,,,0.92,70.37
Africa,MDG,Madagascar,2020,4,3,2020-04-23,121.0,0.0,,,4.37,0.0,,,0.94,70.37
Africa,MDG,Madagascar,2020,4,4,2020-04-24,122.0,1.0,,,4.406,0.036,,,0.97,70.37
Africa,MDG,Madagascar,2020,4,5,2020-04-25,123.0,1.0,,,4.442,0.036,,,0.99,70.37
Africa,MDG,Madagascar,2020,4,6,2020-04-26,124.0,1.0,,,4.478,0.036,,,1.01,70.37
