continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,MDV,Maldives,2020,3,6,2020-03-08,4.0,4.0,,,7.4,7.4,,,,
Asia,MDV,Maldives,2020,3,0,2020-03-09,4.0,0.0,,,7.4,0.0,,,,
Asia,MDV,Maldives,2020,3,1,2020-03-10,6.0,2.0,,,11.1,3.7,,,,
Asia,MDV,Maldives,2020,3,2,2020-03-11,8.0,2.0,,,14.8,3.7,,,,
Asia,MDV,Maldives,2020,3,3,2020-03-12,8.0,0.0,,,14.8,0.0,,,,
Asia,MDV,Maldives,2020,3,4,2020-03-13,9.0,1.0,,,16.65,1.85,,,,
Asia,MDV,Maldives,2020,3,5,2020-03-14,10.0,1.0,,,18.5,1.85,,,,
Asia,MDV,Maldives,2020,3,6,2020-03-15,13.0,3.0,,,24.05,5.55,,,,
Asia,MDV,Maldives,2020,3,0,2020-03-16,13.0,0.0,,,24.05,0.0,,,,
Asia,MDV,Maldives,2020,3,1,2020-03-17,13.0,0.0,,,24.05,0.0,,,,
Asia,MDV,Maldives,2020,3,2,2020-03-18,13.0,0.0,,,24.05,0.0,,,,
Asia,MDV,Maldives,2020,3,3,2020-03-19,13.0,0.0,,,24.05,0.0,,,,
Asia,MDV,Maldives,2020,3,4,2020-03-20,13.0,0.0,,,24.05,0.0,,,,
Asia,MDV,Maldives,2020,3,5,2020-03-21,13.0,0.0,,,24.05,0.0,,,,
Asia,MDV,Maldives,2020,3,6,2020-03-22,13.0,0.0,,,24.05,0.0,,,,
Asia,MDV,Maldives,2020,3,0,2020-03-23,13.0,0.0,,,24.05,0.0,,,,
Asia,MDV,Maldives,2020,3,1,2020-03-24,13.0,0.0,,,24.05,0.0,,,,
Asia,MDV,Maldives,2020,3,2,2020-03-25,13.0,0.0,,,24.05,0.0,,,,
Asia,MDV,Maldives,2020,3,3,2020-03-26,13.0,0.0,,,24.05,0.0,,,,
Asia,MDV,Maldives,2020,3,4,2020-03-27,16.0,3.0,,,29.6,5.55,,,,
Asia,MDV,Maldives,2020,3,5,2020-03-28,16.0,0.0,,,29.6,0.0,,,,
Asia,MDV,Maldives,2020,3,6,2020-03-29,17.0,1.0,,,31.45,1.85,,,,
Asia,MDV,Maldives,2020,3,0,2020-03-30,17.0,0.0,,,31.45,0.0,,,,
Asia,MDV,Maldives,2020,3,1,2020-03-31,18.0,1.0,,,33.3,1.85,,,,
Asia,MDV,Maldives,2020,4,2,2020-04-01,19.0,1.0,,,35.15,1.85,,,,
Asia,MDV,Maldives,2020,4,3,2020-04-02,19.0,0.0,,,35.15,0.0,,,,
Asia,MDV,Maldives,2020,4,4,2020-04-03,19.0,0.0,,,35.15,0.0,,,,
Asia,MDV,Maldives,2020,4,5,2020-04-04,19.0,0.0,,,35.15,0.0,,,,
Asia,MDV,Maldives,2020,4,6,2020-04-05,19.0,0.0,,,35.15,0.0,,,,
Asia,MDV,Maldives,2020,4,0,2020-04-06,19.0,0.0,,,35.15,0.0,,,,
Asia,MDV,Maldives,2020,4,1,2020-04-07,19.0,0.0,,,35.15,0.0,,,,
Asia,MDV,Maldives,2020,4,2,2020-04-08,19.0,0.0,,,35.15,0.0,,,,
Asia,MDV,Maldives,2020,4,3,2020-04-09,19.0,0.0,,,35.15,0.0,,,,
Asia,MDV,Maldives,2020,4,4,2020-04-10,19.0,0.0,,,35.15,0.0,,,,
Asia,MDV,Maldives,2020,4,5,2020-04-11,19.0,0.0,,,35.15,0.0,,,,
Asia,MDV,Maldives,2020,4,6,2020-04-12,20.0,1.0,,,37.0,1.85,,,,
Asia,MDV,Maldives,2020,4,0,2020-04-13,20.0,0.0,,,37.0,0.0,,,,
Asia,MDV,Maldives,2020,4,1,2020-04-14,20.0,0.0,,,37.0,0.0,,,,
Asia,MDV,Maldives,2020,4,2,2020-04-15,22.0,2.0,,,40.7,3.7,,,,
Asia,MDV,Maldives,2020,4,3,2020-04-16,25.0,3.0,,,46.25,5.55,,,,
Asia,MDV,Maldives,2020,4,4,2020-04-17,28.0,3.0,,,51.8,5.55,,,,
Asia,MDV,Maldives,2020,4,5,2020-04-18,35.0,7.0,,,64.75,12.95,,,,
Asia,MDV,Maldives,2020,4,6,2020-04-19,52.0,17.0,,,96.2,31.45,,,,
Asia,MDV,Maldives,2020,4,0,2020-04-20,69.0,17.0,,,127.65,31.45,,,,
Asia,MDV,Maldives,2020,4,1,2020-04-21,83.0,14.0,,,153.55,25.9,,,,
Asia,MDV,Maldives,2020,4,2,2020-04-22,86.0,3.0,,,159.1,5.55,,,,
Asia,MDV,Maldives,2020,4,3,2020-04-23,108.0,22.0,,,199.799,40.7,,,,
Asia,MDV,Maldives,2020,4,4,2020-04-24,129.0,21.0,,,238.649,38.85,,,1.52,
Asia,MDV,Maldives,2020,4,5,2020-04-25,177.0,48.0,,,327.449,88.8,,,1.52,
Asia,MDV,Maldives,2020,4,6,2020-04-26,214.0,37.0,,,395.899,68.45,,,1.51,
Asia,MDV,Maldives,2020,4,0,2020-04-27,226.0,12.0,,,418.099,22.2,,,1.5,
Asia,MDV,Maldives,2020,4,1,2020-04-28,250.0,24.0,,,462.499,44.4,,,1.5,
Asia,MDV,Maldives,2020,4,2,2020-04-29,278.0,28.0,1.0,1.0,514.299,51.8,1.85,1.85,1.5,
Asia,MDV,Maldives,2020,4,3,2020-04-30,468.0,190.0,1.0,0.0,865.798,351.499,1.85,0.0,1.51,
Asia,MDV,Maldives,2020,5,4,2020-05-01,491.0,23.0,1.0,0.0,908.348,42.55,1.85,0.0,1.45,
Asia,MDV,Maldives,2020,5,5,2020-05-02,519.0,28.0,1.0,0.0,960.147,51.8,1.85,0.0,1.41,
