continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Oceania,MHL,Marshall Islands,2020,10,2,2020-10-28,2.0,2.0,,,33.787,33.787,,,,
Oceania,MHL,Marshall Islands,2020,10,3,2020-10-29,2.0,0.0,,,33.787,0.0,,,,
Oceania,MHL,Marshall Islands,2020,10,4,2020-10-30,2.0,0.0,,,33.787,0.0,,,,
Oceania,MHL,Marshall Islands,2020,10,5,2020-10-31,2.0,0.0,,,33.787,0.0,,,,
Oceania,MHL,Marshall Islands,2020,11,6,2020-11-01,2.0,0.0,,,33.787,0.0,,,,
Oceania,MHL,Marshall Islands,2020,11,0,2020-11-02,2.0,0.0,,,33.787,0.0,,,,
Oceania,MHL,Marshall Islands,2020,11,1,2020-11-03,2.0,0.0,,,33.787,0.0,,,,
Oceania,MHL,Marshall Islands,2020,11,2,2020-11-04,2.0,0.0,,,33.787,0.0,,,,
Oceania,MHL,Marshall Islands,2020,11,3,2020-11-05,1.0,-1.0,,,16.894,-16.894,,,,
Oceania,MHL,Marshall Islands,2020,11,4,2020-11-06,1.0,0.0,,,16.894,0.0,,,,
Oceania,MHL,Marshall Islands,2020,11,5,2020-11-07,1.0,0.0,,,16.894,0.0,,,,
Oceania,MHL,Marshall Islands,2020,11,6,2020-11-08,1.0,0.0,,,16.894,0.0,,,,
Oceania,MHL,Marshall Islands,2020,11,0,2020-11-09,1.0,0.0,,,16.894,0.0,,,,
Oceania,MHL,Marshall Islands,2020,11,1,2020-11-10,1.0,0.0,,,16.894,0.0,,,,
Oceania,MHL,Marshall Islands,2020,11,2,2020-11-11,1.0,0.0,,,16.894,0.0,,,,
Oceania,MHL,Marshall Islands,2020,11,3,2020-11-12,1.0,0.0,,,16.894,0.0,,,,
Oceania,MHL,Marshall Islands,2020,11,4,2020-11-13,1.0,0.0,,,16.894,0.0,,,,
Oceania,MHL,Marshall Islands,2020,11,5,2020-11-14,1.0,0.0,,,16.894,0.0,,,,
Oceania,MHL,Marshall Islands,2020,11,6,2020-11-15,1.0,0.0,,,16.894,0.0,,,,
Oceania,MHL,Marshall Islands,2020,11,0,2020-11-16,1.0,0.0,,,16.894,0.0,,,,
Oceania,MHL,Marshall Islands,2020,11,1,2020-11-17,4.0,3.0,,,67.574,50.681,,,,
Oceania,MHL,Marshall Islands,2020,11,2,2020-11-18,4.0,0.0,,,67.574,0.0,,,,
Oceania,MHL,Marshall Islands,2020,11,3,2020-11-19,4.0,0.0,,,67.574,0.0,,,,
Oceania,MHL,Marshall Islands,2020,11,4,2020-11-20,4.0,0.0,,,67.574,0.0,,,,
Oceania,MHL,Marshall Islands,2020,11,5,2020-11-21,4.0,0.0,,,67.574,0.0,,,,
Oceania,MHL,Marshall Islands,2020,11,6,2020-11-22,4.0,0.0,,,67.574,0.0,,,,
Oceania,MHL,Marshall Islands,2020,11,0,2020-11-23,4.0,0.0,,,67.574,0.0,,,,
Oceania,MHL,Marshall Islands,2020,11,1,2020-11-24,4.0,0.0,,,67.574,0.0,,,,
Oceania,MHL,Marshall Islands,2020,11,2,2020-11-25,4.0,0.0,,,67.574,0.0,,,,
Oceania,MHL,Marshall Islands,2020,11,3,2020-11-26,4.0,0.0,,,67.574,0.0,,,,
Oceania,MHL,Marshall Islands,2020,11,4,2020-11-27,4.0,0.0,,,67.574,0.0,,,,
Oceania,MHL,Marshall Islands,2020,11,5,2020-11-28,4.0,0.0,,,67.574,0.0,,,,
Oceania,MHL,Marshall Islands,2020,11,6,2020-11-29,4.0,0.0,,,67.574,0.0,,,,
Oceania,MHL,Marshall Islands,2020,11,0,2020-11-30,4.0,0.0,,,67.574,0.0,,,,
Oceania,MHL,Marshall Islands,2020,12,1,2020-12-01,4.0,0.0,,,67.574,0.0,,,,
Oceania,MHL,Marshall Islands,2020,12,2,2020-12-02,4.0,0.0,,,67.574,0.0,,,,
Oceania,MHL,Marshall Islands,2020,12,3,2020-12-03,4.0,0.0,,,67.574,0.0,,,,
Oceania,MHL,Marshall Islands,2020,12,4,2020-12-04,4.0,0.0,,,67.574,0.0,,,,
