continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,MKD,North Macedonia,2020,2,2,2020-02-26,1.0,1.0,,,0.48,0.48,,,,
Europe,MKD,North Macedonia,2020,2,3,2020-02-27,1.0,0.0,,,0.48,0.0,,,,
Europe,MKD,North Macedonia,2020,2,4,2020-02-28,1.0,0.0,,,0.48,0.0,,,,
Europe,MKD,North Macedonia,2020,2,5,2020-02-29,1.0,0.0,,,0.48,0.0,,,,
Europe,MKD,North Macedonia,2020,3,6,2020-03-01,1.0,0.0,,,0.48,0.0,,,,
Europe,MKD,North Macedonia,2020,3,0,2020-03-02,1.0,0.0,,,0.48,0.0,,,,
Europe,MKD,North Macedonia,2020,3,1,2020-03-03,1.0,0.0,,,0.48,0.0,,,,
Europe,MKD,North Macedonia,2020,3,2,2020-03-04,1.0,0.0,,,0.48,0.0,,,,
Europe,MKD,North Macedonia,2020,3,3,2020-03-05,1.0,0.0,,,0.48,0.0,,,,
Europe,MKD,North Macedonia,2020,3,4,2020-03-06,3.0,2.0,,,1.44,0.96,,,,
Europe,MKD,North Macedonia,2020,3,5,2020-03-07,3.0,0.0,,,1.44,0.0,,,,
Europe,MKD,North Macedonia,2020,3,6,2020-03-08,3.0,0.0,,,1.44,0.0,,,,
Europe,MKD,North Macedonia,2020,3,0,2020-03-09,3.0,0.0,,,1.44,0.0,,,,
Europe,MKD,North Macedonia,2020,3,1,2020-03-10,7.0,4.0,,,3.36,1.92,,,,
Europe,MKD,North Macedonia,2020,3,2,2020-03-11,7.0,0.0,,,3.36,0.0,,,,
Europe,MKD,North Macedonia,2020,3,3,2020-03-12,7.0,0.0,,,3.36,0.0,,,,
Europe,MKD,North Macedonia,2020,3,4,2020-03-13,14.0,7.0,,,6.72,3.36,,,,
Europe,MKD,North Macedonia,2020,3,5,2020-03-14,14.0,0.0,,,6.72,0.0,,,,
Europe,MKD,North Macedonia,2020,3,6,2020-03-15,14.0,0.0,,,6.72,0.0,,,,
Europe,MKD,North Macedonia,2020,3,0,2020-03-16,18.0,4.0,,,8.64,1.92,,,,
Europe,MKD,North Macedonia,2020,3,1,2020-03-17,26.0,8.0,,,12.48,3.84,,,,
Europe,MKD,North Macedonia,2020,3,2,2020-03-18,35.0,9.0,,,16.8,4.32,,,,
Europe,MKD,North Macedonia,2020,3,3,2020-03-19,48.0,13.0,,,23.039,6.24,,,,
Europe,MKD,North Macedonia,2020,3,4,2020-03-20,67.0,19.0,,,32.159,9.12,,,,
Europe,MKD,North Macedonia,2020,3,5,2020-03-21,85.0,18.0,,,40.799,8.64,,,,
Europe,MKD,North Macedonia,2020,3,6,2020-03-22,115.0,30.0,1.0,1.0,55.199,14.4,0.48,0.48,,
Europe,MKD,North Macedonia,2020,3,0,2020-03-23,136.0,21.0,2.0,1.0,65.279,10.08,0.96,0.48,1.26,
Europe,MKD,North Macedonia,2020,3,1,2020-03-24,148.0,12.0,2.0,0.0,71.038,5.76,0.96,0.0,1.26,
Europe,MKD,North Macedonia,2020,3,2,2020-03-25,177.0,29.0,3.0,1.0,84.958,13.92,1.44,0.48,1.28,
Europe,MKD,North Macedonia,2020,3,3,2020-03-26,201.0,24.0,3.0,0.0,96.478,11.52,1.44,0.0,1.28,
Europe,MKD,North Macedonia,2020,3,4,2020-03-27,219.0,18.0,3.0,0.0,105.118,8.64,1.44,0.0,1.27,
Europe,MKD,North Macedonia,2020,3,5,2020-03-28,241.0,22.0,4.0,1.0,115.677,10.56,1.92,0.48,1.28,
Europe,MKD,North Macedonia,2020,3,6,2020-03-29,259.0,18.0,6.0,2.0,124.317,8.64,2.88,0.96,1.29,
Europe,MKD,North Macedonia,2020,3,0,2020-03-30,285.0,26.0,7.0,1.0,136.797,12.48,3.36,0.48,1.31,
Europe,MKD,North Macedonia,2020,3,1,2020-03-31,329.0,44.0,9.0,2.0,157.916,21.12,4.32,0.96,1.32,
Europe,MKD,North Macedonia,2020,4,2,2020-04-01,354.0,25.0,11.0,2.0,169.916,12.0,5.28,0.96,1.32,
Europe,MKD,North Macedonia,2020,4,3,2020-04-02,384.0,30.0,11.0,0.0,184.316,14.4,5.28,0.0,1.33,
Europe,MKD,North Macedonia,2020,4,4,2020-04-03,430.0,46.0,12.0,1.0,206.395,22.08,5.76,0.48,1.33,
Europe,MKD,North Macedonia,2020,4,5,2020-04-04,483.0,53.0,17.0,5.0,231.835,25.439,8.16,2.4,1.33,
Europe,MKD,North Macedonia,2020,4,6,2020-04-05,555.0,72.0,18.0,1.0,266.394,34.559,8.64,0.48,1.3,
Europe,MKD,North Macedonia,2020,4,0,2020-04-06,570.0,15.0,23.0,5.0,273.594,7.2,11.04,2.4,1.26,
Europe,MKD,North Macedonia,2020,4,1,2020-04-07,599.0,29.0,26.0,3.0,287.514,13.92,12.48,1.44,1.24,
Europe,MKD,North Macedonia,2020,4,2,2020-04-08,617.0,18.0,29.0,3.0,296.153,8.64,13.92,1.44,1.23,
Europe,MKD,North Macedonia,2020,4,3,2020-04-09,663.0,46.0,30.0,1.0,318.233,22.08,14.4,0.48,1.23,
Europe,MKD,North Macedonia,2020,4,4,2020-04-10,711.0,48.0,32.0,2.0,341.272,23.039,15.36,0.96,1.22,
Europe,MKD,North Macedonia,2020,4,5,2020-04-11,760.0,49.0,34.0,2.0,364.792,23.519,16.32,0.96,1.21,
Europe,MKD,North Macedonia,2020,4,6,2020-04-12,828.0,68.0,34.0,0.0,397.431,32.639,16.32,0.0,1.2,
Europe,MKD,North Macedonia,2020,4,0,2020-04-13,854.0,26.0,38.0,4.0,409.911,12.48,18.24,1.92,1.18,
Europe,MKD,North Macedonia,2020,4,1,2020-04-14,908.0,54.0,44.0,6.0,435.83,25.919,21.12,2.88,1.16,
Europe,MKD,North Macedonia,2020,4,2,2020-04-15,974.0,66.0,45.0,1.0,467.51,31.679,21.6,0.48,1.15,
Europe,MKD,North Macedonia,2020,4,3,2020-04-16,1081.0,107.0,46.0,1.0,518.868,51.359,22.08,0.48,1.12,
Europe,MKD,North Macedonia,2020,4,4,2020-04-17,1117.0,36.0,49.0,3.0,536.148,17.28,23.519,1.44,1.06,
Europe,MKD,North Macedonia,2020,4,5,2020-04-18,1170.0,53.0,49.0,0.0,561.587,25.439,23.519,0.0,1.01,
Europe,MKD,North Macedonia,2020,4,6,2020-04-19,1207.0,37.0,51.0,2.0,579.347,17.76,24.479,0.96,0.96,
Europe,MKD,North Macedonia,2020,4,0,2020-04-20,1225.0,18.0,54.0,3.0,587.987,8.64,25.919,1.44,0.92,
Europe,MKD,North Macedonia,2020,4,1,2020-04-21,1231.0,6.0,55.0,1.0,590.867,2.88,26.399,0.48,0.89,
Europe,MKD,North Macedonia,2020,4,2,2020-04-22,1259.0,28.0,56.0,1.0,604.306,13.44,26.879,0.48,0.88,
Europe,MKD,North Macedonia,2020,4,3,2020-04-23,1300.0,41.0,56.0,0.0,623.986,19.68,26.879,0.0,0.87,
Europe,MKD,North Macedonia,2020,4,4,2020-04-24,1326.0,26.0,57.0,1.0,636.466,12.48,27.359,0.48,0.85,
Europe,MKD,North Macedonia,2020,4,5,2020-04-25,1367.0,41.0,59.0,2.0,656.145,19.68,28.319,0.96,0.84,
Europe,MKD,North Macedonia,2020,4,6,2020-04-26,1386.0,19.0,61.0,2.0,665.265,9.12,29.279,0.96,0.82,
Europe,MKD,North Macedonia,2020,4,0,2020-04-27,1399.0,13.0,65.0,4.0,671.505,6.24,31.199,1.92,0.81,
Europe,MKD,North Macedonia,2020,4,1,2020-04-28,1421.0,22.0,71.0,6.0,682.065,10.56,34.079,2.88,0.81,
Europe,MKD,North Macedonia,2020,4,2,2020-04-29,1442.0,21.0,73.0,2.0,692.144,10.08,35.039,0.96,0.81,
Europe,MKD,North Macedonia,2020,4,3,2020-04-30,1465.0,23.0,77.0,4.0,703.184,11.04,36.959,1.92,0.81,
Europe,MKD,North Macedonia,2020,5,4,2020-05-01,1494.0,29.0,81.0,4.0,717.104,13.92,38.879,1.92,0.81,
Europe,MKD,North Macedonia,2020,5,5,2020-05-02,1506.0,12.0,82.0,1.0,722.864,5.76,39.359,0.48,0.81,
Europe,MKD,North Macedonia,2020,5,6,2020-05-03,1511.0,5.0,84.0,2.0,725.264,2.4,40.319,0.96,0.81,
Europe,MKD,North Macedonia,2020,5,0,2020-05-04,1518.0,7.0,85.0,1.0,728.624,3.36,40.799,0.48,0.83,
Europe,MKD,North Macedonia,2020,5,1,2020-05-05,1526.0,8.0,86.0,1.0,732.464,3.84,41.279,0.48,0.86,
Europe,MKD,North Macedonia,2020,5,2,2020-05-06,1539.0,13.0,88.0,2.0,738.703,6.24,42.239,0.96,0.9,
Europe,MKD,North Macedonia,2020,5,3,2020-05-07,1572.0,33.0,89.0,1.0,754.543,15.84,42.719,0.48,0.94,
Europe,MKD,North Macedonia,2020,5,4,2020-05-08,1586.0,14.0,90.0,1.0,761.263,6.72,43.199,0.48,0.96,
Europe,MKD,North Macedonia,2020,5,5,2020-05-09,1622.0,36.0,91.0,1.0,778.543,17.28,43.679,0.48,0.99,
Europe,MKD,North Macedonia,2020,5,6,2020-05-10,1642.0,20.0,91.0,0.0,788.142,9.6,43.679,0.0,1.0,
Europe,MKD,North Macedonia,2020,5,0,2020-05-11,1664.0,22.0,91.0,0.0,798.702,10.56,43.679,0.0,1.01,
Europe,MKD,North Macedonia,2020,5,1,2020-05-12,1674.0,10.0,92.0,1.0,803.502,4.8,44.159,0.48,1.02,
Europe,MKD,North Macedonia,2020,5,2,2020-05-13,1694.0,20.0,95.0,3.0,813.102,9.6,45.599,1.44,1.05,
Europe,MKD,North Macedonia,2020,5,3,2020-05-14,1723.0,29.0,95.0,0.0,827.021,13.92,45.599,0.0,1.07,
Europe,MKD,North Macedonia,2020,5,4,2020-05-15,1740.0,17.0,97.0,2.0,835.181,8.16,46.559,0.96,1.08,
Europe,MKD,North Macedonia,2020,5,5,2020-05-16,1762.0,22.0,98.0,1.0,845.741,10.56,47.039,0.48,1.11,
Europe,MKD,North Macedonia,2020,5,6,2020-05-17,1792.0,30.0,101.0,3.0,860.141,14.4,48.479,1.44,1.13,
Europe,MKD,North Macedonia,2020,5,0,2020-05-18,1817.0,25.0,104.0,3.0,872.14,12.0,49.919,1.44,1.14,
Europe,MKD,North Macedonia,2020,5,1,2020-05-19,1839.0,22.0,106.0,2.0,882.7,10.56,50.879,0.96,1.16,
Europe,MKD,North Macedonia,2020,5,2,2020-05-20,1858.0,19.0,110.0,4.0,891.82,9.12,52.799,1.92,1.18,
Europe,MKD,North Macedonia,2020,5,3,2020-05-21,1898.0,40.0,111.0,1.0,911.02,19.2,53.279,0.48,1.2,
Europe,MKD,North Macedonia,2020,5,4,2020-05-22,1921.0,23.0,112.0,1.0,922.059,11.04,53.759,0.48,1.21,
Europe,MKD,North Macedonia,2020,5,5,2020-05-23,1941.0,20.0,113.0,1.0,931.659,9.6,54.239,0.48,1.23,
Europe,MKD,North Macedonia,2020,5,6,2020-05-24,1978.0,37.0,113.0,0.0,949.419,17.76,54.239,0.0,1.26,
Europe,MKD,North Macedonia,2020,5,0,2020-05-25,1999.0,21.0,113.0,0.0,959.499,10.08,54.239,0.0,1.28,
Europe,MKD,North Macedonia,2020,5,1,2020-05-26,2014.0,15.0,116.0,3.0,966.698,7.2,55.679,1.44,1.31,
Europe,MKD,North Macedonia,2020,5,2,2020-05-27,2039.0,25.0,119.0,3.0,978.698,12.0,57.119,1.44,1.36,
Europe,MKD,North Macedonia,2020,5,3,2020-05-28,2077.0,38.0,121.0,2.0,996.938,18.24,58.079,0.96,1.41,
Europe,MKD,North Macedonia,2020,5,4,2020-05-29,2129.0,52.0,126.0,5.0,1021.897,24.959,60.479,2.4,1.46,
Europe,MKD,North Macedonia,2020,5,5,2020-05-30,2164.0,35.0,131.0,5.0,1038.697,16.8,62.879,2.4,1.5,
Europe,MKD,North Macedonia,2020,5,6,2020-05-31,2226.0,62.0,133.0,2.0,1068.456,29.759,63.839,0.96,1.55,
Europe,MKD,North Macedonia,2020,6,0,2020-06-01,2315.0,89.0,140.0,7.0,1111.175,42.719,67.198,3.36,1.58,
Europe,MKD,North Macedonia,2020,6,1,2020-06-02,2391.0,76.0,141.0,1.0,1147.654,36.479,67.678,0.48,1.59,
Europe,MKD,North Macedonia,2020,6,2,2020-06-03,2492.0,101.0,145.0,4.0,1196.133,48.479,69.598,1.92,1.6,
Europe,MKD,North Macedonia,2020,6,3,2020-06-04,2611.0,119.0,147.0,2.0,1253.252,57.119,70.558,0.96,1.6,
Europe,MKD,North Macedonia,2020,6,4,2020-06-05,2790.0,179.0,149.0,2.0,1339.17,85.918,71.518,0.96,1.59,
Europe,MKD,North Macedonia,2020,6,5,2020-06-06,2915.0,125.0,151.0,2.0,1399.169,59.999,72.478,0.96,1.54,
Europe,MKD,North Macedonia,2020,6,6,2020-06-07,3025.0,110.0,153.0,2.0,1451.967,52.799,73.438,0.96,1.5,
Europe,MKD,North Macedonia,2020,6,0,2020-06-08,3152.0,127.0,156.0,3.0,1512.926,60.959,74.878,1.44,1.47,
Europe,MKD,North Macedonia,2020,6,1,2020-06-09,3239.0,87.0,157.0,1.0,1554.685,41.759,75.358,0.48,1.43,
Europe,MKD,North Macedonia,2020,6,2,2020-06-10,3364.0,125.0,164.0,7.0,1614.684,59.999,78.718,3.36,1.41,
Europe,MKD,North Macedonia,2020,6,3,2020-06-11,3538.0,174.0,169.0,5.0,1698.202,83.518,81.118,2.4,1.4,
Europe,MKD,North Macedonia,2020,6,4,2020-06-12,3701.0,163.0,171.0,2.0,1776.44,78.238,82.078,0.96,1.37,
Europe,MKD,North Macedonia,2020,6,5,2020-06-13,3895.0,194.0,179.0,8.0,1869.558,93.118,85.918,3.84,1.34,
Europe,MKD,North Macedonia,2020,6,6,2020-06-14,4057.0,162.0,188.0,9.0,1947.316,77.758,90.238,4.32,1.3,
Europe,MKD,North Macedonia,2020,6,0,2020-06-15,4157.0,100.0,193.0,5.0,1995.315,47.999,92.638,2.4,1.27,
Europe,MKD,North Macedonia,2020,6,1,2020-06-16,4299.0,142.0,201.0,8.0,2063.474,68.158,96.478,3.84,1.24,
