continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,MLT,Malta,2020,2,3,2020-02-06,,,,,,,,,,5.56
Europe,MLT,Malta,2020,2,4,2020-02-07,,,,,,,,,,5.56
Europe,MLT,Malta,2020,2,5,2020-02-08,,,,,,,,,,5.56
Europe,MLT,Malta,2020,2,6,2020-02-09,,,,,,,,,,5.56
Europe,MLT,Malta,2020,2,0,2020-02-10,,,,,,,,,,5.56
Europe,MLT,Malta,2020,2,1,2020-02-11,,,,,,,,,,5.56
Europe,MLT,Malta,2020,2,2,2020-02-12,,,,,,,,,,5.56
Europe,MLT,Malta,2020,2,3,2020-02-13,,,,,,,,,,5.56
Europe,MLT,Malta,2020,2,4,2020-02-14,,,,,,,,,,5.56
Europe,MLT,Malta,2020,2,5,2020-02-15,,,,,,,,,,5.56
Europe,MLT,Malta,2020,2,6,2020-02-16,,,,,,,,,,5.56
Europe,MLT,Malta,2020,2,0,2020-02-17,,,,,,,,,,5.56
Europe,MLT,Malta,2020,2,1,2020-02-18,,,,,,,,,,5.56
Europe,MLT,Malta,2020,2,2,2020-02-19,,,,,,,,,,5.56
Europe,MLT,Malta,2020,2,3,2020-02-20,,,,,,,,,,5.56
Europe,MLT,Malta,2020,2,4,2020-02-21,,,,,,,,,,5.56
Europe,MLT,Malta,2020,2,5,2020-02-22,,,,,,,,,,5.56
Europe,MLT,Malta,2020,2,6,2020-02-23,,,,,,,,,,8.33
Europe,MLT,Malta,2020,2,0,2020-02-24,,,,,,,,,,8.33
Europe,MLT,Malta,2020,2,1,2020-02-25,,,,,,,,,,11.11
Europe,MLT,Malta,2020,2,2,2020-02-26,,,,,,,,,,11.11
Europe,MLT,Malta,2020,2,3,2020-02-27,,,,,,,,,,11.11
Europe,MLT,Malta,2020,2,4,2020-02-28,,,,,,,,,,11.11
Europe,MLT,Malta,2020,2,5,2020-02-29,,,,,,,,,,11.11
Europe,MLT,Malta,2020,3,6,2020-03-01,,,,,,,,,,11.11
Europe,MLT,Malta,2020,3,0,2020-03-02,,,,,,,,,,11.11
Europe,MLT,Malta,2020,3,1,2020-03-03,,,,,,,,,,11.11
Europe,MLT,Malta,2020,3,2,2020-03-04,,,,,,,,,,11.11
Europe,MLT,Malta,2020,3,3,2020-03-05,,,,,,,,,,11.11
Europe,MLT,Malta,2020,3,4,2020-03-06,,,,,,,,,,11.11
Europe,MLT,Malta,2020,3,5,2020-03-07,3.0,3.0,,,6.794,6.794,,,,11.11
Europe,MLT,Malta,2020,3,6,2020-03-08,3.0,0.0,,,6.794,0.0,,,,11.11
Europe,MLT,Malta,2020,3,0,2020-03-09,3.0,0.0,,,6.794,0.0,,,,16.67
Europe,MLT,Malta,2020,3,1,2020-03-10,5.0,2.0,,,11.324,4.53,,,,27.78
Europe,MLT,Malta,2020,3,2,2020-03-11,6.0,1.0,,,13.589,2.265,,,,27.78
Europe,MLT,Malta,2020,3,3,2020-03-12,6.0,0.0,,,13.589,0.0,,,,33.33
Europe,MLT,Malta,2020,3,4,2020-03-13,12.0,6.0,,,27.178,13.589,,,,57.41
