continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,MMR,Myanmar,2020,3,4,2020-03-27,8.0,8.0,,,0.147,0.147,,,,54.63
Asia,MMR,Myanmar,2020,3,5,2020-03-28,8.0,0.0,,,0.147,0.0,,,,54.63
Asia,MMR,Myanmar,2020,3,6,2020-03-29,10.0,2.0,,,0.184,0.037,,,,54.63
Asia,MMR,Myanmar,2020,3,0,2020-03-30,14.0,4.0,,,0.257,0.074,,,,57.41
Asia,MMR,Myanmar,2020,3,1,2020-03-31,15.0,1.0,1.0,1.0,0.276,0.018,0.018,0.018,,57.41
Asia,MMR,Myanmar,2020,4,2,2020-04-01,15.0,0.0,1.0,0.0,0.276,0.0,0.018,0.0,,65.74
Asia,MMR,Myanmar,2020,4,3,2020-04-02,20.0,5.0,1.0,0.0,0.368,0.092,0.018,0.0,,65.74
Asia,MMR,Myanmar,2020,4,4,2020-04-03,20.0,0.0,1.0,0.0,0.368,0.0,0.018,0.0,,65.74
Asia,MMR,Myanmar,2020,4,5,2020-04-04,21.0,1.0,1.0,0.0,0.386,0.018,0.018,0.0,,69.44
Asia,MMR,Myanmar,2020,4,6,2020-04-05,21.0,0.0,1.0,0.0,0.386,0.0,0.018,0.0,,69.44
Asia,MMR,Myanmar,2020,4,0,2020-04-06,22.0,1.0,1.0,0.0,0.404,0.018,0.018,0.0,,69.44
Asia,MMR,Myanmar,2020,4,1,2020-04-07,22.0,0.0,1.0,0.0,0.404,0.0,0.018,0.0,,77.78
Asia,MMR,Myanmar,2020,4,2,2020-04-08,22.0,0.0,3.0,2.0,0.404,0.0,0.055,0.037,,77.78
Asia,MMR,Myanmar,2020,4,3,2020-04-09,23.0,1.0,3.0,0.0,0.423,0.018,0.055,0.0,,77.78
Asia,MMR,Myanmar,2020,4,4,2020-04-10,27.0,4.0,3.0,0.0,0.496,0.074,0.055,0.0,,79.63
Asia,MMR,Myanmar,2020,4,5,2020-04-11,38.0,11.0,3.0,0.0,0.698,0.202,0.055,0.0,,79.63
Asia,MMR,Myanmar,2020,4,6,2020-04-12,41.0,3.0,4.0,1.0,0.754,0.055,0.074,0.018,,81.48
