continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,MNE,Montenegro,2020,3,1,2020-03-17,2.0,2.0,,,3.184,3.184,,,,
Europe,MNE,Montenegro,2020,3,2,2020-03-18,2.0,0.0,,,3.184,0.0,,,,
Europe,MNE,Montenegro,2020,3,3,2020-03-19,3.0,1.0,,,4.777,1.592,,,,
Europe,MNE,Montenegro,2020,3,4,2020-03-20,14.0,11.0,,,22.291,17.514,,,,
Europe,MNE,Montenegro,2020,3,5,2020-03-21,14.0,0.0,,,22.291,0.0,,,,
Europe,MNE,Montenegro,2020,3,6,2020-03-22,21.0,7.0,,,33.436,11.145,,,,
Europe,MNE,Montenegro,2020,3,0,2020-03-23,27.0,6.0,1.0,1.0,42.989,9.553,1.592,1.592,,
Europe,MNE,Montenegro,2020,3,1,2020-03-24,47.0,20.0,1.0,0.0,74.833,31.844,1.592,0.0,,
Europe,MNE,Montenegro,2020,3,2,2020-03-25,52.0,5.0,1.0,0.0,82.794,7.961,1.592,0.0,,
Europe,MNE,Montenegro,2020,3,3,2020-03-26,69.0,17.0,1.0,0.0,109.862,27.067,1.592,0.0,,
Europe,MNE,Montenegro,2020,3,4,2020-03-27,82.0,13.0,1.0,0.0,130.56,20.699,1.592,0.0,,
Europe,MNE,Montenegro,2020,3,5,2020-03-28,84.0,2.0,1.0,0.0,133.745,3.184,1.592,0.0,,
Europe,MNE,Montenegro,2020,3,6,2020-03-29,85.0,1.0,1.0,0.0,135.337,1.592,1.592,0.0,,
Europe,MNE,Montenegro,2020,3,0,2020-03-30,91.0,6.0,1.0,0.0,144.89,9.553,1.592,0.0,,
Europe,MNE,Montenegro,2020,3,1,2020-03-31,109.0,18.0,2.0,1.0,173.55,28.66,3.184,1.592,,
Europe,MNE,Montenegro,2020,4,2,2020-04-01,123.0,14.0,2.0,0.0,195.841,22.291,3.184,0.0,1.12,
Europe,MNE,Montenegro,2020,4,3,2020-04-02,144.0,21.0,2.0,0.0,229.277,33.436,3.184,0.0,1.14,
Europe,MNE,Montenegro,2020,4,4,2020-04-03,174.0,30.0,2.0,0.0,277.043,47.766,3.184,0.0,1.14,
Europe,MNE,Montenegro,2020,4,5,2020-04-04,201.0,27.0,2.0,0.0,320.032,42.989,3.184,0.0,1.06,
Europe,MNE,Montenegro,2020,4,6,2020-04-05,214.0,13.0,2.0,0.0,340.731,20.699,3.184,0.0,0.94,
Europe,MNE,Montenegro,2020,4,0,2020-04-06,233.0,19.0,2.0,0.0,370.982,30.252,3.184,0.0,0.84,
Europe,MNE,Montenegro,2020,4,1,2020-04-07,241.0,8.0,2.0,0.0,383.72,12.738,3.184,0.0,0.73,
Europe,MNE,Montenegro,2020,4,2,2020-04-08,248.0,7.0,2.0,0.0,394.865,11.145,3.184,0.0,0.64,
Europe,MNE,Montenegro,2020,4,3,2020-04-09,252.0,4.0,2.0,0.0,401.234,6.369,3.184,0.0,0.58,
Europe,MNE,Montenegro,2020,4,4,2020-04-10,255.0,3.0,2.0,0.0,406.011,4.777,3.184,0.0,0.56,
Europe,MNE,Montenegro,2020,4,5,2020-04-11,263.0,8.0,2.0,0.0,418.748,12.738,3.184,0.0,0.58,
Europe,MNE,Montenegro,2020,4,6,2020-04-12,272.0,9.0,3.0,1.0,433.078,14.33,4.777,1.592,0.58,
Europe,MNE,Montenegro,2020,4,0,2020-04-13,274.0,2.0,3.0,0.0,436.263,3.184,4.777,0.0,0.57,
