continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,MNG,Mongolia,2020,3,1,2020-03-10,1.0,1.0,,,0.305,0.305,,,,57.41
Asia,MNG,Mongolia,2020,3,2,2020-03-11,1.0,0.0,,,0.305,0.0,,,,57.41
Asia,MNG,Mongolia,2020,3,3,2020-03-12,1.0,0.0,,,0.305,0.0,,,,57.41
Asia,MNG,Mongolia,2020,3,4,2020-03-13,1.0,0.0,,,0.305,0.0,,,,57.41
Asia,MNG,Mongolia,2020,3,5,2020-03-14,1.0,0.0,,,0.305,0.0,,,,57.41
Asia,MNG,Mongolia,2020,3,6,2020-03-15,1.0,0.0,,,0.305,0.0,,,,57.41
Asia,MNG,Mongolia,2020,3,0,2020-03-16,1.0,0.0,,,0.305,0.0,,,,57.41
Asia,MNG,Mongolia,2020,3,1,2020-03-17,5.0,4.0,,,1.525,1.22,,,,49.07
Asia,MNG,Mongolia,2020,3,2,2020-03-18,6.0,1.0,,,1.83,0.305,,,,49.07
Asia,MNG,Mongolia,2020,3,3,2020-03-19,6.0,0.0,,,1.83,0.0,,,,49.07
Asia,MNG,Mongolia,2020,3,4,2020-03-20,6.0,0.0,,,1.83,0.0,,,,49.07
Asia,MNG,Mongolia,2020,3,5,2020-03-21,10.0,4.0,,,3.05,1.22,,,,49.07
Asia,MNG,Mongolia,2020,3,6,2020-03-22,10.0,0.0,,,3.05,0.0,,,,49.07
Asia,MNG,Mongolia,2020,3,0,2020-03-23,10.0,0.0,,,3.05,0.0,,,,60.19
Asia,MNG,Mongolia,2020,3,1,2020-03-24,10.0,0.0,,,3.05,0.0,,,,62.96
Asia,MNG,Mongolia,2020,3,2,2020-03-25,10.0,0.0,,,3.05,0.0,,,,62.96
Asia,MNG,Mongolia,2020,3,3,2020-03-26,11.0,1.0,,,3.355,0.305,,,,62.96
Asia,MNG,Mongolia,2020,3,4,2020-03-27,11.0,0.0,,,3.355,0.0,,,,62.96
Asia,MNG,Mongolia,2020,3,5,2020-03-28,12.0,1.0,,,3.66,0.305,,,,62.96
Asia,MNG,Mongolia,2020,3,6,2020-03-29,12.0,0.0,,,3.66,0.0,,,,62.96
Asia,MNG,Mongolia,2020,3,0,2020-03-30,12.0,0.0,,,3.66,0.0,,,,62.96
Asia,MNG,Mongolia,2020,3,1,2020-03-31,12.0,0.0,,,3.66,0.0,,,,62.96
Asia,MNG,Mongolia,2020,4,2,2020-04-01,14.0,2.0,,,4.271,0.61,,,,62.96
Asia,MNG,Mongolia,2020,4,3,2020-04-02,14.0,0.0,,,4.271,0.0,,,,62.96
Asia,MNG,Mongolia,2020,4,4,2020-04-03,14.0,0.0,,,4.271,0.0,,,,62.96
Asia,MNG,Mongolia,2020,4,5,2020-04-04,14.0,0.0,,,4.271,0.0,,,,62.96
Asia,MNG,Mongolia,2020,4,6,2020-04-05,14.0,0.0,,,4.271,0.0,,,,65.74
Asia,MNG,Mongolia,2020,4,0,2020-04-06,15.0,1.0,,,4.576,0.305,,,,65.74
Asia,MNG,Mongolia,2020,4,1,2020-04-07,15.0,0.0,,,4.576,0.0,,,,65.74
Asia,MNG,Mongolia,2020,4,2,2020-04-08,16.0,1.0,,,4.881,0.305,,,,65.74
Asia,MNG,Mongolia,2020,4,3,2020-04-09,16.0,0.0,,,4.881,0.0,,,,65.74
Asia,MNG,Mongolia,2020,4,4,2020-04-10,16.0,0.0,,,4.881,0.0,,,,65.74
Asia,MNG,Mongolia,2020,4,5,2020-04-11,16.0,0.0,,,4.881,0.0,,,,65.74
Asia,MNG,Mongolia,2020,4,6,2020-04-12,16.0,0.0,,,4.881,0.0,,,,65.74
Asia,MNG,Mongolia,2020,4,0,2020-04-13,17.0,1.0,,,5.186,0.305,,,,65.74
Asia,MNG,Mongolia,2020,4,1,2020-04-14,30.0,13.0,,,9.151,3.965,,,,65.74
Asia,MNG,Mongolia,2020,4,2,2020-04-15,30.0,0.0,,,9.151,0.0,,,,65.74
