continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,MOZ,Mozambique,2020,3,6,2020-03-22,1.0,1.0,,,0.032,0.032,,,,22.22
Africa,MOZ,Mozambique,2020,3,0,2020-03-23,1.0,0.0,,,0.032,0.0,,,,47.22
Africa,MOZ,Mozambique,2020,3,1,2020-03-24,3.0,2.0,,,0.096,0.064,,,,47.22
Africa,MOZ,Mozambique,2020,3,2,2020-03-25,5.0,2.0,,,0.16,0.064,,,,47.22
Africa,MOZ,Mozambique,2020,3,3,2020-03-26,7.0,2.0,,,0.224,0.064,,,,47.22
Africa,MOZ,Mozambique,2020,3,4,2020-03-27,7.0,0.0,,,0.224,0.0,,,,47.22
Africa,MOZ,Mozambique,2020,3,5,2020-03-28,8.0,1.0,,,0.256,0.032,,,,47.22
Africa,MOZ,Mozambique,2020,3,6,2020-03-29,8.0,0.0,,,0.256,0.0,,,,47.22
Africa,MOZ,Mozambique,2020,3,0,2020-03-30,8.0,0.0,,,0.256,0.0,,,,47.22
Africa,MOZ,Mozambique,2020,3,1,2020-03-31,8.0,0.0,,,0.256,0.0,,,,47.22
Africa,MOZ,Mozambique,2020,4,2,2020-04-01,10.0,2.0,,,0.32,0.064,,,,56.48
Africa,MOZ,Mozambique,2020,4,3,2020-04-02,10.0,0.0,,,0.32,0.0,,,,56.48
Africa,MOZ,Mozambique,2020,4,4,2020-04-03,10.0,0.0,,,0.32,0.0,,,,56.48
Africa,MOZ,Mozambique,2020,4,5,2020-04-04,10.0,0.0,,,0.32,0.0,,,,56.48
Africa,MOZ,Mozambique,2020,4,6,2020-04-05,10.0,0.0,,,0.32,0.0,,,,56.48
Africa,MOZ,Mozambique,2020,4,0,2020-04-06,10.0,0.0,,,0.32,0.0,,,,56.48
Africa,MOZ,Mozambique,2020,4,1,2020-04-07,10.0,0.0,,,0.32,0.0,,,,56.48
Africa,MOZ,Mozambique,2020,4,2,2020-04-08,17.0,7.0,,,0.544,0.224,,,,56.48
Africa,MOZ,Mozambique,2020,4,3,2020-04-09,17.0,0.0,,,0.544,0.0,,,,56.48
Africa,MOZ,Mozambique,2020,4,4,2020-04-10,20.0,3.0,,,0.64,0.096,,,,56.48
Africa,MOZ,Mozambique,2020,4,5,2020-04-11,20.0,0.0,,,0.64,0.0,,,,56.48
Africa,MOZ,Mozambique,2020,4,6,2020-04-12,21.0,1.0,,,0.672,0.032,,,,56.48
Africa,MOZ,Mozambique,2020,4,0,2020-04-13,21.0,0.0,,,0.672,0.0,,,,56.48
Africa,MOZ,Mozambique,2020,4,1,2020-04-14,28.0,7.0,,,0.896,0.224,,,,56.48
Africa,MOZ,Mozambique,2020,4,2,2020-04-15,29.0,1.0,,,0.928,0.032,,,,56.48
Africa,MOZ,Mozambique,2020,4,3,2020-04-16,31.0,2.0,,,0.992,0.064,,,,56.48
Africa,MOZ,Mozambique,2020,4,4,2020-04-17,34.0,3.0,,,1.088,0.096,,,,56.48
Africa,MOZ,Mozambique,2020,4,5,2020-04-18,35.0,1.0,,,1.12,0.032,,,,56.48
Africa,MOZ,Mozambique,2020,4,6,2020-04-19,39.0,4.0,,,1.248,0.128,,,,56.48
Africa,MOZ,Mozambique,2020,4,0,2020-04-20,39.0,0.0,,,1.248,0.0,,,,56.48
Africa,MOZ,Mozambique,2020,4,1,2020-04-21,39.0,0.0,,,1.248,0.0,,,,56.48
Africa,MOZ,Mozambique,2020,4,2,2020-04-22,41.0,2.0,,,1.312,0.064,,,,56.48
Africa,MOZ,Mozambique,2020,4,3,2020-04-23,46.0,5.0,,,1.472,0.16,,,,56.48
Africa,MOZ,Mozambique,2020,4,4,2020-04-24,65.0,19.0,,,2.08,0.608,,,,56.48
Africa,MOZ,Mozambique,2020,4,5,2020-04-25,70.0,5.0,,,2.24,0.16,,,,56.48
Africa,MOZ,Mozambique,2020,4,6,2020-04-26,76.0,6.0,,,2.432,0.192,,,,56.48
Africa,MOZ,Mozambique,2020,4,0,2020-04-27,76.0,0.0,,,2.432,0.0,,,,56.48
Africa,MOZ,Mozambique,2020,4,1,2020-04-28,76.0,0.0,,,2.432,0.0,,,,56.48
Africa,MOZ,Mozambique,2020,4,2,2020-04-29,76.0,0.0,,,2.432,0.0,,,,56.48
Africa,MOZ,Mozambique,2020,4,3,2020-04-30,76.0,0.0,,,2.432,0.0,,,,56.48
Africa,MOZ,Mozambique,2020,5,4,2020-05-01,79.0,3.0,,,2.528,0.096,,,,56.48
Africa,MOZ,Mozambique,2020,5,5,2020-05-02,79.0,0.0,,,2.528,0.0,,,,56.48
Africa,MOZ,Mozambique,2020,5,6,2020-05-03,80.0,1.0,,,2.56,0.032,,,,56.48
Africa,MOZ,Mozambique,2020,5,0,2020-05-04,80.0,0.0,,,2.56,0.0,,,,56.48
Africa,MOZ,Mozambique,2020,5,1,2020-05-05,81.0,1.0,,,2.592,0.032,,,,56.48
