continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,MRT,Mauritania,2020,3,5,2020-03-14,1.0,1.0,,,0.215,0.215,,,,16.67
Africa,MRT,Mauritania,2020,3,6,2020-03-15,1.0,0.0,,,0.215,0.0,,,,16.67
Africa,MRT,Mauritania,2020,3,0,2020-03-16,1.0,0.0,,,0.215,0.0,,,,27.78
Africa,MRT,Mauritania,2020,3,1,2020-03-17,1.0,0.0,,,0.215,0.0,,,,27.78
Africa,MRT,Mauritania,2020,3,2,2020-03-18,1.0,0.0,,,0.215,0.0,,,,27.78
Africa,MRT,Mauritania,2020,3,3,2020-03-19,2.0,1.0,,,0.43,0.215,,,,57.41
Africa,MRT,Mauritania,2020,3,4,2020-03-20,2.0,0.0,,,0.43,0.0,,,,57.41
Africa,MRT,Mauritania,2020,3,5,2020-03-21,2.0,0.0,,,0.43,0.0,,,,57.41
Africa,MRT,Mauritania,2020,3,6,2020-03-22,2.0,0.0,,,0.43,0.0,,,,57.41
Africa,MRT,Mauritania,2020,3,0,2020-03-23,2.0,0.0,,,0.43,0.0,,,,62.96
Africa,MRT,Mauritania,2020,3,1,2020-03-24,2.0,0.0,,,0.43,0.0,,,,62.96
Africa,MRT,Mauritania,2020,3,2,2020-03-25,2.0,0.0,,,0.43,0.0,,,,62.96
Africa,MRT,Mauritania,2020,3,3,2020-03-26,3.0,1.0,,,0.645,0.215,,,,62.96
Africa,MRT,Mauritania,2020,3,4,2020-03-27,3.0,0.0,,,0.645,0.0,,,,66.67
Africa,MRT,Mauritania,2020,3,5,2020-03-28,5.0,2.0,,,1.075,0.43,,,,66.67
Africa,MRT,Mauritania,2020,3,6,2020-03-29,5.0,0.0,,,1.075,0.0,,,,77.78
Africa,MRT,Mauritania,2020,3,0,2020-03-30,5.0,0.0,1.0,1.0,1.075,0.0,0.215,0.215,,77.78
Africa,MRT,Mauritania,2020,3,1,2020-03-31,6.0,1.0,1.0,0.0,1.29,0.215,0.215,0.0,,77.78
Africa,MRT,Mauritania,2020,4,2,2020-04-01,6.0,0.0,1.0,0.0,1.29,0.0,0.215,0.0,,77.78
Africa,MRT,Mauritania,2020,4,3,2020-04-02,6.0,0.0,1.0,0.0,1.29,0.0,0.215,0.0,,77.78
Africa,MRT,Mauritania,2020,4,4,2020-04-03,6.0,0.0,1.0,0.0,1.29,0.0,0.215,0.0,,77.78
Africa,MRT,Mauritania,2020,4,5,2020-04-04,6.0,0.0,1.0,0.0,1.29,0.0,0.215,0.0,,77.78
Africa,MRT,Mauritania,2020,4,6,2020-04-05,6.0,0.0,1.0,0.0,1.29,0.0,0.215,0.0,,77.78
Africa,MRT,Mauritania,2020,4,0,2020-04-06,6.0,0.0,1.0,0.0,1.29,0.0,0.215,0.0,,77.78
Africa,MRT,Mauritania,2020,4,1,2020-04-07,6.0,0.0,1.0,0.0,1.29,0.0,0.215,0.0,,77.78
Africa,MRT,Mauritania,2020,4,2,2020-04-08,6.0,0.0,1.0,0.0,1.29,0.0,0.215,0.0,,77.78
Africa,MRT,Mauritania,2020,4,3,2020-04-09,7.0,1.0,1.0,0.0,1.505,0.215,0.215,0.0,,77.78
