continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,MUS,Mauritius,2020,3,2,2020-03-18,3.0,3.0,,,2.359,2.359,,,,5.56
Africa,MUS,Mauritius,2020,3,3,2020-03-19,3.0,0.0,,,2.359,0.0,,,,22.22
Africa,MUS,Mauritius,2020,3,4,2020-03-20,12.0,9.0,,,9.436,7.077,,,,50.0
Africa,MUS,Mauritius,2020,3,5,2020-03-21,14.0,2.0,1.0,1.0,11.008,1.573,0.786,0.786,,50.0
Africa,MUS,Mauritius,2020,3,6,2020-03-22,28.0,14.0,2.0,1.0,22.017,11.008,1.573,0.786,,50.0
Africa,MUS,Mauritius,2020,3,0,2020-03-23,36.0,8.0,2.0,0.0,28.307,6.29,1.573,0.0,,71.3
Africa,MUS,Mauritius,2020,3,1,2020-03-24,42.0,6.0,2.0,0.0,33.025,4.718,1.573,0.0,,71.3
Africa,MUS,Mauritius,2020,3,2,2020-03-25,48.0,6.0,2.0,0.0,37.743,4.718,1.573,0.0,,71.3
Africa,MUS,Mauritius,2020,3,3,2020-03-26,81.0,33.0,2.0,0.0,63.691,25.948,1.573,0.0,,82.41
Africa,MUS,Mauritius,2020,3,4,2020-03-27,94.0,13.0,2.0,0.0,73.913,10.222,1.573,0.0,,82.41
Africa,MUS,Mauritius,2020,3,5,2020-03-28,102.0,8.0,2.0,0.0,80.203,6.29,1.573,0.0,,82.41
Africa,MUS,Mauritius,2020,3,6,2020-03-29,107.0,5.0,3.0,1.0,84.135,3.932,2.359,0.786,0.73,82.41
Africa,MUS,Mauritius,2020,3,0,2020-03-30,128.0,21.0,3.0,0.0,100.647,16.512,2.359,0.0,0.73,82.41
Africa,MUS,Mauritius,2020,3,1,2020-03-31,143.0,15.0,5.0,2.0,112.442,11.795,3.932,1.573,0.73,82.41
Africa,MUS,Mauritius,2020,4,2,2020-04-01,161.0,18.0,6.0,1.0,126.596,14.154,4.718,0.786,0.72,82.41
Africa,MUS,Mauritius,2020,4,3,2020-04-02,169.0,8.0,7.0,1.0,132.886,6.29,5.504,0.786,0.71,82.41
Africa,MUS,Mauritius,2020,4,4,2020-04-03,186.0,17.0,7.0,0.0,146.253,13.367,5.504,0.0,0.71,82.41
Africa,MUS,Mauritius,2020,4,5,2020-04-04,196.0,10.0,7.0,0.0,154.116,7.863,5.504,0.0,0.7,82.41
Africa,MUS,Mauritius,2020,4,6,2020-04-05,227.0,31.0,7.0,0.0,178.492,24.376,5.504,0.0,0.69,82.41
Africa,MUS,Mauritius,2020,4,0,2020-04-06,244.0,17.0,7.0,0.0,191.859,13.367,5.504,0.0,0.67,82.41
Africa,MUS,Mauritius,2020,4,1,2020-04-07,268.0,24.0,7.0,0.0,210.73,18.871,5.504,0.0,0.65,82.41
Africa,MUS,Mauritius,2020,4,2,2020-04-08,273.0,5.0,7.0,0.0,214.662,3.932,5.504,0.0,0.62,82.41
Africa,MUS,Mauritius,2020,4,3,2020-04-09,314.0,41.0,7.0,0.0,246.901,32.239,5.504,0.0,0.6,82.41
Africa,MUS,Mauritius,2020,4,4,2020-04-10,318.0,4.0,9.0,2.0,250.046,3.145,7.077,1.573,0.56,82.41
Africa,MUS,Mauritius,2020,4,5,2020-04-11,319.0,1.0,9.0,0.0,250.832,0.786,7.077,0.0,0.53,82.41
Africa,MUS,Mauritius,2020,4,6,2020-04-12,324.0,5.0,9.0,0.0,254.764,3.932,7.077,0.0,0.5,82.41
Africa,MUS,Mauritius,2020,4,0,2020-04-13,324.0,0.0,9.0,0.0,254.764,0.0,7.077,0.0,0.47,82.41
Africa,MUS,Mauritius,2020,4,1,2020-04-14,324.0,0.0,9.0,0.0,254.764,0.0,7.077,0.0,0.44,82.41
Africa,MUS,Mauritius,2020,4,2,2020-04-15,324.0,0.0,9.0,0.0,254.764,0.0,7.077,0.0,0.42,82.41
