continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,MWI,Malawi,2020,3,6,2020-03-29,,,,,,,,,,52.78
Africa,MWI,Malawi,2020,3,0,2020-03-30,,,,,,,,,,52.78
Africa,MWI,Malawi,2020,3,1,2020-03-31,,,,,,,,,,52.78
Africa,MWI,Malawi,2020,4,2,2020-04-01,,,,,,,,,,52.78
Africa,MWI,Malawi,2020,4,3,2020-04-02,3.0,3.0,,,0.157,0.157,,,,52.78
Africa,MWI,Malawi,2020,4,4,2020-04-03,3.0,0.0,,,0.157,0.0,,,,52.78
Africa,MWI,Malawi,2020,4,5,2020-04-04,4.0,1.0,,,0.209,0.052,,,,56.48
Africa,MWI,Malawi,2020,4,6,2020-04-05,4.0,0.0,,,0.209,0.0,,,,56.48
Africa,MWI,Malawi,2020,4,0,2020-04-06,5.0,1.0,,,0.261,0.052,,,,56.48
Africa,MWI,Malawi,2020,4,1,2020-04-07,8.0,3.0,1.0,1.0,0.418,0.157,0.052,0.052,,56.48
Africa,MWI,Malawi,2020,4,2,2020-04-08,8.0,0.0,1.0,0.0,0.418,0.0,0.052,0.0,,56.48
Africa,MWI,Malawi,2020,4,3,2020-04-09,8.0,0.0,1.0,0.0,0.418,0.0,0.052,0.0,,56.48
Africa,MWI,Malawi,2020,4,4,2020-04-10,9.0,1.0,1.0,0.0,0.47,0.052,0.052,0.0,,56.48
Africa,MWI,Malawi,2020,4,5,2020-04-11,12.0,3.0,2.0,1.0,0.627,0.157,0.105,0.052,,56.48
Africa,MWI,Malawi,2020,4,6,2020-04-12,13.0,1.0,2.0,0.0,0.68,0.052,0.105,0.0,,56.48
Africa,MWI,Malawi,2020,4,0,2020-04-13,16.0,3.0,2.0,0.0,0.836,0.157,0.105,0.0,,56.48
Africa,MWI,Malawi,2020,4,1,2020-04-14,16.0,0.0,2.0,0.0,0.836,0.0,0.105,0.0,,56.48
Africa,MWI,Malawi,2020,4,2,2020-04-15,16.0,0.0,2.0,0.0,0.836,0.0,0.105,0.0,,56.48
Africa,MWI,Malawi,2020,4,3,2020-04-16,16.0,0.0,2.0,0.0,0.836,0.0,0.105,0.0,,56.48
Africa,MWI,Malawi,2020,4,4,2020-04-17,17.0,1.0,2.0,0.0,0.889,0.052,0.105,0.0,,56.48
Africa,MWI,Malawi,2020,4,5,2020-04-18,17.0,0.0,2.0,0.0,0.889,0.0,0.105,0.0,,60.19
Africa,MWI,Malawi,2020,4,6,2020-04-19,17.0,0.0,2.0,0.0,0.889,0.0,0.105,0.0,,60.19
Africa,MWI,Malawi,2020,4,0,2020-04-20,17.0,0.0,2.0,0.0,0.889,0.0,0.105,0.0,,60.19
Africa,MWI,Malawi,2020,4,1,2020-04-21,18.0,1.0,2.0,0.0,0.941,0.052,0.105,0.0,,60.19
Africa,MWI,Malawi,2020,4,2,2020-04-22,23.0,5.0,3.0,1.0,1.202,0.261,0.157,0.052,,60.19
Africa,MWI,Malawi,2020,4,3,2020-04-23,33.0,10.0,3.0,0.0,1.725,0.523,0.157,0.0,,60.19
Africa,MWI,Malawi,2020,4,4,2020-04-24,33.0,0.0,3.0,0.0,1.725,0.0,0.157,0.0,,60.19
Africa,MWI,Malawi,2020,4,5,2020-04-25,33.0,0.0,3.0,0.0,1.725,0.0,0.157,0.0,,60.19
Africa,MWI,Malawi,2020,4,6,2020-04-26,34.0,1.0,3.0,0.0,1.777,0.052,0.157,0.0,,60.19
Africa,MWI,Malawi,2020,4,0,2020-04-27,36.0,2.0,3.0,0.0,1.882,0.105,0.157,0.0,,60.19
Africa,MWI,Malawi,2020,4,1,2020-04-28,36.0,0.0,3.0,0.0,1.882,0.0,0.157,0.0,,60.19
Africa,MWI,Malawi,2020,4,2,2020-04-29,36.0,0.0,3.0,0.0,1.882,0.0,0.157,0.0,,60.19
Africa,MWI,Malawi,2020,4,3,2020-04-30,37.0,1.0,3.0,0.0,1.934,0.052,0.157,0.0,,60.19
Africa,MWI,Malawi,2020,5,4,2020-05-01,37.0,0.0,3.0,0.0,1.934,0.0,0.157,0.0,,60.19
Africa,MWI,Malawi,2020,5,5,2020-05-02,38.0,1.0,3.0,0.0,1.986,0.052,0.157,0.0,,60.19
Africa,MWI,Malawi,2020,5,6,2020-05-03,39.0,1.0,3.0,0.0,2.039,0.052,0.157,0.0,,60.19
Africa,MWI,Malawi,2020,5,0,2020-05-04,41.0,2.0,3.0,0.0,2.143,0.105,0.157,0.0,,60.19
Africa,MWI,Malawi,2020,5,1,2020-05-05,41.0,0.0,3.0,0.0,2.143,0.0,0.157,0.0,,60.19
Africa,MWI,Malawi,2020,5,2,2020-05-06,43.0,2.0,3.0,0.0,2.248,0.105,0.157,0.0,,60.19
Africa,MWI,Malawi,2020,5,3,2020-05-07,43.0,0.0,3.0,0.0,2.248,0.0,0.157,0.0,,60.19
Africa,MWI,Malawi,2020,5,4,2020-05-08,43.0,0.0,3.0,0.0,2.248,0.0,0.157,0.0,,60.19
Africa,MWI,Malawi,2020,5,5,2020-05-09,56.0,13.0,3.0,0.0,2.927,0.68,0.157,0.0,,60.19
Africa,MWI,Malawi,2020,5,6,2020-05-10,56.0,0.0,3.0,0.0,2.927,0.0,0.157,0.0,,60.19
Africa,MWI,Malawi,2020,5,0,2020-05-11,57.0,1.0,3.0,0.0,2.98,0.052,0.157,0.0,,60.19
Africa,MWI,Malawi,2020,5,1,2020-05-12,57.0,0.0,3.0,0.0,2.98,0.0,0.157,0.0,,60.19
Africa,MWI,Malawi,2020,5,2,2020-05-13,63.0,6.0,3.0,0.0,3.293,0.314,0.157,0.0,,60.19
Africa,MWI,Malawi,2020,5,3,2020-05-14,63.0,0.0,3.0,0.0,3.293,0.0,0.157,0.0,,60.19
Africa,MWI,Malawi,2020,5,4,2020-05-15,63.0,0.0,3.0,0.0,3.293,0.0,0.157,0.0,,60.19
Africa,MWI,Malawi,2020,5,5,2020-05-16,65.0,2.0,3.0,0.0,3.398,0.105,0.157,0.0,,60.19
Africa,MWI,Malawi,2020,5,6,2020-05-17,70.0,5.0,3.0,0.0,3.659,0.261,0.157,0.0,,60.19
Africa,MWI,Malawi,2020,5,0,2020-05-18,70.0,0.0,3.0,0.0,3.659,0.0,0.157,0.0,,60.19
