continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,MYS,Malaysia,2020,1,5,2020-01-25,3.0,3.0,,,0.093,0.093,,,,11.11
Asia,MYS,Malaysia,2020,1,6,2020-01-26,4.0,1.0,,,0.124,0.031,,,,11.11
Asia,MYS,Malaysia,2020,1,0,2020-01-27,4.0,0.0,,,0.124,0.0,,,,11.11
Asia,MYS,Malaysia,2020,1,1,2020-01-28,4.0,0.0,,,0.124,0.0,,,,11.11
Asia,MYS,Malaysia,2020,1,2,2020-01-29,7.0,3.0,,,0.216,0.093,,,,11.11
Asia,MYS,Malaysia,2020,1,3,2020-01-30,8.0,1.0,,,0.247,0.031,,,,19.44
Asia,MYS,Malaysia,2020,1,4,2020-01-31,8.0,0.0,,,0.247,0.0,,,,19.44
Asia,MYS,Malaysia,2020,2,5,2020-02-01,8.0,0.0,,,0.247,0.0,,,,19.44
Asia,MYS,Malaysia,2020,2,6,2020-02-02,8.0,0.0,,,0.247,0.0,,,,19.44
Asia,MYS,Malaysia,2020,2,0,2020-02-03,8.0,0.0,,,0.247,0.0,,,,19.44
Asia,MYS,Malaysia,2020,2,1,2020-02-04,10.0,2.0,,,0.309,0.062,,,,19.44
Asia,MYS,Malaysia,2020,2,2,2020-02-05,12.0,2.0,,,0.371,0.062,,,,19.44
Asia,MYS,Malaysia,2020,2,3,2020-02-06,12.0,0.0,,,0.371,0.0,,,,19.44
Asia,MYS,Malaysia,2020,2,4,2020-02-07,12.0,0.0,,,0.371,0.0,,,,19.44
Asia,MYS,Malaysia,2020,2,5,2020-02-08,16.0,4.0,,,0.494,0.124,,,,19.44
Asia,MYS,Malaysia,2020,2,6,2020-02-09,16.0,0.0,,,0.494,0.0,,,,19.44
Asia,MYS,Malaysia,2020,2,0,2020-02-10,18.0,2.0,,,0.556,0.062,,,,19.44
Asia,MYS,Malaysia,2020,2,1,2020-02-11,18.0,0.0,,,0.556,0.0,,,,19.44
Asia,MYS,Malaysia,2020,2,2,2020-02-12,18.0,0.0,,,0.556,0.0,,,,19.44
Asia,MYS,Malaysia,2020,2,3,2020-02-13,19.0,1.0,,,0.587,0.031,,,,19.44
Asia,MYS,Malaysia,2020,2,4,2020-02-14,19.0,0.0,,,0.587,0.0,,,,19.44
Asia,MYS,Malaysia,2020,2,5,2020-02-15,22.0,3.0,,,0.68,0.093,,,,19.44
Asia,MYS,Malaysia,2020,2,6,2020-02-16,22.0,0.0,,,0.68,0.0,,,,19.44
Asia,MYS,Malaysia,2020,2,0,2020-02-17,22.0,0.0,,,0.68,0.0,,,,19.44
Asia,MYS,Malaysia,2020,2,1,2020-02-18,22.0,0.0,,,0.68,0.0,,,,19.44
