continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,NAM,Namibia,2020,3,5,2020-03-14,2.0,2.0,,,0.787,0.787,,,,8.33
Africa,NAM,Namibia,2020,3,6,2020-03-15,2.0,0.0,,,0.787,0.0,,,,8.33
Africa,NAM,Namibia,2020,3,0,2020-03-16,2.0,0.0,,,0.787,0.0,,,,8.33
Africa,NAM,Namibia,2020,3,1,2020-03-17,2.0,0.0,,,0.787,0.0,,,,50.0
Africa,NAM,Namibia,2020,3,2,2020-03-18,2.0,0.0,,,0.787,0.0,,,,50.0
Africa,NAM,Namibia,2020,3,3,2020-03-19,3.0,1.0,,,1.181,0.394,,,,50.0
Africa,NAM,Namibia,2020,3,4,2020-03-20,3.0,0.0,,,1.181,0.0,,,,50.0
Africa,NAM,Namibia,2020,3,5,2020-03-21,3.0,0.0,,,1.181,0.0,,,,50.0
Africa,NAM,Namibia,2020,3,6,2020-03-22,3.0,0.0,,,1.181,0.0,,,,50.0
Africa,NAM,Namibia,2020,3,0,2020-03-23,4.0,1.0,,,1.574,0.394,,,,50.0
Africa,NAM,Namibia,2020,3,1,2020-03-24,7.0,3.0,,,2.755,1.181,,,,52.78
Africa,NAM,Namibia,2020,3,2,2020-03-25,7.0,0.0,,,2.755,0.0,,,,52.78
Africa,NAM,Namibia,2020,3,3,2020-03-26,8.0,1.0,,,3.148,0.394,,,,52.78
Africa,NAM,Namibia,2020,3,4,2020-03-27,8.0,0.0,,,3.148,0.0,,,,66.67
Africa,NAM,Namibia,2020,3,5,2020-03-28,8.0,0.0,,,3.148,0.0,,,,66.67
Africa,NAM,Namibia,2020,3,6,2020-03-29,11.0,3.0,,,4.329,1.181,,,,66.67
Africa,NAM,Namibia,2020,3,0,2020-03-30,11.0,0.0,,,4.329,0.0,,,,66.67
Africa,NAM,Namibia,2020,3,1,2020-03-31,11.0,0.0,,,4.329,0.0,,,,66.67
Africa,NAM,Namibia,2020,4,2,2020-04-01,14.0,3.0,,,5.51,1.181,,,,66.67
Africa,NAM,Namibia,2020,4,3,2020-04-02,14.0,0.0,,,5.51,0.0,,,,66.67
Africa,NAM,Namibia,2020,4,4,2020-04-03,14.0,0.0,,,5.51,0.0,,,,66.67
Africa,NAM,Namibia,2020,4,5,2020-04-04,14.0,0.0,,,5.51,0.0,,,,66.67
Africa,NAM,Namibia,2020,4,6,2020-04-05,16.0,2.0,,,6.297,0.787,,,,66.67
Africa,NAM,Namibia,2020,4,0,2020-04-06,16.0,0.0,,,6.297,0.0,,,,66.67
Africa,NAM,Namibia,2020,4,1,2020-04-07,16.0,0.0,,,6.297,0.0,,,,66.67
Africa,NAM,Namibia,2020,4,2,2020-04-08,16.0,0.0,,,6.297,0.0,,,,66.67
Africa,NAM,Namibia,2020,4,3,2020-04-09,16.0,0.0,,,6.297,0.0,,,,66.67
Africa,NAM,Namibia,2020,4,4,2020-04-10,16.0,0.0,,,6.297,0.0,,,,66.67
Africa,NAM,Namibia,2020,4,5,2020-04-11,16.0,0.0,,,6.297,0.0,,,,66.67
Africa,NAM,Namibia,2020,4,6,2020-04-12,16.0,0.0,,,6.297,0.0,,,,66.67
Africa,NAM,Namibia,2020,4,0,2020-04-13,16.0,0.0,,,6.297,0.0,,,,66.67
Africa,NAM,Namibia,2020,4,1,2020-04-14,16.0,0.0,,,6.297,0.0,,,,66.67
Africa,NAM,Namibia,2020,4,2,2020-04-15,16.0,0.0,,,6.297,0.0,,,,66.67
Africa,NAM,Namibia,2020,4,3,2020-04-16,16.0,0.0,,,6.297,0.0,,,,66.67
Africa,NAM,Namibia,2020,4,4,2020-04-17,16.0,0.0,,,6.297,0.0,,,,73.15
Africa,NAM,Namibia,2020,4,5,2020-04-18,16.0,0.0,,,6.297,0.0,,,,73.15
Africa,NAM,Namibia,2020,4,6,2020-04-19,16.0,0.0,,,6.297,0.0,,,,73.15
Africa,NAM,Namibia,2020,4,0,2020-04-20,16.0,0.0,,,6.297,0.0,,,,73.15
Africa,NAM,Namibia,2020,4,1,2020-04-21,16.0,0.0,,,6.297,0.0,,,,73.15
Africa,NAM,Namibia,2020,4,2,2020-04-22,16.0,0.0,,,6.297,0.0,,,,73.15
Africa,NAM,Namibia,2020,4,3,2020-04-23,16.0,0.0,,,6.297,0.0,,,,73.15
