continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,NGA,Nigeria,2020,2,4,2020-02-28,1.0,1.0,,,0.005,0.005,,,,11.11
Africa,NGA,Nigeria,2020,2,5,2020-02-29,1.0,0.0,,,0.005,0.0,,,,11.11
Africa,NGA,Nigeria,2020,3,6,2020-03-01,1.0,0.0,,,0.005,0.0,,,,11.11
Africa,NGA,Nigeria,2020,3,0,2020-03-02,1.0,0.0,,,0.005,0.0,,,,11.11
Africa,NGA,Nigeria,2020,3,1,2020-03-03,1.0,0.0,,,0.005,0.0,,,,11.11
Africa,NGA,Nigeria,2020,3,2,2020-03-04,1.0,0.0,,,0.005,0.0,,,,11.11
Africa,NGA,Nigeria,2020,3,3,2020-03-05,1.0,0.0,,,0.005,0.0,,,,11.11
Africa,NGA,Nigeria,2020,3,4,2020-03-06,1.0,0.0,,,0.005,0.0,,,,11.11
Africa,NGA,Nigeria,2020,3,5,2020-03-07,1.0,0.0,,,0.005,0.0,,,,11.11
Africa,NGA,Nigeria,2020,3,6,2020-03-08,1.0,0.0,,,0.005,0.0,,,,11.11
Africa,NGA,Nigeria,2020,3,0,2020-03-09,2.0,1.0,,,0.01,0.005,,,,11.11
Africa,NGA,Nigeria,2020,3,1,2020-03-10,2.0,0.0,,,0.01,0.0,,,,11.11
Africa,NGA,Nigeria,2020,3,2,2020-03-11,2.0,0.0,,,0.01,0.0,,,,11.11
Africa,NGA,Nigeria,2020,3,3,2020-03-12,2.0,0.0,,,0.01,0.0,,,,11.11
Africa,NGA,Nigeria,2020,3,4,2020-03-13,2.0,0.0,,,0.01,0.0,,,,11.11
Africa,NGA,Nigeria,2020,3,5,2020-03-14,2.0,0.0,,,0.01,0.0,,,,11.11
Africa,NGA,Nigeria,2020,3,6,2020-03-15,2.0,0.0,,,0.01,0.0,,,,11.11
Africa,NGA,Nigeria,2020,3,0,2020-03-16,2.0,0.0,,,0.01,0.0,,,,11.11
Africa,NGA,Nigeria,2020,3,1,2020-03-17,3.0,1.0,,,0.015,0.005,,,,11.11
Africa,NGA,Nigeria,2020,3,2,2020-03-18,8.0,5.0,,,0.039,0.024,,,,25.46
Africa,NGA,Nigeria,2020,3,3,2020-03-19,8.0,0.0,,,0.039,0.0,,,,25.46
Africa,NGA,Nigeria,2020,3,4,2020-03-20,12.0,4.0,,,0.058,0.019,,,,33.8
Africa,NGA,Nigeria,2020,3,5,2020-03-21,22.0,10.0,,,0.107,0.049,,,,33.8
Africa,NGA,Nigeria,2020,3,6,2020-03-22,30.0,8.0,,,0.146,0.039,,,,33.8
Africa,NGA,Nigeria,2020,3,0,2020-03-23,40.0,10.0,1.0,1.0,0.194,0.049,0.005,0.005,,48.61
Africa,NGA,Nigeria,2020,3,1,2020-03-24,44.0,4.0,1.0,0.0,0.213,0.019,0.005,0.0,,48.61
Africa,NGA,Nigeria,2020,3,2,2020-03-25,51.0,7.0,1.0,0.0,0.247,0.034,0.005,0.0,,48.61
Africa,NGA,Nigeria,2020,3,3,2020-03-26,65.0,14.0,1.0,0.0,0.315,0.068,0.005,0.0,,52.31
Africa,NGA,Nigeria,2020,3,4,2020-03-27,70.0,5.0,1.0,0.0,0.34,0.024,0.005,0.0,,52.31
Africa,NGA,Nigeria,2020,3,5,2020-03-28,89.0,19.0,1.0,0.0,0.432,0.092,0.005,0.0,,55.09
