continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
North America,NIC,Nicaragua,2020,3,3,2020-03-19,1.0,1.0,,,0.151,0.151,,,,15.74
North America,NIC,Nicaragua,2020,3,4,2020-03-20,1.0,0.0,,,0.151,0.0,,,,15.74
North America,NIC,Nicaragua,2020,3,5,2020-03-21,2.0,1.0,,,0.302,0.151,,,,15.74
North America,NIC,Nicaragua,2020,3,6,2020-03-22,2.0,0.0,,,0.302,0.0,,,,15.74
North America,NIC,Nicaragua,2020,3,0,2020-03-23,2.0,0.0,,,0.302,0.0,,,,15.74
North America,NIC,Nicaragua,2020,3,1,2020-03-24,2.0,0.0,,,0.302,0.0,,,,15.74
North America,NIC,Nicaragua,2020,3,2,2020-03-25,2.0,0.0,,,0.302,0.0,,,,15.74
North America,NIC,Nicaragua,2020,3,3,2020-03-26,2.0,0.0,,,0.302,0.0,,,,15.74
North America,NIC,Nicaragua,2020,3,4,2020-03-27,2.0,0.0,1.0,1.0,0.302,0.0,0.151,0.151,,15.74
North America,NIC,Nicaragua,2020,3,5,2020-03-28,4.0,2.0,1.0,0.0,0.604,0.302,0.151,0.0,,15.74
North America,NIC,Nicaragua,2020,3,6,2020-03-29,4.0,0.0,1.0,0.0,0.604,0.0,0.151,0.0,,15.74
North America,NIC,Nicaragua,2020,3,0,2020-03-30,4.0,0.0,1.0,0.0,0.604,0.0,0.151,0.0,,15.74
North America,NIC,Nicaragua,2020,3,1,2020-03-31,5.0,1.0,1.0,0.0,0.755,0.151,0.151,0.0,,15.74
North America,NIC,Nicaragua,2020,4,2,2020-04-01,5.0,0.0,1.0,0.0,0.755,0.0,0.151,0.0,,15.74
North America,NIC,Nicaragua,2020,4,3,2020-04-02,5.0,0.0,1.0,0.0,0.755,0.0,0.151,0.0,,15.74
North America,NIC,Nicaragua,2020,4,4,2020-04-03,5.0,0.0,1.0,0.0,0.755,0.0,0.151,0.0,,15.74
North America,NIC,Nicaragua,2020,4,5,2020-04-04,5.0,0.0,1.0,0.0,0.755,0.0,0.151,0.0,,15.74
North America,NIC,Nicaragua,2020,4,6,2020-04-05,6.0,1.0,1.0,0.0,0.906,0.151,0.151,0.0,,15.74
North America,NIC,Nicaragua,2020,4,0,2020-04-06,6.0,0.0,1.0,0.0,0.906,0.0,0.151,0.0,,15.74
North America,NIC,Nicaragua,2020,4,1,2020-04-07,6.0,0.0,1.0,0.0,0.906,0.0,0.151,0.0,,15.74
