continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,NLD,Netherlands,2020,2,6,2020-02-09,,,,,,,,,,0.0
Europe,NLD,Netherlands,2020,2,6,2020-02-16,,,,,,,,,,0.0
Europe,NLD,Netherlands,2020,2,6,2020-02-23,,,,,,,,,,0.0
Europe,NLD,Netherlands,2020,2,3,2020-02-27,1.0,1.0,,,0.058,0.058,,,,0.0
Europe,NLD,Netherlands,2020,2,4,2020-02-28,1.0,0.0,,,0.058,0.0,,,,0.0
Europe,NLD,Netherlands,2020,2,5,2020-02-29,6.0,5.0,,,0.35,0.292,,,,0.0
Europe,NLD,Netherlands,2020,3,6,2020-03-01,10.0,4.0,,,0.584,0.233,,,,0.0
Europe,NLD,Netherlands,2020,3,0,2020-03-02,18.0,8.0,,,1.05,0.467,,,,0.0
Europe,NLD,Netherlands,2020,3,1,2020-03-03,24.0,6.0,,,1.401,0.35,,,,0.0
Europe,NLD,Netherlands,2020,3,2,2020-03-04,38.0,14.0,,,2.218,0.817,,,,0.0
Europe,NLD,Netherlands,2020,3,3,2020-03-05,82.0,44.0,,,4.786,2.568,,,,0.0
Europe,NLD,Netherlands,2020,3,4,2020-03-06,128.0,46.0,1.0,1.0,7.47,2.685,0.058,0.058,,1.85
Europe,NLD,Netherlands,2020,3,5,2020-03-07,188.0,60.0,1.0,0.0,10.972,3.502,0.058,0.0,2.64,1.85
Europe,NLD,Netherlands,2020,3,6,2020-03-08,265.0,77.0,3.0,2.0,15.466,4.494,0.175,0.117,2.6,1.85
Europe,NLD,Netherlands,2020,3,0,2020-03-09,321.0,56.0,3.0,0.0,18.734,3.268,0.175,0.0,2.54,10.19
Europe,NLD,Netherlands,2020,3,1,2020-03-10,382.0,61.0,4.0,1.0,22.294,3.56,0.233,0.058,2.52,18.52
Europe,NLD,Netherlands,2020,3,2,2020-03-11,503.0,121.0,5.0,1.0,29.355,7.062,0.292,0.058,2.54,18.52
Europe,NLD,Netherlands,2020,3,3,2020-03-12,503.0,0.0,5.0,0.0,29.355,0.0,0.292,0.0,2.53,41.67
Europe,NLD,Netherlands,2020,3,4,2020-03-13,806.0,303.0,10.0,5.0,47.039,17.683,0.584,0.292,2.65,41.67
Europe,NLD,Netherlands,2020,3,5,2020-03-14,962.0,156.0,12.0,2.0,56.143,9.104,0.7,0.117,2.54,41.67
Europe,NLD,Netherlands,2020,3,6,2020-03-15,1138.0,176.0,20.0,8.0,66.414,10.271,1.167,0.467,2.47,54.63
Europe,NLD,Netherlands,2020,3,0,2020-03-16,1416.0,278.0,24.0,4.0,82.638,16.224,1.401,0.233,2.43,62.04
Europe,NLD,Netherlands,2020,3,1,2020-03-17,1711.0,295.0,43.0,19.0,99.855,17.216,2.51,1.109,2.37,62.04
Europe,NLD,Netherlands,2020,3,2,2020-03-18,2058.0,347.0,58.0,15.0,120.106,20.251,3.385,0.875,2.32,62.04
Europe,NLD,Netherlands,2020,3,3,2020-03-19,2467.0,409.0,77.0,19.0,143.975,23.869,4.494,1.109,2.27,70.37
Europe,NLD,Netherlands,2020,3,4,2020-03-20,3003.0,536.0,107.0,30.0,175.257,31.281,6.245,1.751,2.22,70.37
Europe,NLD,Netherlands,2020,3,5,2020-03-21,3640.0,637.0,137.0,30.0,212.432,37.176,7.995,1.751,2.15,70.37
Europe,NLD,Netherlands,2020,3,6,2020-03-22,4217.0,577.0,180.0,43.0,246.106,33.674,10.505,2.51,2.07,70.37
