continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,NOR,Norway,2020,2,6,2020-02-23,,,,,,,,,,11.11
Europe,NOR,Norway,2020,2,0,2020-02-24,,,,,,,,,,11.11
Europe,NOR,Norway,2020,2,1,2020-02-25,,,,,,,,,,11.11
Europe,NOR,Norway,2020,2,2,2020-02-26,1.0,1.0,,,0.184,0.184,,,,11.11
Europe,NOR,Norway,2020,2,3,2020-02-27,1.0,0.0,,,0.184,0.0,,,,11.11
Europe,NOR,Norway,2020,2,4,2020-02-28,6.0,5.0,,,1.107,0.922,,,,11.11
Europe,NOR,Norway,2020,2,5,2020-02-29,15.0,9.0,,,2.767,1.66,,,,11.11
Europe,NOR,Norway,2020,3,6,2020-03-01,19.0,4.0,,,3.505,0.738,,,,11.11
Europe,NOR,Norway,2020,3,0,2020-03-02,25.0,6.0,,,4.611,1.107,,,,11.11
Europe,NOR,Norway,2020,3,1,2020-03-03,32.0,7.0,,,5.903,1.291,,,,11.11
Europe,NOR,Norway,2020,3,2,2020-03-04,56.0,24.0,,,10.33,4.427,,,,11.11
Europe,NOR,Norway,2020,3,3,2020-03-05,87.0,31.0,,,16.048,5.718,,,,11.11
Europe,NOR,Norway,2020,3,4,2020-03-06,108.0,21.0,,,19.922,3.874,,,,11.11
Europe,NOR,Norway,2020,3,5,2020-03-07,147.0,39.0,,,27.116,7.194,,,2.6,11.11
Europe,NOR,Norway,2020,3,6,2020-03-08,176.0,29.0,,,32.465,5.349,,,2.6,11.11
Europe,NOR,Norway,2020,3,0,2020-03-09,205.0,29.0,,,37.814,5.349,,,2.63,11.11
Europe,NOR,Norway,2020,3,1,2020-03-10,400.0,195.0,,,73.784,35.97,,,2.7,14.81
Europe,NOR,Norway,2020,3,2,2020-03-11,598.0,198.0,,,110.307,36.523,,,2.6,20.37
Europe,NOR,Norway,2020,3,3,2020-03-12,702.0,104.0,,,129.491,19.184,,,2.45,40.74
Europe,NOR,Norway,2020,3,4,2020-03-13,996.0,294.0,,,183.722,54.231,,,2.33,40.74
Europe,NOR,Norway,2020,3,5,2020-03-14,1090.0,94.0,3.0,3.0,201.061,17.339,0.553,0.553,2.16,46.3
Europe,NOR,Norway,2020,3,6,2020-03-15,1221.0,131.0,3.0,0.0,225.225,24.164,0.553,0.0,2.03,51.85
Europe,NOR,Norway,2020,3,0,2020-03-16,1333.0,112.0,3.0,0.0,245.885,20.659,0.553,0.0,1.92,60.19
Europe,NOR,Norway,2020,3,1,2020-03-17,1463.0,130.0,3.0,0.0,269.864,23.98,0.553,0.0,1.83,60.19
Europe,NOR,Norway,2020,3,2,2020-03-18,1550.0,87.0,6.0,3.0,285.912,16.048,1.107,0.553,1.76,60.19
Europe,NOR,Norway,2020,3,3,2020-03-19,1746.0,196.0,7.0,1.0,322.066,36.154,1.291,0.184,1.72,62.96
Europe,NOR,Norway,2020,3,4,2020-03-20,1914.0,168.0,7.0,0.0,353.056,30.989,1.291,0.0,1.67,62.96
Europe,NOR,Norway,2020,3,5,2020-03-21,2118.0,204.0,7.0,0.0,390.685,37.63,1.291,0.0,1.63,62.96
Europe,NOR,Norway,2020,3,6,2020-03-22,2385.0,267.0,7.0,0.0,439.936,49.251,1.291,0.0,1.58,62.96
Europe,NOR,Norway,2020,3,0,2020-03-23,2621.0,236.0,10.0,3.0,483.469,43.532,1.845,0.553,1.54,62.96
Europe,NOR,Norway,2020,3,1,2020-03-24,2863.0,242.0,12.0,2.0,528.108,44.639,2.214,0.369,1.49,79.63
Europe,NOR,Norway,2020,3,2,2020-03-25,3084.0,221.0,14.0,2.0,568.873,40.766,2.582,0.369,1.44,79.63
Europe,NOR,Norway,2020,3,3,2020-03-26,3369.0,285.0,14.0,0.0,621.444,52.571,2.582,0.0,1.39,79.63
Europe,NOR,Norway,2020,3,4,2020-03-27,3755.0,386.0,19.0,5.0,692.646,71.201,3.505,0.922,1.35,79.63
Europe,NOR,Norway,2020,3,5,2020-03-28,4015.0,260.0,23.0,4.0,740.605,47.959,4.243,0.738,1.28,79.63
Europe,NOR,Norway,2020,3,6,2020-03-29,4284.0,269.0,25.0,2.0,790.225,49.62,4.611,0.369,1.22,79.63
Europe,NOR,Norway,2020,3,0,2020-03-30,4445.0,161.0,32.0,7.0,819.923,29.698,5.903,1.291,1.16,79.63
Europe,NOR,Norway,2020,3,1,2020-03-31,4641.0,196.0,39.0,7.0,856.077,36.154,7.194,1.291,1.12,79.63
Europe,NOR,Norway,2020,4,2,2020-04-01,4863.0,222.0,44.0,5.0,897.027,40.95,8.116,0.922,1.08,79.63
Europe,NOR,Norway,2020,4,3,2020-04-02,5147.0,284.0,50.0,6.0,949.413,52.387,9.223,1.107,1.04,79.63
Europe,NOR,Norway,2020,4,4,2020-04-03,5370.0,223.0,59.0,9.0,990.548,41.134,10.883,1.66,0.99,79.63
Europe,NOR,Norway,2020,4,5,2020-04-04,5550.0,180.0,62.0,3.0,1023.751,33.203,11.436,0.553,0.95,79.63
Europe,NOR,Norway,2020,4,6,2020-04-05,5687.0,137.0,71.0,9.0,1049.022,25.271,13.097,1.66,0.91,79.63
Europe,NOR,Norway,2020,4,0,2020-04-06,5865.0,178.0,76.0,5.0,1081.855,32.834,14.019,0.922,0.87,79.63
Europe,NOR,Norway,2020,4,1,2020-04-07,6086.0,221.0,89.0,13.0,1122.621,40.766,16.417,2.398,0.84,79.63
Europe,NOR,Norway,2020,4,2,2020-04-08,6086.0,0.0,101.0,12.0,1122.621,0.0,18.63,2.214,0.8,79.63
Europe,NOR,Norway,2020,4,3,2020-04-09,6211.0,125.0,108.0,7.0,1145.678,23.057,19.922,1.291,0.78,79.63
Europe,NOR,Norway,2020,4,4,2020-04-10,6314.0,103.0,113.0,5.0,1164.678,18.999,20.844,0.922,0.76,79.63
Europe,NOR,Norway,2020,4,5,2020-04-11,6409.0,95.0,119.0,6.0,1182.201,17.524,21.951,1.107,0.75,79.63
Europe,NOR,Norway,2020,4,6,2020-04-12,6525.0,116.0,128.0,9.0,1203.599,21.397,23.611,1.66,0.74,79.63
Europe,NOR,Norway,2020,4,0,2020-04-13,6603.0,78.0,134.0,6.0,1217.987,14.388,24.718,1.107,0.73,79.63
Europe,NOR,Norway,2020,4,1,2020-04-14,6623.0,20.0,139.0,5.0,1221.676,3.689,25.64,0.922,0.73,79.63
Europe,NOR,Norway,2020,4,2,2020-04-15,6740.0,117.0,150.0,11.0,1243.258,21.582,27.669,2.029,0.74,79.63
Europe,NOR,Norway,2020,4,3,2020-04-16,6896.0,156.0,152.0,2.0,1272.033,28.776,28.038,0.369,0.74,79.63
Europe,NOR,Norway,2020,4,4,2020-04-17,6937.0,41.0,161.0,9.0,1279.596,7.563,29.698,1.66,0.73,79.63
Europe,NOR,Norway,2020,4,5,2020-04-18,7036.0,99.0,164.0,3.0,1297.858,18.261,30.251,0.553,0.72,79.63
Europe,NOR,Norway,2020,4,6,2020-04-19,7078.0,42.0,165.0,1.0,1305.605,7.747,30.436,0.184,0.72,79.63
Europe,NOR,Norway,2020,4,0,2020-04-20,7156.0,78.0,181.0,16.0,1319.993,14.388,33.387,2.951,0.72,74.07
Europe,NOR,Norway,2020,4,1,2020-04-21,7191.0,35.0,182.0,1.0,1326.449,6.456,33.572,0.184,0.72,71.3
Europe,NOR,Norway,2020,4,2,2020-04-22,7338.0,147.0,187.0,5.0,1353.564,27.116,34.494,0.922,0.73,71.3
Europe,NOR,Norway,2020,4,3,2020-04-23,7401.0,63.0,194.0,7.0,1365.185,11.621,35.785,1.291,0.72,71.3
Europe,NOR,Norway,2020,4,4,2020-04-24,7463.0,62.0,199.0,5.0,1376.622,11.436,36.707,0.922,0.71,71.3
Europe,NOR,Norway,2020,4,5,2020-04-25,7499.0,36.0,201.0,2.0,1383.262,6.641,37.076,0.369,0.7,71.3
Europe,NOR,Norway,2020,4,6,2020-04-26,7527.0,28.0,201.0,0.0,1388.427,5.165,37.076,0.0,0.7,71.3
Europe,NOR,Norway,2020,4,0,2020-04-27,7599.0,72.0,205.0,4.0,1401.708,13.281,37.814,0.738,0.7,67.59
Europe,NOR,Norway,2020,4,1,2020-04-28,7660.0,61.0,206.0,1.0,1412.96,11.252,37.999,0.184,0.7,67.59
Europe,NOR,Norway,2020,4,2,2020-04-29,7710.0,50.0,207.0,1.0,1422.183,9.223,38.183,0.184,0.69,67.59
Europe,NOR,Norway,2020,4,3,2020-04-30,7738.0,28.0,210.0,3.0,1427.348,5.165,38.737,0.553,0.69,67.59
Europe,NOR,Norway,2020,5,4,2020-05-01,7783.0,45.0,210.0,0.0,1435.649,8.301,38.737,0.0,0.69,67.59
Europe,NOR,Norway,2020,5,5,2020-05-02,7809.0,26.0,211.0,1.0,1440.445,4.796,38.921,0.184,0.69,67.59
Europe,NOR,Norway,2020,5,6,2020-05-03,7847.0,38.0,211.0,0.0,1447.454,7.009,38.921,0.0,0.7,67.59
Europe,NOR,Norway,2020,5,0,2020-05-04,7904.0,57.0,214.0,3.0,1457.968,10.514,39.474,0.553,0.71,67.59
Europe,NOR,Norway,2020,5,1,2020-05-05,7955.0,51.0,215.0,1.0,1467.376,9.407,39.659,0.184,0.71,67.59
Europe,NOR,Norway,2020,5,2,2020-05-06,7996.0,41.0,216.0,1.0,1474.939,7.563,39.843,0.184,0.7,67.59
Europe,NOR,Norway,2020,5,3,2020-05-07,8034.0,38.0,217.0,1.0,1481.948,7.009,40.028,0.184,0.69,67.59
Europe,NOR,Norway,2020,5,4,2020-05-08,8070.0,36.0,218.0,1.0,1488.589,6.641,40.212,0.184,0.67,67.59
Europe,NOR,Norway,2020,5,5,2020-05-09,8099.0,29.0,219.0,1.0,1493.938,5.349,40.397,0.184,0.66,67.59
Europe,NOR,Norway,2020,5,6,2020-05-10,8105.0,6.0,219.0,0.0,1495.045,1.107,40.397,0.0,0.65,67.59
Europe,NOR,Norway,2020,5,0,2020-05-11,8132.0,27.0,224.0,5.0,1500.025,4.98,41.319,0.922,0.65,63.89
Europe,NOR,Norway,2020,5,1,2020-05-12,8157.0,25.0,228.0,4.0,1504.637,4.611,42.057,0.738,0.65,63.89
Europe,NOR,Norway,2020,5,2,2020-05-13,8175.0,18.0,229.0,1.0,1507.957,3.32,42.241,0.184,0.65,63.89
Europe,NOR,Norway,2020,5,3,2020-05-14,8196.0,21.0,232.0,3.0,1511.831,3.874,42.795,0.553,0.65,58.33
Europe,NOR,Norway,2020,5,4,2020-05-15,8219.0,23.0,232.0,0.0,1516.073,4.243,42.795,0.0,0.65,58.33
Europe,NOR,Norway,2020,5,5,2020-05-16,8237.0,18.0,232.0,0.0,1519.394,3.32,42.795,0.0,0.65,58.33
Europe,NOR,Norway,2020,5,6,2020-05-17,8249.0,12.0,232.0,0.0,1521.607,2.214,42.795,0.0,0.66,58.33
Europe,NOR,Norway,2020,5,0,2020-05-18,8257.0,8.0,233.0,1.0,1523.083,1.476,42.979,0.184,0.66,58.33
Europe,NOR,Norway,2020,5,1,2020-05-19,8267.0,10.0,233.0,0.0,1524.927,1.845,42.979,0.0,0.68,58.33
Europe,NOR,Norway,2020,5,2,2020-05-20,8281.0,14.0,234.0,1.0,1527.51,2.582,43.164,0.184,0.71,58.33
Europe,NOR,Norway,2020,5,3,2020-05-21,8309.0,28.0,235.0,1.0,1532.675,5.165,43.348,0.184,0.73,58.33
Europe,NOR,Norway,2020,5,4,2020-05-22,8332.0,23.0,235.0,0.0,1536.917,4.243,43.348,0.0,0.74,58.33
Europe,NOR,Norway,2020,5,5,2020-05-23,8346.0,14.0,235.0,0.0,1539.5,2.582,43.348,0.0,0.74,58.33
Europe,NOR,Norway,2020,5,6,2020-05-24,8352.0,6.0,235.0,0.0,1540.606,1.107,43.348,0.0,0.75,58.33
Europe,NOR,Norway,2020,5,0,2020-05-25,8364.0,12.0,235.0,0.0,1542.82,2.214,43.348,0.0,0.76,58.33
Europe,NOR,Norway,2020,5,1,2020-05-26,8383.0,19.0,235.0,0.0,1546.325,3.505,43.348,0.0,0.78,58.33
Europe,NOR,Norway,2020,5,2,2020-05-27,8401.0,18.0,235.0,0.0,1549.645,3.32,43.348,0.0,0.79,58.33
Europe,NOR,Norway,2020,5,3,2020-05-28,8411.0,10.0,236.0,1.0,1551.489,1.845,43.532,0.184,0.8,58.33
Europe,NOR,Norway,2020,5,4,2020-05-29,8422.0,11.0,236.0,0.0,1553.519,2.029,43.532,0.0,0.81,58.33
Europe,NOR,Norway,2020,5,5,2020-05-30,8437.0,15.0,236.0,0.0,1556.285,2.767,43.532,0.0,0.82,58.33
Europe,NOR,Norway,2020,5,6,2020-05-31,8440.0,3.0,236.0,0.0,1556.839,0.553,43.532,0.0,0.83,58.33
Europe,NOR,Norway,2020,6,0,2020-06-01,8446.0,6.0,236.0,0.0,1557.946,1.107,43.532,0.0,0.86,58.33
Europe,NOR,Norway,2020,6,1,2020-06-02,8455.0,9.0,237.0,1.0,1559.606,1.66,43.717,0.184,0.9,43.52
Europe,NOR,Norway,2020,6,2,2020-06-03,8477.0,22.0,237.0,0.0,1563.664,4.058,43.717,0.0,0.95,43.52
