continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Oceania,NZL,New Zealand,2020,2,4,2020-02-28,1.0,1.0,,,0.207,0.207,,,,19.44
Oceania,NZL,New Zealand,2020,2,5,2020-02-29,1.0,0.0,,,0.207,0.0,,,,19.44
Oceania,NZL,New Zealand,2020,3,6,2020-03-01,1.0,0.0,,,0.207,0.0,,,,19.44
Oceania,NZL,New Zealand,2020,3,0,2020-03-02,1.0,0.0,,,0.207,0.0,,,,19.44
Oceania,NZL,New Zealand,2020,3,1,2020-03-03,1.0,0.0,,,0.207,0.0,,,,19.44
Oceania,NZL,New Zealand,2020,3,2,2020-03-04,3.0,2.0,,,0.622,0.415,,,,19.44
Oceania,NZL,New Zealand,2020,3,3,2020-03-05,3.0,0.0,,,0.622,0.0,,,,19.44
Oceania,NZL,New Zealand,2020,3,4,2020-03-06,4.0,1.0,,,0.829,0.207,,,,19.44
Oceania,NZL,New Zealand,2020,3,5,2020-03-07,5.0,1.0,,,1.037,0.207,,,,19.44
Oceania,NZL,New Zealand,2020,3,6,2020-03-08,5.0,0.0,,,1.037,0.0,,,,19.44
Oceania,NZL,New Zealand,2020,3,0,2020-03-09,5.0,0.0,,,1.037,0.0,,,,19.44
Oceania,NZL,New Zealand,2020,3,1,2020-03-10,5.0,0.0,,,1.037,0.0,,,,19.44
Oceania,NZL,New Zealand,2020,3,2,2020-03-11,5.0,0.0,,,1.037,0.0,,,,19.44
Oceania,NZL,New Zealand,2020,3,3,2020-03-12,5.0,0.0,,,1.037,0.0,,,,19.44
Oceania,NZL,New Zealand,2020,3,4,2020-03-13,5.0,0.0,,,1.037,0.0,,,,19.44
Oceania,NZL,New Zealand,2020,3,5,2020-03-14,6.0,1.0,,,1.244,0.207,,,,19.44
Oceania,NZL,New Zealand,2020,3,6,2020-03-15,8.0,2.0,,,1.659,0.415,,,,19.44
Oceania,NZL,New Zealand,2020,3,0,2020-03-16,8.0,0.0,,,1.659,0.0,,,,36.11
Oceania,NZL,New Zealand,2020,3,1,2020-03-17,12.0,4.0,,,2.488,0.829,,,,36.11
Oceania,NZL,New Zealand,2020,3,2,2020-03-18,20.0,8.0,,,4.147,1.659,,,,36.11
Oceania,NZL,New Zealand,2020,3,3,2020-03-19,28.0,8.0,,,5.806,1.659,,,,36.11
Oceania,NZL,New Zealand,2020,3,4,2020-03-20,39.0,11.0,,,8.088,2.281,,,,38.89
Oceania,NZL,New Zealand,2020,3,5,2020-03-21,52.0,13.0,,,10.783,2.696,,,,58.33
Oceania,NZL,New Zealand,2020,3,6,2020-03-22,102.0,50.0,,,21.152,10.369,,,,58.33
