continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,OMN,Oman,2020,2,0,2020-02-24,2.0,2.0,,,0.392,0.392,,,,19.44
Asia,OMN,Oman,2020,2,1,2020-02-25,2.0,0.0,,,0.392,0.0,,,,19.44
Asia,OMN,Oman,2020,2,2,2020-02-26,4.0,2.0,,,0.783,0.392,,,,19.44
Asia,OMN,Oman,2020,2,3,2020-02-27,4.0,0.0,,,0.783,0.0,,,,19.44
Asia,OMN,Oman,2020,2,4,2020-02-28,4.0,0.0,,,0.783,0.0,,,,19.44
Asia,OMN,Oman,2020,2,5,2020-02-29,6.0,2.0,,,1.175,0.392,,,,19.44
Asia,OMN,Oman,2020,3,6,2020-03-01,6.0,0.0,,,1.175,0.0,,,,19.44
Asia,OMN,Oman,2020,3,0,2020-03-02,6.0,0.0,,,1.175,0.0,,,,19.44
Asia,OMN,Oman,2020,3,1,2020-03-03,12.0,6.0,,,2.35,1.175,,,,19.44
Asia,OMN,Oman,2020,3,2,2020-03-04,15.0,3.0,,,2.937,0.587,,,,19.44
Asia,OMN,Oman,2020,3,3,2020-03-05,16.0,1.0,,,3.133,0.196,,,,19.44
Asia,OMN,Oman,2020,3,4,2020-03-06,16.0,0.0,,,3.133,0.0,,,,19.44
Asia,OMN,Oman,2020,3,5,2020-03-07,16.0,0.0,,,3.133,0.0,,,,19.44
Asia,OMN,Oman,2020,3,6,2020-03-08,16.0,0.0,,,3.133,0.0,,,,19.44
Asia,OMN,Oman,2020,3,0,2020-03-09,16.0,0.0,,,3.133,0.0,,,,19.44
Asia,OMN,Oman,2020,3,1,2020-03-10,18.0,2.0,,,3.525,0.392,,,,19.44
Asia,OMN,Oman,2020,3,2,2020-03-11,18.0,0.0,,,3.525,0.0,,,,19.44
Asia,OMN,Oman,2020,3,3,2020-03-12,18.0,0.0,,,3.525,0.0,,,,19.44
Asia,OMN,Oman,2020,3,4,2020-03-13,19.0,1.0,,,3.721,0.196,,,,19.44
Asia,OMN,Oman,2020,3,5,2020-03-14,19.0,0.0,,,3.721,0.0,,,,19.44
Asia,OMN,Oman,2020,3,6,2020-03-15,22.0,3.0,,,4.308,0.587,,,,30.56
Asia,OMN,Oman,2020,3,0,2020-03-16,22.0,0.0,,,4.308,0.0,,,,30.56
Asia,OMN,Oman,2020,3,1,2020-03-17,24.0,2.0,,,4.7,0.392,,,,52.78
Asia,OMN,Oman,2020,3,2,2020-03-18,39.0,15.0,,,7.637,2.937,,,,66.67
Asia,OMN,Oman,2020,3,3,2020-03-19,48.0,9.0,,,9.4,1.762,,,,77.78
Asia,OMN,Oman,2020,3,4,2020-03-20,48.0,0.0,,,9.4,0.0,,,,77.78
Asia,OMN,Oman,2020,3,5,2020-03-21,52.0,4.0,,,10.183,0.783,,,,81.48
Asia,OMN,Oman,2020,3,6,2020-03-22,55.0,3.0,,,10.77,0.587,,,,81.48
Asia,OMN,Oman,2020,3,0,2020-03-23,66.0,11.0,,,12.924,2.154,,,,81.48
Asia,OMN,Oman,2020,3,1,2020-03-24,84.0,18.0,,,16.449,3.525,,,,81.48
Asia,OMN,Oman,2020,3,2,2020-03-25,99.0,15.0,,,19.387,2.937,,,,81.48
Asia,OMN,Oman,2020,3,3,2020-03-26,109.0,10.0,,,21.345,1.958,,,,81.48
Asia,OMN,Oman,2020,3,4,2020-03-27,131.0,22.0,,,25.653,4.308,,,1.24,81.48
Asia,OMN,Oman,2020,3,5,2020-03-28,152.0,21.0,,,29.765,4.112,,,1.24,81.48
Asia,OMN,Oman,2020,3,6,2020-03-29,167.0,15.0,,,32.703,2.937,,,1.24,81.48
Asia,OMN,Oman,2020,3,0,2020-03-30,179.0,12.0,,,35.053,2.35,,,1.24,81.48
Asia,OMN,Oman,2020,3,1,2020-03-31,192.0,13.0,1.0,1.0,37.598,2.546,0.196,0.196,1.24,85.19
Asia,OMN,Oman,2020,4,2,2020-04-01,210.0,18.0,1.0,0.0,41.123,3.525,0.196,0.0,1.24,85.19
Asia,OMN,Oman,2020,4,3,2020-04-02,231.0,21.0,1.0,0.0,45.235,4.112,0.196,0.0,1.24,85.19
Asia,OMN,Oman,2020,4,4,2020-04-03,252.0,21.0,1.0,0.0,49.348,4.112,0.196,0.0,1.24,85.19
Asia,OMN,Oman,2020,4,5,2020-04-04,277.0,25.0,2.0,1.0,54.243,4.896,0.392,0.196,1.24,85.19
Asia,OMN,Oman,2020,4,6,2020-04-05,298.0,21.0,2.0,0.0,58.356,4.112,0.392,0.0,1.24,85.19
