continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
,OWID_EUN,European Union,2020,1,3,2020-01-23,,0.0,,0.0,,0.0,,0.0,,
,OWID_EUN,European Union,2020,1,4,2020-01-24,2.0,2.0,,0.0,0.004,0.004,,0.0,,
,OWID_EUN,European Union,2020,1,5,2020-01-25,3.0,1.0,,0.0,0.007,0.002,,0.0,,
,OWID_EUN,European Union,2020,1,6,2020-01-26,3.0,0.0,,0.0,0.007,0.0,,0.0,,
,OWID_EUN,European Union,2020,1,0,2020-01-27,4.0,1.0,,0.0,0.009,0.002,,0.0,,
,OWID_EUN,European Union,2020,1,1,2020-01-28,8.0,4.0,,0.0,0.018,0.009,,0.0,,
,OWID_EUN,European Union,2020,1,2,2020-01-29,10.0,2.0,,0.0,0.022,0.004,,0.0,,
,OWID_EUN,European Union,2020,1,3,2020-01-30,10.0,0.0,,0.0,0.022,0.0,,0.0,,
,OWID_EUN,European Union,2020,1,4,2020-01-31,13.0,3.0,,0.0,0.029,0.007,,0.0,,
,OWID_EUN,European Union,2020,2,5,2020-02-01,19.0,6.0,,0.0,0.043,0.013,,0.0,,
,OWID_EUN,European Union,2020,2,6,2020-02-02,21.0,2.0,,0.0,0.047,0.004,,0.0,,
,OWID_EUN,European Union,2020,2,0,2020-02-03,23.0,2.0,,0.0,0.052,0.004,,0.0,,
,OWID_EUN,European Union,2020,2,1,2020-02-04,24.0,1.0,,0.0,0.054,0.002,,0.0,,
,OWID_EUN,European Union,2020,2,2,2020-02-05,24.0,0.0,,0.0,0.054,0.0,,0.0,,
,OWID_EUN,European Union,2020,2,3,2020-02-06,24.0,0.0,,0.0,0.054,0.0,,0.0,,
,OWID_EUN,European Union,2020,2,4,2020-02-07,26.0,2.0,,0.0,0.058,0.004,,0.0,,
,OWID_EUN,European Union,2020,2,5,2020-02-08,31.0,5.0,,0.0,0.07,0.011,,0.0,,
,OWID_EUN,European Union,2020,2,6,2020-02-09,33.0,2.0,,0.0,0.074,0.004,,0.0,,
,OWID_EUN,European Union,2020,2,0,2020-02-10,33.0,0.0,,0.0,0.074,0.0,,0.0,,
,OWID_EUN,European Union,2020,2,1,2020-02-11,35.0,2.0,,0.0,0.079,0.004,,0.0,,
,OWID_EUN,European Union,2020,2,2,2020-02-12,35.0,0.0,,0.0,0.079,0.0,,0.0,,
,OWID_EUN,European Union,2020,2,3,2020-02-13,35.0,0.0,,0.0,0.079,0.0,,0.0,,
,OWID_EUN,European Union,2020,2,4,2020-02-14,35.0,0.0,,0.0,0.079,0.0,,0.0,,
,OWID_EUN,European Union,2020,2,5,2020-02-15,36.0,1.0,1.0,1.0,0.081,0.002,0.002,0.002,,
,OWID_EUN,European Union,2020,2,6,2020-02-16,36.0,0.0,1.0,0.0,0.081,0.0,0.002,0.0,,
,OWID_EUN,European Union,2020,2,0,2020-02-17,36.0,0.0,1.0,0.0,0.081,0.0,0.002,0.0,,
,OWID_EUN,European Union,2020,2,1,2020-02-18,36.0,0.0,1.0,0.0,0.081,0.0,0.002,0.0,,
,OWID_EUN,European Union,2020,2,2,2020-02-19,36.0,0.0,1.0,0.0,0.081,0.0,0.002,0.0,,
,OWID_EUN,European Union,2020,2,3,2020-02-20,36.0,0.0,1.0,0.0,0.081,0.0,0.002,0.0,,
,OWID_EUN,European Union,2020,2,4,2020-02-21,53.0,17.0,2.0,1.0,0.119,0.038,0.004,0.002,,
,OWID_EUN,European Union,2020,2,5,2020-02-22,95.0,42.0,3.0,1.0,0.214,0.094,0.007,0.002,,
,OWID_EUN,European Union,2020,2,6,2020-02-23,188.0,93.0,4.0,1.0,0.423,0.209,0.009,0.002,,
,OWID_EUN,European Union,2020,2,0,2020-02-24,262.0,74.0,8.0,4.0,0.589,0.166,0.018,0.009,,
,OWID_EUN,European Union,2020,2,1,2020-02-25,365.0,103.0,11.0,3.0,0.82,0.232,0.025,0.007,,
,OWID_EUN,European Union,2020,2,2,2020-02-26,523.0,158.0,14.0,3.0,1.175,0.355,0.031,0.007,,
,OWID_EUN,European Union,2020,2,3,2020-02-27,773.0,250.0,19.0,5.0,1.737,0.562,0.043,0.011,,
,OWID_EUN,European Union,2020,2,4,2020-02-28,1057.0,284.0,23.0,4.0,2.376,0.638,0.052,0.009,,
,OWID_EUN,European Union,2020,2,5,2020-02-29,1405.0,348.0,31.0,8.0,3.158,0.782,0.07,0.018,,
,OWID_EUN,European Union,2020,3,6,2020-03-01,2112.0,707.0,36.0,5.0,4.747,1.589,0.081,0.011,,
,OWID_EUN,European Union,2020,3,0,2020-03-02,2606.0,494.0,55.0,19.0,5.857,1.11,0.124,0.043,,
,OWID_EUN,European Union,2020,3,1,2020-03-03,3210.0,604.0,84.0,29.0,7.215,1.358,0.189,0.065,,
,OWID_EUN,European Union,2020,3,2,2020-03-04,4080.0,870.0,113.0,29.0,9.17,1.955,0.254,0.065,,
,OWID_EUN,European Union,2020,3,3,2020-03-05,5392.0,1312.0,158.0,45.0,12.119,2.949,0.355,0.101,,
,OWID_EUN,European Union,2020,3,4,2020-03-06,6942.0,1550.0,212.0,54.0,15.603,3.484,0.476,0.121,,
,OWID_EUN,European Union,2020,3,5,2020-03-07,8942.0,2000.0,260.0,48.0,20.098,4.495,0.584,0.108,,
,OWID_EUN,European Union,2020,3,6,2020-03-08,11307.0,2365.0,405.0,145.0,25.414,5.316,0.91,0.326,,
,OWID_EUN,European Union,2020,3,0,2020-03-09,14226.0,2919.0,521.0,116.0,31.974,6.561,1.171,0.261,,
,OWID_EUN,European Union,2020,3,1,2020-03-10,16994.0,2768.0,706.0,185.0,38.196,6.221,1.587,0.416,,
,OWID_EUN,European Union,2020,3,2,2020-03-11,21648.0,4654.0,944.0,238.0,48.656,10.46,2.122,0.535,,
,OWID_EUN,European Union,2020,3,3,2020-03-12,24924.0,3276.0,1137.0,193.0,56.019,7.363,2.556,0.434,,
,OWID_EUN,European Union,2020,3,4,2020-03-13,35096.0,10172.0,1507.0,370.0,78.882,22.863,3.387,0.832,,
,OWID_EUN,European Union,2020,3,5,2020-03-14,42507.0,7411.0,1771.0,264.0,95.539,16.657,3.98,0.593,,
,OWID_EUN,European Union,2020,3,6,2020-03-15,49867.0,7360.0,2248.0,477.0,112.081,16.542,5.053,1.072,,
,OWID_EUN,European Union,2020,3,0,2020-03-16,60044.0,10177.0,2724.0,476.0,134.955,22.874,6.122,1.07,,
,OWID_EUN,European Union,2020,3,1,2020-03-17,70045.0,10001.0,3301.0,577.0,157.433,22.478,7.419,1.297,,
,OWID_EUN,European Union,2020,3,2,2020-03-18,82516.0,12471.0,3899.0,598.0,185.463,28.03,8.763,1.344,,
,OWID_EUN,European Union,2020,3,3,2020-03-19,99352.0,16836.0,4690.0,791.0,223.304,37.841,10.541,1.778,,
,OWID_EUN,European Union,2020,3,4,2020-03-20,116843.0,17491.0,5822.0,1132.0,262.616,39.313,13.086,2.544,,
,OWID_EUN,European Union,2020,3,5,2020-03-21,135560.0,18717.0,7172.0,1350.0,304.685,42.068,16.12,3.034,,
,OWID_EUN,European Union,2020,3,6,2020-03-22,152910.0,17350.0,8428.0,1256.0,343.68,38.996,18.943,2.823,,
,OWID_EUN,European Union,2020,3,0,2020-03-23,175173.0,22263.0,9887.0,1459.0,393.719,50.038,22.222,3.279,,
,OWID_EUN,European Union,2020,3,1,2020-03-24,195518.0,20345.0,11563.0,1676.0,439.446,45.727,25.989,3.767,,
,OWID_EUN,European Union,2020,3,2,2020-03-25,222047.0,26529.0,13569.0,2006.0,499.073,59.627,30.498,4.509,,
