continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
,OWID_EUR,Europe,2020,1,3,2020-01-23,,0.0,,0.0,,0.0,,0.0,,
,OWID_EUR,Europe,2020,1,4,2020-01-24,2.0,2.0,,0.0,0.003,0.003,,0.0,,
,OWID_EUR,Europe,2020,1,5,2020-01-25,3.0,1.0,,0.0,0.004,0.001,,0.0,,
,OWID_EUR,Europe,2020,1,6,2020-01-26,3.0,0.0,,0.0,0.004,0.0,,0.0,,
,OWID_EUR,Europe,2020,1,0,2020-01-27,4.0,1.0,,0.0,0.005,0.001,,0.0,,
,OWID_EUR,Europe,2020,1,1,2020-01-28,8.0,4.0,,0.0,0.011,0.005,,0.0,,
,OWID_EUR,Europe,2020,1,2,2020-01-29,10.0,2.0,,0.0,0.013,0.003,,0.0,,
,OWID_EUR,Europe,2020,1,3,2020-01-30,10.0,0.0,,0.0,0.013,0.0,,0.0,,
,OWID_EUR,Europe,2020,1,4,2020-01-31,17.0,7.0,,0.0,0.023,0.009,,0.0,,
,OWID_EUR,Europe,2020,2,5,2020-02-01,23.0,6.0,,0.0,0.031,0.008,,0.0,,
,OWID_EUR,Europe,2020,2,6,2020-02-02,25.0,2.0,,0.0,0.033,0.003,,0.0,,
,OWID_EUR,Europe,2020,2,0,2020-02-03,33.0,8.0,,0.0,0.044,0.011,,0.0,,
,OWID_EUR,Europe,2020,2,1,2020-02-04,34.0,1.0,,0.0,0.045,0.001,,0.0,,
,OWID_EUR,Europe,2020,2,2,2020-02-05,35.0,1.0,,0.0,0.047,0.001,,0.0,,
,OWID_EUR,Europe,2020,2,3,2020-02-06,35.0,0.0,,0.0,0.047,0.0,,0.0,,
,OWID_EUR,Europe,2020,2,4,2020-02-07,37.0,2.0,,0.0,0.049,0.003,,0.0,,
,OWID_EUR,Europe,2020,2,5,2020-02-08,46.0,9.0,,0.0,0.061,0.012,,0.0,,
,OWID_EUR,Europe,2020,2,6,2020-02-09,49.0,3.0,,0.0,0.065,0.004,,0.0,,
,OWID_EUR,Europe,2020,2,0,2020-02-10,49.0,0.0,,0.0,0.065,0.0,,0.0,,
,OWID_EUR,Europe,2020,2,1,2020-02-11,52.0,3.0,,0.0,0.069,0.004,,0.0,,
,OWID_EUR,Europe,2020,2,2,2020-02-12,53.0,1.0,,0.0,0.071,0.001,,0.0,,
,OWID_EUR,Europe,2020,2,3,2020-02-13,54.0,1.0,,0.0,0.072,0.001,,0.0,,
,OWID_EUR,Europe,2020,2,4,2020-02-14,55.0,1.0,,0.0,0.073,0.001,,0.0,,
,OWID_EUR,Europe,2020,2,5,2020-02-15,56.0,1.0,1.0,1.0,0.075,0.001,0.001,0.001,,
,OWID_EUR,Europe,2020,2,6,2020-02-16,56.0,0.0,1.0,0.0,0.075,0.0,0.001,0.0,,
,OWID_EUR,Europe,2020,2,0,2020-02-17,57.0,1.0,1.0,0.0,0.076,0.001,0.001,0.0,,
,OWID_EUR,Europe,2020,2,1,2020-02-18,57.0,0.0,1.0,0.0,0.076,0.0,0.001,0.0,,
,OWID_EUR,Europe,2020,2,2,2020-02-19,58.0,1.0,1.0,0.0,0.077,0.001,0.001,0.0,,
,OWID_EUR,Europe,2020,2,3,2020-02-20,60.0,2.0,1.0,0.0,0.08,0.003,0.001,0.0,,
,OWID_EUR,Europe,2020,2,4,2020-02-21,78.0,18.0,2.0,1.0,0.104,0.024,0.003,0.001,,
,OWID_EUR,Europe,2020,2,5,2020-02-22,120.0,42.0,3.0,1.0,0.16,0.056,0.004,0.001,,
,OWID_EUR,Europe,2020,2,6,2020-02-23,218.0,98.0,4.0,1.0,0.291,0.131,0.005,0.001,,
,OWID_EUR,Europe,2020,2,0,2020-02-24,294.0,76.0,8.0,4.0,0.393,0.102,0.011,0.005,,
,OWID_EUR,Europe,2020,2,1,2020-02-25,402.0,108.0,11.0,3.0,0.537,0.144,0.015,0.004,,
,OWID_EUR,Europe,2020,2,2,2020-02-26,565.0,163.0,14.0,3.0,0.755,0.218,0.019,0.004,,
,OWID_EUR,Europe,2020,2,3,2020-02-27,830.0,265.0,19.0,5.0,1.109,0.354,0.025,0.007,,
,OWID_EUR,Europe,2020,2,4,2020-02-28,1133.0,303.0,23.0,4.0,1.513,0.405,0.031,0.005,,
