continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,OWID_KOS,Kosovo,2020,3,5,2020-03-14,2.0,2.0,,,1.035,1.035,,,,72.22
Europe,OWID_KOS,Kosovo,2020,3,6,2020-03-15,5.0,3.0,,,2.587,1.552,,,,85.19
Europe,OWID_KOS,Kosovo,2020,3,0,2020-03-16,13.0,8.0,,,6.726,4.139,,,,85.19
Europe,OWID_KOS,Kosovo,2020,3,1,2020-03-17,16.0,3.0,,,8.278,1.552,,,,85.19
Europe,OWID_KOS,Kosovo,2020,3,2,2020-03-18,19.0,3.0,,,9.83,1.552,,,,85.19
Europe,OWID_KOS,Kosovo,2020,3,3,2020-03-19,20.0,1.0,,,10.348,0.517,,,,85.19
Europe,OWID_KOS,Kosovo,2020,3,4,2020-03-20,21.0,1.0,,,10.865,0.517,,,,85.19
Europe,OWID_KOS,Kosovo,2020,3,5,2020-03-21,24.0,3.0,,,12.417,1.552,,,,85.19
Europe,OWID_KOS,Kosovo,2020,3,6,2020-03-22,31.0,7.0,,,16.039,3.622,,,,85.19
Europe,OWID_KOS,Kosovo,2020,3,0,2020-03-23,33.0,2.0,1.0,1.0,17.074,1.035,0.517,0.517,,87.96
Europe,OWID_KOS,Kosovo,2020,3,1,2020-03-24,61.0,28.0,1.0,0.0,31.561,14.487,0.517,0.0,,92.59
Europe,OWID_KOS,Kosovo,2020,3,2,2020-03-25,63.0,2.0,1.0,0.0,32.596,1.035,0.517,0.0,,92.59
Europe,OWID_KOS,Kosovo,2020,3,3,2020-03-26,71.0,8.0,1.0,0.0,36.735,4.139,0.517,0.0,,92.59
Europe,OWID_KOS,Kosovo,2020,3,4,2020-03-27,86.0,15.0,1.0,0.0,44.496,7.761,0.517,0.0,,92.59
Europe,OWID_KOS,Kosovo,2020,3,5,2020-03-28,88.0,2.0,1.0,0.0,45.53,1.035,0.517,0.0,,92.59
Europe,OWID_KOS,Kosovo,2020,3,6,2020-03-29,91.0,3.0,1.0,0.0,47.083,1.552,0.517,0.0,,92.59
Europe,OWID_KOS,Kosovo,2020,3,0,2020-03-30,94.0,3.0,1.0,0.0,48.635,1.552,0.517,0.0,,92.59
Europe,OWID_KOS,Kosovo,2020,3,1,2020-03-31,106.0,12.0,1.0,0.0,54.843,6.209,0.517,0.0,,92.59
Europe,OWID_KOS,Kosovo,2020,4,2,2020-04-01,112.0,6.0,1.0,0.0,57.948,3.104,0.517,0.0,1.11,92.59
Europe,OWID_KOS,Kosovo,2020,4,3,2020-04-02,125.0,13.0,1.0,0.0,64.674,6.726,0.517,0.0,1.11,92.59
Europe,OWID_KOS,Kosovo,2020,4,4,2020-04-03,126.0,1.0,1.0,0.0,65.191,0.517,0.517,0.0,1.11,92.59
Europe,OWID_KOS,Kosovo,2020,4,5,2020-04-04,135.0,9.0,1.0,0.0,69.848,4.657,0.517,0.0,1.11,92.59
Europe,OWID_KOS,Kosovo,2020,4,6,2020-04-05,140.0,5.0,1.0,0.0,72.435,2.587,0.517,0.0,1.12,92.59
Europe,OWID_KOS,Kosovo,2020,4,0,2020-04-06,145.0,5.0,1.0,0.0,75.022,2.587,0.517,0.0,1.13,92.59
Europe,OWID_KOS,Kosovo,2020,4,1,2020-04-07,165.0,20.0,3.0,2.0,85.37,10.348,1.552,1.035,1.14,92.59
Europe,OWID_KOS,Kosovo,2020,4,2,2020-04-08,184.0,19.0,5.0,2.0,95.2,9.83,2.587,1.035,1.15,92.59
Europe,OWID_KOS,Kosovo,2020,4,3,2020-04-09,224.0,40.0,6.0,1.0,115.896,20.696,3.104,0.517,1.16,92.59
Europe,OWID_KOS,Kosovo,2020,4,4,2020-04-10,227.0,3.0,7.0,1.0,117.448,1.552,3.622,0.517,1.16,92.59
Europe,OWID_KOS,Kosovo,2020,4,5,2020-04-11,250.0,23.0,7.0,0.0,129.348,11.9,3.622,0.0,1.16,92.59
Europe,OWID_KOS,Kosovo,2020,4,6,2020-04-12,283.0,33.0,7.0,0.0,146.422,17.074,3.622,0.0,1.16,92.59
