continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
,OWID_WRL,World,2020,1,2,2020-01-22,557.0,0.0,17.0,0.0,0.071,0.0,0.002,0.0,,
,OWID_WRL,World,2020,1,3,2020-01-23,655.0,98.0,18.0,1.0,0.084,0.013,0.002,0.0,3.14,
,OWID_WRL,World,2020,1,4,2020-01-24,941.0,286.0,26.0,8.0,0.121,0.037,0.003,0.001,3.27,
,OWID_WRL,World,2020,1,5,2020-01-25,1433.0,492.0,42.0,16.0,0.184,0.063,0.005,0.002,3.4,
,OWID_WRL,World,2020,1,6,2020-01-26,2118.0,685.0,56.0,14.0,0.272,0.088,0.007,0.002,3.44,
,OWID_WRL,World,2020,1,0,2020-01-27,2927.0,809.0,82.0,26.0,0.376,0.104,0.011,0.003,3.45,
,OWID_WRL,World,2020,1,1,2020-01-28,5578.0,2651.0,131.0,49.0,0.716,0.34,0.017,0.006,3.46,
,OWID_WRL,World,2020,1,2,2020-01-29,6167.0,589.0,133.0,2.0,0.791,0.076,0.017,0.0,3.14,
,OWID_WRL,World,2020,1,3,2020-01-30,8235.0,2068.0,171.0,38.0,1.056,0.265,0.022,0.005,2.97,
,OWID_WRL,World,2020,1,4,2020-01-31,9927.0,1692.0,213.0,42.0,1.274,0.217,0.027,0.005,2.79,
,OWID_WRL,World,2020,2,5,2020-02-01,12038.0,2111.0,259.0,46.0,1.544,0.271,0.033,0.006,2.66,
,OWID_WRL,World,2020,2,6,2020-02-02,16787.0,4749.0,362.0,103.0,2.154,0.609,0.046,0.013,2.56,
,OWID_WRL,World,2020,2,0,2020-02-03,19887.0,3100.0,426.0,64.0,2.551,0.398,0.055,0.008,2.35,
,OWID_WRL,World,2020,2,1,2020-02-04,23898.0,4011.0,492.0,66.0,3.066,0.515,0.063,0.008,2.17,
,OWID_WRL,World,2020,2,2,2020-02-05,27643.0,3745.0,564.0,72.0,3.546,0.48,0.072,0.009,2.0,
,OWID_WRL,World,2020,2,3,2020-02-06,30803.0,3160.0,634.0,70.0,3.952,0.405,0.081,0.009,1.83,
,OWID_WRL,World,2020,2,4,2020-02-07,34396.0,3593.0,719.0,85.0,4.413,0.461,0.092,0.011,1.71,
,OWID_WRL,World,2020,2,5,2020-02-08,37130.0,2734.0,806.0,87.0,4.763,0.351,0.103,0.011,1.6,
,OWID_WRL,World,2020,2,6,2020-02-09,40160.0,3030.0,906.0,100.0,5.152,0.389,0.116,0.013,1.53,
,OWID_WRL,World,2020,2,0,2020-02-10,42769.0,2609.0,1013.0,107.0,5.487,0.335,0.13,0.014,1.49,
,OWID_WRL,World,2020,2,1,2020-02-11,44811.0,2042.0,1113.0,100.0,5.749,0.262,0.143,0.013,1.47,
,OWID_WRL,World,2020,2,2,2020-02-12,45229.0,418.0,1118.0,5.0,5.802,0.054,0.143,0.001,1.51,
,OWID_WRL,World,2020,2,3,2020-02-13,60382.0,15153.0,1371.0,253.0,7.746,1.944,0.176,0.032,1.64,
,OWID_WRL,World,2020,2,4,2020-02-14,66909.0,6527.0,1523.0,152.0,8.584,0.837,0.195,0.02,1.43,
,OWID_WRL,World,2020,2,5,2020-02-15,69052.0,2143.0,1666.0,143.0,8.859,0.275,0.214,0.018,1.22,
,OWID_WRL,World,2020,2,6,2020-02-16,71235.0,2183.0,1770.0,104.0,9.139,0.28,0.227,0.013,1.05,
,OWID_WRL,World,2020,2,0,2020-02-17,73270.0,2035.0,1868.0,98.0,9.4,0.261,0.24,0.013,0.91,
,OWID_WRL,World,2020,2,1,2020-02-18,75152.0,1882.0,2008.0,140.0,9.641,0.241,0.258,0.018,0.81,
,OWID_WRL,World,2020,2,2,2020-02-19,75652.0,500.0,2123.0,115.0,9.705,0.064,0.272,0.015,0.72,
,OWID_WRL,World,2020,2,3,2020-02-20,76212.0,560.0,2248.0,125.0,9.777,0.072,0.288,0.016,0.67,
,OWID_WRL,World,2020,2,4,2020-02-21,76841.0,629.0,2252.0,4.0,9.858,0.081,0.289,0.001,0.65,
,OWID_WRL,World,2020,2,5,2020-02-22,78602.0,1761.0,2459.0,207.0,10.084,0.226,0.315,0.027,0.66,
,OWID_WRL,World,2020,2,6,2020-02-23,78982.0,380.0,2470.0,11.0,10.133,0.049,0.317,0.001,0.66,
,OWID_WRL,World,2020,2,0,2020-02-24,79546.0,564.0,2630.0,160.0,10.205,0.072,0.337,0.021,0.69,
,OWID_WRL,World,2020,2,1,2020-02-25,80399.0,853.0,2710.0,80.0,10.314,0.109,0.348,0.01,0.74,
