continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,PAK,Pakistan,2020,2,1,2020-02-25,2.0,2.0,,,0.009,0.009,,,,19.44
Asia,PAK,Pakistan,2020,2,2,2020-02-26,2.0,0.0,,,0.009,0.0,,,,19.44
Asia,PAK,Pakistan,2020,2,3,2020-02-27,2.0,0.0,,,0.009,0.0,,,,28.7
Asia,PAK,Pakistan,2020,2,4,2020-02-28,4.0,2.0,,,0.018,0.009,,,,28.7
Asia,PAK,Pakistan,2020,2,5,2020-02-29,4.0,0.0,,,0.018,0.0,,,,28.7
Asia,PAK,Pakistan,2020,3,6,2020-03-01,4.0,0.0,,,0.018,0.0,,,,28.7
Asia,PAK,Pakistan,2020,3,0,2020-03-02,5.0,1.0,,,0.023,0.005,,,,28.7
Asia,PAK,Pakistan,2020,3,1,2020-03-03,5.0,0.0,,,0.023,0.0,,,,28.7
Asia,PAK,Pakistan,2020,3,2,2020-03-04,5.0,0.0,,,0.023,0.0,,,,28.7
Asia,PAK,Pakistan,2020,3,3,2020-03-05,6.0,1.0,,,0.027,0.005,,,,28.7
Asia,PAK,Pakistan,2020,3,4,2020-03-06,6.0,0.0,,,0.027,0.0,,,,28.7
Asia,PAK,Pakistan,2020,3,5,2020-03-07,6.0,0.0,,,0.027,0.0,,,,28.7
Asia,PAK,Pakistan,2020,3,6,2020-03-08,6.0,0.0,,,0.027,0.0,,,,28.7
Asia,PAK,Pakistan,2020,3,0,2020-03-09,16.0,10.0,,,0.072,0.045,,,,28.7
Asia,PAK,Pakistan,2020,3,1,2020-03-10,19.0,3.0,,,0.086,0.014,,,,28.7
Asia,PAK,Pakistan,2020,3,2,2020-03-11,20.0,1.0,,,0.091,0.005,,,,28.7
Asia,PAK,Pakistan,2020,3,3,2020-03-12,28.0,8.0,,,0.127,0.036,,,,28.7
Asia,PAK,Pakistan,2020,3,4,2020-03-13,31.0,3.0,,,0.14,0.014,,,,52.78
Asia,PAK,Pakistan,2020,3,5,2020-03-14,53.0,22.0,,,0.24,0.1,,,,52.78
Asia,PAK,Pakistan,2020,3,6,2020-03-15,136.0,83.0,,,0.616,0.376,,,,52.78
