continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
North America,PAN,Panama,2020,3,0,2020-03-09,,,,,,,,,,8.33
North America,PAN,Panama,2020,3,1,2020-03-10,1.0,1.0,,,0.232,0.232,,,,8.33
North America,PAN,Panama,2020,3,2,2020-03-11,8.0,7.0,1.0,1.0,1.854,1.622,0.232,0.232,,8.33
North America,PAN,Panama,2020,3,3,2020-03-12,11.0,3.0,1.0,0.0,2.549,0.695,0.232,0.0,,19.44
North America,PAN,Panama,2020,3,4,2020-03-13,27.0,16.0,1.0,0.0,6.258,3.708,0.232,0.0,,44.44
North America,PAN,Panama,2020,3,5,2020-03-14,36.0,9.0,1.0,0.0,8.343,2.086,0.232,0.0,,44.44
North America,PAN,Panama,2020,3,6,2020-03-15,43.0,7.0,1.0,0.0,9.966,1.622,0.232,0.0,,44.44
North America,PAN,Panama,2020,3,0,2020-03-16,55.0,12.0,1.0,0.0,12.747,2.781,0.232,0.0,,48.15
North America,PAN,Panama,2020,3,1,2020-03-17,69.0,14.0,1.0,0.0,15.992,3.245,0.232,0.0,,51.85
North America,PAN,Panama,2020,3,2,2020-03-18,86.0,17.0,1.0,0.0,19.932,3.94,0.232,0.0,,51.85
North America,PAN,Panama,2020,3,3,2020-03-19,109.0,23.0,1.0,0.0,25.262,5.331,0.232,0.0,,51.85
North America,PAN,Panama,2020,3,4,2020-03-20,137.0,28.0,1.0,0.0,31.751,6.489,0.232,0.0,2.15,59.26
North America,PAN,Panama,2020,3,5,2020-03-21,200.0,63.0,1.0,0.0,46.352,14.601,0.232,0.0,2.16,59.26
North America,PAN,Panama,2020,3,6,2020-03-22,313.0,113.0,3.0,2.0,72.542,26.189,0.695,0.464,2.13,59.26
North America,PAN,Panama,2020,3,0,2020-03-23,345.0,32.0,6.0,3.0,79.958,7.416,1.391,0.695,2.06,70.37
North America,PAN,Panama,2020,3,1,2020-03-24,345.0,0.0,6.0,0.0,79.958,0.0,1.391,0.0,2.01,75.93
North America,PAN,Panama,2020,3,2,2020-03-25,443.0,98.0,8.0,2.0,102.671,22.713,1.854,0.464,2.0,75.93
