continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
South America,PER,Peru,2020,3,4,2020-03-06,1.0,1.0,,,0.03,0.03,,,,13.89
South America,PER,Peru,2020,3,5,2020-03-07,1.0,0.0,,,0.03,0.0,,,,13.89
South America,PER,Peru,2020,3,6,2020-03-08,6.0,5.0,,,0.182,0.152,,,,13.89
South America,PER,Peru,2020,3,0,2020-03-09,7.0,1.0,,,0.212,0.03,,,,13.89
South America,PER,Peru,2020,3,1,2020-03-10,11.0,4.0,,,0.334,0.121,,,,13.89
South America,PER,Peru,2020,3,2,2020-03-11,11.0,0.0,,,0.334,0.0,,,,16.67
South America,PER,Peru,2020,3,3,2020-03-12,15.0,4.0,,,0.455,0.121,,,,44.44
South America,PER,Peru,2020,3,4,2020-03-13,28.0,13.0,,,0.849,0.394,,,,44.44
South America,PER,Peru,2020,3,5,2020-03-14,38.0,10.0,,,1.152,0.303,,,,50.0
South America,PER,Peru,2020,3,6,2020-03-15,43.0,5.0,,,1.304,0.152,,,,74.07
South America,PER,Peru,2020,3,0,2020-03-16,86.0,43.0,,,2.608,1.304,,,,90.74
South America,PER,Peru,2020,3,1,2020-03-17,117.0,31.0,,,3.548,0.94,,,,90.74
South America,PER,Peru,2020,3,2,2020-03-18,145.0,28.0,,,4.398,0.849,,,1.83,94.44
South America,PER,Peru,2020,3,3,2020-03-19,234.0,89.0,,,7.097,2.699,,,1.83,94.44
South America,PER,Peru,2020,3,4,2020-03-20,234.0,0.0,3.0,3.0,7.097,0.0,0.091,0.091,1.83,94.44
South America,PER,Peru,2020,3,5,2020-03-21,318.0,84.0,5.0,2.0,9.645,2.548,0.152,0.061,1.83,94.44
South America,PER,Peru,2020,3,6,2020-03-22,363.0,45.0,5.0,0.0,11.009,1.365,0.152,0.0,1.82,94.44
South America,PER,Peru,2020,3,0,2020-03-23,395.0,32.0,5.0,0.0,11.98,0.971,0.152,0.0,1.82,94.44
South America,PER,Peru,2020,3,1,2020-03-24,416.0,21.0,7.0,2.0,12.617,0.637,0.212,0.061,1.82,94.44
South America,PER,Peru,2020,3,2,2020-03-25,480.0,64.0,9.0,2.0,14.558,1.941,0.273,0.061,1.82,94.44
South America,PER,Peru,2020,3,3,2020-03-26,580.0,100.0,9.0,0.0,17.591,3.033,0.273,0.0,1.82,94.44
South America,PER,Peru,2020,3,4,2020-03-27,635.0,55.0,11.0,2.0,19.259,1.668,0.334,0.061,1.81,94.44
South America,PER,Peru,2020,3,5,2020-03-28,671.0,36.0,16.0,5.0,20.351,1.092,0.485,0.152,1.81,94.44
South America,PER,Peru,2020,3,6,2020-03-29,852.0,181.0,18.0,2.0,25.84,5.49,0.546,0.061,1.81,94.44
South America,PER,Peru,2020,3,0,2020-03-30,950.0,98.0,24.0,6.0,28.812,2.972,0.728,0.182,1.81,94.44
South America,PER,Peru,2020,3,1,2020-03-31,1065.0,115.0,30.0,6.0,32.3,3.488,0.91,0.182,1.81,94.44
South America,PER,Peru,2020,4,2,2020-04-01,1323.0,258.0,38.0,8.0,40.125,7.825,1.152,0.243,1.81,94.44
South America,PER,Peru,2020,4,3,2020-04-02,1414.0,91.0,55.0,17.0,42.885,2.76,1.668,0.516,1.81,94.44
South America,PER,Peru,2020,4,4,2020-04-03,1595.0,181.0,61.0,6.0,48.375,5.49,1.85,0.182,1.8,94.44
South America,PER,Peru,2020,4,5,2020-04-04,1746.0,151.0,73.0,12.0,52.954,4.58,2.214,0.364,1.8,94.44
South America,PER,Peru,2020,4,6,2020-04-05,2281.0,535.0,83.0,10.0,69.18,16.226,2.517,0.303,1.8,94.44
South America,PER,Peru,2020,4,0,2020-04-06,2561.0,280.0,92.0,9.0,77.672,8.492,2.79,0.273,1.79,94.44
South America,PER,Peru,2020,4,1,2020-04-07,2954.0,393.0,107.0,15.0,89.592,11.919,3.245,0.455,1.79,94.44
South America,PER,Peru,2020,4,2,2020-04-08,4342.0,1388.0,121.0,14.0,131.688,42.097,3.67,0.425,1.78,94.44
South America,PER,Peru,2020,4,3,2020-04-09,5256.0,914.0,138.0,17.0,159.409,27.721,4.185,0.516,1.77,94.44
