continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,PHL,Philippines,2020,1,3,2020-01-30,1.0,1.0,,,0.009,0.009,,,,11.11
Asia,PHL,Philippines,2020,1,4,2020-01-31,1.0,0.0,,,0.009,0.0,,,,19.44
Asia,PHL,Philippines,2020,2,5,2020-02-01,1.0,0.0,,,0.009,0.0,,,,19.44
Asia,PHL,Philippines,2020,2,6,2020-02-02,2.0,1.0,1.0,1.0,0.018,0.009,0.009,0.009,,19.44
Asia,PHL,Philippines,2020,2,0,2020-02-03,2.0,0.0,1.0,0.0,0.018,0.0,0.009,0.0,,19.44
Asia,PHL,Philippines,2020,2,1,2020-02-04,2.0,0.0,1.0,0.0,0.018,0.0,0.009,0.0,,19.44
Asia,PHL,Philippines,2020,2,2,2020-02-05,2.0,0.0,1.0,0.0,0.018,0.0,0.009,0.0,,19.44
Asia,PHL,Philippines,2020,2,3,2020-02-06,2.0,0.0,1.0,0.0,0.018,0.0,0.009,0.0,,19.44
Asia,PHL,Philippines,2020,2,4,2020-02-07,3.0,1.0,1.0,0.0,0.027,0.009,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,2,5,2020-02-08,3.0,0.0,1.0,0.0,0.027,0.0,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,2,6,2020-02-09,3.0,0.0,1.0,0.0,0.027,0.0,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,2,0,2020-02-10,3.0,0.0,1.0,0.0,0.027,0.0,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,2,1,2020-02-11,3.0,0.0,1.0,0.0,0.027,0.0,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,2,2,2020-02-12,3.0,0.0,1.0,0.0,0.027,0.0,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,2,3,2020-02-13,3.0,0.0,1.0,0.0,0.027,0.0,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,2,4,2020-02-14,3.0,0.0,1.0,0.0,0.027,0.0,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,2,5,2020-02-15,3.0,0.0,1.0,0.0,0.027,0.0,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,2,6,2020-02-16,3.0,0.0,1.0,0.0,0.027,0.0,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,2,0,2020-02-17,3.0,0.0,1.0,0.0,0.027,0.0,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,2,1,2020-02-18,3.0,0.0,1.0,0.0,0.027,0.0,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,2,2,2020-02-19,3.0,0.0,1.0,0.0,0.027,0.0,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,2,3,2020-02-20,3.0,0.0,1.0,0.0,0.027,0.0,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,2,4,2020-02-21,3.0,0.0,1.0,0.0,0.027,0.0,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,2,5,2020-02-22,3.0,0.0,1.0,0.0,0.027,0.0,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,2,6,2020-02-23,3.0,0.0,1.0,0.0,0.027,0.0,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,2,0,2020-02-24,3.0,0.0,1.0,0.0,0.027,0.0,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,2,1,2020-02-25,3.0,0.0,1.0,0.0,0.027,0.0,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,2,2,2020-02-26,3.0,0.0,1.0,0.0,0.027,0.0,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,2,3,2020-02-27,3.0,0.0,1.0,0.0,0.027,0.0,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,2,4,2020-02-28,3.0,0.0,1.0,0.0,0.027,0.0,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,2,5,2020-02-29,3.0,0.0,1.0,0.0,0.027,0.0,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,3,6,2020-03-01,3.0,0.0,1.0,0.0,0.027,0.0,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,3,0,2020-03-02,3.0,0.0,1.0,0.0,0.027,0.0,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,3,1,2020-03-03,3.0,0.0,1.0,0.0,0.027,0.0,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,3,2,2020-03-04,3.0,0.0,1.0,0.0,0.027,0.0,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,3,3,2020-03-05,3.0,0.0,1.0,0.0,0.027,0.0,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,3,4,2020-03-06,5.0,2.0,1.0,0.0,0.046,0.018,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,3,5,2020-03-07,6.0,1.0,1.0,0.0,0.055,0.009,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,3,6,2020-03-08,10.0,4.0,1.0,0.0,0.091,0.037,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,3,0,2020-03-09,20.0,10.0,1.0,0.0,0.183,0.091,0.009,0.0,,25.0
Asia,PHL,Philippines,2020,3,1,2020-03-10,33.0,13.0,1.0,0.0,0.301,0.119,0.009,0.0,,34.26
Asia,PHL,Philippines,2020,3,2,2020-03-11,49.0,16.0,1.0,0.0,0.447,0.146,0.009,0.0,,34.26
Asia,PHL,Philippines,2020,3,3,2020-03-12,52.0,3.0,2.0,1.0,0.475,0.027,0.018,0.009,,34.26
Asia,PHL,Philippines,2020,3,4,2020-03-13,64.0,12.0,5.0,3.0,0.584,0.11,0.046,0.027,,34.26
Asia,PHL,Philippines,2020,3,5,2020-03-14,111.0,47.0,8.0,3.0,1.013,0.429,0.073,0.027,,34.26
Asia,PHL,Philippines,2020,3,6,2020-03-15,140.0,29.0,11.0,3.0,1.278,0.265,0.1,0.027,1.68,75.0
Asia,PHL,Philippines,2020,3,0,2020-03-16,142.0,2.0,12.0,1.0,1.296,0.018,0.11,0.009,1.67,75.0
Asia,PHL,Philippines,2020,3,1,2020-03-17,187.0,45.0,12.0,0.0,1.706,0.411,0.11,0.0,1.73,75.0
Asia,PHL,Philippines,2020,3,2,2020-03-18,202.0,15.0,19.0,7.0,1.843,0.137,0.173,0.064,1.74,97.22
Asia,PHL,Philippines,2020,3,3,2020-03-19,217.0,15.0,17.0,-2.0,1.98,0.137,0.155,-0.018,1.79,97.22
Asia,PHL,Philippines,2020,3,4,2020-03-20,230.0,13.0,18.0,1.0,2.099,0.119,0.164,0.009,1.89,97.22
