continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Oceania,PNG,Papua New Guinea,2020,3,4,2020-03-20,1.0,1.0,,,0.112,0.112,,,,19.44
Oceania,PNG,Papua New Guinea,2020,3,5,2020-03-21,1.0,0.0,,,0.112,0.0,,,,22.22
Oceania,PNG,Papua New Guinea,2020,3,6,2020-03-22,1.0,0.0,,,0.112,0.0,,,,22.22
Oceania,PNG,Papua New Guinea,2020,3,0,2020-03-23,1.0,0.0,,,0.112,0.0,,,,33.33
Oceania,PNG,Papua New Guinea,2020,3,1,2020-03-24,1.0,0.0,,,0.112,0.0,,,,74.07
Oceania,PNG,Papua New Guinea,2020,3,2,2020-03-25,1.0,0.0,,,0.112,0.0,,,,74.07
Oceania,PNG,Papua New Guinea,2020,3,3,2020-03-26,1.0,0.0,,,0.112,0.0,,,,74.07
Oceania,PNG,Papua New Guinea,2020,3,4,2020-03-27,1.0,0.0,,,0.112,0.0,,,,74.07
Oceania,PNG,Papua New Guinea,2020,3,5,2020-03-28,1.0,0.0,,,0.112,0.0,,,,74.07
Oceania,PNG,Papua New Guinea,2020,3,6,2020-03-29,1.0,0.0,,,0.112,0.0,,,,74.07
Oceania,PNG,Papua New Guinea,2020,3,0,2020-03-30,1.0,0.0,,,0.112,0.0,,,,74.07
Oceania,PNG,Papua New Guinea,2020,3,1,2020-03-31,1.0,0.0,,,0.112,0.0,,,,74.07
Oceania,PNG,Papua New Guinea,2020,4,2,2020-04-01,1.0,0.0,,,0.112,0.0,,,,74.07
Oceania,PNG,Papua New Guinea,2020,4,3,2020-04-02,1.0,0.0,,,0.112,0.0,,,,74.07
Oceania,PNG,Papua New Guinea,2020,4,4,2020-04-03,1.0,0.0,,,0.112,0.0,,,,74.07
Oceania,PNG,Papua New Guinea,2020,4,5,2020-04-04,1.0,0.0,,,0.112,0.0,,,,74.07
Oceania,PNG,Papua New Guinea,2020,4,6,2020-04-05,1.0,0.0,,,0.112,0.0,,,,74.07
Oceania,PNG,Papua New Guinea,2020,4,0,2020-04-06,2.0,1.0,,,0.224,0.112,,,,74.07
Oceania,PNG,Papua New Guinea,2020,4,1,2020-04-07,2.0,0.0,,,0.224,0.0,,,,65.74
Oceania,PNG,Papua New Guinea,2020,4,2,2020-04-08,2.0,0.0,,,0.224,0.0,,,,76.85
Oceania,PNG,Papua New Guinea,2020,4,3,2020-04-09,2.0,0.0,,,0.224,0.0,,,,82.41
Oceania,PNG,Papua New Guinea,2020,4,4,2020-04-10,2.0,0.0,,,0.224,0.0,,,,82.41
Oceania,PNG,Papua New Guinea,2020,4,5,2020-04-11,2.0,0.0,,,0.224,0.0,,,,82.41
Oceania,PNG,Papua New Guinea,2020,4,6,2020-04-12,2.0,0.0,,,0.224,0.0,,,,82.41
Oceania,PNG,Papua New Guinea,2020,4,0,2020-04-13,2.0,0.0,,,0.224,0.0,,,,82.41
Oceania,PNG,Papua New Guinea,2020,4,1,2020-04-14,2.0,0.0,,,0.224,0.0,,,,76.85
Oceania,PNG,Papua New Guinea,2020,4,2,2020-04-15,2.0,0.0,,,0.224,0.0,,,,76.85
Oceania,PNG,Papua New Guinea,2020,4,3,2020-04-16,7.0,5.0,,,0.782,0.559,,,,83.8
Oceania,PNG,Papua New Guinea,2020,4,4,2020-04-17,7.0,0.0,,,0.782,0.0,,,,83.8
Oceania,PNG,Papua New Guinea,2020,4,5,2020-04-18,7.0,0.0,,,0.782,0.0,,,,83.8
Oceania,PNG,Papua New Guinea,2020,4,6,2020-04-19,7.0,0.0,,,0.782,0.0,,,,83.8
Oceania,PNG,Papua New Guinea,2020,4,0,2020-04-20,7.0,0.0,,,0.782,0.0,,,,83.8
Oceania,PNG,Papua New Guinea,2020,4,1,2020-04-21,7.0,0.0,,,0.782,0.0,,,,83.8
Oceania,PNG,Papua New Guinea,2020,4,2,2020-04-22,8.0,1.0,,,0.894,0.112,,,,83.8
Oceania,PNG,Papua New Guinea,2020,4,3,2020-04-23,8.0,0.0,,,0.894,0.0,,,,83.8
Oceania,PNG,Papua New Guinea,2020,4,4,2020-04-24,8.0,0.0,,,0.894,0.0,,,,83.8
Oceania,PNG,Papua New Guinea,2020,4,5,2020-04-25,8.0,0.0,,,0.894,0.0,,,,78.24
Oceania,PNG,Papua New Guinea,2020,4,6,2020-04-26,8.0,0.0,,,0.894,0.0,,,,78.24
Oceania,PNG,Papua New Guinea,2020,4,0,2020-04-27,8.0,0.0,,,0.894,0.0,,,,70.83
Oceania,PNG,Papua New Guinea,2020,4,1,2020-04-28,8.0,0.0,,,0.894,0.0,,,,70.83
Oceania,PNG,Papua New Guinea,2020,4,2,2020-04-29,8.0,0.0,,,0.894,0.0,,,,70.83
Oceania,PNG,Papua New Guinea,2020,4,3,2020-04-30,8.0,0.0,,,0.894,0.0,,,,70.83
Oceania,PNG,Papua New Guinea,2020,5,4,2020-05-01,8.0,0.0,,,0.894,0.0,,,,68.06
Oceania,PNG,Papua New Guinea,2020,5,5,2020-05-02,8.0,0.0,,,0.894,0.0,,,,68.06
Oceania,PNG,Papua New Guinea,2020,5,6,2020-05-03,8.0,0.0,,,0.894,0.0,,,,68.06
Oceania,PNG,Papua New Guinea,2020,5,0,2020-05-04,8.0,0.0,,,0.894,0.0,,,,64.35
Oceania,PNG,Papua New Guinea,2020,5,1,2020-05-05,8.0,0.0,,,0.894,0.0,,,,64.35
Oceania,PNG,Papua New Guinea,2020,5,2,2020-05-06,8.0,0.0,,,0.894,0.0,,,,64.35
Oceania,PNG,Papua New Guinea,2020,5,3,2020-05-07,8.0,0.0,,,0.894,0.0,,,,64.35
Oceania,PNG,Papua New Guinea,2020,5,4,2020-05-08,8.0,0.0,,,0.894,0.0,,,,64.35
Oceania,PNG,Papua New Guinea,2020,5,5,2020-05-09,8.0,0.0,,,0.894,0.0,,,,64.35
Oceania,PNG,Papua New Guinea,2020,5,6,2020-05-10,8.0,0.0,,,0.894,0.0,,,,64.35
Oceania,PNG,Papua New Guinea,2020,5,0,2020-05-11,8.0,0.0,,,0.894,0.0,,,,64.35
Oceania,PNG,Papua New Guinea,2020,5,1,2020-05-12,8.0,0.0,,,0.894,0.0,,,,64.35
Oceania,PNG,Papua New Guinea,2020,5,2,2020-05-13,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,5,3,2020-05-14,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,5,4,2020-05-15,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,5,5,2020-05-16,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,5,6,2020-05-17,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,5,0,2020-05-18,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,5,1,2020-05-19,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,5,2,2020-05-20,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,5,3,2020-05-21,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,5,4,2020-05-22,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,5,5,2020-05-23,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,5,6,2020-05-24,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,5,0,2020-05-25,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,5,1,2020-05-26,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,5,2,2020-05-27,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,5,3,2020-05-28,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,5,4,2020-05-29,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,5,5,2020-05-30,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,5,6,2020-05-31,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,6,0,2020-06-01,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,6,1,2020-06-02,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,6,2,2020-06-03,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,6,3,2020-06-04,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,6,4,2020-06-05,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,6,5,2020-06-06,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,6,6,2020-06-07,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,6,0,2020-06-08,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,6,1,2020-06-09,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,6,2,2020-06-10,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,6,3,2020-06-11,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,6,4,2020-06-12,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,6,5,2020-06-13,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,6,6,2020-06-14,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,6,0,2020-06-15,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,6,1,2020-06-16,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,6,2,2020-06-17,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,6,3,2020-06-18,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,6,4,2020-06-19,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,6,5,2020-06-20,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,6,6,2020-06-21,8.0,0.0,,,0.894,0.0,,,,56.02
Oceania,PNG,Papua New Guinea,2020,6,0,2020-06-22,9.0,1.0,,,1.006,0.112,,,,56.02
Oceania,PNG,Papua New Guinea,2020,6,1,2020-06-23,9.0,0.0,,,1.006,0.0,,,,49.07
