continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,PRT,Portugal,2020,2,6,2020-02-02,,,,,,,,,,11.11
Europe,PRT,Portugal,2020,2,6,2020-02-09,,,,,,,,,,11.11
Europe,PRT,Portugal,2020,2,6,2020-02-16,,,,,,,,,,11.11
Europe,PRT,Portugal,2020,2,6,2020-02-23,,,,,,,,,,11.11
Europe,PRT,Portugal,2020,3,6,2020-03-01,,,,,,,,,,11.11
Europe,PRT,Portugal,2020,3,0,2020-03-02,2.0,2.0,,,0.196,0.196,,,,11.11
Europe,PRT,Portugal,2020,3,1,2020-03-03,2.0,0.0,,,0.196,0.0,,,,11.11
Europe,PRT,Portugal,2020,3,2,2020-03-04,5.0,3.0,,,0.49,0.294,,,,11.11
Europe,PRT,Portugal,2020,3,3,2020-03-05,8.0,3.0,,,0.785,0.294,,,,11.11
Europe,PRT,Portugal,2020,3,4,2020-03-06,13.0,5.0,,,1.275,0.49,,,,11.11
Europe,PRT,Portugal,2020,3,5,2020-03-07,20.0,7.0,,,1.961,0.686,,,,11.11
Europe,PRT,Portugal,2020,3,6,2020-03-08,30.0,10.0,,,2.942,0.981,,,,11.11
Europe,PRT,Portugal,2020,3,0,2020-03-09,30.0,0.0,,,2.942,0.0,,,,16.67
Europe,PRT,Portugal,2020,3,1,2020-03-10,41.0,11.0,,,4.021,1.079,,,,25.0
Europe,PRT,Portugal,2020,3,2,2020-03-11,59.0,18.0,,,5.786,1.765,,,,25.0
Europe,PRT,Portugal,2020,3,3,2020-03-12,59.0,0.0,,,5.786,0.0,,,,32.41
Europe,PRT,Portugal,2020,3,4,2020-03-13,112.0,53.0,,,10.984,5.198,,,,32.41
Europe,PRT,Portugal,2020,3,5,2020-03-14,169.0,57.0,,,16.574,5.59,,,3.08,32.41
Europe,PRT,Portugal,2020,3,6,2020-03-15,245.0,76.0,,,24.027,7.453,,,3.06,32.41
Europe,PRT,Portugal,2020,3,0,2020-03-16,331.0,86.0,,,32.461,8.434,,,3.02,37.96
Europe,PRT,Portugal,2020,3,1,2020-03-17,448.0,117.0,1.0,1.0,43.936,11.474,0.098,0.098,2.99,37.96
