continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
South America,PRY,Paraguay,2020,3,5,2020-03-07,,,,,,,,,,5.56
South America,PRY,Paraguay,2020,3,6,2020-03-08,1.0,1.0,,,0.14,0.14,,,,5.56
South America,PRY,Paraguay,2020,3,0,2020-03-09,1.0,0.0,,,0.14,0.0,,,,5.56
South America,PRY,Paraguay,2020,3,1,2020-03-10,1.0,0.0,,,0.14,0.0,,,,39.81
South America,PRY,Paraguay,2020,3,2,2020-03-11,5.0,4.0,,,0.701,0.561,,,,39.81
South America,PRY,Paraguay,2020,3,3,2020-03-12,5.0,0.0,,,0.701,0.0,,,,39.81
South America,PRY,Paraguay,2020,3,4,2020-03-13,6.0,1.0,,,0.841,0.14,,,,50.93
South America,PRY,Paraguay,2020,3,5,2020-03-14,6.0,0.0,,,0.841,0.0,,,,50.93
South America,PRY,Paraguay,2020,3,6,2020-03-15,6.0,0.0,,,0.841,0.0,,,,50.93
South America,PRY,Paraguay,2020,3,0,2020-03-16,8.0,2.0,,,1.122,0.28,,,,70.37
South America,PRY,Paraguay,2020,3,1,2020-03-17,9.0,1.0,,,1.262,0.14,,,,74.07
South America,PRY,Paraguay,2020,3,2,2020-03-18,11.0,2.0,,,1.542,0.28,,,,74.07
South America,PRY,Paraguay,2020,3,3,2020-03-19,11.0,0.0,,,1.542,0.0,,,,74.07
South America,PRY,Paraguay,2020,3,4,2020-03-20,13.0,2.0,,,1.823,0.28,,,,74.07
South America,PRY,Paraguay,2020,3,5,2020-03-21,18.0,5.0,1.0,1.0,2.524,0.701,0.14,0.14,,85.19
South America,PRY,Paraguay,2020,3,6,2020-03-22,22.0,4.0,1.0,0.0,3.084,0.561,0.14,0.0,,85.19
South America,PRY,Paraguay,2020,3,0,2020-03-23,22.0,0.0,1.0,0.0,3.084,0.0,0.14,0.0,,90.74
South America,PRY,Paraguay,2020,3,1,2020-03-24,27.0,5.0,2.0,1.0,3.785,0.701,0.28,0.14,,93.52
South America,PRY,Paraguay,2020,3,2,2020-03-25,37.0,10.0,3.0,1.0,5.188,1.402,0.421,0.14,,93.52
South America,PRY,Paraguay,2020,3,3,2020-03-26,41.0,4.0,3.0,0.0,5.748,0.561,0.421,0.0,,93.52
South America,PRY,Paraguay,2020,3,4,2020-03-27,52.0,11.0,3.0,0.0,7.291,1.542,0.421,0.0,,93.52
South America,PRY,Paraguay,2020,3,5,2020-03-28,56.0,4.0,3.0,0.0,7.851,0.561,0.421,0.0,,93.52
South America,PRY,Paraguay,2020,3,6,2020-03-29,59.0,3.0,3.0,0.0,8.272,0.421,0.421,0.0,,93.52
South America,PRY,Paraguay,2020,3,0,2020-03-30,64.0,5.0,3.0,0.0,8.973,0.701,0.421,0.0,,93.52
South America,PRY,Paraguay,2020,3,1,2020-03-31,65.0,1.0,3.0,0.0,9.113,0.14,0.421,0.0,,93.52
South America,PRY,Paraguay,2020,4,2,2020-04-01,69.0,4.0,3.0,0.0,9.674,0.561,0.421,0.0,,93.52
South America,PRY,Paraguay,2020,4,3,2020-04-02,77.0,8.0,3.0,0.0,10.796,1.122,0.421,0.0,,93.52
South America,PRY,Paraguay,2020,4,4,2020-04-03,92.0,15.0,3.0,0.0,12.899,2.103,0.421,0.0,,93.52
