continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,PSE,Palestine,2020,3,3,2020-03-05,4.0,4.0,,,0.784,0.784,,,,55.56
Asia,PSE,Palestine,2020,3,4,2020-03-06,7.0,3.0,,,1.372,0.588,,,,74.07
Asia,PSE,Palestine,2020,3,5,2020-03-07,16.0,9.0,,,3.136,1.764,,,,74.07
Asia,PSE,Palestine,2020,3,6,2020-03-08,16.0,0.0,,,3.136,0.0,,,,74.07
Asia,PSE,Palestine,2020,3,0,2020-03-09,19.0,3.0,,,3.724,0.588,,,,74.07
Asia,PSE,Palestine,2020,3,1,2020-03-10,26.0,7.0,,,5.097,1.372,,,,74.07
Asia,PSE,Palestine,2020,3,2,2020-03-11,30.0,4.0,,,5.881,0.784,,,,74.07
Asia,PSE,Palestine,2020,3,3,2020-03-12,30.0,0.0,,,5.881,0.0,,,,74.07
Asia,PSE,Palestine,2020,3,4,2020-03-13,31.0,1.0,,,6.077,0.196,,,,74.07
Asia,PSE,Palestine,2020,3,5,2020-03-14,35.0,4.0,,,6.861,0.784,,,,74.07
Asia,PSE,Palestine,2020,3,6,2020-03-15,38.0,3.0,,,7.449,0.588,,,,74.07
Asia,PSE,Palestine,2020,3,0,2020-03-16,38.0,0.0,,,7.449,0.0,,,,74.07
Asia,PSE,Palestine,2020,3,1,2020-03-17,39.0,1.0,,,7.645,0.196,,,,74.07
Asia,PSE,Palestine,2020,3,2,2020-03-18,41.0,2.0,,,8.037,0.392,,,,74.07
Asia,PSE,Palestine,2020,3,3,2020-03-19,44.0,3.0,,,8.625,0.588,,,,74.07
Asia,PSE,Palestine,2020,3,4,2020-03-20,47.0,3.0,,,9.213,0.588,,,,74.07
Asia,PSE,Palestine,2020,3,5,2020-03-21,48.0,1.0,,,9.409,0.196,,,,74.07
Asia,PSE,Palestine,2020,3,6,2020-03-22,52.0,4.0,,,10.193,0.784,,,,96.3
Asia,PSE,Palestine,2020,3,0,2020-03-23,59.0,7.0,,,11.565,1.372,,,,96.3
Asia,PSE,Palestine,2020,3,1,2020-03-24,59.0,0.0,,,11.565,0.0,,,,96.3
Asia,PSE,Palestine,2020,3,2,2020-03-25,59.0,0.0,,,11.565,0.0,,,,96.3
Asia,PSE,Palestine,2020,3,3,2020-03-26,84.0,25.0,1.0,1.0,16.466,4.901,0.196,0.196,,96.3
Asia,PSE,Palestine,2020,3,4,2020-03-27,91.0,7.0,1.0,0.0,17.838,1.372,0.196,0.0,,96.3
Asia,PSE,Palestine,2020,3,5,2020-03-28,98.0,7.0,1.0,0.0,19.21,1.372,0.196,0.0,,96.3
Asia,PSE,Palestine,2020,3,6,2020-03-29,109.0,11.0,1.0,0.0,21.367,2.156,0.196,0.0,,96.3
Asia,PSE,Palestine,2020,3,0,2020-03-30,116.0,7.0,1.0,0.0,22.739,1.372,0.196,0.0,0.8,96.3
Asia,PSE,Palestine,2020,3,1,2020-03-31,119.0,3.0,1.0,0.0,23.327,0.588,0.196,0.0,0.87,96.3
Asia,PSE,Palestine,2020,4,2,2020-04-01,134.0,15.0,1.0,0.0,26.267,2.94,0.196,0.0,1.11,96.3
Asia,PSE,Palestine,2020,4,3,2020-04-02,161.0,27.0,1.0,0.0,31.56,5.293,0.196,0.0,1.35,96.3
Asia,PSE,Palestine,2020,4,4,2020-04-03,194.0,33.0,1.0,0.0,38.029,6.469,0.196,0.0,1.4,96.3
Asia,PSE,Palestine,2020,4,5,2020-04-04,217.0,23.0,1.0,0.0,42.537,4.509,0.196,0.0,1.22,96.3
Asia,PSE,Palestine,2020,4,6,2020-04-05,237.0,20.0,1.0,0.0,46.458,3.92,0.196,0.0,1.03,96.3
Asia,PSE,Palestine,2020,4,0,2020-04-06,254.0,17.0,1.0,0.0,49.79,3.332,0.196,0.0,0.83,96.3
Asia,PSE,Palestine,2020,4,1,2020-04-07,261.0,7.0,1.0,0.0,51.162,1.372,0.196,0.0,0.6,96.3
Asia,PSE,Palestine,2020,4,2,2020-04-08,263.0,2.0,1.0,0.0,51.554,0.392,0.196,0.0,0.43,96.3
Asia,PSE,Palestine,2020,4,3,2020-04-09,263.0,0.0,1.0,0.0,51.554,0.0,0.196,0.0,0.35,96.3
Asia,PSE,Palestine,2020,4,4,2020-04-10,267.0,4.0,2.0,1.0,52.338,0.784,0.392,0.196,0.35,96.3
Asia,PSE,Palestine,2020,4,5,2020-04-11,268.0,1.0,2.0,0.0,52.534,0.196,0.392,0.0,0.36,96.3
Asia,PSE,Palestine,2020,4,6,2020-04-12,271.0,3.0,2.0,0.0,53.123,0.588,0.392,0.0,0.44,96.3
Asia,PSE,Palestine,2020,4,0,2020-04-13,273.0,2.0,2.0,0.0,53.515,0.392,0.392,0.0,0.56,96.3
Asia,PSE,Palestine,2020,4,1,2020-04-14,284.0,11.0,2.0,0.0,55.671,2.156,0.392,0.0,0.76,96.3
Asia,PSE,Palestine,2020,4,2,2020-04-15,291.0,7.0,2.0,0.0,57.043,1.372,0.392,0.0,0.79,96.3
Asia,PSE,Palestine,2020,4,3,2020-04-16,294.0,3.0,2.0,0.0,57.631,0.588,0.392,0.0,0.8,96.3
Asia,PSE,Palestine,2020,4,4,2020-04-17,307.0,13.0,2.0,0.0,60.179,2.548,0.392,0.0,0.94,96.3
Asia,PSE,Palestine,2020,4,5,2020-04-18,313.0,6.0,2.0,0.0,61.356,1.176,0.392,0.0,0.85,96.3
Asia,PSE,Palestine,2020,4,6,2020-04-19,319.0,6.0,2.0,0.0,62.532,1.176,0.392,0.0,0.81,96.3
Asia,PSE,Palestine,2020,4,0,2020-04-20,329.0,10.0,2.0,0.0,64.492,1.96,0.392,0.0,0.77,96.3
Asia,PSE,Palestine,2020,4,1,2020-04-21,329.0,0.0,2.0,0.0,64.492,0.0,0.392,0.0,0.59,96.3
Asia,PSE,Palestine,2020,4,2,2020-04-22,335.0,6.0,2.0,0.0,65.668,1.176,0.392,0.0,0.57,96.3
Asia,PSE,Palestine,2020,4,3,2020-04-23,336.0,1.0,2.0,0.0,65.864,0.196,0.392,0.0,0.47,96.3
Asia,PSE,Palestine,2020,4,4,2020-04-24,340.0,4.0,2.0,0.0,66.648,0.784,0.392,0.0,0.46,96.3
Asia,PSE,Palestine,2020,4,5,2020-04-25,342.0,2.0,2.0,0.0,67.04,0.392,0.392,0.0,0.39,96.3
Asia,PSE,Palestine,2020,4,6,2020-04-26,342.0,0.0,2.0,0.0,67.04,0.0,0.392,0.0,0.32,96.3
Asia,PSE,Palestine,2020,4,0,2020-04-27,342.0,0.0,2.0,0.0,67.04,0.0,0.392,0.0,0.33,96.3
Asia,PSE,Palestine,2020,4,1,2020-04-28,343.0,1.0,2.0,0.0,67.236,0.196,0.392,0.0,0.43,96.3
Asia,PSE,Palestine,2020,4,2,2020-04-29,344.0,1.0,2.0,0.0,67.432,0.196,0.392,0.0,0.57,96.3
Asia,PSE,Palestine,2020,4,3,2020-04-30,344.0,0.0,2.0,0.0,67.432,0.0,0.392,0.0,0.78,96.3
Asia,PSE,Palestine,2020,5,4,2020-05-01,353.0,9.0,2.0,0.0,69.196,1.764,0.392,0.0,1.22,96.3
Asia,PSE,Palestine,2020,5,5,2020-05-02,353.0,0.0,2.0,0.0,69.196,0.0,0.392,0.0,1.02,96.3
Asia,PSE,Palestine,2020,5,6,2020-05-03,353.0,0.0,2.0,0.0,69.196,0.0,0.392,0.0,1.12,96.3
Asia,PSE,Palestine,2020,5,0,2020-05-04,362.0,9.0,2.0,0.0,70.961,1.764,0.392,0.0,1.54,96.3
Asia,PSE,Palestine,2020,5,1,2020-05-05,371.0,9.0,2.0,0.0,72.725,1.764,0.392,0.0,1.43,96.3
Asia,PSE,Palestine,2020,5,2,2020-05-06,374.0,3.0,2.0,0.0,73.313,0.588,0.392,0.0,0.99,96.3
Asia,PSE,Palestine,2020,5,3,2020-05-07,375.0,1.0,2.0,0.0,73.509,0.196,0.392,0.0,0.64,96.3
Asia,PSE,Palestine,2020,5,4,2020-05-08,375.0,0.0,2.0,0.0,73.509,0.0,0.392,0.0,0.41,96.3
Asia,PSE,Palestine,2020,5,5,2020-05-09,375.0,0.0,2.0,0.0,73.509,0.0,0.392,0.0,0.28,96.3
Asia,PSE,Palestine,2020,5,6,2020-05-10,375.0,0.0,2.0,0.0,73.509,0.0,0.392,0.0,0.22,96.3
Asia,PSE,Palestine,2020,5,0,2020-05-11,375.0,0.0,2.0,0.0,73.509,0.0,0.392,0.0,0.22,96.3
