continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,QAT,Qatar,2020,2,5,2020-02-29,1.0,1.0,,,0.347,0.347,,,,13.89
Asia,QAT,Qatar,2020,3,6,2020-03-01,3.0,2.0,,,1.041,0.694,,,,13.89
Asia,QAT,Qatar,2020,3,0,2020-03-02,3.0,0.0,,,1.041,0.0,,,,13.89
Asia,QAT,Qatar,2020,3,1,2020-03-03,7.0,4.0,,,2.43,1.388,,,,13.89
Asia,QAT,Qatar,2020,3,2,2020-03-04,8.0,1.0,,,2.777,0.347,,,,13.89
Asia,QAT,Qatar,2020,3,3,2020-03-05,8.0,0.0,,,2.777,0.0,,,,13.89
Asia,QAT,Qatar,2020,3,4,2020-03-06,8.0,0.0,,,2.777,0.0,,,,13.89
Asia,QAT,Qatar,2020,3,5,2020-03-07,8.0,0.0,,,2.777,0.0,,,,13.89
Asia,QAT,Qatar,2020,3,6,2020-03-08,15.0,7.0,,,5.206,2.43,,,,13.89
Asia,QAT,Qatar,2020,3,0,2020-03-09,18.0,3.0,,,6.248,1.041,,,,13.89
Asia,QAT,Qatar,2020,3,1,2020-03-10,24.0,6.0,,,8.33,2.083,,,,25.0
Asia,QAT,Qatar,2020,3,2,2020-03-11,262.0,238.0,,,90.939,82.608,,,,25.0
Asia,QAT,Qatar,2020,3,3,2020-03-12,262.0,0.0,,,90.939,0.0,,,0.69,30.56
Asia,QAT,Qatar,2020,3,4,2020-03-13,320.0,58.0,,,111.07,20.131,,,0.99,30.56
Asia,QAT,Qatar,2020,3,5,2020-03-14,337.0,17.0,,,116.971,5.901,,,0.93,30.56
Asia,QAT,Qatar,2020,3,6,2020-03-15,401.0,64.0,,,139.185,22.214,,,1.08,41.67
Asia,QAT,Qatar,2020,3,0,2020-03-16,439.0,38.0,,,152.374,13.19,,,0.85,41.67
Asia,QAT,Qatar,2020,3,1,2020-03-17,439.0,0.0,,,152.374,0.0,,,0.54,61.11
Asia,QAT,Qatar,2020,3,2,2020-03-18,452.0,13.0,,,156.887,4.512,,,0.47,63.89
Asia,QAT,Qatar,2020,3,3,2020-03-19,460.0,8.0,,,159.663,2.777,,,0.43,63.89
Asia,QAT,Qatar,2020,3,4,2020-03-20,470.0,10.0,,,163.134,3.471,,,0.45,63.89
Asia,QAT,Qatar,2020,3,5,2020-03-21,481.0,11.0,,,166.952,3.818,,,0.5,63.89
Asia,QAT,Qatar,2020,3,6,2020-03-22,494.0,13.0,,,171.465,4.512,,,0.58,80.56
Asia,QAT,Qatar,2020,3,0,2020-03-23,501.0,7.0,,,173.894,2.43,,,0.64,80.56
Asia,QAT,Qatar,2020,3,1,2020-03-24,526.0,25.0,,,182.572,8.677,,,0.85,80.56
Asia,QAT,Qatar,2020,3,2,2020-03-25,537.0,11.0,,,186.39,3.818,,,0.84,80.56
Asia,QAT,Qatar,2020,3,3,2020-03-26,549.0,12.0,,,190.555,4.165,,,0.95,80.56
Asia,QAT,Qatar,2020,3,4,2020-03-27,562.0,13.0,,,195.067,4.512,,,1.19,80.56
Asia,QAT,Qatar,2020,3,5,2020-03-28,590.0,28.0,1.0,1.0,204.786,9.719,0.347,0.347,1.63,86.11
Asia,QAT,Qatar,2020,3,6,2020-03-29,634.0,44.0,1.0,0.0,220.058,15.272,0.347,0.0,2.07,86.11
Asia,QAT,Qatar,2020,3,0,2020-03-30,693.0,59.0,1.0,0.0,240.536,20.479,0.347,0.0,2.36,86.11
Asia,QAT,Qatar,2020,3,1,2020-03-31,781.0,88.0,2.0,1.0,271.081,30.544,0.694,0.347,2.53,86.11
Asia,QAT,Qatar,2020,4,2,2020-04-01,835.0,54.0,2.0,0.0,289.824,18.743,0.694,0.0,2.38,86.11
Asia,QAT,Qatar,2020,4,3,2020-04-02,949.0,114.0,3.0,1.0,329.393,39.569,1.041,0.347,2.64,86.11
Asia,QAT,Qatar,2020,4,4,2020-04-03,1075.0,126.0,3.0,0.0,373.127,43.734,1.041,0.0,2.77,86.11
Asia,QAT,Qatar,2020,4,5,2020-04-04,1325.0,250.0,3.0,0.0,459.9,86.774,1.041,0.0,3.0,86.11
Asia,QAT,Qatar,2020,4,6,2020-04-05,1604.0,279.0,4.0,1.0,556.74,96.839,1.388,0.347,2.71,86.11
Asia,QAT,Qatar,2020,4,0,2020-04-06,1832.0,228.0,4.0,0.0,635.877,79.138,1.388,0.0,2.22,86.11
Asia,QAT,Qatar,2020,4,1,2020-04-07,2057.0,225.0,6.0,2.0,713.973,78.096,2.083,0.694,1.83,86.11
