continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,ROU,Romania,2020,2,2,2020-02-26,1.0,1.0,,,0.052,0.052,,,,16.67
Europe,ROU,Romania,2020,2,3,2020-02-27,1.0,0.0,,,0.052,0.0,,,,16.67
Europe,ROU,Romania,2020,2,4,2020-02-28,3.0,2.0,,,0.156,0.104,,,,16.67
Europe,ROU,Romania,2020,2,5,2020-02-29,3.0,0.0,,,0.156,0.0,,,,16.67
Europe,ROU,Romania,2020,3,6,2020-03-01,3.0,0.0,,,0.156,0.0,,,,16.67
Europe,ROU,Romania,2020,3,0,2020-03-02,3.0,0.0,,,0.156,0.0,,,,16.67
Europe,ROU,Romania,2020,3,1,2020-03-03,3.0,0.0,,,0.156,0.0,,,,16.67
Europe,ROU,Romania,2020,3,2,2020-03-04,4.0,1.0,,,0.208,0.052,,,,16.67
Europe,ROU,Romania,2020,3,3,2020-03-05,6.0,2.0,,,0.312,0.104,,,,16.67
Europe,ROU,Romania,2020,3,4,2020-03-06,9.0,3.0,,,0.468,0.156,,,,16.67
Europe,ROU,Romania,2020,3,5,2020-03-07,9.0,0.0,,,0.468,0.0,,,,16.67
Europe,ROU,Romania,2020,3,6,2020-03-08,15.0,6.0,,,0.78,0.312,,,,30.56
Europe,ROU,Romania,2020,3,0,2020-03-09,15.0,0.0,,,0.78,0.0,,,,33.33
Europe,ROU,Romania,2020,3,1,2020-03-10,25.0,10.0,,,1.3,0.52,,,,33.33
Europe,ROU,Romania,2020,3,2,2020-03-11,45.0,20.0,,,2.339,1.04,,,,44.44
Europe,ROU,Romania,2020,3,3,2020-03-12,49.0,4.0,,,2.547,0.208,,,,58.33
Europe,ROU,Romania,2020,3,4,2020-03-13,89.0,40.0,,,4.626,2.079,,,,58.33
Europe,ROU,Romania,2020,3,5,2020-03-14,123.0,34.0,,,6.394,1.767,,,,58.33
Europe,ROU,Romania,2020,3,6,2020-03-15,131.0,8.0,,,6.81,0.416,,,1.79,58.33
Europe,ROU,Romania,2020,3,0,2020-03-16,158.0,27.0,,,8.213,1.403,,,1.84,58.33
Europe,ROU,Romania,2020,3,1,2020-03-17,184.0,26.0,,,9.565,1.352,,,1.89,58.33
Europe,ROU,Romania,2020,3,2,2020-03-18,260.0,76.0,,,13.515,3.951,,,1.95,58.33
Europe,ROU,Romania,2020,3,3,2020-03-19,277.0,17.0,,,14.399,0.884,,,1.95,61.11
Europe,ROU,Romania,2020,3,4,2020-03-20,308.0,31.0,,,16.01,1.611,,,1.98,61.11
Europe,ROU,Romania,2020,3,5,2020-03-21,367.0,59.0,,,19.077,3.067,,,2.05,69.44
Europe,ROU,Romania,2020,3,6,2020-03-22,433.0,66.0,3.0,3.0,22.508,3.431,0.156,0.156,2.11,75.0
Europe,ROU,Romania,2020,3,0,2020-03-23,576.0,143.0,7.0,4.0,29.941,7.433,0.364,0.208,2.17,75.0
Europe,ROU,Romania,2020,3,1,2020-03-24,794.0,218.0,11.0,4.0,41.273,11.332,0.572,0.208,2.17,75.0
Europe,ROU,Romania,2020,3,2,2020-03-25,906.0,112.0,17.0,6.0,47.095,5.822,0.884,0.312,2.1,78.7
Europe,ROU,Romania,2020,3,3,2020-03-26,1029.0,123.0,23.0,6.0,53.489,6.394,1.196,0.312,2.05,78.7
Europe,ROU,Romania,2020,3,4,2020-03-27,1292.0,263.0,26.0,3.0,67.16,13.671,1.352,0.156,2.02,78.7
Europe,ROU,Romania,2020,3,5,2020-03-28,1452.0,160.0,37.0,11.0,75.477,8.317,1.923,0.572,1.96,78.7
Europe,ROU,Romania,2020,3,6,2020-03-29,1815.0,363.0,43.0,6.0,94.346,18.869,2.235,0.312,1.92,78.7
Europe,ROU,Romania,2020,3,0,2020-03-30,2109.0,294.0,65.0,22.0,109.629,15.283,3.379,1.144,1.84,81.48
Europe,ROU,Romania,2020,3,1,2020-03-31,2245.0,136.0,82.0,17.0,116.698,7.069,4.262,0.884,1.75,87.04
Europe,ROU,Romania,2020,4,2,2020-04-01,2460.0,215.0,92.0,10.0,127.874,11.176,4.782,0.52,1.7,87.04
