continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,RWA,Rwanda,2020,3,5,2020-03-14,1.0,1.0,,,0.077,0.077,,,,30.09
Africa,RWA,Rwanda,2020,3,6,2020-03-15,1.0,0.0,,,0.077,0.0,,,,30.09
Africa,RWA,Rwanda,2020,3,0,2020-03-16,5.0,4.0,,,0.386,0.309,,,,41.2
Africa,RWA,Rwanda,2020,3,1,2020-03-17,7.0,2.0,,,0.54,0.154,,,,41.2
Africa,RWA,Rwanda,2020,3,2,2020-03-18,8.0,1.0,,,0.618,0.077,,,,41.2
Africa,RWA,Rwanda,2020,3,3,2020-03-19,8.0,0.0,,,0.618,0.0,,,,41.2
Africa,RWA,Rwanda,2020,3,4,2020-03-20,17.0,9.0,,,1.313,0.695,,,,42.59
Africa,RWA,Rwanda,2020,3,5,2020-03-21,17.0,0.0,,,1.313,0.0,,,,90.74
Africa,RWA,Rwanda,2020,3,6,2020-03-22,19.0,2.0,,,1.467,0.154,,,,90.74
Africa,RWA,Rwanda,2020,3,0,2020-03-23,36.0,17.0,,,2.779,1.313,,,,90.74
Africa,RWA,Rwanda,2020,3,1,2020-03-24,40.0,4.0,,,3.088,0.309,,,,90.74
Africa,RWA,Rwanda,2020,3,2,2020-03-25,41.0,1.0,,,3.165,0.077,,,,90.74
Africa,RWA,Rwanda,2020,3,3,2020-03-26,50.0,9.0,,,3.86,0.695,,,,90.74
Africa,RWA,Rwanda,2020,3,4,2020-03-27,54.0,4.0,,,4.169,0.309,,,,90.74
Africa,RWA,Rwanda,2020,3,5,2020-03-28,60.0,6.0,,,4.632,0.463,,,,90.74
Africa,RWA,Rwanda,2020,3,6,2020-03-29,70.0,10.0,,,5.404,0.772,,,,90.74
Africa,RWA,Rwanda,2020,3,0,2020-03-30,70.0,0.0,,,5.404,0.0,,,,90.74
Africa,RWA,Rwanda,2020,3,1,2020-03-31,75.0,5.0,,,5.791,0.386,,,,90.74
Africa,RWA,Rwanda,2020,4,2,2020-04-01,82.0,7.0,,,6.331,0.54,,,,90.74
Africa,RWA,Rwanda,2020,4,3,2020-04-02,84.0,2.0,,,6.485,0.154,,,,90.74
Africa,RWA,Rwanda,2020,4,4,2020-04-03,89.0,5.0,,,6.871,0.386,,,,90.74
Africa,RWA,Rwanda,2020,4,5,2020-04-04,102.0,13.0,,,7.875,1.004,,,,90.74
