continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,SAU,Saudi Arabia,2020,3,0,2020-03-02,1.0,1.0,,,0.029,0.029,,,,11.11
Asia,SAU,Saudi Arabia,2020,3,1,2020-03-03,1.0,0.0,,,0.029,0.0,,,,11.11
Asia,SAU,Saudi Arabia,2020,3,2,2020-03-04,1.0,0.0,,,0.029,0.0,,,,11.11
Asia,SAU,Saudi Arabia,2020,3,3,2020-03-05,5.0,4.0,,,0.144,0.115,,,,11.11
Asia,SAU,Saudi Arabia,2020,3,4,2020-03-06,5.0,0.0,,,0.144,0.0,,,,11.11
Asia,SAU,Saudi Arabia,2020,3,5,2020-03-07,5.0,0.0,,,0.144,0.0,,,,11.11
Asia,SAU,Saudi Arabia,2020,3,6,2020-03-08,11.0,6.0,,,0.316,0.172,,,,19.44
Asia,SAU,Saudi Arabia,2020,3,0,2020-03-09,15.0,4.0,,,0.431,0.115,,,,30.56
Asia,SAU,Saudi Arabia,2020,3,1,2020-03-10,20.0,5.0,,,0.574,0.144,,,,30.56
Asia,SAU,Saudi Arabia,2020,3,2,2020-03-11,21.0,1.0,,,0.603,0.029,,,,30.56
Asia,SAU,Saudi Arabia,2020,3,3,2020-03-12,45.0,24.0,,,1.293,0.689,,,,30.56
Asia,SAU,Saudi Arabia,2020,3,4,2020-03-13,86.0,41.0,,,2.47,1.178,,,,41.67
Asia,SAU,Saudi Arabia,2020,3,5,2020-03-14,103.0,17.0,,,2.959,0.488,,,,41.67
Asia,SAU,Saudi Arabia,2020,3,6,2020-03-15,103.0,0.0,,,2.959,0.0,,,1.96,52.78
Asia,SAU,Saudi Arabia,2020,3,0,2020-03-16,118.0,15.0,,,3.389,0.431,,,2.0,68.52
Asia,SAU,Saudi Arabia,2020,3,1,2020-03-17,171.0,53.0,,,4.912,1.522,,,2.04,68.52
Asia,SAU,Saudi Arabia,2020,3,2,2020-03-18,171.0,0.0,,,4.912,0.0,,,2.06,68.52
