continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,SDN,Sudan,2020,3,3,2020-03-12,,,,,,,,,,5.56
Africa,SDN,Sudan,2020,3,4,2020-03-13,,,1.0,1.0,,,0.023,0.023,,11.11
Africa,SDN,Sudan,2020,3,5,2020-03-14,1.0,1.0,1.0,0.0,0.023,0.023,0.023,0.0,,45.37
Africa,SDN,Sudan,2020,3,6,2020-03-15,1.0,0.0,1.0,0.0,0.023,0.0,0.023,0.0,,45.37
Africa,SDN,Sudan,2020,3,0,2020-03-16,1.0,0.0,1.0,0.0,0.023,0.0,0.023,0.0,,56.48
Africa,SDN,Sudan,2020,3,1,2020-03-17,1.0,0.0,1.0,0.0,0.023,0.0,0.023,0.0,,56.48
Africa,SDN,Sudan,2020,3,2,2020-03-18,1.0,0.0,1.0,0.0,0.023,0.0,0.023,0.0,,56.48
Africa,SDN,Sudan,2020,3,3,2020-03-19,1.0,0.0,1.0,0.0,0.023,0.0,0.023,0.0,,56.48
Africa,SDN,Sudan,2020,3,4,2020-03-20,1.0,0.0,1.0,0.0,0.023,0.0,0.023,0.0,,56.48
Africa,SDN,Sudan,2020,3,5,2020-03-21,2.0,1.0,1.0,0.0,0.046,0.023,0.023,0.0,,56.48
Africa,SDN,Sudan,2020,3,6,2020-03-22,2.0,0.0,1.0,0.0,0.046,0.0,0.023,0.0,,56.48
Africa,SDN,Sudan,2020,3,0,2020-03-23,2.0,0.0,1.0,0.0,0.046,0.0,0.023,0.0,,65.74
Africa,SDN,Sudan,2020,3,1,2020-03-24,3.0,1.0,1.0,0.0,0.068,0.023,0.023,0.0,,65.74
Africa,SDN,Sudan,2020,3,2,2020-03-25,3.0,0.0,1.0,0.0,0.068,0.0,0.023,0.0,,65.74
Africa,SDN,Sudan,2020,3,3,2020-03-26,3.0,0.0,1.0,0.0,0.068,0.0,0.023,0.0,,76.85
Africa,SDN,Sudan,2020,3,4,2020-03-27,3.0,0.0,1.0,0.0,0.068,0.0,0.023,0.0,,76.85
Africa,SDN,Sudan,2020,3,5,2020-03-28,5.0,2.0,1.0,0.0,0.114,0.046,0.023,0.0,,76.85
Africa,SDN,Sudan,2020,3,6,2020-03-29,5.0,0.0,1.0,0.0,0.114,0.0,0.023,0.0,,76.85
Africa,SDN,Sudan,2020,3,0,2020-03-30,6.0,1.0,2.0,1.0,0.137,0.023,0.046,0.023,,76.85
Africa,SDN,Sudan,2020,3,1,2020-03-31,7.0,1.0,2.0,0.0,0.16,0.023,0.046,0.0,,76.85
Africa,SDN,Sudan,2020,4,2,2020-04-01,7.0,0.0,2.0,0.0,0.16,0.0,0.046,0.0,,76.85
Africa,SDN,Sudan,2020,4,3,2020-04-02,7.0,0.0,2.0,0.0,0.16,0.0,0.046,0.0,,76.85
Africa,SDN,Sudan,2020,4,4,2020-04-03,10.0,3.0,2.0,0.0,0.228,0.068,0.046,0.0,,76.85
Africa,SDN,Sudan,2020,4,5,2020-04-04,10.0,0.0,2.0,0.0,0.228,0.0,0.046,0.0,,76.85
Africa,SDN,Sudan,2020,4,6,2020-04-05,12.0,2.0,2.0,0.0,0.274,0.046,0.046,0.0,,76.85
Africa,SDN,Sudan,2020,4,0,2020-04-06,12.0,0.0,2.0,0.0,0.274,0.0,0.046,0.0,,76.85
Africa,SDN,Sudan,2020,4,1,2020-04-07,14.0,2.0,2.0,0.0,0.319,0.046,0.046,0.0,,76.85
Africa,SDN,Sudan,2020,4,2,2020-04-08,14.0,0.0,2.0,0.0,0.319,0.0,0.046,0.0,,76.85
Africa,SDN,Sudan,2020,4,3,2020-04-09,14.0,0.0,2.0,0.0,0.319,0.0,0.046,0.0,,76.85
Africa,SDN,Sudan,2020,4,4,2020-04-10,15.0,1.0,2.0,0.0,0.342,0.023,0.046,0.0,,76.85
Africa,SDN,Sudan,2020,4,5,2020-04-11,19.0,4.0,2.0,0.0,0.433,0.091,0.046,0.0,,76.85
Africa,SDN,Sudan,2020,4,6,2020-04-12,19.0,0.0,2.0,0.0,0.433,0.0,0.046,0.0,,76.85
Africa,SDN,Sudan,2020,4,0,2020-04-13,19.0,0.0,4.0,2.0,0.433,0.0,0.091,0.046,,79.63
Africa,SDN,Sudan,2020,4,1,2020-04-14,29.0,10.0,5.0,1.0,0.661,0.228,0.114,0.023,,79.63
Africa,SDN,Sudan,2020,4,2,2020-04-15,32.0,3.0,5.0,0.0,0.73,0.068,0.114,0.0,,79.63
Africa,SDN,Sudan,2020,4,3,2020-04-16,32.0,0.0,5.0,0.0,0.73,0.0,0.114,0.0,,79.63
Africa,SDN,Sudan,2020,4,4,2020-04-17,32.0,0.0,6.0,1.0,0.73,0.0,0.137,0.023,,79.63
Africa,SDN,Sudan,2020,4,5,2020-04-18,66.0,34.0,10.0,4.0,1.505,0.775,0.228,0.091,,87.04
Africa,SDN,Sudan,2020,4,6,2020-04-19,66.0,0.0,10.0,0.0,1.505,0.0,0.228,0.0,,87.04
Africa,SDN,Sudan,2020,4,0,2020-04-20,92.0,26.0,12.0,2.0,2.098,0.593,0.274,0.046,,87.04
Africa,SDN,Sudan,2020,4,1,2020-04-21,107.0,15.0,12.0,0.0,2.44,0.342,0.274,0.0,,87.04
Africa,SDN,Sudan,2020,4,2,2020-04-22,140.0,33.0,13.0,1.0,3.193,0.753,0.296,0.023,1.56,87.04
