continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,SEN,Senegal,2020,2,4,2020-02-28,,,,,,,,,,0.0
Africa,SEN,Senegal,2020,2,5,2020-02-29,,,,,,,,,,0.0
Africa,SEN,Senegal,2020,3,6,2020-03-01,,,,,,,,,,0.0
Africa,SEN,Senegal,2020,3,0,2020-03-02,1.0,1.0,,,0.06,0.06,,,,0.0
Africa,SEN,Senegal,2020,3,1,2020-03-03,2.0,1.0,,,0.119,0.06,,,,0.0
Africa,SEN,Senegal,2020,3,2,2020-03-04,4.0,2.0,,,0.239,0.119,,,,0.0
Africa,SEN,Senegal,2020,3,3,2020-03-05,4.0,0.0,,,0.239,0.0,,,,0.0
Africa,SEN,Senegal,2020,3,4,2020-03-06,4.0,0.0,,,0.239,0.0,,,,0.0
Africa,SEN,Senegal,2020,3,5,2020-03-07,4.0,0.0,,,0.239,0.0,,,,0.0
Africa,SEN,Senegal,2020,3,6,2020-03-08,4.0,0.0,,,0.239,0.0,,,,0.0
Africa,SEN,Senegal,2020,3,0,2020-03-09,4.0,0.0,,,0.239,0.0,,,,0.0
Africa,SEN,Senegal,2020,3,1,2020-03-10,4.0,0.0,,,0.239,0.0,,,,0.0
Africa,SEN,Senegal,2020,3,2,2020-03-11,4.0,0.0,,,0.239,0.0,,,,0.0
Africa,SEN,Senegal,2020,3,3,2020-03-12,4.0,0.0,,,0.239,0.0,,,,0.0
Africa,SEN,Senegal,2020,3,4,2020-03-13,10.0,6.0,,,0.597,0.358,,,,0.0
Africa,SEN,Senegal,2020,3,5,2020-03-14,10.0,0.0,,,0.597,0.0,,,,27.78
Africa,SEN,Senegal,2020,3,6,2020-03-15,24.0,14.0,,,1.433,0.836,,,,30.56
Africa,SEN,Senegal,2020,3,0,2020-03-16,24.0,0.0,,,1.433,0.0,,,,41.67
Africa,SEN,Senegal,2020,3,1,2020-03-17,26.0,2.0,,,1.553,0.119,,,,41.67
Africa,SEN,Senegal,2020,3,2,2020-03-18,31.0,5.0,,,1.851,0.299,,,,47.22
Africa,SEN,Senegal,2020,3,3,2020-03-19,31.0,0.0,,,1.851,0.0,,,,47.22
Africa,SEN,Senegal,2020,3,4,2020-03-20,38.0,7.0,,,2.269,0.418,,,,50.0
Africa,SEN,Senegal,2020,3,5,2020-03-21,47.0,9.0,,,2.807,0.538,,,,50.0
Africa,SEN,Senegal,2020,3,6,2020-03-22,67.0,20.0,,,4.001,1.194,,,,50.0
Africa,SEN,Senegal,2020,3,0,2020-03-23,79.0,12.0,,,4.718,0.717,,,,66.67
Africa,SEN,Senegal,2020,3,1,2020-03-24,86.0,7.0,,,5.136,0.418,,,,66.67
Africa,SEN,Senegal,2020,3,2,2020-03-25,99.0,13.0,,,5.913,0.776,,,,77.78
Africa,SEN,Senegal,2020,3,3,2020-03-26,105.0,6.0,,,6.271,0.358,,,,77.78
Africa,SEN,Senegal,2020,3,4,2020-03-27,119.0,14.0,,,7.107,0.836,,,0.91,77.78
Africa,SEN,Senegal,2020,3,5,2020-03-28,130.0,11.0,,,7.764,0.657,,,0.91,77.78
Africa,SEN,Senegal,2020,3,6,2020-03-29,142.0,12.0,,,8.481,0.717,,,0.91,77.78
Africa,SEN,Senegal,2020,3,0,2020-03-30,162.0,20.0,,,9.675,1.194,,,0.91,77.78
Africa,SEN,Senegal,2020,3,1,2020-03-31,175.0,13.0,,,10.452,0.776,,,0.9,77.78
Africa,SEN,Senegal,2020,4,2,2020-04-01,190.0,15.0,1.0,1.0,11.347,0.896,0.06,0.06,0.89,77.78
Africa,SEN,Senegal,2020,4,3,2020-04-02,195.0,5.0,1.0,0.0,11.646,0.299,0.06,0.0,0.87,77.78
Africa,SEN,Senegal,2020,4,4,2020-04-03,207.0,12.0,1.0,0.0,12.363,0.717,0.06,0.0,0.87,77.78
Africa,SEN,Senegal,2020,4,5,2020-04-04,219.0,12.0,2.0,1.0,13.079,0.717,0.119,0.06,0.87,77.78
Africa,SEN,Senegal,2020,4,6,2020-04-05,222.0,3.0,2.0,0.0,13.259,0.179,0.119,0.0,0.86,77.78
Africa,SEN,Senegal,2020,4,0,2020-04-06,226.0,4.0,2.0,0.0,13.497,0.239,0.119,0.0,0.88,77.78
Africa,SEN,Senegal,2020,4,1,2020-04-07,237.0,11.0,2.0,0.0,14.154,0.657,0.119,0.0,0.91,77.78
Africa,SEN,Senegal,2020,4,2,2020-04-08,244.0,7.0,2.0,0.0,14.572,0.418,0.119,0.0,0.94,77.78
Africa,SEN,Senegal,2020,4,3,2020-04-09,250.0,6.0,2.0,0.0,14.931,0.358,0.119,0.0,0.98,77.78
Africa,SEN,Senegal,2020,4,4,2020-04-10,265.0,15.0,2.0,0.0,15.827,0.896,0.119,0.0,1.04,77.78
Africa,SEN,Senegal,2020,4,5,2020-04-11,278.0,13.0,2.0,0.0,16.603,0.776,0.119,0.0,1.07,77.78
Africa,SEN,Senegal,2020,4,6,2020-04-12,280.0,2.0,2.0,0.0,16.722,0.119,0.119,0.0,1.09,77.78
Africa,SEN,Senegal,2020,4,0,2020-04-13,291.0,11.0,2.0,0.0,17.379,0.657,0.119,0.0,1.15,77.78
