continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,SGP,Singapore,2020,1,3,2020-01-23,1.0,1.0,,,0.171,0.171,,,,25.0
Asia,SGP,Singapore,2020,1,4,2020-01-24,3.0,2.0,,,0.513,0.342,,,,25.0
Asia,SGP,Singapore,2020,1,5,2020-01-25,3.0,0.0,,,0.513,0.0,,,,25.0
Asia,SGP,Singapore,2020,1,6,2020-01-26,4.0,1.0,,,0.684,0.171,,,,25.0
Asia,SGP,Singapore,2020,1,0,2020-01-27,5.0,1.0,,,0.855,0.171,,,,25.0
Asia,SGP,Singapore,2020,1,1,2020-01-28,7.0,2.0,,,1.197,0.342,,,,25.0
Asia,SGP,Singapore,2020,1,2,2020-01-29,7.0,0.0,,,1.197,0.0,,,,25.0
Asia,SGP,Singapore,2020,1,3,2020-01-30,10.0,3.0,,,1.709,0.513,,,,25.0
Asia,SGP,Singapore,2020,1,4,2020-01-31,13.0,3.0,,,2.222,0.513,,,,25.0
Asia,SGP,Singapore,2020,2,5,2020-02-01,16.0,3.0,,,2.735,0.513,,,,25.0
Asia,SGP,Singapore,2020,2,6,2020-02-02,18.0,2.0,,,3.077,0.342,,,,25.0
Asia,SGP,Singapore,2020,2,0,2020-02-03,18.0,0.0,,,3.077,0.0,,,,25.0
Asia,SGP,Singapore,2020,2,1,2020-02-04,24.0,6.0,,,4.102,1.026,,,,25.0
Asia,SGP,Singapore,2020,2,2,2020-02-05,28.0,4.0,,,4.786,0.684,,,,25.0
Asia,SGP,Singapore,2020,2,3,2020-02-06,28.0,0.0,,,4.786,0.0,,,,25.0
Asia,SGP,Singapore,2020,2,4,2020-02-07,30.0,2.0,,,5.128,0.342,,,,30.56
Asia,SGP,Singapore,2020,2,5,2020-02-08,33.0,3.0,,,5.641,0.513,,,,30.56
Asia,SGP,Singapore,2020,2,6,2020-02-09,40.0,7.0,,,6.837,1.197,,,,30.56
