continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,SLE,Sierra Leone,2020,3,1,2020-03-31,1.0,1.0,,,0.125,0.125,,,,57.41
Africa,SLE,Sierra Leone,2020,4,2,2020-04-01,2.0,1.0,,,0.251,0.125,,,,57.41
Africa,SLE,Sierra Leone,2020,4,3,2020-04-02,2.0,0.0,,,0.251,0.0,,,,57.41
Africa,SLE,Sierra Leone,2020,4,4,2020-04-03,2.0,0.0,,,0.251,0.0,,,,57.41
Africa,SLE,Sierra Leone,2020,4,5,2020-04-04,4.0,2.0,,,0.501,0.251,,,,57.41
Africa,SLE,Sierra Leone,2020,4,6,2020-04-05,6.0,2.0,,,0.752,0.251,,,,88.89
Africa,SLE,Sierra Leone,2020,4,0,2020-04-06,6.0,0.0,,,0.752,0.0,,,,88.89
Africa,SLE,Sierra Leone,2020,4,1,2020-04-07,6.0,0.0,,,0.752,0.0,,,,88.89
Africa,SLE,Sierra Leone,2020,4,2,2020-04-08,7.0,1.0,,,0.878,0.125,,,,75.93
Africa,SLE,Sierra Leone,2020,4,3,2020-04-09,7.0,0.0,,,0.878,0.0,,,,75.93
Africa,SLE,Sierra Leone,2020,4,4,2020-04-10,8.0,1.0,,,1.003,0.125,,,,75.93
Africa,SLE,Sierra Leone,2020,4,5,2020-04-11,8.0,0.0,,,1.003,0.0,,,,75.93
Africa,SLE,Sierra Leone,2020,4,6,2020-04-12,10.0,2.0,,,1.254,0.251,,,,75.93
Africa,SLE,Sierra Leone,2020,4,0,2020-04-13,10.0,0.0,,,1.254,0.0,,,,75.93
Africa,SLE,Sierra Leone,2020,4,1,2020-04-14,11.0,1.0,,,1.379,0.125,,,,75.93
Africa,SLE,Sierra Leone,2020,4,2,2020-04-15,13.0,2.0,,,1.63,0.251,,,,75.93
Africa,SLE,Sierra Leone,2020,4,3,2020-04-16,15.0,2.0,,,1.88,0.251,,,,75.93
Africa,SLE,Sierra Leone,2020,4,4,2020-04-17,26.0,11.0,,,3.259,1.379,,,,75.93
Africa,SLE,Sierra Leone,2020,4,5,2020-04-18,30.0,4.0,,,3.761,0.501,,,,81.48
Africa,SLE,Sierra Leone,2020,4,6,2020-04-19,35.0,5.0,,,4.388,0.627,,,,81.48
Africa,SLE,Sierra Leone,2020,4,0,2020-04-20,43.0,8.0,,,5.391,1.003,,,,81.48
Africa,SLE,Sierra Leone,2020,4,1,2020-04-21,50.0,7.0,,,6.268,0.878,,,,81.48
Africa,SLE,Sierra Leone,2020,4,2,2020-04-22,61.0,11.0,,,7.647,1.379,,,,81.48
Africa,SLE,Sierra Leone,2020,4,3,2020-04-23,64.0,3.0,1.0,1.0,8.023,0.376,0.125,0.125,,81.48
Africa,SLE,Sierra Leone,2020,4,4,2020-04-24,82.0,18.0,2.0,1.0,10.28,2.256,0.251,0.125,,81.48
Africa,SLE,Sierra Leone,2020,4,5,2020-04-25,82.0,0.0,2.0,0.0,10.28,0.0,0.251,0.0,,81.48
Africa,SLE,Sierra Leone,2020,4,6,2020-04-26,93.0,11.0,4.0,2.0,11.659,1.379,0.501,0.251,,77.78
Africa,SLE,Sierra Leone,2020,4,0,2020-04-27,93.0,0.0,4.0,0.0,11.659,0.0,0.501,0.0,,77.78
Africa,SLE,Sierra Leone,2020,4,1,2020-04-28,104.0,11.0,4.0,0.0,13.038,1.379,0.501,0.0,,77.78
Africa,SLE,Sierra Leone,2020,4,2,2020-04-29,104.0,0.0,4.0,0.0,13.038,0.0,0.501,0.0,1.08,77.78
Africa,SLE,Sierra Leone,2020,4,3,2020-04-30,124.0,20.0,7.0,3.0,15.545,2.507,0.878,0.376,1.08,77.78
Africa,SLE,Sierra Leone,2020,5,4,2020-05-01,136.0,12.0,7.0,0.0,17.049,1.504,0.878,0.0,1.08,77.78
Africa,SLE,Sierra Leone,2020,5,5,2020-05-02,155.0,19.0,8.0,1.0,19.431,2.382,1.003,0.125,1.08,77.78
Africa,SLE,Sierra Leone,2020,5,6,2020-05-03,166.0,11.0,8.0,0.0,20.81,1.379,1.003,0.0,1.08,88.89
Africa,SLE,Sierra Leone,2020,5,0,2020-05-04,178.0,12.0,9.0,1.0,22.314,1.504,1.128,0.125,1.09,88.89
Africa,SLE,Sierra Leone,2020,5,1,2020-05-05,199.0,21.0,11.0,2.0,24.947,2.633,1.379,0.251,1.09,88.89
Africa,SLE,Sierra Leone,2020,5,2,2020-05-06,225.0,26.0,14.0,3.0,28.206,3.259,1.755,0.376,1.09,70.37
Africa,SLE,Sierra Leone,2020,5,3,2020-05-07,231.0,6.0,16.0,2.0,28.958,0.752,2.006,0.251,1.09,70.37
Africa,SLE,Sierra Leone,2020,5,4,2020-05-08,257.0,26.0,17.0,1.0,32.218,3.259,2.131,0.125,1.09,70.37
Africa,SLE,Sierra Leone,2020,5,5,2020-05-09,291.0,34.0,18.0,1.0,36.48,4.262,2.256,0.125,1.09,70.37
Africa,SLE,Sierra Leone,2020,5,6,2020-05-10,307.0,16.0,18.0,0.0,38.486,2.006,2.256,0.0,1.09,70.37
Africa,SLE,Sierra Leone,2020,5,0,2020-05-11,338.0,31.0,19.0,1.0,42.372,3.886,2.382,0.125,1.09,70.37
Africa,SLE,Sierra Leone,2020,5,1,2020-05-12,338.0,0.0,19.0,0.0,42.372,0.0,2.382,0.0,1.09,70.37
Africa,SLE,Sierra Leone,2020,5,2,2020-05-13,387.0,49.0,26.0,7.0,48.515,6.143,3.259,0.878,1.09,70.37
Africa,SLE,Sierra Leone,2020,5,3,2020-05-14,408.0,21.0,26.0,0.0,51.147,2.633,3.259,0.0,1.08,70.37
Africa,SLE,Sierra Leone,2020,5,4,2020-05-15,447.0,39.0,27.0,1.0,56.036,4.889,3.385,0.125,1.08,70.37
Africa,SLE,Sierra Leone,2020,5,5,2020-05-16,462.0,15.0,29.0,2.0,57.917,1.88,3.635,0.251,1.08,70.37
Africa,SLE,Sierra Leone,2020,5,6,2020-05-17,505.0,43.0,32.0,3.0,63.307,5.391,4.012,0.376,1.08,70.37
Africa,SLE,Sierra Leone,2020,5,0,2020-05-18,519.0,14.0,33.0,1.0,65.062,1.755,4.137,0.125,1.07,70.37
Africa,SLE,Sierra Leone,2020,5,1,2020-05-19,534.0,15.0,33.0,0.0,66.943,1.88,4.137,0.0,1.07,70.37
Africa,SLE,Sierra Leone,2020,5,2,2020-05-20,570.0,36.0,34.0,1.0,71.456,4.513,4.262,0.125,1.07,70.37
Africa,SLE,Sierra Leone,2020,5,3,2020-05-21,585.0,15.0,35.0,1.0,73.336,1.88,4.388,0.125,1.06,70.37
Africa,SLE,Sierra Leone,2020,5,4,2020-05-22,606.0,21.0,38.0,3.0,75.969,2.633,4.764,0.376,1.06,70.37
Africa,SLE,Sierra Leone,2020,5,5,2020-05-23,621.0,15.0,39.0,1.0,77.849,1.88,4.889,0.125,1.06,70.37
Africa,SLE,Sierra Leone,2020,5,6,2020-05-24,707.0,86.0,40.0,1.0,88.63,10.781,5.014,0.125,1.06,70.37
Africa,SLE,Sierra Leone,2020,5,0,2020-05-25,735.0,28.0,42.0,2.0,92.14,3.51,5.265,0.251,1.05,70.37
Africa,SLE,Sierra Leone,2020,5,1,2020-05-26,754.0,19.0,44.0,2.0,94.522,2.382,5.516,0.251,1.05,70.37
Africa,SLE,Sierra Leone,2020,5,2,2020-05-27,782.0,28.0,45.0,1.0,98.032,3.51,5.641,0.125,1.04,70.37
Africa,SLE,Sierra Leone,2020,5,3,2020-05-28,812.0,30.0,45.0,0.0,101.793,3.761,5.641,0.0,1.04,70.37
Africa,SLE,Sierra Leone,2020,5,4,2020-05-29,829.0,17.0,45.0,0.0,103.924,2.131,5.641,0.0,1.03,70.37
Africa,SLE,Sierra Leone,2020,5,5,2020-05-30,852.0,23.0,46.0,1.0,106.807,2.883,5.767,0.125,1.03,70.37
Africa,SLE,Sierra Leone,2020,5,6,2020-05-31,861.0,9.0,46.0,0.0,107.936,1.128,5.767,0.0,1.03,70.37
Africa,SLE,Sierra Leone,2020,6,0,2020-06-01,865.0,4.0,46.0,0.0,108.437,0.501,5.767,0.0,1.02,70.37
Africa,SLE,Sierra Leone,2020,6,1,2020-06-02,896.0,31.0,46.0,0.0,112.323,3.886,5.767,0.0,1.02,70.37
Africa,SLE,Sierra Leone,2020,6,2,2020-06-03,909.0,13.0,47.0,1.0,113.953,1.63,5.892,0.125,1.02,70.37
Africa,SLE,Sierra Leone,2020,6,3,2020-06-04,914.0,5.0,47.0,0.0,114.58,0.627,5.892,0.0,1.02,70.37
Africa,SLE,Sierra Leone,2020,6,4,2020-06-05,929.0,15.0,47.0,0.0,116.46,1.88,5.892,0.0,1.02,70.37
Africa,SLE,Sierra Leone,2020,6,5,2020-06-06,946.0,17.0,48.0,1.0,118.591,2.131,6.017,0.125,1.02,70.37
Africa,SLE,Sierra Leone,2020,6,6,2020-06-07,969.0,23.0,48.0,0.0,121.474,2.883,6.017,0.0,1.02,70.37
Africa,SLE,Sierra Leone,2020,6,0,2020-06-08,1001.0,32.0,49.0,1.0,125.486,4.012,6.143,0.125,1.02,53.7
Africa,SLE,Sierra Leone,2020,6,1,2020-06-09,1025.0,24.0,50.0,1.0,128.495,3.009,6.268,0.125,1.02,53.7
Africa,SLE,Sierra Leone,2020,6,2,2020-06-10,1062.0,37.0,50.0,0.0,133.133,4.638,6.268,0.0,1.02,53.7
Africa,SLE,Sierra Leone,2020,6,3,2020-06-11,1085.0,23.0,50.0,0.0,136.016,2.883,6.268,0.0,1.02,53.7
Africa,SLE,Sierra Leone,2020,6,4,2020-06-12,1103.0,18.0,51.0,1.0,138.273,2.256,6.393,0.125,1.02,53.7
Africa,SLE,Sierra Leone,2020,6,5,2020-06-13,1132.0,29.0,51.0,0.0,141.908,3.635,6.393,0.0,1.01,53.7
Africa,SLE,Sierra Leone,2020,6,6,2020-06-14,1169.0,37.0,51.0,0.0,146.547,4.638,6.393,0.0,1.01,53.7
Africa,SLE,Sierra Leone,2020,6,0,2020-06-15,1176.0,7.0,51.0,0.0,147.424,0.878,6.393,0.0,1.01,53.7
Africa,SLE,Sierra Leone,2020,6,1,2020-06-16,1225.0,49.0,51.0,0.0,153.567,6.143,6.393,0.0,1.01,53.7
Africa,SLE,Sierra Leone,2020,6,2,2020-06-17,1249.0,24.0,51.0,0.0,156.575,3.009,6.393,0.0,1.0,53.7
Africa,SLE,Sierra Leone,2020,6,3,2020-06-18,1272.0,23.0,51.0,0.0,159.459,2.883,6.393,0.0,1.0,53.7
Africa,SLE,Sierra Leone,2020,6,4,2020-06-19,1298.0,26.0,53.0,2.0,162.718,3.259,6.644,0.251,0.99,53.7
Africa,SLE,Sierra Leone,2020,6,5,2020-06-20,1309.0,11.0,53.0,0.0,164.097,1.379,6.644,0.0,0.99,53.7
Africa,SLE,Sierra Leone,2020,6,6,2020-06-21,1327.0,18.0,55.0,2.0,166.354,2.256,6.895,0.251,0.99,53.7
Africa,SLE,Sierra Leone,2020,6,0,2020-06-22,1340.0,13.0,55.0,0.0,167.983,1.63,6.895,0.0,0.99,53.7
Africa,SLE,Sierra Leone,2020,6,1,2020-06-23,1347.0,7.0,55.0,0.0,168.861,0.878,6.895,0.0,0.98,53.7
Africa,SLE,Sierra Leone,2020,6,2,2020-06-24,1354.0,7.0,55.0,0.0,169.738,0.878,6.895,0.0,0.98,53.7
Africa,SLE,Sierra Leone,2020,6,3,2020-06-25,1354.0,0.0,56.0,1.0,169.738,0.0,7.02,0.125,0.98,53.7
Africa,SLE,Sierra Leone,2020,6,4,2020-06-26,1394.0,40.0,59.0,3.0,174.753,5.014,7.396,0.376,0.98,53.7
Africa,SLE,Sierra Leone,2020,6,5,2020-06-27,1410.0,16.0,59.0,0.0,176.759,2.006,7.396,0.0,0.98,53.7
Africa,SLE,Sierra Leone,2020,6,6,2020-06-28,1427.0,17.0,60.0,1.0,178.89,2.131,7.522,0.125,0.98,53.7
Africa,SLE,Sierra Leone,2020,6,0,2020-06-29,1450.0,23.0,60.0,0.0,181.773,2.883,7.522,0.0,0.98,53.7
Africa,SLE,Sierra Leone,2020,6,1,2020-06-30,1462.0,12.0,60.0,0.0,183.277,1.504,7.522,0.0,0.98,53.7
Africa,SLE,Sierra Leone,2020,7,2,2020-07-01,1498.0,36.0,60.0,0.0,187.79,4.513,7.522,0.0,0.98,50.0
Africa,SLE,Sierra Leone,2020,7,3,2020-07-02,1518.0,20.0,60.0,0.0,190.297,2.507,7.522,0.0,0.97,50.0
