continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
North America,SLV,El Salvador,2020,3,3,2020-03-19,1.0,1.0,,,0.154,0.154,,,,65.74
North America,SLV,El Salvador,2020,3,4,2020-03-20,1.0,0.0,,,0.154,0.0,,,,65.74
North America,SLV,El Salvador,2020,3,5,2020-03-21,3.0,2.0,,,0.463,0.308,,,,88.89
North America,SLV,El Salvador,2020,3,6,2020-03-22,3.0,0.0,,,0.463,0.0,,,,88.89
North America,SLV,El Salvador,2020,3,0,2020-03-23,3.0,0.0,,,0.463,0.0,,,,88.89
North America,SLV,El Salvador,2020,3,1,2020-03-24,5.0,2.0,,,0.771,0.308,,,,88.89
North America,SLV,El Salvador,2020,3,2,2020-03-25,9.0,4.0,,,1.388,0.617,,,,88.89
North America,SLV,El Salvador,2020,3,3,2020-03-26,13.0,4.0,,,2.004,0.617,,,,88.89
North America,SLV,El Salvador,2020,3,4,2020-03-27,13.0,0.0,,,2.004,0.0,,,,88.89
North America,SLV,El Salvador,2020,3,5,2020-03-28,19.0,6.0,,,2.929,0.925,,,,88.89
North America,SLV,El Salvador,2020,3,6,2020-03-29,24.0,5.0,,,3.7,0.771,,,,88.89
North America,SLV,El Salvador,2020,3,0,2020-03-30,30.0,6.0,,,4.625,0.925,,,,88.89
North America,SLV,El Salvador,2020,3,1,2020-03-31,32.0,2.0,1.0,1.0,4.934,0.308,0.154,0.154,,88.89
North America,SLV,El Salvador,2020,4,2,2020-04-01,32.0,0.0,1.0,0.0,4.934,0.0,0.154,0.0,,88.89
North America,SLV,El Salvador,2020,4,3,2020-04-02,41.0,9.0,2.0,1.0,6.321,1.388,0.308,0.154,,88.89
North America,SLV,El Salvador,2020,4,4,2020-04-03,46.0,5.0,2.0,0.0,7.092,0.771,0.308,0.0,,88.89
North America,SLV,El Salvador,2020,4,5,2020-04-04,56.0,10.0,3.0,1.0,8.634,1.542,0.463,0.154,,88.89
