continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,SMR,San Marino,2020,2,3,2020-02-27,1.0,1.0,,,29.465,29.465,,,,16.67
Europe,SMR,San Marino,2020,2,4,2020-02-28,1.0,0.0,,,29.465,0.0,,,,16.67
Europe,SMR,San Marino,2020,2,5,2020-02-29,1.0,0.0,,,29.465,0.0,,,,27.78
Europe,SMR,San Marino,2020,3,6,2020-03-01,1.0,0.0,,,29.465,0.0,,,,33.33
Europe,SMR,San Marino,2020,3,0,2020-03-02,8.0,7.0,,,235.724,206.258,,,,33.33
Europe,SMR,San Marino,2020,3,1,2020-03-03,10.0,2.0,1.0,1.0,294.655,58.931,29.465,29.465,,33.33
Europe,SMR,San Marino,2020,3,2,2020-03-04,16.0,6.0,1.0,0.0,471.448,176.793,29.465,0.0,,33.33
Europe,SMR,San Marino,2020,3,3,2020-03-05,21.0,5.0,1.0,0.0,618.775,147.327,29.465,0.0,,33.33
Europe,SMR,San Marino,2020,3,4,2020-03-06,21.0,0.0,1.0,0.0,618.775,0.0,29.465,0.0,,33.33
Europe,SMR,San Marino,2020,3,5,2020-03-07,23.0,2.0,1.0,0.0,677.706,58.931,29.465,0.0,,33.33
Europe,SMR,San Marino,2020,3,6,2020-03-08,36.0,13.0,1.0,0.0,1060.758,383.051,29.465,0.0,,68.52
Europe,SMR,San Marino,2020,3,0,2020-03-09,36.0,0.0,1.0,0.0,1060.758,0.0,29.465,0.0,,68.52
Europe,SMR,San Marino,2020,3,1,2020-03-10,51.0,15.0,2.0,1.0,1502.74,441.982,58.931,29.465,,68.52
Europe,SMR,San Marino,2020,3,2,2020-03-11,62.0,11.0,2.0,0.0,1826.861,324.12,58.931,0.0,,68.52
Europe,SMR,San Marino,2020,3,3,2020-03-12,69.0,7.0,3.0,1.0,2033.119,206.258,88.396,29.465,,68.52
Europe,SMR,San Marino,2020,3,4,2020-03-13,80.0,11.0,5.0,2.0,2357.24,324.12,147.327,58.931,,68.52
Europe,SMR,San Marino,2020,3,5,2020-03-14,80.0,0.0,5.0,0.0,2357.24,0.0,147.327,0.0,,68.52
Europe,SMR,San Marino,2020,3,6,2020-03-15,101.0,21.0,5.0,0.0,2976.015,618.775,147.327,0.0,,79.63
Europe,SMR,San Marino,2020,3,0,2020-03-16,109.0,8.0,7.0,2.0,3211.739,235.724,206.258,58.931,0.95,79.63
