continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,SOM,Somalia,2020,3,0,2020-03-16,1.0,1.0,,,0.063,0.063,,,,8.33
Africa,SOM,Somalia,2020,3,1,2020-03-17,1.0,0.0,,,0.063,0.0,,,,8.33
Africa,SOM,Somalia,2020,3,2,2020-03-18,1.0,0.0,,,0.063,0.0,,,,11.11
Africa,SOM,Somalia,2020,3,3,2020-03-19,1.0,0.0,,,0.063,0.0,,,,41.67
Africa,SOM,Somalia,2020,3,4,2020-03-20,1.0,0.0,,,0.063,0.0,,,,41.67
Africa,SOM,Somalia,2020,3,5,2020-03-21,1.0,0.0,,,0.063,0.0,,,,52.78
Africa,SOM,Somalia,2020,3,6,2020-03-22,1.0,0.0,,,0.063,0.0,,,,52.78
Africa,SOM,Somalia,2020,3,0,2020-03-23,1.0,0.0,,,0.063,0.0,,,,52.78
Africa,SOM,Somalia,2020,3,1,2020-03-24,1.0,0.0,,,0.063,0.0,,,,52.78
Africa,SOM,Somalia,2020,3,2,2020-03-25,1.0,0.0,,,0.063,0.0,,,,52.78
Africa,SOM,Somalia,2020,3,3,2020-03-26,2.0,1.0,,,0.126,0.063,,,,52.78
Africa,SOM,Somalia,2020,3,4,2020-03-27,3.0,1.0,,,0.189,0.063,,,,52.78
Africa,SOM,Somalia,2020,3,5,2020-03-28,3.0,0.0,,,0.189,0.0,,,,52.78
Africa,SOM,Somalia,2020,3,6,2020-03-29,3.0,0.0,,,0.189,0.0,,,,52.78
Africa,SOM,Somalia,2020,3,0,2020-03-30,3.0,0.0,,,0.189,0.0,,,,52.78
Africa,SOM,Somalia,2020,3,1,2020-03-31,5.0,2.0,,,0.315,0.126,,,,52.78
Africa,SOM,Somalia,2020,4,2,2020-04-01,5.0,0.0,,,0.315,0.0,,,,52.78
Africa,SOM,Somalia,2020,4,3,2020-04-02,5.0,0.0,,,0.315,0.0,,,,52.78
Africa,SOM,Somalia,2020,4,4,2020-04-03,7.0,2.0,,,0.44,0.126,,,,52.78
