continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,SRB,Serbia,2020,2,2,2020-02-26,,,,,,,,,,13.89
Europe,SRB,Serbia,2020,2,3,2020-02-27,,,,,,,,,,13.89
Europe,SRB,Serbia,2020,2,4,2020-02-28,,,,,,,,,,13.89
Europe,SRB,Serbia,2020,2,5,2020-02-29,,,,,,,,,,13.89
Europe,SRB,Serbia,2020,3,6,2020-03-01,,,,,,,,,,13.89
Europe,SRB,Serbia,2020,3,0,2020-03-02,,,,,,,,,,13.89
Europe,SRB,Serbia,2020,3,1,2020-03-03,,,,,,,,,,13.89
Europe,SRB,Serbia,2020,3,2,2020-03-04,,,,,,,,,,13.89
Europe,SRB,Serbia,2020,3,3,2020-03-05,,,,,,,,,,13.89
Europe,SRB,Serbia,2020,3,4,2020-03-06,1.0,1.0,,,0.147,0.147,,,,13.89
Europe,SRB,Serbia,2020,3,5,2020-03-07,1.0,0.0,,,0.147,0.0,,,,13.89
Europe,SRB,Serbia,2020,3,6,2020-03-08,1.0,0.0,,,0.147,0.0,,,,13.89
Europe,SRB,Serbia,2020,3,0,2020-03-09,1.0,0.0,,,0.147,0.0,,,,13.89
Europe,SRB,Serbia,2020,3,1,2020-03-10,5.0,4.0,,,0.735,0.588,,,,13.89
Europe,SRB,Serbia,2020,3,2,2020-03-11,12.0,7.0,,,1.764,1.029,,,,25.0
Europe,SRB,Serbia,2020,3,3,2020-03-12,19.0,7.0,,,2.792,1.029,,,,25.0
Europe,SRB,Serbia,2020,3,4,2020-03-13,35.0,16.0,,,5.144,2.351,,,,25.0
Europe,SRB,Serbia,2020,3,5,2020-03-14,46.0,11.0,,,6.76,1.617,,,,25.0
Europe,SRB,Serbia,2020,3,6,2020-03-15,48.0,2.0,,,7.054,0.294,,,,49.07
Europe,SRB,Serbia,2020,3,0,2020-03-16,55.0,7.0,,,8.083,1.029,,,,66.67
Europe,SRB,Serbia,2020,3,1,2020-03-17,65.0,10.0,,,9.552,1.47,,,,66.67
Europe,SRB,Serbia,2020,3,2,2020-03-18,83.0,18.0,,,12.198,2.645,,,,81.48
Europe,SRB,Serbia,2020,3,3,2020-03-19,103.0,20.0,,,15.137,2.939,,,,81.48
Europe,SRB,Serbia,2020,3,4,2020-03-20,135.0,32.0,1.0,1.0,19.84,4.703,0.147,0.147,2.07,81.48
Europe,SRB,Serbia,2020,3,5,2020-03-21,171.0,36.0,1.0,0.0,25.13,5.291,0.147,0.0,2.06,100.0
Europe,SRB,Serbia,2020,3,6,2020-03-22,222.0,51.0,2.0,1.0,32.625,7.495,0.294,0.147,2.05,100.0
Europe,SRB,Serbia,2020,3,0,2020-03-23,249.0,27.0,3.0,1.0,36.593,3.968,0.441,0.147,2.02,100.0
Europe,SRB,Serbia,2020,3,1,2020-03-24,303.0,54.0,3.0,0.0,44.529,7.936,0.441,0.0,2.04,100.0
Europe,SRB,Serbia,2020,3,2,2020-03-25,384.0,81.0,4.0,1.0,56.432,11.904,0.588,0.147,2.04,100.0
Europe,SRB,Serbia,2020,3,3,2020-03-26,384.0,0.0,1.0,-3.0,56.432,0.0,0.147,-0.441,2.01,100.0
Europe,SRB,Serbia,2020,3,4,2020-03-27,457.0,73.0,1.0,0.0,67.16,10.728,0.147,0.0,2.07,100.0
Europe,SRB,Serbia,2020,3,5,2020-03-28,659.0,202.0,10.0,9.0,96.846,29.686,1.47,1.323,2.12,100.0
Europe,SRB,Serbia,2020,3,6,2020-03-29,741.0,82.0,13.0,3.0,108.897,12.051,1.91,0.441,2.02,100.0
Europe,SRB,Serbia,2020,3,0,2020-03-30,785.0,44.0,16.0,3.0,115.363,6.466,2.351,0.441,1.96,100.0
Europe,SRB,Serbia,2020,3,1,2020-03-31,900.0,115.0,16.0,0.0,132.264,16.9,2.351,0.0,1.95,100.0
Europe,SRB,Serbia,2020,4,2,2020-04-01,1060.0,160.0,28.0,12.0,155.777,23.514,4.115,1.764,1.94,100.0
Europe,SRB,Serbia,2020,4,3,2020-04-02,1171.0,111.0,31.0,3.0,172.09,16.313,4.556,0.441,1.92,100.0
Europe,SRB,Serbia,2020,4,4,2020-04-03,1476.0,305.0,39.0,8.0,216.912,44.823,5.731,1.176,1.92,100.0
Europe,SRB,Serbia,2020,4,5,2020-04-04,1624.0,148.0,44.0,5.0,238.662,21.75,6.466,0.735,1.85,100.0
Europe,SRB,Serbia,2020,4,6,2020-04-05,1908.0,284.0,51.0,7.0,280.399,41.736,7.495,1.029,1.81,100.0
Europe,SRB,Serbia,2020,4,0,2020-04-06,2200.0,292.0,58.0,7.0,323.311,42.912,8.524,1.029,1.74,100.0
Europe,SRB,Serbia,2020,4,1,2020-04-07,2447.0,247.0,61.0,3.0,359.61,36.299,8.965,0.441,1.67,100.0
Europe,SRB,Serbia,2020,4,2,2020-04-08,2666.0,219.0,65.0,4.0,391.794,32.184,9.552,0.588,1.6,100.0
Europe,SRB,Serbia,2020,4,3,2020-04-09,2867.0,201.0,66.0,1.0,421.333,29.539,9.699,0.147,1.54,100.0
Europe,SRB,Serbia,2020,4,4,2020-04-10,3105.0,238.0,71.0,5.0,456.309,34.976,10.434,0.735,1.51,100.0
Europe,SRB,Serbia,2020,4,5,2020-04-11,3380.0,275.0,74.0,3.0,496.723,40.414,10.875,0.441,1.48,100.0
Europe,SRB,Serbia,2020,4,6,2020-04-12,3630.0,250.0,80.0,6.0,533.463,36.74,11.757,0.882,1.46,100.0
Europe,SRB,Serbia,2020,4,0,2020-04-13,4054.0,424.0,85.0,5.0,595.774,62.311,12.492,0.735,1.44,100.0
Europe,SRB,Serbia,2020,4,1,2020-04-14,4465.0,411.0,94.0,9.0,656.174,60.4,13.814,1.323,1.41,100.0
