continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,SSD,South Sudan,2020,4,6,2020-04-05,1.0,1.0,,,0.089,0.089,,,,73.15
Africa,SSD,South Sudan,2020,4,0,2020-04-06,1.0,0.0,,,0.089,0.0,,,,73.15
Africa,SSD,South Sudan,2020,4,1,2020-04-07,2.0,1.0,,,0.179,0.089,,,,73.15
Africa,SSD,South Sudan,2020,4,2,2020-04-08,2.0,0.0,,,0.179,0.0,,,,73.15
Africa,SSD,South Sudan,2020,4,3,2020-04-09,3.0,1.0,,,0.268,0.089,,,,73.15
Africa,SSD,South Sudan,2020,4,4,2020-04-10,4.0,1.0,,,0.357,0.089,,,,73.15
Africa,SSD,South Sudan,2020,4,5,2020-04-11,4.0,0.0,,,0.357,0.0,,,,73.15
Africa,SSD,South Sudan,2020,4,6,2020-04-12,4.0,0.0,,,0.357,0.0,,,,84.26
Africa,SSD,South Sudan,2020,4,0,2020-04-13,4.0,0.0,,,0.357,0.0,,,,84.26
Africa,SSD,South Sudan,2020,4,1,2020-04-14,4.0,0.0,,,0.357,0.0,,,,84.26
Africa,SSD,South Sudan,2020,4,2,2020-04-15,4.0,0.0,,,0.357,0.0,,,,84.26
Africa,SSD,South Sudan,2020,4,3,2020-04-16,4.0,0.0,,,0.357,0.0,,,,84.26
Africa,SSD,South Sudan,2020,4,4,2020-04-17,4.0,0.0,,,0.357,0.0,,,,84.26
Africa,SSD,South Sudan,2020,4,5,2020-04-18,4.0,0.0,,,0.357,0.0,,,,86.11
Africa,SSD,South Sudan,2020,4,6,2020-04-19,4.0,0.0,,,0.357,0.0,,,,86.11
Africa,SSD,South Sudan,2020,4,0,2020-04-20,4.0,0.0,,,0.357,0.0,,,,86.11
Africa,SSD,South Sudan,2020,4,1,2020-04-21,4.0,0.0,,,0.357,0.0,,,,86.11
Africa,SSD,South Sudan,2020,4,2,2020-04-22,4.0,0.0,,,0.357,0.0,,,,86.11
Africa,SSD,South Sudan,2020,4,3,2020-04-23,5.0,1.0,,,0.447,0.089,,,,86.11
Africa,SSD,South Sudan,2020,4,4,2020-04-24,5.0,0.0,,,0.447,0.0,,,,86.11
Africa,SSD,South Sudan,2020,4,5,2020-04-25,5.0,0.0,,,0.447,0.0,,,,86.11
Africa,SSD,South Sudan,2020,4,6,2020-04-26,6.0,1.0,,,0.536,0.089,,,,86.11
Africa,SSD,South Sudan,2020,4,0,2020-04-27,6.0,0.0,,,0.536,0.0,,,,86.11
Africa,SSD,South Sudan,2020,4,1,2020-04-28,34.0,28.0,,,3.037,2.501,,,,86.11
Africa,SSD,South Sudan,2020,4,2,2020-04-29,34.0,0.0,,,3.037,0.0,,,,86.11
Africa,SSD,South Sudan,2020,4,3,2020-04-30,35.0,1.0,,,3.127,0.089,,,,86.11
Africa,SSD,South Sudan,2020,5,4,2020-05-01,45.0,10.0,,,4.02,0.893,,,,86.11
Africa,SSD,South Sudan,2020,5,5,2020-05-02,45.0,0.0,,,4.02,0.0,,,,86.11
Africa,SSD,South Sudan,2020,5,6,2020-05-03,46.0,1.0,,,4.109,0.089,,,,86.11
Africa,SSD,South Sudan,2020,5,0,2020-05-04,46.0,0.0,,,4.109,0.0,,,,86.11
Africa,SSD,South Sudan,2020,5,1,2020-05-05,52.0,6.0,,,4.645,0.536,,,,86.11
