continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,STP,Sao Tome and Principe,2020,4,0,2020-04-06,4.0,4.0,,,18.251,18.251,,,,
Africa,STP,Sao Tome and Principe,2020,4,1,2020-04-07,4.0,0.0,,,18.251,0.0,,,,
Africa,STP,Sao Tome and Principe,2020,4,2,2020-04-08,4.0,0.0,,,18.251,0.0,,,,
Africa,STP,Sao Tome and Principe,2020,4,3,2020-04-09,4.0,0.0,,,18.251,0.0,,,,
Africa,STP,Sao Tome and Principe,2020,4,4,2020-04-10,4.0,0.0,,,18.251,0.0,,,,
Africa,STP,Sao Tome and Principe,2020,4,5,2020-04-11,4.0,0.0,,,18.251,0.0,,,,
Africa,STP,Sao Tome and Principe,2020,4,6,2020-04-12,4.0,0.0,,,18.251,0.0,,,,
Africa,STP,Sao Tome and Principe,2020,4,0,2020-04-13,4.0,0.0,,,18.251,0.0,,,,
Africa,STP,Sao Tome and Principe,2020,4,1,2020-04-14,4.0,0.0,,,18.251,0.0,,,,
Africa,STP,Sao Tome and Principe,2020,4,2,2020-04-15,4.0,0.0,,,18.251,0.0,,,,
Africa,STP,Sao Tome and Principe,2020,4,3,2020-04-16,4.0,0.0,,,18.251,0.0,,,,
Africa,STP,Sao Tome and Principe,2020,4,4,2020-04-17,4.0,0.0,,,18.251,0.0,,,,
Africa,STP,Sao Tome and Principe,2020,4,5,2020-04-18,4.0,0.0,,,18.251,0.0,,,,
Africa,STP,Sao Tome and Principe,2020,4,6,2020-04-19,4.0,0.0,,,18.251,0.0,,,,
Africa,STP,Sao Tome and Principe,2020,4,0,2020-04-20,4.0,0.0,,,18.251,0.0,,,,
Africa,STP,Sao Tome and Principe,2020,4,1,2020-04-21,4.0,0.0,,,18.251,0.0,,,,
Africa,STP,Sao Tome and Principe,2020,4,2,2020-04-22,4.0,0.0,,,18.251,0.0,,,,
Africa,STP,Sao Tome and Principe,2020,4,3,2020-04-23,4.0,0.0,,,18.251,0.0,,,,
Africa,STP,Sao Tome and Principe,2020,4,4,2020-04-24,4.0,0.0,,,18.251,0.0,,,,
Africa,STP,Sao Tome and Principe,2020,4,5,2020-04-25,4.0,0.0,,,18.251,0.0,,,,
Africa,STP,Sao Tome and Principe,2020,4,6,2020-04-26,4.0,0.0,,,18.251,0.0,,,,
Africa,STP,Sao Tome and Principe,2020,4,0,2020-04-27,4.0,0.0,,,18.251,0.0,,,,
Africa,STP,Sao Tome and Principe,2020,4,1,2020-04-28,8.0,4.0,,,36.503,18.251,,,,
Africa,STP,Sao Tome and Principe,2020,4,2,2020-04-29,8.0,0.0,,,36.503,0.0,,,,
Africa,STP,Sao Tome and Principe,2020,4,3,2020-04-30,14.0,6.0,,,63.88,27.377,,,,
Africa,STP,Sao Tome and Principe,2020,5,4,2020-05-01,16.0,2.0,1.0,1.0,73.006,9.126,4.563,4.563,,
Africa,STP,Sao Tome and Principe,2020,5,5,2020-05-02,16.0,0.0,1.0,0.0,73.006,0.0,4.563,0.0,,
Africa,STP,Sao Tome and Principe,2020,5,6,2020-05-03,16.0,0.0,1.0,0.0,73.006,0.0,4.563,0.0,,
Africa,STP,Sao Tome and Principe,2020,5,0,2020-05-04,23.0,7.0,3.0,2.0,104.946,31.94,13.689,9.126,,
Africa,STP,Sao Tome and Principe,2020,5,1,2020-05-05,174.0,151.0,3.0,0.0,793.937,688.991,13.689,0.0,,
Africa,STP,Sao Tome and Principe,2020,5,2,2020-05-06,174.0,0.0,3.0,0.0,793.937,0.0,13.689,0.0,0.4,
Africa,STP,Sao Tome and Principe,2020,5,3,2020-05-07,187.0,13.0,4.0,1.0,853.254,59.317,18.251,4.563,0.4,
Africa,STP,Sao Tome and Principe,2020,5,4,2020-05-08,208.0,21.0,5.0,1.0,949.074,95.82,22.814,4.563,0.4,
Africa,STP,Sao Tome and Principe,2020,5,5,2020-05-09,208.0,0.0,5.0,0.0,949.074,0.0,22.814,0.0,0.39,
Africa,STP,Sao Tome and Principe,2020,5,6,2020-05-10,208.0,0.0,5.0,0.0,949.074,0.0,22.814,0.0,0.39,
Africa,STP,Sao Tome and Principe,2020,5,0,2020-05-11,208.0,0.0,5.0,0.0,949.074,0.0,22.814,0.0,0.39,
Africa,STP,Sao Tome and Principe,2020,5,1,2020-05-12,208.0,0.0,5.0,0.0,949.074,0.0,22.814,0.0,0.39,
Africa,STP,Sao Tome and Principe,2020,5,2,2020-05-13,220.0,12.0,6.0,1.0,1003.828,54.754,27.377,4.563,0.4,
Africa,STP,Sao Tome and Principe,2020,5,3,2020-05-14,235.0,15.0,7.0,1.0,1072.271,68.443,31.94,4.563,0.4,
Africa,STP,Sao Tome and Principe,2020,5,4,2020-05-15,235.0,0.0,7.0,0.0,1072.271,0.0,31.94,0.0,0.39,
Africa,STP,Sao Tome and Principe,2020,5,5,2020-05-16,235.0,0.0,7.0,0.0,1072.271,0.0,31.94,0.0,0.39,
Africa,STP,Sao Tome and Principe,2020,5,6,2020-05-17,235.0,0.0,7.0,0.0,1072.271,0.0,31.94,0.0,0.39,
Africa,STP,Sao Tome and Principe,2020,5,0,2020-05-18,246.0,11.0,7.0,0.0,1122.462,50.191,31.94,0.0,0.39,
Africa,STP,Sao Tome and Principe,2020,5,1,2020-05-19,251.0,5.0,8.0,1.0,1145.277,22.814,36.503,4.563,0.39,
Africa,STP,Sao Tome and Principe,2020,5,2,2020-05-20,251.0,0.0,8.0,0.0,1145.277,0.0,36.503,0.0,0.38,
Africa,STP,Sao Tome and Principe,2020,5,3,2020-05-21,251.0,0.0,8.0,0.0,1145.277,0.0,36.503,0.0,0.38,
Africa,STP,Sao Tome and Principe,2020,5,4,2020-05-22,251.0,0.0,8.0,0.0,1145.277,0.0,36.503,0.0,0.38,
Africa,STP,Sao Tome and Principe,2020,5,5,2020-05-23,251.0,0.0,8.0,0.0,1145.277,0.0,36.503,0.0,0.38,
Africa,STP,Sao Tome and Principe,2020,5,6,2020-05-24,251.0,0.0,8.0,0.0,1145.277,0.0,36.503,0.0,0.38,
Africa,STP,Sao Tome and Principe,2020,5,0,2020-05-25,299.0,48.0,11.0,3.0,1364.294,219.017,50.191,13.689,0.38,
Africa,STP,Sao Tome and Principe,2020,5,1,2020-05-26,441.0,142.0,12.0,1.0,2012.219,647.925,54.754,4.563,0.39,
Africa,STP,Sao Tome and Principe,2020,5,2,2020-05-27,443.0,2.0,12.0,0.0,2021.345,9.126,54.754,0.0,0.39,
Africa,STP,Sao Tome and Principe,2020,5,3,2020-05-28,458.0,15.0,12.0,0.0,2089.788,68.443,54.754,0.0,0.39,
Africa,STP,Sao Tome and Principe,2020,5,4,2020-05-29,463.0,5.0,12.0,0.0,2112.602,22.814,54.754,0.0,0.39,
Africa,STP,Sao Tome and Principe,2020,5,5,2020-05-30,479.0,16.0,12.0,0.0,2185.608,73.006,54.754,0.0,0.4,
Africa,STP,Sao Tome and Principe,2020,5,6,2020-05-31,483.0,4.0,12.0,0.0,2203.859,18.251,54.754,0.0,0.4,
Africa,STP,Sao Tome and Principe,2020,6,0,2020-06-01,484.0,1.0,12.0,0.0,2208.422,4.563,54.754,0.0,0.4,
Africa,STP,Sao Tome and Principe,2020,6,1,2020-06-02,484.0,0.0,12.0,0.0,2208.422,0.0,54.754,0.0,0.41,
Africa,STP,Sao Tome and Principe,2020,6,2,2020-06-03,484.0,0.0,12.0,0.0,2208.422,0.0,54.754,0.0,0.41,
Africa,STP,Sao Tome and Principe,2020,6,3,2020-06-04,485.0,1.0,12.0,0.0,2212.985,4.563,54.754,0.0,0.42,
Africa,STP,Sao Tome and Principe,2020,6,4,2020-06-05,499.0,14.0,12.0,0.0,2276.865,63.88,54.754,0.0,0.43,
Africa,STP,Sao Tome and Principe,2020,6,5,2020-06-06,499.0,0.0,12.0,0.0,2276.865,0.0,54.754,0.0,0.43,
Africa,STP,Sao Tome and Principe,2020,6,6,2020-06-07,513.0,14.0,12.0,0.0,2340.745,63.88,54.754,0.0,0.44,
Africa,STP,Sao Tome and Principe,2020,6,0,2020-06-08,513.0,0.0,12.0,0.0,2340.745,0.0,54.754,0.0,0.44,
Africa,STP,Sao Tome and Principe,2020,6,1,2020-06-09,514.0,1.0,12.0,0.0,2345.308,4.563,54.754,0.0,0.44,
Africa,STP,Sao Tome and Principe,2020,6,2,2020-06-10,611.0,97.0,12.0,0.0,2787.905,442.597,54.754,0.0,0.44,
Africa,STP,Sao Tome and Principe,2020,6,3,2020-06-11,632.0,21.0,12.0,0.0,2883.725,95.82,54.754,0.0,0.45,
Africa,STP,Sao Tome and Principe,2020,6,4,2020-06-12,639.0,7.0,12.0,0.0,2915.665,31.94,54.754,0.0,0.45,
Africa,STP,Sao Tome and Principe,2020,6,5,2020-06-13,659.0,20.0,12.0,0.0,3006.922,91.257,54.754,0.0,0.45,
Africa,STP,Sao Tome and Principe,2020,6,6,2020-06-14,661.0,2.0,12.0,0.0,3016.048,9.126,54.754,0.0,0.45,
Africa,STP,Sao Tome and Principe,2020,6,0,2020-06-15,662.0,1.0,12.0,0.0,3020.61,4.563,54.754,0.0,0.45,
Africa,STP,Sao Tome and Principe,2020,6,1,2020-06-16,671.0,9.0,12.0,0.0,3061.676,41.066,54.754,0.0,0.46,
Africa,STP,Sao Tome and Principe,2020,6,2,2020-06-17,683.0,12.0,12.0,0.0,3116.43,54.754,54.754,0.0,0.46,
Africa,STP,Sao Tome and Principe,2020,6,3,2020-06-18,688.0,5.0,12.0,0.0,3139.245,22.814,54.754,0.0,0.46,
Africa,STP,Sao Tome and Principe,2020,6,4,2020-06-19,693.0,5.0,12.0,0.0,3162.059,22.814,54.754,0.0,0.46,
Africa,STP,Sao Tome and Principe,2020,6,5,2020-06-20,698.0,5.0,12.0,0.0,3184.873,22.814,54.754,0.0,0.46,
Africa,STP,Sao Tome and Principe,2020,6,6,2020-06-21,698.0,0.0,12.0,0.0,3184.873,0.0,54.754,0.0,0.46,
Africa,STP,Sao Tome and Principe,2020,6,0,2020-06-22,702.0,4.0,12.0,0.0,3203.125,18.251,54.754,0.0,0.46,
Africa,STP,Sao Tome and Principe,2020,6,1,2020-06-23,707.0,5.0,12.0,0.0,3225.939,22.814,54.754,0.0,0.46,
Africa,STP,Sao Tome and Principe,2020,6,2,2020-06-24,710.0,3.0,13.0,1.0,3239.627,13.689,59.317,4.563,0.46,
Africa,STP,Sao Tome and Principe,2020,6,3,2020-06-25,711.0,1.0,13.0,0.0,3244.19,4.563,59.317,0.0,0.47,
Africa,STP,Sao Tome and Principe,2020,6,4,2020-06-26,712.0,1.0,13.0,0.0,3248.753,4.563,59.317,0.0,0.47,
Africa,STP,Sao Tome and Principe,2020,6,5,2020-06-27,713.0,1.0,13.0,0.0,3253.316,4.563,59.317,0.0,0.47,
Africa,STP,Sao Tome and Principe,2020,6,6,2020-06-28,713.0,0.0,13.0,0.0,3253.316,0.0,59.317,0.0,0.48,
Africa,STP,Sao Tome and Principe,2020,6,0,2020-06-29,713.0,0.0,13.0,0.0,3253.316,0.0,59.317,0.0,0.48,
Africa,STP,Sao Tome and Principe,2020,6,1,2020-06-30,714.0,1.0,13.0,0.0,3257.879,4.563,59.317,0.0,0.49,
Africa,STP,Sao Tome and Principe,2020,7,2,2020-07-01,715.0,1.0,13.0,0.0,3262.442,4.563,59.317,0.0,0.5,
Africa,STP,Sao Tome and Principe,2020,7,3,2020-07-02,717.0,2.0,13.0,0.0,3271.567,9.126,59.317,0.0,0.51,
Africa,STP,Sao Tome and Principe,2020,7,4,2020-07-03,719.0,2.0,13.0,0.0,3280.693,9.126,59.317,0.0,0.52,
Africa,STP,Sao Tome and Principe,2020,7,5,2020-07-04,719.0,0.0,13.0,0.0,3280.693,0.0,59.317,0.0,0.53,
Africa,STP,Sao Tome and Principe,2020,7,6,2020-07-05,720.0,1.0,13.0,0.0,3285.256,4.563,59.317,0.0,0.54,
Africa,STP,Sao Tome and Principe,2020,7,0,2020-07-06,721.0,1.0,13.0,0.0,3289.819,4.563,59.317,0.0,0.55,
Africa,STP,Sao Tome and Principe,2020,7,1,2020-07-07,724.0,3.0,13.0,0.0,3303.507,13.689,59.317,0.0,0.56,
Africa,STP,Sao Tome and Principe,2020,7,2,2020-07-08,724.0,0.0,13.0,0.0,3303.507,0.0,59.317,0.0,0.56,
Africa,STP,Sao Tome and Principe,2020,7,3,2020-07-09,726.0,2.0,14.0,1.0,3312.633,9.126,63.88,4.563,0.57,
Africa,STP,Sao Tome and Principe,2020,7,4,2020-07-10,727.0,1.0,14.0,0.0,3317.196,4.563,63.88,0.0,0.58,
Africa,STP,Sao Tome and Principe,2020,7,5,2020-07-11,727.0,0.0,14.0,0.0,3317.196,0.0,63.88,0.0,0.59,
Africa,STP,Sao Tome and Principe,2020,7,6,2020-07-12,729.0,2.0,14.0,0.0,3326.322,9.126,63.88,0.0,0.6,
Africa,STP,Sao Tome and Principe,2020,7,0,2020-07-13,732.0,3.0,14.0,0.0,3340.01,13.689,63.88,0.0,0.61,
Africa,STP,Sao Tome and Principe,2020,7,1,2020-07-14,732.0,0.0,14.0,0.0,3340.01,0.0,63.88,0.0,0.61,
Africa,STP,Sao Tome and Principe,2020,7,2,2020-07-15,737.0,5.0,14.0,0.0,3362.825,22.814,63.88,0.0,0.61,
Africa,STP,Sao Tome and Principe,2020,7,3,2020-07-16,740.0,3.0,14.0,0.0,3376.513,13.689,63.88,0.0,0.61,
Africa,STP,Sao Tome and Principe,2020,7,4,2020-07-17,741.0,1.0,14.0,0.0,3381.076,4.563,63.88,0.0,0.6,
Africa,STP,Sao Tome and Principe,2020,7,5,2020-07-18,743.0,2.0,14.0,0.0,3390.202,9.126,63.88,0.0,0.59,
Africa,STP,Sao Tome and Principe,2020,7,6,2020-07-19,746.0,3.0,14.0,0.0,3403.89,13.689,63.88,0.0,0.59,
Africa,STP,Sao Tome and Principe,2020,7,0,2020-07-20,746.0,0.0,14.0,0.0,3403.89,0.0,63.88,0.0,0.57,
Africa,STP,Sao Tome and Principe,2020,7,1,2020-07-21,746.0,0.0,14.0,0.0,3403.89,0.0,63.88,0.0,0.56,
Africa,STP,Sao Tome and Principe,2020,7,2,2020-07-22,747.0,1.0,14.0,0.0,3408.453,4.563,63.88,0.0,0.56,
