continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
South America,SUR,Suriname,2020,3,5,2020-03-14,1.0,1.0,,,1.705,1.705,,,,33.33
South America,SUR,Suriname,2020,3,6,2020-03-15,1.0,0.0,,,1.705,0.0,,,,33.33
South America,SUR,Suriname,2020,3,0,2020-03-16,1.0,0.0,,,1.705,0.0,,,,52.78
South America,SUR,Suriname,2020,3,1,2020-03-17,1.0,0.0,,,1.705,0.0,,,,52.78
South America,SUR,Suriname,2020,3,2,2020-03-18,1.0,0.0,,,1.705,0.0,,,,52.78
South America,SUR,Suriname,2020,3,3,2020-03-19,1.0,0.0,,,1.705,0.0,,,,52.78
South America,SUR,Suriname,2020,3,4,2020-03-20,4.0,3.0,,,6.819,5.114,,,,52.78
South America,SUR,Suriname,2020,3,5,2020-03-21,4.0,0.0,,,6.819,0.0,,,,52.78
South America,SUR,Suriname,2020,3,6,2020-03-22,5.0,1.0,,,8.523,1.705,,,,52.78
South America,SUR,Suriname,2020,3,0,2020-03-23,5.0,0.0,,,8.523,0.0,,,,52.78
South America,SUR,Suriname,2020,3,1,2020-03-24,7.0,2.0,,,11.932,3.409,,,,52.78
South America,SUR,Suriname,2020,3,2,2020-03-25,8.0,1.0,,,13.637,1.705,,,,52.78
South America,SUR,Suriname,2020,3,3,2020-03-26,8.0,0.0,,,13.637,0.0,,,,52.78
South America,SUR,Suriname,2020,3,4,2020-03-27,8.0,0.0,,,13.637,0.0,,,,52.78
South America,SUR,Suriname,2020,3,5,2020-03-28,8.0,0.0,,,13.637,0.0,,,,71.3
South America,SUR,Suriname,2020,3,6,2020-03-29,8.0,0.0,,,13.637,0.0,,,,71.3
South America,SUR,Suriname,2020,3,0,2020-03-30,8.0,0.0,,,13.637,0.0,,,,71.3
South America,SUR,Suriname,2020,3,1,2020-03-31,9.0,1.0,,,15.342,1.705,,,,71.3
South America,SUR,Suriname,2020,4,2,2020-04-01,10.0,1.0,,,17.046,1.705,,,,71.3
South America,SUR,Suriname,2020,4,3,2020-04-02,10.0,0.0,,,17.046,0.0,,,,71.3
South America,SUR,Suriname,2020,4,4,2020-04-03,10.0,0.0,1.0,1.0,17.046,0.0,1.705,1.705,,71.3
South America,SUR,Suriname,2020,4,5,2020-04-04,10.0,0.0,1.0,0.0,17.046,0.0,1.705,0.0,,71.3
South America,SUR,Suriname,2020,4,6,2020-04-05,10.0,0.0,1.0,0.0,17.046,0.0,1.705,0.0,,71.3
South America,SUR,Suriname,2020,4,0,2020-04-06,10.0,0.0,1.0,0.0,17.046,0.0,1.705,0.0,,82.41
South America,SUR,Suriname,2020,4,1,2020-04-07,10.0,0.0,1.0,0.0,17.046,0.0,1.705,0.0,,82.41
South America,SUR,Suriname,2020,4,2,2020-04-08,10.0,0.0,1.0,0.0,17.046,0.0,1.705,0.0,,82.41
South America,SUR,Suriname,2020,4,3,2020-04-09,10.0,0.0,1.0,0.0,17.046,0.0,1.705,0.0,,82.41
South America,SUR,Suriname,2020,4,4,2020-04-10,10.0,0.0,1.0,0.0,17.046,0.0,1.705,0.0,,82.41
South America,SUR,Suriname,2020,4,5,2020-04-11,10.0,0.0,1.0,0.0,17.046,0.0,1.705,0.0,,82.41
South America,SUR,Suriname,2020,4,6,2020-04-12,10.0,0.0,1.0,0.0,17.046,0.0,1.705,0.0,,82.41
